ts,NN,O
counsel,CD,O
for,JJ,O
the,NN,O
respondents,IN,O
in,DT,O
the,NNS,O
light,IN,O
of,DT,O
the,NN,O
above,IN,O
are,DT,O
perfectly,NNS,O
justified,VBP,O
in,RB,O
contending,VBN,O
that,IN,O
the,VBG,O
provisions,IN,O
of,DT,O
section,NNS,O
25,IN,O
of,NN,O
the,CD,O
code,IN,O
of,DT,O
civil,NN,O
procedure,IN,O
1908,JJ,O
and,NN,O
that,CD,O
of,CC,O
section,DT,O
406,IN,O
of,NN,O
the,CD,O
criminal,IN,O
procedure,DT,O
1973,JJ,O
as,NN,O
applicable,CD,O
to,IN,O
the,JJ,O
rest,TO,O
of,DT,O
india,NN,O
cannot,IN,O
be,NNS,O
invoked,MD,O
by,RB,O
any,VB,O
litigant,VBN,O
seeking,IN,O
transfer,DT,O
of,JJ,O
any,VBG,O
case,NN,O
to,IN,O
or,DT,O
from,NN,O
the,TO,O
state,CC,O
of,IN,O
jammu,DT,O
and,NN,O
kashmir,IN,O
it,NN,O
is,CC,O
equally,VB,O
true,PRP,O
that,VBZ,O
jammu,RB,O
and,JJ,O
kashmir,IN,O
code,NN,O
of,CC,O
civil,VB,O
procedure,NN,O
svt,IN,O
1977,JJ,O
and,NN,O
jammu,NN,O
and,CD,O
kashmir,CC,O
code,NN,O
of,CC,O
criminal,VB,O
procedure,NN,O
svt,IN,O
1989,JJ,O
also,NN,O
do,NN,O
not,CD,O
have,RB,O
any,VBP,O
provision,RB,O
empowering,VB,O
this,DT,O
court,NN,O
to,VBG,O
direct,DT,O
transfer,NN,O
of,TO,O
any,VB,O
case,NN,O
civil,IN,O
or,DT,O
criminal,NN,O
from,JJ,O
any,CC,O
court,JJ,O
in,IN,O
the,DT,O
state,NN,O
to,IN,O
a,DT,O
court,NN,O
outside,TO,O
that,DT,O
state,NN,O
or,IN,O
vice,DT,O
versa,NN,O
resort,CC,O
to,NN,O
the,NN,O
central,NN,O
or,TO,O
state,DT,O
codes,JJ,O
of,CC,O
civil,NN,O
and,NNS,O
criminal,IN,O
procedures,JJ,O
for,CC,O
directing,JJ,O
transfer,NNS,O
of,IN,O
cases,VBG,O
to,NN,O
or,IN,O
from,NNS,O
the,TO,O
state,CC,O
is,IN,O
therefore,DT,O
ruled,NN,O
out,VBZ,O
to,RB,O
that,VBN,O
extent,RP,O
therefore,TO,O
the,DT,O
contentions,NN,O
urged,VBD,O
on,DT,O
behalf,NNS,O
of,VBD,O
the,IN,O
respondents,NN,O
are,IN,O
well,DT,O
founded,NNS,O
and,VBP,O
legally,RB,O
unexceptionable,VBN,O
7,CC,O
the,RB,O
question,JJ,O
however,CD,O
is,DT,O
whether,NN,O
independent,RB,O
of,VBZ,O
the,IN,O
provisions,JJ,O
contained,IN,O
in,DT,O
the,NNS,O
codes,VBN,O
of,IN,O
civil,DT,O
and,NNS,O
criminal,IN,O
procedure,JJ,O
is,CC,O
there,JJ,O
a,NN,O
source,VBZ,O
of,RB,O
power,DT,O
which,NN,O
this,IN,O
court,NN,O
can,WDT,O
invoke,DT,O
for,NN,O
directing,MD,O
transfer,VB,O
of,IN,O
a,VBG,O
case,NN,O
from,IN,O
the,DT,O
state,NN,O
of,IN,O
jammu,DT,O
and,NN,O
kashmir,IN,O
or,NN,O
vice,CC,O
versa,NN,O
on,CC,O
behalf,NN,O
of,NNS,O
the,IN,O
petitioners,NN,O
it,IN,O
was,DT,O
contended,NNS,O
that,PRP,O
even,VBD,O
when,VBN,O
the,IN,O
central,RB,O
codes,WRB,O
of,DT,O
civil,JJ,O
and,NNS,O
criminal,IN,O
procedure,JJ,O
have,CC,O
no,JJ,O
applicability,NN,O
to,VBP,O
the,DT,O
state,NN,O
of,TO,O
jammu,DT,O
and,NN,O
kashmir,IN,O
and,NN,O
even,CC,O
when,NN,O
the,CC,O
state,RB,O
codes,WRB,O
of,DT,O
civil,NN,O
and,NNS,O
criminal,IN,O
procedure,JJ,O
do,CC,O
not,JJ,O
contain,NN,O
any,VBP,O
provision,RB,O
empowering,VB,O
this,DT,O
court,NN,O
to,VBG,O
direct,DT,O
transfer,NN,O
it,TO,O
does,VB,O
not,NN,O
mean,PRP,O
that,VBZ,O
this,RB,O
court,VB,O
is,IN,O
helpless,DT,O
in,NN,O
making,VBZ,O
an,JJ,O
order,IN,B-LEGAL
of,VBG,I-LEGAL
transfer,DT,I-LEGAL
in,NN,O
appropriate,IN,O
case,NN,O
where,IN,O
such,JJ,O
transfer,NN,O
is,WRB,O
otherwise,JJ,O
called,NN,O
for,VBZ,O
in,RB,O
the,VBN,O
facts,IN,O
and,IN,O
circumstances,DT,O
of,NNS,O
a,CC,O
given,NNS,O
case,IN,O
it,DT,O
was,VBN,O
argued,NN,O
with,PRP,O
considerable,VBD,O
forensic,VBN,O
tenacity,IN,O
that,JJ,O
access,JJ,O
to,NN,O
justice,WDT,O
being,NN,O
a,TO,O
fundamental,NN,B-LEGAL
right,VBG,I-LEGAL
guaranteed,DT,O
under,JJ,O
article,NN,O
21,VBN,O
of,IN,O
the,NN,O
constitution,CD,B-LEGAL
of,IN,I-LEGAL
india,DT,I-LEGAL
any,NN,O
litigant,IN,O
whose,JJ,O
fundamental,DT,B-LEGAL
right,JJ,I-LEGAL
to,WP$,O
access,JJ,O
to,NN,O
justice,TO,O
is,NN,O
denied,TO,O
or,NN,O
jeopardised,VBZ,O
can,VBN,O
approach,CC,O
this,VBN,O
court,MD,O
for,VB,O
redress,DT,O
under,NN,O
article,IN,O
32,NN,O
of,IN,O
the,NN,O
constitution,CD,B-LEGAL
of,IN,I-LEGAL
india,DT,I-LEGAL
for,NN,O
protection,IN,O
and,NN,O
enforcement,IN,O
of,NN,O
his,CC,O
her,NN,O
right,IN,O
this,PRP$,O
court,PRP$,O
can,NN,O
in,DT,O
any,NN,O
such,MD,O
case,IN,O
issue,DT,O
appropriate,JJ,O
directions,NN,O
to,NN,O
protect,JJ,O
such,NNS,O
right,TO,O
which,VB,O
protection,JJ,O
may,JJ,O
in,WDT,O
appropriate,NN,O
cases,MD,O
include,IN,O
a,JJ,O
direction,NNS,O
for,VBP,O
transfer,DT,O
of,NN,O
the,IN,O
case,NN,O
from,IN,O
that,DT,O
state,NN,O
to,IN,O
the,DT,O
court,NN,O
outside,TO,O
the,DT,O
state,NN,O
or,IN,O
vice,DT,O
versa,NN,O
it,CC,O
was,NN,O
strenuously,IN,O
argued,PRP,O
that,VBD,O
article,RB,O
142,VBN,O
of,IN,O
the,NN,O
constitution,CD,B-LEGAL
of,IN,I-LEGAL
india,DT,I-LEGAL
read,NN,O
with,IN,O
article,JJ,O
32,NN,O
amply,IN,O
empower,NN,O
this,CD,O
court,NN,O
to,VB,O
intervene,DT,O
and,NN,O
issue,TO,O
suitable,VB,O
directions,CC,O
wherever,VB,O
such,JJ,O
directions,NNS,O
were,VBP,O
considered,JJ,O
necessary,NNS,O
to,VBD,O
do,VBN,O
complete,JJ,B-LEGAL
justice,TO,I-LEGAL
to,VB,O
the,JJ,O
parties,NN,O
including,TO,O
justice,DT,O
in,NNS,O
the,VBG,O
matter,NN,O
of,IN,O
ensuring,DT,O
that,NN,O
litigants,IN,O
engaged,VBG,O
in,IN,O
legal,NNS,O
proceedings,VBN,O
in,IN,O
any,JJ,O
court,NNS,O
within,IN,O
or,DT,O
outside,NN,O
the,IN,O
state,CC,O
of,IN,O
jammu,DT,O
and,NN,O
kashmir,IN,O
get,NN,O
a,CC,O
fair,VB,O
and,VB,O
reasonable,DT,O
opportunity,JJ,O
to,CC,O
access,JJ,O
justice,NN,O
by,TO,O
transfer,NN,O
of,NN,O
their,IN,O
cases,NN,O
to,IN,O
or,PRP$,O
from,NNS,O
that,TO,O
state,CC,O
if,IN,O
necessary,DT,O
8,NN,O
two,IN,O
distinct,JJ,O
questions,CD,O
fall,CD,O
for,JJ,O
consideration,NNS,O
in,VBP,O
the,IN,O
context,NN,O
of,IN,O
what,DT,O
is,NN,O
argued,IN,O
at,WP,O
the,VBZ,O
bar,VBN,O
the,IN,O
first,DT,O
involves,NN,O
examination,DT,O
of,JJ,O
whether,VBZ,O
access,NN,O
to,IN,O
justice,IN,O
is,NN,O
indeed,TO,O
a,NN,O
fundamental,VBZ,B-LEGAL
right,RB,I-LEGAL
and,DT,O
if,JJ,O
so,NN,O
what,CC,O
is,IN,O
the,RB,O
sweep,WP,O
and,VBZ,O
content,DT,O
of,NN,O
that,CC,O
right,NN,O
while,IN,O
the,DT,O
second,NN,O
is,IN,O
whether,DT,O
articles,JJ,O
32,VBZ,O
and,IN,O
142,NNS,O
of,CD,O
the,CC,O
constitution,CD,B-LEGAL
of,IN,I-LEGAL
india,DT,I-LEGAL
empower,NN,O
this,IN,O
court,NN,O
to,NN,O
issue,DT,O
suitable,NN,O
directions,TO,O
for,VB,O
transfer,JJ,O
of,NNS,O
cases,IN,O
to,NN,O
and,IN,O
from,NNS,O
the,TO,O
state,CC,O
of,IN,O
jammu,DT,O
kashmir,NN,O
in,IN,O
appropriate,NN,O
situations,NN,O
both,IN,O
these,JJ,O
aspects,NNS,O
in,DT,O
our,DT,O
view,NNS,O
are,IN,O
well,PRP$,O
traversed,NN,O
by,VBP,O
judicial,RB,O
pronouncements,VBN,O
of,IN,O
this,JJ,O
court,NNS,O
as,IN,O
well,DT,O
as,NN,O
those,RB,O
of,RB,O
courts,IN,O
in,DT,O
england,IN,O
in,NNS,O
which,IN,O
the,NN,O
courts,IN,O
have,WDT,O
had,DT,O
an,NNS,O
opportunity,VBP,O
to,VBD,O
examine,DT,O
the,NN,O
jurisprudential,TO,O
aspect,VB,O
of,DT,O
the,JJ,O
right,NN,O
of,IN,O
access,DT,O
to,NN,O
justice,IN,O
and,NN,O
its,TO,O
correlation,NN,O
with,CC,O
the,PRP$,O
right,NN,O
to,IN,O
life,DT,O
availability,NN,O
of,TO,O
article,NN,O
142,NN,O
of,IN,O
the,NN,O
constitution,CD,B-LEGAL
of,IN,I-LEGAL
india,DT,I-LEGAL
for,NN,O
directing,IN,O
transfer,NN,O
of,IN,O
cases,VBG,O
in,NN,O
situations,IN,O
where,NNS,O
such,IN,O
power,NNS,O
is,WRB,O
not,JJ,O
stricto,NN,O
sensu,VBZ,O
available,RB,O
under,JJ,O
an,NN,O
ordinary,JJ,O
statute,IN,O
or,DT,O
the,JJ,O
constitution,NN,O
has,CC,O
also,DT,O
been,NN,O
judicially,VBZ,O
explored,RB,O
by,VBN,O
this,RB,O
court,VBN,O
on,IN,O
several,DT,O
earlier,NN,O
occasions,IN,O
we,JJ,O
may,JJR,O
deal,NNS,O
with,PRP,O
the,MD,O
said,VB,O
two,IN,O
aspects,DT,O
ad,VBD,O
