ak,NN,O
engaged,VBD,O
his,PRP$,O
private,JJ,O
counsel,NN,O
m,NN,O
s,NN,O
alok,NN,O
kumar,NN,O
dubey,NN,O
and,CC,O
ankit,JJ,O
bhatia,NN,O
in,IN,O
place,NN,O
of,IN,O
the,DT,O
legal,JJ,O
aid,NN,O
counsel,NN,O
thereafter,RB,O
the,DT,O
case,NN,O
was,VBD,O
committed,VBN,O
to,TO,O
the,DT,O
court,NN,O
of,IN,O
session,NN,O
charges,NNS,O
were,VBD,O
framed,VBN,O
on,IN,O
13th,CD,O
january,JJ,O
2015,CD,O
prosecution,NN,O
evidence,NN,O
commenced,VBD,O
on,IN,O
15th,CD,O
january,JJ,O
2015,CD,O
and,CC,O
was,VBD,O
closed,VBN,O
on,IN,O
31st,CD,O
january,JJ,O
2015,CD,O
the,DT,O
witnesses,NNS,O
were,VBD,O
duly,RB,O
cross,JJ,O
examined,VBN,O
by,IN,O
the,DT,O
counsel,NN,O
engaged,VBN,O
by,IN,O
the,DT,O
accused,JJ,O
statement,NN,O
of,IN,O
the,DT,O
accused,VBN,O
under,IN,O
section,NN,O
313,CD,O
code,NN,O
of,IN,O
criminal,JJ,O
procedure,NN,O
was,VBD,O
recorded,VBN,O
on,IN,O
3rd,CD,O
february,JJ,O
2015,CD,O
on,IN,O
4th,CD,O
february,JJ,O
2015,CD,O
an,DT,O
application,NN,O
for,IN,O
recall,NN,O
of,IN,O
prosecutrix,JJ,B-LEGAL
pw2,NN,O
and,CC,O
formal,JJ,O
witness,NN,O
pw,NN,O
23,CD,O
who,WP,O
booked,VBD,O
the,DT,O
cab,NN,O
was,VBD,O
made,VBN,O
but,CC,O
the,DT,O
same,JJ,O
was,VBD,O
rejected,VBN,O
and,CC,O
the,DT,O
said,VBD,O
order,NN,O
was,VBD,O
never,RB,O
challenged,VBN,O
thereafter,RB,O
on,IN,O
9th,CD,O
february,JJ,O
2015,CD,O
the,DT,O
accused,VBN,O
engaged,VBD,O
another,DT,O
counsel,NN,O
who,WP,O
filed,VBD,O
another,DT,O
application,NN,O
under,IN,O
section,NN,O
311,CD,O
code,NN,O
of,IN,O
criminal,JJ,O
procedure,NN,O
for,IN,O
recall,NN,O
of,IN,O
all,PDT,O
the,DT,O
28,CD,O
prosecution,NN,O
witnesses,NNS,O
on,IN,O
16th,CD,O
february,JJ,O
2015,CD,O
the,DT,O
said,VBD,O
application,NN,O
was,VBD,O
dismissed,VBN,O
on,IN,O
18th,CD,O
february,JJ,O
by,IN,O
the,DT,O
trial,NN,O
court,NN,O
but,CC,O
the,DT,O
same,JJ,O
was,VBD,O
allowed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
vide,NN,O
impugned,VBD,O
order,NN,O
dated,VBD,O
4th,CD,O
march,NN,O
2015,CD,O
in,IN,O
a,DT,O
petition,NN,O
filed,VBN,O
under,IN,O
article,NN,O
227,CD,O
of,IN,O
the,DT,O
constitution,NN,B-LEGAL
of,IN,I-LEGAL
india,JJ,I-LEGAL
read,NN,O
with,IN,O
section,NN,O
482,CD,O
code,NN,O
of,IN,O
criminal,JJ,O
procedure,NN,O
even,RB,O
though,IN,O
the,DT,O
specific,JJ,O
grounds,NNS,O
urged,VBN,O
in,IN,O
the,DT,O
application,NN,O
were,VBD,O
duly,RB,O
considered,VBN,O
and,CC,O
rejected,VBD,O
it,PRP,O
was,VBD,O
observed,VBN,O
that,IN,O
recall,NN,O
of,IN,O
certain,JJ,O
witnesses,NNS,O
was,VBD,O
deemed,VBN,O
proper,JJ,O
for,IN,O
ensuring,VBG,O
fair,JJ,O
trial,NN,O
3,CD,O
aggrieved,VBN,O
by,IN,O
the,DT,O
order,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
the,DT,O
victim,NN,O
as,RB,O
well,RB,O
as,IN,O
the,DT,O
state,NN,O
have,VBP,O
moved,VBN,O
this,DT,O
court,NN,O
4,CD,O
on,IN,O
10th,CD,O
march,NN,O
2015,CD,O
when,WRB,O
the,DT,O
matter,NN,O
came,VBD,O
up,RB,O
for,IN,O
hearing,VBG,O
before,IN,O
this,DT,O
court,NN,O
stay,NN,O
of,IN,O
further,JJ,O
proceedings,NNS,O
was,VBD,O
granted,VBN,O
but,CC,O
since,IN,O
the,DT,O
prosecutrix,NN,B-LEGAL
had,VBD,O
already,RB,O
been,VBN,O
recalled,VBN,O
in,IN,O
pursuance,NN,O
of,IN,O
the,DT,O
impugned,JJ,O
order,NN,O
and,CC,O
further,JJ,O
cross,NN,O
examined,VBD,O
the,DT,O
said,VBD,O
deposition,NN,O
was,VBD,O
directed,VBN,O
to,TO,O
be,VB,O
kept,VBN,O
in,IN,O
the,DT,O
sealed,VBN,O
cover,NN,O
and,CC,O
publication,NN,O
thereof,NN,O
by,IN,O
anyone,NN,O
in,IN,O
possession,NN,O
thereof,NN,O
was,VBD,O
restrained,VBN,O
5,CD,O
we,PRP,O
have,VBP,O
heard,VBN,O
learned,VBN,O
attorney,NN,O
general,JJ,O
appearing,VBG,O
for,IN,O
the,DT,O
state,NN,O
shri,NN,O
colin,NN,O
gonsalves,NNS,O
learned,VBD,O
senior,JJ,O
counsel,NN,O
appearing,VBG,O
for,IN,O
the,DT,O
victim,NN,O
and,CC,O
shri,NN,O
dk,NN,O
mishra,NN,O
learned,VBD,O
counsel,NN,O
appearing,VBG,O
for,IN,O
the,DT,O
accused,JJ,O
6,CD,O
learned,VBD,O
attorney,NN,O
general,NN,O
submitted,VBD,O
that,IN,O
the,DT,O
view,NN,O
taken,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
was,VBD,O
erroneous,JJ,O
and,CC,O
true,JJ,O
scope,NN,O
of,IN,O
power,NN,O
of,IN,O
recall,NN,O
has,VBZ,O
not,RB,O
been,VBN,O
appreciated,VBN,O
firstly,RB,O
though,IN,O
the,DT,O
power,NN,O
of,IN,O
recall,NN,O
is,VBZ,O
very,RB,O
wide,JJ,O
and,CC,O
could,MD,O
be,VB,O
exercised,VBN,O
at,IN,O
any,DT,O
stage,NN,O
it,PRP,O
could,MD,O
not,RB,O
be,VB,O
exercised,VBN,O
mechanically,RB,O
without,IN,O
just,RB,O
and,CC,O
adequate,JJ,O
grounds,NNS,O
at,IN,O
the,DT,O
end,NN,O
of,IN,O
the,DT,O
trial,NN,O
exercise,NN,O
of,IN,O
such,JJ,O
power,NN,O
was,VBD,O
permissible,JJ,O
only,RB,O
in,IN,O
exceptional,JJ,O
situations,NNS,O
once,RB,O
trial,NN,O
is,VBZ,O
conducted,VBN,O
by,IN,O
a,DT,O
counsel,NN,O
another,DT,O
counsel,NN,O
could,MD,O
not,RB,O
seek,VB,O
retrial,NN,O
or,CC,O
recall,NN,O
of,IN,O
all,PDT,O
the,DT,O
witnesses,NNS,O
merely,RB,O
by,IN,O
alleging,VBG,O
that,IN,O
the,DT,O
previous,JJ,O
counsel,NN,O
was,VBD,O
not,RB,O
competent,JJ,O
at,IN,O
any,DT,O
rate,NN,O
the,DT,O
court,NN,O
permitting,VBG,O
such,JJ,O
a,DT,O
course,NN,O
must,MD,O
record,VB,O
cogent,NN,O
reasons,NNS,O
secondly,RB,O
harassment,NN,O
of,IN,O
the,DT,O
victim,NN,O
on,IN,O
being,VBG,O
recalled,VBN,O
for,IN,O
cross,NN,O
examination,NN,O
was,VBD,O
a,DT,O
relevant,JJ,O
factor,NN,O
which,WDT,O
was,VBD,O
required,VBN,O
to,TO,O
be,VB,O
taken,VBN,O
into,IN,O
account,NN,O
thirdly,RB,O
expeditious,JJ,O
trial,NN,O
in,IN,O
a,DT,O
heinous,JJ,O
offence,NN,O
was,VBD,O
another,DT,O
factor,NN,O
which,WDT,O
was,VBD,O
required,VBN,O
to,TO,O
be,VB,O
taken,VBN,O
into,IN,O
account,NN,O
in,IN,O
this,DT,O
case,NN,O
a,DT,O
further,JJ,O
factor,NN,O
which,WDT,O
the,DT,O
impugned,JJ,O
order,NN,O
ignores,NNS,O
is,VBZ,O
that,IN,O
the,DT,O
respondent,NN,O
was,VBD,O
not,RB,O
facing,VBG,O
a,DT,O
criminal,JJ,O
case,NN,O
for,IN,O
the,DT,O
first,JJ,O
time,NN,O
he,PRP,O
was,VBD,O
facing,VBG,O
three,CD,O
cases,NNS,O
of,IN,O
rape,NN,O
earlier,RBR,O
and,CC,O
was,VBD,O
well,RB,O
conversant,JJ,O
with,IN,O
the,DT,O
legal,JJ,O
matters,NNS,O
he,PRP,O
had,VBD,O
made,VBN,O
his,PRP$,O
own,JJ,O
informed,JJ,O
choice,NN,O
in,IN,O
appointing,VBG,O
a,DT,O
counsel,NN,O
interference,NN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
was,VBD,O
permissible,JJ,O
only,RB,O
when,WRB,O
the,DT,O
view,NN,O
taken,VBN,O
by,IN,O
the,DT,O
trial,NN,O
court,NN,O
declining,VBG,O
prayer,NN,O
for,IN,O
recall,NN,O
was,VBD,O
found,VBN,O
to,TO,O
be,VB,O
perverse,JJ,O
or,CC,O
unjust,JJ,O
it,PRP,O
was,VBD,O
further,RB,O
pointed,VBN,O
out,RP,O
that,IN,O
the,DT,O
conclusion,NN,O
recorded,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
was,VBD,O
contrary,JJ,O
to,TO,O
the,DT,O
findings,NNS,O
in,IN,O
the,DT,O
order,NN,O
rejecting,VBG,O
various,JJ,O
grounds,NNS,O
raised,VBN,O
in,IN,O
support,NN,O
of,IN,O
prayer,NN,O
for,IN,O
recall,NN,O
learned,VBN,O
attorney,NN,O
general,NN,O
made,VBD,O
reference,NN,O
to,TO,O
decisions,NNS,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
rajaram,NN,O
prasad,NN,O
yadav,NN,O
v,NN,O
state,NN,O
of,IN,O
bihar,NN,O
manu,NN,O
sc,NN,O
0663,CD,O
2013manu,CD,O
sc,NN,O
0663,CD,O
2013,CD,O
2013,CD,O
14,CD,O
scc,NN,O
461,CD,O
mannan,NN,O
sk,NN,O
v,NN,O
state,NN,O
of,IN,O
west,JJ,O
bengal,JJ,O
manu,NNS,O
sc,JJ,O
0568,CD,O
2014manu,CD,O
sc,NN,O
0568,CD,O
2014,CD,O
2014,CD,O
13,CD,O
scc,NN,O
59,CD,O
p,NN,O
sanjeeva,NN,O
rao,NN,O
v,NN,O
state,NN,O
of,IN,O
ap,NN,O
manu,NN,O
sc,NN,O
0504,CD,O
2012manu,CD,O
sc,NN,O
0504,CD,O
2012,CD,O
2012,CD,O
7,CD,O
scc,NN,O
56,CD,O
state,NN,O
of,IN,O
punjab,NN,O
v,NN,O
gurmit,NN,O
singh,NN,O
manu,NN,O
sc,NN,O
0366,CD,O
1996manu,CD,O
sc,NN,O
0366,CD,O
1996,CD,O
1996,CD,O
2,CD,O
scc,NN,O
384,CD,O
state,NN,O
of,IN,O
karnataka,NN,O
v,NN,O
shivanna,NN,O
manu,NN,O
sc,NN,O
0400,CD,O
2014manu,CD,O
sc,NN,O
0400,CD,O
2014,CD,O
2014,CD,O
8,CD,O
scc,NN,O
916,CD,O
hofman,NN,O
andreas,NNS,O
v,VBP,O
inspector,NN,O
of,IN,O
customs,NNS,O
manu,FW,O
sc,NN,O
1505,CD,O
1999manu,CD,O
sc,NN,O
1505,CD,O
1999,CD,O
2000,CD,O
10,CD,O
scc,NN,O
430,CD,O
dayal,NN,O
singh,NN,O
v,NN,O
state,NN,O
of,IN,O
uttaranchal,JJ,O
manu,NN,O
sc,NN,O
0622,CD,O
2012manu,CD,O
sc,NN,O
0622,CD,O
2012,CD,O
2012,CD,O
8,CD,O
scc,NN,O
263,CD,O
devender,NN,O
pal,NN,O
singh,NN,O
v,NN,O
state,NN,O
nct,NN,O
of,IN,O
delhi,NN,O
manu,NN,O
sc,NN,O
0217,CD,O
2002manu,CD,O
sc,NN,O
0217,CD,O
2002,CD,O
2002,CD,O
5,CD,O
scc,NN,O
234,CD,O
nhrc,JJ,O
v,NN,O
state,NN,O
of,IN,O
gujarat,NN,O
2009,CD,O
6,CD,O
scc,NN,O
767,CD,O
swaran,NN,O
singh,NN,O
v,NN,O
state,NN,O
of,IN,O
punjab,NN,O
manu,NN,O
sc,NN,O
0320,CD,O
2000manu,CD,O
sc,NN,O
0320,CD,O
2000,CD,O
2000,CD,O
5,CD,O
scc,VBD,O
668,CD,O
7,CD,O
shri,NN,O
gonsalves,NNS,O
learned,VBD,O
senior,JJ,O
counsel,NN,O
adopted,VBD,O
the,DT,O
submissions,NNS,O
of,IN,O
learned,JJ,O
attorney,NN,O
general,NN,O
and,CC,O
further,RB,O
submitted,VBD,O
that,IN,O
the,DT,O
high,JJ,O
court,NN,O
appears,VBZ,O
to,TO,O
have,VB,O
been,VBN,O
impressed,VBN,O
by,IN,O
the,DT,O
fact,NN,O
that,IN,O
the,DT,O
accused,VBN,O
was,VBD,O
in,IN,O
custody,NN,O
and,CC,O
thus,RB,O
had,VBD,O
no,DT,O
reason,NN,O
to,TO,O
delay,VB,O
the,DT,O
trial,NN,O
a,DT,O
presumption,NN,O
that,IN,O
an,DT,O
accused,VBN,O
in,IN,O
custody,NN,O
will,MD,O
not,RB,O
delay,VB,O
the,DT,O
trial,NN,O
was,VBD,O
not,RB,O
well,RB,O
founded,VBN,O
and,CC,O
could,MD,O
not,RB,O
be,VB,O
a,DT,O
valid,JJ,O
consideration,NN,O
for,IN,O
retrial,JJ,O
or,CC,O
recall,NN,O
of,IN,O
prosecutrix,NN,B-LEGAL
and,CC,O
other,JJ,O
witnesses,NNS,O
the,DT,O
prosecutrix,NN,B-LEGAL
had,VBD,O
already,RB,O
faced,VBN,O
court,NN,O
proceedings,NNS,O
while,IN,O
recording,VBG,O
her,PRP$,O
statement,NN,O
under,IN,O
section,NN,O
164,CD,O
code,NN,O
of,IN,O
criminal,JJ,O
procedure,NN,O
and,CC,O
while,IN,O
facing,VBG,O
cross,JJ,O
examination,NN,O
for,IN,O
three,CD,O
days,NNS,O
he,PRP,O
also,RB,O
placed,VBD,O
reliance,NN,O
on,IN,O
p,NN,O
ramachandra,NN,O
rao,NN,O
v,NN,O
state,NN,O
of,IN,O
karnataka,NN,O
manu,NN,O
sc,NN,O
0328,CD,O
2002manu,CD,O
sc,NN,O
0328,CD,O
2002,CD,O
2002,CD,O
4,CD,O
scc,NN,O
578,CD,O
delhi,NN,O
domestic,JJ,O
working,VBG,O
women,NNS,O
forum,RB,O
v,VBP,O
union,NN,O
of,IN,O
india,JJ,O
manu,NN,O
sc,NN,O
0519,CD,O
1995manu,CD,O
sc,NN,O
0519,CD,O
1995,CD,O
1995,CD,O
1,CD,O
scc,NN,O
14,CD,O
natasha,JJ,O
singh,NN,O
v,NN,O
cbi,NN,O
manu,NN,O
sc,NN,O
0483,CD,O
2013manu,CD,O
sc,NN,O
0483,CD,O
2013,CD,O
2013,CD,O
5,CD,O
scc,NN,O
741,CD,O
mohanlal,NN,O
shamji,NN,O
soni,NN,O
v,NNP,O
union,NN,O
of,IN,O
india,JJ,O
manu,NN,O
sc,NN,O
0318,CD,O
1991manu,CD,O
sc,NN,O
0318,CD,O
1991,CD,O
1991,CD,O
supp,NN,O
1,CD,O
scc,NN,O
271,CD,O
zahira,NN,O
habibulla,NN,O
h,NN,O
sheikh,NN,O
v,NN,O
state,NN,O
of,IN,O
gujarat,NN,O
manu,NN,O
sc,NN,O
0322,CD,O
2004manu,CD,O
sc,NN,O
0322,CD,O
2004,CD,O
2004,CD,O
4,CD,O
scc,NN,O
158,CD,O
sister,NN,O
mina,NN,O
lalita,JJ,O
baruwa,NN,O
v,NN,O
state,NN,O
of,IN,O
orissa,NN,O
manu,NN,O
sc,NN,O
1265,CD,O
2013manu,CD,O
sc,NN,O
1265,CD,O
2013,CD,O
2013,CD,O
16,CD,O
scc,NN,O
173,CD,O
raminder,NN,O
singh,NN,O
v,NN,O
state,NN,O
crl,NN,O
mc,NN,O
8479,CD,O
2006,CD,O
and,CC,O
crl,VB,O
ma,NN,O
14359,CD,O
2006,CD,O
decided,VBD,O
on,IN,O
20022008,CD,O
delhi,NN,O
hc,NN,O
rama,NN,O
paswan,NN,O
v,NN,O
state,NN,O
of,IN,O
jharkhand,NN,O
manu,NN,O
sc,NN,O
1945,CD,O
2007manu,CD,O
sc,NN,O
1945,CD,O
2007,CD,O
2007,CD,O
11,CD,O
scc,NN,O
191,CD,O
nisar,NN,O
khan,NN,O
v,NN,O
state,NN,O
of,IN,O
uttaranchal,JJ,O
manu,NN,O
sc,NN,O
2296,CD,O
2006manu,CD,O
sc,NN,O
2296,CD,O
2006,CD,O
2006,CD,O
9,CD,O
scc,NN,O
386,CD,O
hussainara,NN,O
khatoon,NN,O
i,NN,O
v,VBP,O
home,NN,O
secy,NN,O
state,NN,O
of,IN,O
bihar,NN,O
manu,NN,O
sc,NN,O
0119,CD,O
1979manu,CD,O
sc,NN,O
0119,CD,O
1979,CD,O
1980,CD,O
1,CD,O
scc,NN,O
81,CD,O
and,CC,O
vijay,JJ,O
kumar,NN,O
v,NN,O
state,NN,O
of,IN,O
up,IN,O
manu,NN,O
sc,NN,O
0891,CD,O
2011manu,CD,O
sc,NN,O
0891,CD,O
2011,CD,O
2011,CD,O
8,CD,O
scc,VBD,O
136,CD,O
8,CD,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
respondent,NN,O
accused,VBD,O
supported,VBD,O
the,DT,O
impugned,JJ,O
order,NN,O
and,CC,O
submitted,VBD,O
that,IN,O
though,IN,O
the,DT,O
previous,JJ,O
counsel,NN,O
had,VBD,O
cross,NN,O
examined,VBN,O
the,DT,O
witnesses,NNS,O
he,PRP,O
had,VBD,O
not,RB,O
asked,VBN,O
relevant,JJ,O
questions,NNS,O
nor,CC,O
given,VBN,O
suggestions,NNS,O
which,WDT,O
were,VBD,O
required,VBN,O
to,TO,O
be,VB,O
given,VBN,O
he,PRP,O
placed,VBD,O
reliance,NN,O
on,IN,O
kishore,NN,O
chand,NN,O
v,NN,O
state,NN,O
of,IN,O
himachal,NN,O
pradesh,NN,O
manu,NN,O
sc,NN,O
0374,CD,O
1990manu,CD,O
sc,NN,O
0374,CD,O
1990,CD,O
1991,CD,O
1,CD,O
scc,NN,O
286,CD,O
hardeep,NN,O
singh,NN,O
v,NN,O
state,NN,O
of,IN,O
punjab,NN,O
manu,NN,O
sc,NN,O
4976,CD,O
2008manu,CD,O
sc,NN,O
4976,CD,O
2008,CD,O
2009,CD,O
16,CD,O
scc,NN,O
785,CD,O
ram,NN,O
chander,NN,O
v,NN,O
state,NN,O
of,IN,O
haryana,NN,O
manu,NN,O
sc,NN,O
0206,CD,O
1981manu,CD,O
sc,NN,O
0206,CD,O
1981,CD,O
1981,CD,O
3,CD,O
scc,NN,O
191,CD,O
state,NN,O
of,IN,O
rajasthan,NN,O
v,NN,O
ani,NN,O
hanif,NN,O
manu,NN,O
sc,NN,O
0233,CD,O
1997manu,CD,O
sc,NN,O
0233,CD,O
1997,CD,O
1997,CD,O
6,CD,O
scc,NN,O
162,CD,O
ritesh,NN,O
tewari,NN,O
v,NN,O
state,NN,O
of,IN,O
up,IN,O
manu,NN,O
sc,NN,O
0742,CD,O
2010manu,CD,O
sc,NN,O
0742,CD,O
2010,CD,O
2010,CD,O
10,CD,O
scc,NN,O
677,CD,O
maria,NN,O
margarida,NN,O
sequeria,NN,O
fernandes,NNS,O
v,VBP,O
erasmo,JJ,O
jack,NN,O
de,IN,O
sequeria,FW,O
dead,JJ,O
through,IN,O
lrs,JJ,O
manu,NN,O
sc,NN,O
0225,CD,O
2012manu,CD,O
sc,NN,O
0225,CD,O
2012,CD,O
2012,CD,O
5,CD,O
scc,NN,O
370,CD,O
rajeshwar,NN,O
prosad,NN,O
misra,NN,O
v,NN,O
state,NN,O
of,IN,O
west,JJ,O
bengal,JJ,O
manu,NNS,O
sc,JJ,O
0080,CD,O
1965manu,CD,O
sc,NN,O
0080,CD,O
1965,CD,O
1966,CD,O
1,CD,O
scr,NN,O
178,CD,O
jamatraj,NN,O
kewalji,NN,O
govani,NN,O
v,VBD,O
the,DT,O
state,NN,O
of,IN,O
maharashtra,JJ,O
manu,NN,O
sc,NN,O
0063,CD,O
1967manu,CD,O
sc,NN,O
0063,CD,O
1967,CD,O
1967,CD,O
3,CD,O
scr,NN,O
415,CD,O
raghunandan,NN,O
v,NN,O
state,NN,O
of,IN,O
up,IN,O
manu,NN,O
sc,NN,O
0187,CD,O
1974manu,CD,O
sc,NN,O
0187,CD,O
1974,CD,O
1974,CD,O
4,CD,O
scc,NN,O
186,CD,O
shailendra,NN,O
kumar,NN,O
v,NN,O
state,NN,O
of,IN,O
bihar,NN,O
manu,NN,O
sc,NN,O
0757,CD,O
2001manu,CD,O
sc,NN,O
0757,CD,O
2001,CD,O
2002,CD,O
1,CD,O
scc,NN,O
655,CD,O
satyajit,NN,O
banerjee,NN,O
v,NN,O
state,NN,O
of,IN,O
west,JJ,O
bengal,JJ,O
manu,NNS,O
sc,JJ,O
0997,CD,O
2004manu,CD,O
sc,NN,O
0997,CD,O
2004,CD,O
2005,CD,O
1,CD,O
scc,NN,O
115,CD,O
ut,NN,O
of,IN,O
dadra,NN,O
and,CC,O
haveli,JJ,O
v,NN,O
fatehsinh,NN,O
mohansinh,NN,O
chauhan,NN,O
manu,NN,O
sc,NN,O
3471,CD,O
2006manu,CD,O
sc,NN,O
3471,CD,O
2006,CD,O
2006,CD,O
7,CD,O
scc,NN,O
529,CD,O
iddar,NN,O
v,NN,O
aabida,NN,O
manu,NN,O
sc,NN,O
7857,CD,O
2007manu,CD,O
sc,NN,O
7857,CD,O
2007,CD,O
2007,CD,O
11,CD,O
scc,NN,O
211,CD,O
himanshu,NN,O
singh,NN,O
sabharwal,NN,O
v,NN,O
state,NN,O
of,IN,O
mp,NN,O
manu,NN,O
sc,NN,O
1193,CD,O
2008manu,CD,O
sc,NN,O
1193,CD,O
2008,CD,O
2008,CD,O
3,CD,O
scc,NN,O
602,CD,O
godrej,NN,O
pacific,NN,O
tech,NN,O
ltd,NN,O
v,VBP,O
computer,NN,O
joint,NN,O
india,NN,O
ltd,NN,O
manu,NN,O
sc,NN,O
7886,CD,O
2008manu,CD,O
sc,NN,O
7886,CD,O
2008,CD,O
2008,CD,O
11,CD,O
scc,NN,O
108,CD,O
hanuman,NN,O
ram,NN,O
v,IN,O
the,DT,O
state,NN,O
of,IN,O
rajasthan,NN,O
manu,NN,O
sc,NN,O
8107,CD,O
2008manu,CD,O
sc,NN,O
8107,CD,O
2008,CD,O
2008,CD,O
15,CD,O
scc,NN,O
652,CD,O
sudevanand,NN,O
v,NN,O
state,NN,O
through,IN,O
cbi,NN,O
manu,NN,O
sc,NN,O
0041,CD,O
2012manu,CD,O
sc,NN,O
0041,CD,O
2012,CD,O
2012,CD,O
3,CD,O
scc,NN,O
387,CD,O
mohd,NN,O
hussain,NN,O
julfikar,NN,O
ali,NN,O
v,VBD,O
the,DT,O
state,NN,O
govt,NN,O
of,IN,O
nct,JJ,O
delhi,NN,O
manu,NN,O
sc,NN,O
0012,CD,O
2012manu,CD,O
sc,NN,O
0012,CD,O
2012,CD,O
air,NN,O
2012,CD,O
sc,NN,O
750,CD,O
j,NN,O
jayalalithaa,NN,O
v,NN,O
state,NN,O
of,IN,O
karnataka,NN,O
manu,NN,O
sc,NN,O
0994,CD,O
2013manu,CD,O
sc,NN,O
0994,CD,O
2013,CD,O
2014,CD,O
2,CD,O
scc,NN,O
401,CD,O
salamat,NN,O
ali,NN,O
v,NN,O
state,NN,O
crl,VBD,O
a,DT,O
no,DT,O
242,JJ,O
2010,CD,O
high,JJ,O
court,NN,O
of,IN,O
delhi,JJ,O
9,CD,O
we,PRP,O
have,VBP,O
considered,VBN,O
the,DT,O
rival,JJ,O
submissions,NNS,O
10,CD,O
it,PRP,O
can,MD,O
hardly,RB,O
be,VB,O
gainsaid,VBN,O
that,IN,O
fair,JJ,O
trial,NN,O
is,VBZ,O
a,DT,O
part,NN,O
of,IN,O
guarantee,NN,O
under,IN,O
article,NN,O
21,CD,O
of,IN,O
the,DT,O
constitution,NN,B-LEGAL
of,IN,I-LEGAL
india,NN,I-LEGAL
its,PRP$,O
content,NN,O
has,VBZ,O
primarily,RB,O
to,TO,O
be,VB,O
determined,VBN,O
from,IN,O
the,DT,O
statutory,JJ,O
provisions,NNS,O
for,IN,O
conduct,NN,O
of,IN,O
trial,NN,O
though,IN,O
in,IN,O
some,DT,O
matters,NNS,O
where,WRB,O
statutory,JJ,O
provisions,NNS,O
may,MD,O
be,VB,O
silent,JJ,O
the,DT,O
court,NN,O
may,MD,O
evolve,VB,O
a,DT,O
principle,NN,O
of,IN,O
law,NN,O
to,TO,O
meet,VB,O
a,DT,O
situation,NN,O
which,WDT,O
has,VBZ,O
not,RB,O
been,VBN,O
