ashok,NN,O
of,IN,O
the,DT,O
petitioner,NN,O
was,VBD,O
rejected,VBN,O
on,IN,O
the,DT,O
ground,NN,O
that,IN,O
the,DT,O
same,JJ,O
was,VBD,O
not,RB,O
accompanied,VBN,O
by,IN,O
a,DT,O
certified,JJ,O
copy,NN,O
of,IN,O
the,DT,O
entry,NN,O
relating,VBG,O
to,TO,O
the,DT,O
candidate,NN,O
in,IN,O
the,DT,O
electoral,JJ,B-LEGAL
roll,NN,I-LEGAL
and,CC,O
that,IN,O
the,DT,O
requirements,NNS,O
of,IN,O
law,NN,O
were,VBD,O
incomplete,JJ,O
for,IN,O
want,NN,O
of,IN,O
proposers,NNS,O
and,CC,O
seconders,NNS,O
petitioner,VBP,O
had,VBD,O
filed,VBN,O
his,PRP$,O
written,VBN,O
objections,NNS,O
to,TO,O
the,DT,O
two,CD,O
sets,NNS,O
of,IN,O
nomination,NN,B-LEGAL
papers,NNS,O
filed,VBN,O
by,IN,O
respondent,NN,O
no,DT,O
1,CD,O
which,WDT,O
were,VBD,O
duly,RB,O
considered,VBN,O
and,CC,O
rejected,VBN,O
being,VBG,O
without,IN,O
any,DT,O
substance,NN,O
the,DT,O
poll,NN,O
for,IN,O
the,DT,O
contest,NN,O
between,IN,O
respondent,NN,O
no,RB,O
1,CD,O
2,CD,O
took,VBD,O
place,NN,O
on,IN,O
15th,CD,O
july,NN,O
2002,CD,O
respondent,NN,O
no,DT,O
1,CD,O
was,VBD,O
declared,VBN,O
elected,VBN,O
as,IN,O
the,DT,O
president,NN,O
of,IN,O
india,NN,O
having,VBG,O
received,VBN,O
majority,NN,O
of,IN,O
votes,NNS,O
the,DT,O
result,NN,O
of,IN,O
the,DT,O
said,VBD,O
election,NN,O
was,VBD,O
declared,VBN,O
in,IN,O
extraordinary,JJ,O
gazette,NN,O
of,IN,O
india,NN,O
of,IN,O
18th,CD,O
july,NN,O
2002,CD,O
declaring,VBG,O
dr,NN,O
apj,NN,O
abdul,NN,O
kalam,FW,O
respondent,NN,O
no,RB,O
1,CD,O
as,RB,O
elected,VBN,O
to,TO,O
the,DT,O
office,NN,O
of,IN,O
the,DT,O
president,NN,O
of,IN,O
india,JJ,O
respondent,NN,O
no,DT,O
1,CD,O
took,VBD,O
oath,NN,O
of,IN,O
the,DT,O
office,NN,O
of,IN,O
the,DT,O
president,NN,O
of,IN,O
india,NN,O
on,IN,O
25th,CD,O
july,NN,O
2002,CD,O
6,CD,O
on,IN,O
10th,CD,O
of,IN,O
july,NN,O
2002,CD,O
petitioner,NN,O
filed,VBD,O
cwp,NN,O
no,DT,O
4119,CD,O
of,IN,O
2002,CD,O
under,IN,O
article,NN,O
226,CD,O
227,CD,O
of,IN,O
the,DT,O
constitution,NN,O
of,IN,O
india,NN,O
in,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
judicature,NN,O
at,IN,O
new,JJ,O
delhi,NN,O
challenging,VBG,O
the,DT,O
rejection,NN,O
of,IN,O
his,PRP$,O
nomination,NN,B-LEGAL
paper,NN,I-LEGAL
and,CC,O
the,DT,O
acceptance,NN,O
of,IN,O
the,DT,O
nomination,NN,B-LEGAL
papers,NNS,O
of,IN,O
respondent,JJ,O
nos,NNS,O
1,CD,O
2,CD,O
herein,NN,O
and,CC,O
the,DT,O
constitutional,JJ,O
validity,NN,O
of,IN,O
various,JJ,O
provisions,NNS,O
of,IN,O
the,DT,O
act,NN,O
and,CC,O
the,DT,O
rules,NNS,O
and,CC,O
section,NN,O
29a,CD,O
of,IN,O
the,DT,O
representation,NN,O
of,IN,O
peoples,NNS,O
act,JJ,O
1951,CD,O
being,VBG,O
violative,JJ,O
of,IN,O
articles,NNS,O
14,CD,O
21,CD,O
38,CD,O
54,CD,O
7113,CD,O
79,CD,O
801,CD,O
and,CC,O
324,CD,O
of,IN,O
the,DT,O
constitution,NN,O
of,IN,O
india,NN,O
the,DT,O
said,VBD,O
writ,JJ,O
petition,NN,O
was,VBD,O
dismissed,VBN,O
by,IN,O
a,DT,O
division,NN,O
bench,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
delhi,NN,O
by,IN,O
a,DT,O
detailed,JJ,O
order,NN,O
on,IN,O
12th,CD,O
july,NN,O
2002,CD,O
special,JJ,O
leave,JJ,O
petition,NN,O
civil,JJ,O
no,DT,O
22385,CD,O
of,IN,O
2002,CD,O
arises,NNS,O
from,IN,O
the,DT,O
said,VBD,O
decision,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
delhi,NN,O
7,CD,O
the,DT,O
election,NN,O
petition,NN,O
no,DT,O
1,CD,O
of,IN,O
2002,CD,O
has,VBZ,O
been,VBN,O
filed,VBN,O
seeking,VBG,O
a,DT,O
declaration,NN,O
that,IN,O
the,DT,O
result,NN,O
of,IN,O
the,DT,O
election,NN,O
declaring,VBG,O
respondent,JJ,O
no,RB,O
1,CD,O
as,IN,O
the,DT,O
duly,NN,O
elected,VBD,O
president,NN,O
of,IN,O
india,NN,O
be,VB,O
declared,VBN,O
void,JJ,O
for,IN,O
illegal,JJ,O
rejection,NN,O
of,IN,O
the,DT,O
nomination,JJ,B-LEGAL
paper,NN,I-LEGAL
of,IN,O
the,DT,O
petitioner,NN,O
and,CC,O
the,DT,O
illegal,JJ,O
acceptance,NN,O
of,IN,O
the,DT,O
nomination,JJ,B-LEGAL
paper,NN,I-LEGAL
of,IN,O
the,DT,O
respondent,NN,O
no,DT,O
1,CD,O
the,DT,O
various,JJ,O
provisions,NNS,O
of,IN,O
the,DT,O
act,NN,O
and,CC,O
the,DT,O
rules,NNS,O
being,VBG,O
ultra,JJ,O
vires,NNS,O
the,DT,O
constitution,NN,O
of,IN,O
india,NN,O
to,TO,O
which,WDT,O
the,DT,O
challenge,NN,O
was,VBD,O
laid,VBN,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
in,IN,O
the,DT,O
writ,NN,O
petition,NN,O
has,VBZ,O
been,VBN,O
laid,VBN,O
in,IN,O
the,DT,O
election,NN,O
petitions,NNS,O
as,IN,O
well,RB,O
8,CD,O
part,NN,O
ii,NN,O
of,IN,O
the,DT,O
act,NN,O
sections,VBZ,O
3,CD,O
to,TO,O
12,CD,O
contains,NNS,O
provisions,NNS,O
relating,VBG,O
to,TO,O
the,DT,O
conduct,NN,O
of,IN,O
president,NN,O
and,CC,O
vice,NN,O
presidential,JJ,O
elections,NNS,O
section,NN,O
3,CD,O
provides,VBZ,O
that,IN,O
the,DT,O
election,NN,O
commission,NN,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
each,DT,O
election,NN,O
of,IN,O
the,DT,O
president,NN,O
and,CC,O
vice,NN,O
president,NN,O
shall,MD,O
in,IN,O
consultation,NN,O
with,IN,O
the,DT,O
central,JJ,O
government,NN,O
appoint,NN,O
a,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
having,VBG,O
his,PRP$,O
office,NN,O
in,IN,O
new,JJ,O
delhi,NNS,O
and,CC,O
may,MD,O
also,RB,O
appoint,VB,O
one,CD,O
or,CC,O
more,JJR,O
assistant,JJ,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
under,IN,O
section,NN,O
41,CD,O
the,DT,O
election,NN,O
commission,NN,O
by,IN,O
notification,NN,O
is,VBZ,O
to,TO,O
issue,VB,O
the,DT,O
election,NN,O
programme,NN,O
prescribing,VBG,O
the,DT,O
last,JJ,O
date,NN,O
for,IN,O
filing,VBG,O
the,DT,O
nominations,NNS,O
the,DT,O
date,NN,O
for,IN,O
scrutiny,NN,O
of,IN,O
nominations,NNS,O
last,JJ,O
date,NN,O
of,IN,O
the,DT,O
withdrawal,NN,O
of,IN,O
candidature,NN,B-LEGAL
and,CC,O
the,DT,O
date,NN,O
on,IN,O
which,WDT,O
a,DT,O
poll,NN,O
shall,MD,O
if,IN,O
necessary,JJ,O
take,VBP,O
place,NN,O
section,NN,O
5,CD,O
provides,VBZ,O
for,IN,O
giving,VBG,O
of,IN,O
a,DT,O
public,JJ,B-LEGAL
notice,NN,I-LEGAL
of,IN,O
election,NN,O
by,IN,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
after,IN,O
the,DT,O
issuance,NN,O
of,IN,O
the,DT,O
notification,NN,O
under,IN,O
sub,JJ,O
section,NN,O
1,CD,O
of,IN,O
section,NN,O
4,CD,O
section,NN,O
5a,CD,O
prescribes,NNS,O
that,IN,O
any,DT,O
person,NN,O
may,MD,O
be,VB,O
nominated,VBN,O
for,IN,O
election,NN,O
to,TO,O
the,DT,O
office,NN,O
of,IN,O
president,NN,O
or,CC,O
vice,NN,O
president,NN,O
if,IN,O
he,PRP,O
is,VBZ,O
qualified,VBN,O
to,TO,O
be,VB,O
elected,VBN,O
to,TO,O
that,DT,O
office,NN,O
under,IN,O
the,DT,O
constitution,NN,O
section,NN,O
5b,CD,O
provides,VBZ,O
for,IN,O
presentation,NN,O
of,IN,O
nomination,NN,B-LEGAL
papers,NNS,O
and,CC,O
lays,VBZ,O
down,RP,O
the,DT,O
requirement,NN,O
for,IN,O
a,DT,O
valid,JJ,O
nomination,NN,B-LEGAL
sub,NN,O
section,NN,O
1,CD,O
of,IN,O
section,NN,O
5,CD,O
requires,VBZ,O
that,IN,O
nomination,NN,B-LEGAL
papers,NNS,O
completed,VBN,O
in,IN,O
the,DT,O
prescribed,JJ,O
form,NN,O
must,MD,O
be,VB,O
subscribed,VBN,O
by,IN,O
candidate,NN,O
as,IN,O
assenting,VBG,O
to,TO,O
the,DT,O
nomination,NN,B-LEGAL
in,IN,O
clause,NN,O
a,DT,O
of,IN,O
section,NN,O
51,CD,O
as,IN,O
it,PRP,O
stood,VBD,O
prior,RB,O
to,TO,O
561997,CD,O
prescribed,NNS,O
that,IN,O
in,IN,O
case,NN,O
of,IN,O
presidential,JJ,O
election,NN,O
the,DT,O
nomination,NN,B-LEGAL
papers,NNS,O
shall,MD,O
also,RB,O
be,VB,O
subscribed,VBN,O
by,IN,O
at,IN,O
least,JJS,O
ten,JJ,O
electors,NNS,O
as,IN,O
proposers,NNS,O
and,CC,O
at,IN,O
least,JJS,O
ten,JJ,O
electors,NNS,O
as,IN,O
seconders,NNS,O
section,VBP,O
5b2,CD,O
lays,NNS,O
down,IN,O
that,DT,O
each,DT,O
nomination,NN,B-LEGAL
paper,NN,I-LEGAL
shall,MD,O
be,VB,O
accompanied,VBN,O
by,IN,O
a,DT,O
certified,JJ,O
copy,NN,O
of,IN,O
the,DT,O
entry,NN,O
relating,VBG,O
to,TO,O
the,DT,O
candidate,NN,O
in,IN,O
the,DT,O
electoral,JJ,B-LEGAL
roll,NN,I-LEGAL
for,IN,O
the,DT,O
parliamentary,JJ,B-LEGAL
constituency,NN,I-LEGAL
in,IN,O
which,WDT,O
the,DT,O
candidate,NN,O
is,VBZ,O
registered,VBN,O
as,IN,O
an,DT,O
elector,NN,O
any,DT,O
nomination,NN,B-LEGAL
paper,NN,I-LEGAL
which,WDT,O
is,VBZ,O
not,RB,O
accompanied,VBN,O
by,IN,O
the,DT,O
certified,JJ,O
copy,NN,O
is,VBZ,O
required,VBN,O
to,TO,O
be,VB,O
rejected,VBN,O
under,IN,O
section,NN,O
5b4,CD,O
section,NN,O
5c,CD,O
prior,RB,O
to,TO,O
561997,CD,O
prescribed,NNS,O
that,IN,O
a,DT,O
candidate,NN,O
shall,MD,O
not,RB,O
be,VB,O
deemed,VBN,O
to,TO,O
be,VB,O
duly,RB,O
nominated,VBN,O
for,IN,O
election,NN,O
unless,IN,O
he,PRP,O
deposits,VBZ,O
or,CC,O
causes,VBZ,O
to,TO,O
be,VB,O
deposited,VBN,O
a,DT,O
sum,NN,O
of,IN,O
two,CD,O
thousand,VBP,O
five,CD,O
hundred,JJ,O
rupees,NNS,O
section,NN,O
5e,CD,O
makes,VBZ,O
provisions,NNS,O
for,IN,O
scrutiny,NN,B-LEGAL
of,IN,I-LEGAL
nomination,NN,I-LEGAL
papers,NNS,O
by,IN,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
ground,NN,O
c,NN,O
of,IN,O
section,NN,O
5e3,CD,O
provides,VBZ,O
for,IN,O
rejection,NN,O
of,IN,O
a,DT,O
nomination,JJ,B-LEGAL
paper,NN,I-LEGAL
if,IN,O
it,PRP,O
is,VBZ,O
not,RB,O
subscribed,VBN,O
by,IN,O
the,DT,O
required,JJ,O
number,NN,O
of,IN,O
proposers,NNS,O
or,CC,O
seconders,NNS,O
and,CC,O
ground,NN,O
e,NN,O
provides,VBZ,O
for,IN,O
rejection,NN,O
of,IN,O
the,DT,O
nomination,NN,B-LEGAL
papers,NNS,O
on,IN,O
the,DT,O
ground,NN,O
of,IN,O
failure,NN,O
to,TO,O
comply,VB,O
with,IN,O
any,DT,O
of,IN,O
the,DT,O
provisions,NNS,O
of,IN,O
section,NN,O
5b,CD,O
or,CC,O
section,NN,O
5c,CD,O
section,NN,O
8,CD,O
lays,VBZ,O
down,IN,O
the,DT,O
procedure,NN,O
in,IN,O
contested,JJ,O
and,CC,O
uncontested,JJ,O
elections,NNS,O
section,NN,O
9,CD,O
provides,VBZ,O
for,IN,O
manner,NN,O
of,IN,O
voting,NN,O
at,IN,O
the,DT,O
elections,NNS,O
and,CC,O
section,NN,O
10,CD,O
deals,NNS,O
with,IN,O
counting,NN,B-LEGAL
of,IN,O
votes,NNS,O
section,VBP,O
11,CD,O
provides,VBZ,O
for,IN,O
declaration,NN,O
of,IN,O
results,NNS,O
on,IN,O
the,DT,O
completion,NN,O
of,IN,O
counting,NN,B-LEGAL
of,IN,O
votes,NNS,O
9,CD,O
by,IN,O
act,NN,O
35,CD,O
97,CD,O
in,IN,O
clause,NN,O
a,DT,O
of,IN,O
section,NN,O
5b,CD,O
instead,RB,O
of,IN,O
10,CD,O
proposers,NNS,O
and,CC,O
10,CD,O
seconders,NNS,O
provisions,NNS,O
have,VBP,O
been,VBN,O
made,VBN,O
that,IN,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
election,NN,O
of,IN,O
the,DT,O
office,NN,O
of,IN,O
president,NN,O
there,EX,O
should,MD,O
be,VB,O
at,IN,O
least,JJS,O
50,CD,O
electors,NNS,O
as,IN,O
proposers,NNS,O
and,CC,O
at,IN,O
least,JJS,O
50,CD,O
electors,NNS,O
as,IN,O
seconders,NNS,O
in,IN,O
section,NN,O
5c,CD,O
the,DT,O
deposit,NN,O
amount,NN,O
was,VBD,O
increased,VBN,O
from,IN,O
rs,NN,O
2,CD,O
500,CD,O
to,TO,O
rs,VB,O
15,CD,O
000,CD,O
10,CD,O
part,NN,O
iii,NN,O
of,IN,O
the,DT,O
act,NN,O
section,NN,O
13,CD,O
to,TO,O
20,CD,O
contains,NNS,O
provisions,NNS,O
relating,VBG,O
to,TO,O
disputes,NNS,O
regarding,VBG,O
elections,NNS,O
section,NN,O
13a,CD,O
defines,NNS,O
candidate,NN,O
to,TO,O
mean,VB,O
a,DT,O
person,NN,O
who,WP,O
has,VBZ,O
been,VBN,O
or,CC,O
claims,NNS,O
to,TO,O
have,VB,O
been,VBN,O
duly,RB,O
nominated,VBN,O
as,IN,O
a,DT,O
candidate,NN,O
at,IN,O
an,DT,O
election,NN,O
section,NN,O
141,CD,O
provides,VBZ,O
that,IN,O
no,DT,O
election,NN,O
shall,MD,O
be,VB,O
called,VBN,O
in,IN,O
question,NN,O
except,IN,O
by,IN,O
presenting,VBG,O
an,DT,O
election,NN,O
petition,NN,O
to,TO,O
the,DT,O
authority,NN,O
specified,VBN,O
in,IN,O
sub,JJ,O
section,NN,O
2,CD,O
this,DT,O
court,NN,O
has,VBZ,O
been,VBN,O
specified,VBN,O
as,IN,O
the,DT,O
authority,NN,O
to,TO,O
try,VB,O
the,DT,O
election,NN,O
petition,NN,O
sub,NN,O
section,NN,O
1,CD,O
of,IN,O
section,NN,O
14a,CD,O
lays,VBZ,O
down,RP,O
that,DT,O
an,DT,O
election,NN,O
petition,NN,O
can,MD,O
either,RB,O
be,VB,O
presented,VBN,O
by,IN,O
any,DT,O
candidate,NN,O
at,IN,O
such,JJ,O
election,NN,O
or,CC,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
presidential,JJ,O
election,NN,O
by,IN,O
twenty,NN,O
or,CC,O
more,JJR,O
electors,NNS,O
joined,VBD,O
together,RB,O
as,IN,O
petitioners,NNS,O
section,VBP,O
18,CD,O
prescribes,IN,O
the,DT,O
grounds,NNS,O
on,IN,O
which,WDT,O
the,DT,O
election,NN,O
of,IN,O
a,DT,O
returned,JJ,B-LEGAL
candidate,NN,I-LEGAL
can,MD,O
be,VB,O
declared,VBN,O
to,TO,O
be,VB,O
void,JJ,O
clause,NN,O
c,NN,O
of,IN,O
section,NN,O
18,CD,O
with,IN,O
which,WDT,O
we,PRP,O
are,VBP,O
concerned,JJ,O
provides,VBZ,O
that,IN,O
the,DT,O
election,NN,O
can,MD,O
be,VB,O
declared,VBN,O
to,TO,O
be,VB,O
void,JJ,O
if,IN,O
the,DT,O
nomination,NN,B-LEGAL
of,IN,O
a,DT,O
candidate,NN,O
has,VBZ,O
been,VBN,O
wrongly,RB,O
rejected,VBN,O
or,CC,O
the,DT,O
nomination,NN,B-LEGAL
of,IN,O
the,DT,O
successful,JJ,O
candidate,NN,O
has,VBZ,O
been,VBN,O
wrongly,RB,O
accepted,JJ,O
11,CD,O
we,PRP,O
did,VBD,O
not,RB,O
deem,VB,O
it,PRP,O
necessary,JJ,O
to,TO,O
issue,VB,O
notice,RB,O
in,IN,O
these,DT,O
petitions,NNS,O
as,IN,O
the,DT,O
points,NNS,O
raised,VBN,O
in,IN,O
the,DT,O
election,NN,O
petition,NN,O
as,RB,O
well,RB,O
as,IN,O
in,IN,O
the,DT,O
special,JJ,O
leave,JJ,O
petition,NN,O
already,RB,O
stand,VB,O
concluded,VBN,O
by,IN,O
the,DT,O
previous,JJ,O
judgment,NN,O
of,IN,O
this,DT,O
court,NN,O
12,CD,O
section,NN,O
14,CD,O
of,IN,O
the,DT,O
act,NN,O
provides,VBZ,O
that,IN,O
no,DT,O
election,NN,O
shall,MD,O
be,VB,O
called,VBN,O
in,IN,O
question,NN,O
except,IN,O
by,IN,O
presenting,VBG,O
an,DT,O
election,NN,O
petition,NN,O
to,TO,O
the,DT,O
authority,NN,O
specified,VBN,O
in,IN,O
sub,JJ,O
section,NN,O
2,CD,O
sub,NN,O
section,NN,O
2,CD,O
specifies,NNS,O
that,IN,O
the,DT,O
supreme,JJ,O
court,NN,O
of,IN,O
india,NN,O
shall,MD,O
have,VB,O
the,DT,O
jurisdiction,NN,O
to,TO,O
try,VB,O
an,DT,O
election,NN,O
petition,NN,O
sub,NN,O
section,NN,O
3,CD,O
provides,VBZ,O
that,IN,O
every,DT,O
election,NN,O
petition,NN,O
shall,MD,O
be,VB,O
presented,VBN,O
to,TO,O
such,JJ,O
authority,NN,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
provisions,NNS,O
of,IN,O
this,DT,O
part,NN,O
and,CC,O
of,IN,O
the,DT,O
rules,NNS,O
made,VBN,O
by,IN,O
the,DT,O
supreme,JJ,O
court,NN,O
under,IN,O
article,NN,O
145,CD,O
part,NN,O
vii,NN,O
order,NN,O
xxxix,NN,O
of,IN,O
the,DT,O
rules,NNS,O
made,VBN,O
by,IN,O
this,DT,O
court,NN,O
known,VBN,O
as,IN,O
supreme,JJ,O
court,NN,O
rules,NNS,O
1966,CD,O
contains,NNS,O
rules,NNS,O
relating,VBG,O
to,TO,O
election,NN,O
petition,NN,O
filed,VBN,O
under,IN,O
part,NN,O
iii,NN,O
of,IN,O
section,NN,O
143,CD,O
of,IN,O
the,DT,O
act,NN,O
rules,NNS,O
2,CD,O
of,IN,O
the,DT,O
order,NN,O
xxxix,NNP,O
lays,VBZ,O
down,RP,O
that,DT,O
an,DT,O
application,NN,O
calling,VBG,O
in,IN,O
question,NN,O
an,DT,O
election,NN,O
shall,MD,O
only,RB,O
be,VB,O
by,IN,O
a,DT,O
petition,NN,O
made,VBN,O
and,CC,O
presented,VBN,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
provisions,NNS,O
of,IN,O
this,DT,O
order,NN,O
rules,NNS,O
34,CD,O
provides,VBZ,O
that,IN,O
subject,NN,O
to,TO,O
the,DT,O
provisions,NNS,O
of,IN,O
this,DT,O
order,NN,O
or,CC,O
any,DT,O
special,JJ,O
order,NN,O
or,CC,O
directions,NNS,O
of,IN,O
the,DT,O
court,NN,O
the,DT,O
procedure,NN,O
in,IN,O
an,DT,O
election,NN,O
petition,NN,O
shall,MD,O
follow,VB,O
as,RB,O
nearly,RB,O
as,IN,O
may,MD,O
be,VB,O
the,DT,O
procedure,NN,O
in,IN,O
proceedings,NNS,O
before,IN,O
the,DT,O
court,NN,O
in,IN,O
the,DT,O
exercise,NN,O
of,IN,O
this,DT,O
original,JJ,O
jurisdiction,NN,O
thus,RB,O
the,DT,O
procedure,NN,O
contained,VBN,O
in,IN,O
part,NN,O
iii,NN,O
of,IN,O
the,DT,O
rules,NNS,O
of,IN,O
this,DT,O
court,NN,O
including,VBG,O
order,NN,O
xxiii,NN,O
relating,VBG,O
to,TO,O
the,DT,O
institution,NN,O
of,IN,O
suits,NNS,O
by,IN,O
plaints,NNS,O
applies,NNS,O
to,TO,O
the,DT,O
proceedings,NNS,O
commenced,VBN,O
by,IN,O
election,NN,O
petitions,NNS,O
after,IN,O
reading,VBG,O
the,DT,O
word,NN,O
petition,NN,O
for,IN,O
plaint,NN,O
rule,NN,O
6,CD,O
of,IN,O
these,DT,O
rules,NNS,O
provides,VBZ,O
that,IN,O
this,DT,O
court,NN,O
after,IN,O
the,DT,O
plaint,NN,O
has,VBZ,O
been,VBN,O
presented,VBN,O
to,TO,O
the,DT,O
registrar,NN,O
and,CC,O
numbered,JJ,O
shall,MD,O
rejected,VBD,O
the,DT,O
plaint,NN,O
where,WRB,O
it,PRP,O
does,VBZ,O
not,RB,O
disclose,VB,O
a,DT,O
cause,NN,O
of,IN,O
action,NN,O
or,CC,O
where,WRB,O
the,DT,O
suit,NN,O
appears,VBZ,O
from,IN,O
the,DT,O
statement,NN,O
in,IN,O
the,DT,O
plaint,NN,O
to,TO,O
be,VB,O
barred,VBN,O
