jasti,NN,O
conducting,VBG,O
umrah,JJ,O
operations,NNS,O
however,RB,O
we,PRP,O
are,VBP,O
informed,VBN,O
by,IN,O
the,DT,O
learned,JJ,O
additional,JJ,O
solicitor,NN,O
general,NN,O
that,IN,O
the,DT,O
government,NN,O
of,IN,O
saudi,NN,O
arabia,NNS,O
would,MD,O
not,RB,O
permit,VB,O
any,DT,O
pilgrim,NN,O
for,IN,O
umrah,JJ,O
through,IN,O
a,DT,O
pto,NN,O
unless,IN,O
such,JJ,O
pto,NN,O
has,VBZ,O
a,DT,O
contract,NN,O
with,IN,O
one,CD,O
of,IN,O
the,DT,O
agencies,NNS,O
authorized,VBN,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
saudi,NN,O
arabia,NN,O
for,IN,O
the,DT,O
purpose,NN,O
we,PRP,O
are,VBP,O
informed,VBN,O
that,IN,O
as,IN,O
of,IN,O
today,NN,O
there,EX,O
are,VBP,O
some,DT,O
48,CD,O
such,JJ,O
agencies,NNS,O
in,IN,O
saudi,JJ,O
arabia,IN,O
we,PRP,O
are,VBP,O
informed,VBN,O
at,IN,O
the,DT,O
bar,NN,O
by,IN,O
the,DT,O
learned,JJ,O
additional,JJ,O
solicitor,NN,O
general,NN,O
that,IN,O
existence,NN,O
of,IN,O
such,JJ,O
a,DT,O
restriction,NN,O
emanates,VBZ,O
from,IN,O
the,DT,O
law,NN,O
of,IN,O
saudi,JJ,O
arabia,NN,O
and,CC,O
the,DT,O
government,NN,O
of,IN,O
india,JJ,O
s,NN,O
knowledge,NN,O
of,IN,O
such,JJ,O
restriction,NN,O
is,VBZ,O
based,VBN,O
on,IN,O
the,DT,O
information,NN,O
provided,VBN,O
by,IN,O
the,DT,O
diplomatic,JJ,O
mission,NN,O
of,IN,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
at,IN,O
saudi,JJ,O
arabia,NN,O
6,CD,O
there,EX,O
are,VBP,O
three,CD,O
annexures,NNS,O
to,TO,O
the,DT,O
above,JJ,O
scheme,NN,O
annexure,NN,O
a,DT,O
specifies,VBZ,O
the,DT,O
conditions,NNS,O
required,VBN,O
to,TO,O
be,VB,O
satisfied,VBN,O
by,IN,O
a,DT,O
pto,NN,O
and,CC,O
prescribes,VB,O
the,DT,O
documents,NNS,O
which,WDT,O
are,VBP,O
required,VBN,O
to,TO,O
be,VB,O
produced,VBN,O
to,TO,O
establish,VB,O
the,DT,O
facts,NNS,O
necessary,JJ,O
to,TO,O
prove,VB,O
that,IN,O
the,DT,O
pto,NN,O
satisfies,VBZ,O
the,DT,O
conditions,NNS,O
for,IN,O
registration,NN,O
of,IN,O
private,JJ,O
tour,NN,O
operators,NNS,O
pto,VBP,O
for,IN,O
haj,NN,O
20132,CD,O
7,CD,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
the,DT,O
present,JJ,O
controversy,NN,O
we,PRP,O
are,VBP,O
concerned,VBN,O
with,IN,O
only,JJ,O
stipulations,NNS,O
iv,NN,O
and,CC,O
vii,NN,O
which,WDT,O
read,VBD,O
as,IN,O
follows,VBZ,O
iv,JJ,O
minimum,JJ,O
annual,JJ,O
turnover,NN,O
of,IN,O
inr,JJ,O
one,CD,O
crore,NN,O
during,IN,O
the,DT,O
financial,JJ,O
year,NN,O
2010,CD,O
2011,CD,O
or,CC,O
2011,CD,O
2012,CD,O
along,IN,O
with,IN,O
balance,NN,O
sheet,NN,O
and,CC,O
profit,NN,O
and,CC,O
loss,NN,O
account,NN,O
duly,RB,O
audited,VBN,O
by,IN,O
the,DT,O
statutory,JJ,O
auditors,NNS,O
tax,NN,O
audit,NN,O
report,NN,O
and,CC,O
income,NN,O
tax,NN,O
return,NN,O
itr,NN,O
for,IN,O
financial,JJ,O
years,NNS,O
2010,CD,O
2011,CD,O
and,CC,O
2011,CD,O
2012,CD,O
vii,NN,O
proof,NN,O
of,IN,O
payment,NN,O
made,VBN,O
through,IN,O
banking,NN,O
or,CC,O
other,JJ,O
authorised,JJ,O
channels,NNS,O
towards,IN,O
purchase,NN,O
of,IN,O
tickets,NNS,O
and,CC,O
hiring,NN,O
of,IN,O
accommodation,NN,O
in,IN,O
makkah,NN,O
madinah,NN,O
payments,NNS,O
towards,IN,O
purchase,NN,O
of,IN,O
tickets,NNS,O
hiring,VBG,O
of,IN,O
accommodation,NN,O
for,IN,O
pilgrims,NNS,O
in,IN,O
makkah,NN,O
madinah,NN,O
by,IN,O
any,DT,O
other,JJ,O
means,NNS,O
would,MD,O
not,RB,O
be,VB,O
accepted,VBN,O
8,CD,O
this,DT,O
batch,NN,O
of,IN,O
writ,JJ,O
petitions,NNS,O
are,VBP,O
filed,VBN,O
by,IN,O
the,DT,O
ptos,NN,O
falling,VBG,O
either,CC,O
under,IN,O
category,NN,O
i,NN,O
or,CC,O
one,CD,O
of,IN,O
the,DT,O
two,CD,O
classes,NNS,O
of,IN,O
category,NN,O
ii,NN,O
we,PRP,O
take,VBP,O
three,CD,O
writ,JJ,O
petitions,NNS,O
as,IN,O
representative,JJ,O
cases,NNS,O
of,IN,O
the,DT,O
entire,JJ,O
batch,NN,O
ie,NN,O
writ,NN,O
petition,NN,O
c,VBZ,O
no,DT,O
425,CD,O
of,IN,O
2016,CD,O
writ,NN,O
petition,NN,O
c,VBZ,O
no,DT,O
441,CD,O
of,IN,O
2016,CD,O
and,CC,O
writ,JJ,O
petition,NN,O
c,VBZ,O
no,DT,O
501,CD,O
of,IN,O
2016,CD,O
9,CD,O
the,DT,O
petitioner,NN,O
in,IN,O
writ,JJ,O
petition,NN,O
c,VBZ,O
no,DT,O
425,CD,O
of,IN,O
2016,CD,O
claims,NNS,O
to,TO,O
be,VB,O
a,DT,O
pto,NN,O
who,WP,O
is,VBZ,O
duly,RB,O
registered,VBN,O
with,IN,O
the,DT,O
ministry,NN,O
of,IN,O
external,JJ,O
affairs,NNS,O
and,CC,O
was,VBD,O
allotted,VBN,O
a,DT,O
quota,NN,O
of,IN,O
hajis,NN,O
for,IN,O
the,DT,O
years,NNS,O
2009,CD,O
to,TO,O
2011,CD,O
and,CC,O
also,RB,O
in,IN,O
the,DT,O
year,NN,O
2015,CD,O
in,IN,O
all,DT,O
four,CD,O
years,NNS,O
10,CD,O
the,DT,O
petitioner,NN,O
in,IN,O
writ,NN,O
petitionc,NN,O
no,DT,O
441,CD,O
of,IN,O
2016,CD,O
claims,NNS,O
to,TO,O
be,VB,O
a,DT,O
registered,JJ,O
pto,NN,O
since,IN,O
2003,CD,O
to,TO,O
2012,CD,O
and,CC,O
also,RB,O
for,IN,O
the,DT,O
year,NN,O
2015,CD,O
but,CC,O
it,PRP,O
is,VBZ,O
not,RB,O
very,RB,O
clear,JJ,O
from,IN,O
the,DT,O
writ,NN,O
petition,NN,O
whether,IN,O
petitioner,NN,O
was,VBD,O
allotted,VBN,O
any,DT,O
quota,NN,O
in,IN,O
any,DT,O
one,CD,O
of,IN,O
those,DT,O
years,NNS,O
except,IN,O
a,DT,O
vague,JJ,O
statement,NN,O
at,IN,O
para,JJ,O
4243,CD,O
of,IN,O
the,DT,O
writ,NN,O
petition,NN,O
11,CD,O
coming,VBG,O
to,TO,O
writ,VB,O
petition,NN,O
c,VBZ,O
no,DT,O
501,CD,O
of,IN,O
2016,CD,O
the,DT,O
petitioner,NN,O
apparently,RB,O
belongs,VBZ,O
to,TO,O
the,DT,O
class,NN,O
ii,NN,O
of,IN,O
the,DT,O
category,NN,O
ii,NN,O
ie,NN,O
somebody,NN,O
who,WP,O
claims,VBZ,O
experience,NN,O
of,IN,O
having,VBG,O
conducted,VBN,O
umrah,JJ,O
programme,NN,O
for,IN,O
five,CD,O
years,NNS,O
and,CC,O
seeks,VBZ,O
registration,NN,O
for,IN,O
conducting,VBG,O
haj,JJ,O
programme,NN,O
for,IN,O
the,DT,O
year,NN,O
2016,CD,O
12,CD,O
the,DT,O
prayers,NNS,O
in,IN,O
these,DT,O
three,CD,O
writ,NN,O
petitions,NNS,O
insofar,VBP,O
as,IN,O
they,PRP,O
are,VBP,O
relevant,JJ,O
read,NN,O
as,IN,O
follows,VBZ,O
prayer,NN,O
in,IN,O
writ,JJ,O
petition,NN,O
c,VBZ,O
no,DT,O
425,CD,O
of,IN,O
2016,CD,O
a,DT,O
issue,NN,O
a,DT,O
writ,JJ,O
order,NN,O
or,CC,O
direction,NN,O
in,IN,O
the,DT,O
nature,NN,O
of,IN,O
mandamus,NN,O
commanding,NN,O
and,CC,O
directing,VBG,O
the,DT,O
respondents,NNS,O
restore,VBP,O
paragraph,JJ,O
1,CD,O
of,IN,O
press,NN,O
release,NN,O
dated,VBD,O
06052016,CD,O
by,IN,O
withdrawing,VBG,O
second,JJ,O
para,NN,O
of,IN,O
para,JJ,O
2,CD,O
of,IN,O
press,NN,O
release,NN,O
dated,VBD,O
21052016,CD,O
b,NNS,O
issue,NN,O
a,DT,O
writ,JJ,O
order,NN,O
or,CC,O
direction,NN,O
in,IN,O
the,DT,O
nature,NN,O
of,IN,O
mandamus,NN,O
commanding,NN,O
and,CC,O
directing,VBG,O
the,DT,O
respondents,NNS,O
to,TO,O
exempt,VB,O
the,DT,O
petitioner,NN,O
to,TO,O
furnish,VB,O
documents,NNS,O
required,VBN,O
under,IN,O
clause,NN,O
vii,NN,O
x,NNP,O
xi,NNP,O
xii,NNP,O
of,IN,O
annexure,NN,O
a,DT,O
of,IN,O
the,DT,O
pto,NN,O
policy,NN,O
for,IN,O
haj,NN,O
2013,CD,O
and,CC,O
haj,VB,O
2014,CD,O
prayer,NN,O
in,IN,O
writ,JJ,O
petition,NN,O
civil,JJ,O
no,DT,O
441,CD,O
of,IN,O
2016,CD,O
a,DT,O
issue,NN,O
a,DT,O
writ,JJ,O
order,NN,O
or,CC,O
direction,NN,O
in,IN,O
the,DT,O
nature,NN,O
of,IN,O
mandamus,NN,O
commanding,NN,O
and,CC,O
directing,VBG,O
the,DT,O
respondent,NN,O
to,TO,O
grant,VB,O
registration,NN,O
to,TO,O
the,DT,O
petitioner,NN,O
as,IN,O
pto,NN,O
for,IN,O
conducting,VBG,O
haj,CD,O
tour,JJ,O
2016,CD,O
and,CC,O
insofar,RB,O
as,IN,O
the,DT,O
third,JJ,O
writ,NN,O
petition,NN,O
ie,NN,O
writ,NN,O
petition,NN,O
c,VBZ,O
no,DT,O
501,CD,O
of,IN,O
2016,CD,O
is,VBZ,O
concerned,VBN,O
the,DT,O
relevant,JJ,O
prayers,NNS,O
are,VBP,O
prayers,VBZ,O
a,DT,O
b,NN,O
and,CC,O
c,NN,O
prayers,NNS,O
a,DT,O
and,CC,O
b,NN,O
are,VBP,O
similar,JJ,O
prayers,NNS,O
to,TO,O
the,DT,O
prayer,NN,O
in,IN,O
the,DT,O
writ,NN,O
petition,NN,O
c,VBZ,O
no,DT,O
425,CD,O
of,IN,O
2016,CD,O
and,CC,O
prayer,VB,O
c,NN,O
is,VBZ,O
as,IN,O
follows,VBZ,O
c,JJ,O
issue,NN,O
a,DT,O
writ,JJ,O
direction,NN,O
or,CC,O
order,NN,O
in,IN,O
the,DT,O
nature,NN,O
of,IN,O
mandamus,NN,O
commanding,NN,O
and,CC,O
directing,VBG,O
the,DT,O
respondent,NN,O
not,RB,O
to,TO,O
seek,VB,O
copy,NN,O
of,IN,O
contract,NN,O
which,WDT,O
the,DT,O
respondent,NN,O
has,VBZ,O
sought,VBN,O
vide,RB,O
paragraph,JJ,O
4,CD,O
of,IN,O
press,NN,O
release,NN,O
dated,VBD,O
06052016,CD,O
as,IN,O
per,IN,O
annexure,NN,O
p,NN,O
2,CD,O
13,CD,O
the,DT,O
background,NN,O
in,IN,O
which,WDT,O
the,DT,O
present,JJ,O
litigation,NN,O
arises,NNS,O
is,VBZ,O
as,IN,O
follows,VBZ,O
the,DT,O
ministry,NN,O
of,IN,O
external,JJ,O
affairs,NNS,O
mea,VBP,O
issued,VBN,O
a,DT,O
clarification,NN,O
dated,VBD,O
8th,CD,O
may,MD,O
2013,CD,O
by,IN,O
which,WDT,O
a,DT,O
pto,NN,O
seeking,VBG,O
registration,NN,O
for,IN,O
consideration,NN,O
of,IN,O
allotment,NN,O
of,IN,O
quota,NN,O
for,IN,O
haj,NN,O
programme,NN,O
is,VBZ,O
required,VBN,O
to,TO,O
furnish,VB,O
documents,NNS,O
as,IN,O
regards,NNS,O
clause,VBP,O
vii,NN,O
of,IN,O
annexure,NN,O
a,DT,O
to,TO,O
pto,VB,O
haj,NN,O
policy,NN,O
2013,CD,O
it,PRP,O
is,VBZ,O
clarified,VBN,O
that,IN,O
the,DT,O
ptos,NN,O
will,MD,O
have,VB,O
to,TO,O
submit,VB,O
the,DT,O
documents,NNS,O
required,VBN,O
under,IN,O
clause,NN,O
vii,NN,O
of,IN,O
annexure,NN,O
a,DT,O
to,TO,O
pto,VB,O
haj,NN,O
policy,NN,O
2013,CD,O
for,IN,O
a,DT,O
period,NN,O
of,IN,O
at,IN,O
least,JJS,O
three,CD,O
years,NNS,O
14,CD,O
some,DT,O
of,IN,O
the,DT,O
ptos,NNS,O
challenged,VBD,O
the,DT,O
said,VBD,O
document,NN,O
on,IN,O
the,DT,O
ground,NN,O
that,IN,O
such,PDT,O
a,DT,O
clarification,NN,O
was,VBD,O
unwarranted,JJ,O
and,CC,O
does,VBZ,O
not,RB,O
find,VB,O
any,DT,O
support,NN,O
from,IN,O
the,DT,O
text,NN,O
of,IN,O
stipulation,NN,O
no,DT,O
vii,FW,O
their,PRP$,O
case,NN,O
is,VBZ,O
that,IN,O
in,IN,O
view,NN,O
of,IN,O
the,DT,O
fact,NN,O
that,IN,O
stipulation,NN,O
no,DT,O
iv,NN,O
of,IN,O
annexure,NN,O
a,DT,O
prescribes,NN,O
a,DT,O
condition,NN,O
that,IN,O
a,DT,O
pto,NN,O
seeking,VBG,O
registration,NN,O
should,MD,O
have,VB,O
a,DT,O
minimum,JJ,O
annual,JJ,O
turnover,NN,O
of,IN,O
rs,JJ,O
1,CD,O
crore,NN,O
during,IN,O
the,DT,O
financial,JJ,O
year,NN,O
2010,CD,O
2011,CD,O
or,CC,O
2011,CD,O
12,CD,O
and,CC,O
calls,VBZ,O
upon,IN,O
the,DT,O
ptos,NN,O
to,TO,O
submit,VB,O
balance,NN,O
sheet,NN,O
and,CC,O
profit,NN,O
and,CC,O
loss,NN,O
account,NN,O
duly,RB,O
audited,VBN,O
and,CC,O
other,JJ,O
documents,NNS,O
specified,VBN,O
therein,NN,O
for,IN,O
the,DT,O
abovementioned,JJ,O
two,CD,O
financial,JJ,O
years,NNS,O
stipulation,NN,O
no,DT,O
vii,NN,O
also,RB,O
must,MD,O
be,VB,O
understood,VBN,O
in,IN,O
the,DT,O
light,NN,O
of,IN,O
stipulation,NN,O
no,DT,O
iv,NN,O
and,CC,O
resultantly,RB,O
the,DT,O
pto,NN,O
is,VBZ,O
obligated,VBN,O
to,TO,O
furnish,VB,O
the,DT,O
documents,NNS,O
referred,VBD,O
to,TO,O
therein,VB,O
only,RB,O
for,IN,O
2,CD,O
years,NNS,O
this,DT,O
court,NN,O
accepted,VBD,O
the,DT,O
submission,NN,O
of,IN,O
the,DT,O
petitioner,NN,O
in,IN,O
jeddah,NN,O
travels,NNS,O
jeddah,VBP,O
hajj,JJ,O
group,NN,O
v,NNP,O
union,NN,O
of,IN,O
india4,NN,O
and,CC,O
directed,VBD,O
that,IN,O
the,DT,O
case,NN,O
of,IN,O
the,DT,O
petitioner,NN,O
be,VB,O
considered,VBN,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
decision,NN,O
of,IN,O
this,DT,O
court,NN,O
15,CD,O
thereafter,RB,O
a,DT,O
number,NN,O
of,IN,O
press,NN,O
releases,NNS,O
came,VBD,O
to,TO,O
be,VB,O
issued,VBN,O
significant,JJ,O
of,IN,O
them,PRP,O
are,VBP,O
on,IN,O
290420165,CD,O
210520156,CD,O
06052016,CD,O
and,CC,O
21052016,CD,O
16,CD,O
mea,NN,O
issued,VBD,O
another,DT,O
press,NN,O
release,NN,O
dated,VBD,O
21052015,CD,O
from,IN,O
the,DT,O
said,VBD,O
press,NN,O
note,NN,O
it,PRP,O
appears,VBZ,O
that,IN,O
number,NN,O
of,IN,O
ptos,NNS,O
who,WP,O
approached,VBD,O
this,DT,O
court,NN,O
challenging,VBG,O
the,DT,O
mea,NN,O
s,JJ,O
clarification,NN,O
dated,VBD,O
08032013,CD,O
was,VBD,O
22,CD,O
further,RB,O
in,IN,O
purported,VBN,O
compliance,NN,O
with,IN,O
the,DT,O
direction,NN,O
of,IN,O
this,DT,O
court,NN,O
given,VBN,O
in,IN,O
jeddah,NN,O
travels,NNS,O
supra,JJ,O
government,NN,O
examined,VBD,O
and,CC,O
found,VBD,O
73,CD,O
more,JJR,O
ptos,NNS,O
20,CD,O
under,IN,O
category,NN,O
i,NN,O
and,CC,O
53,CD,O
under,IN,O
category,NN,O
ii,NN,O
to,TO,O
have,VB,O
been,VBN,O
qualified,VBN,O
for,IN,O
registration,NN,O
for,IN,O
haj,NN,O
2015,CD,O
apart,NN,O
from,IN,O
various,JJ,O
other,JJ,O
ptos,NN,O
who,WP,O
had,VBD,O
otherwise,RB,O
been,VBN,O
found,VBN,O
qualified,VBD,O
it,PRP,O
appears,VBZ,O
from,IN,O
the,DT,O
said,VBD,O
press,NN,O
note,NN,O
that,IN,O
a,DT,O
total,JJ,O
number,NN,O
of,IN,O
615,CD,O
ptos,NNS,O
253,CD,O
under,IN,O
category,NN,O
i,NN,O
and,CC,O
362,CD,O
under,IN,O
category,NN,O
ii,NN,O
were,VBD,O
found,VBN,O
to,TO,O
have,VB,O
been,VBN,O
qualified,VBN,O
for,IN,O
registration,NN,O
for,IN,O
haj,NN,O
2015,CD,O
it,PRP,O
is,VBZ,O
stated,VBN,O
in,IN,O
the,DT,O
said,VBD,O
press,NN,O
note,NN,O
as,IN,O
follows,VBZ,O
9,CD,O
this,DT,O
policy,NN,O
will,MD,O
remain,VB,O
valid,JJ,O
from,IN,O
2015,CD,O
to,TO,O
2017,CD,O
for,IN,O
registration,NN,O
purpose,NN,O
for,IN,O
the,DT,O
new,JJ,O
private,JJ,O
tour,NN,O
operators,NNS,O
who,WP,O
wish,VBP,O
to,TO,O
be,VB,O
registered,VBN,O
with,IN,O
the,DT,O
ministry,NN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
umrah,JJ,O
pilgrims,NNS,O
taken,VBN,O
by,IN,O
them,PRP,O
as,IN,O
per,IN,O
details,NNS,O
mentioned,VBN,O
in,IN,O
para,NN,O
6,CD,O
above,IN,O
the,DT,O
policy,NN,O
will,MD,O
not,RB,O
be,VB,O
changed,VBN,O
unless,IN,O
there,EX,O
are,VBP,O
substantive,JJ,O
developments,NNS,O
which,WDT,O
affect,VBP,O
it,PRP,O
the,DT,O
policy,NN,O
