rc,NN,O
definition,NN,B-LEGAL
of,IN,O
the,DT,O
term,NN,O
licensee,NN,O
specifically,RB,O
includes,VBZ,O
the,DT,O
national,JJ,O
thermal,JJ,O
power,NN,O
corporation,NN,O
respondent,NN,O
no,DT,O
1,CD,O
or,CC,O
any,DT,O
other,JJ,O
corporation,NN,O
engaged,VBN,O
in,IN,O
the,DT,O
business,NN,O
of,IN,O
supplying,VBG,O
energy,NN,O
section,NN,O
3,CD,O
of,IN,O
the,DT,O
act,NN,O
is,VBZ,O
the,DT,O
charging,VBG,O
section,NN,O
the,DT,O
relevant,JJ,O
part,NN,O
whereof,NN,O
reads,VBZ,O
as,IN,O
under,IN,O
3,CD,O
levy,NN,O
of,IN,O
a,DT,O
duty,NN,O
in,IN,O
certain,JJ,O
sales,NNS,O
of,IN,O
electrical,JJ,O
energy,NN,O
1,CD,O
save,NN,O
as,IN,O
otherwise,RB,O
provided,VBN,O
in,IN,O
sub,JJ,O
section,NN,O
2,CD,O
every,DT,O
licensee,NN,O
in,IN,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,JJ,O
shall,MD,O
pay,VB,O
every,DT,O
month,NN,O
to,TO,O
the,DT,O
state,NN,O
government,NN,O
in,IN,O
the,DT,O
prescribed,JJ,O
manner,NN,O
a,DT,O
duty,NN,O
calculated,VBN,O
at,IN,O
the,DT,O
rate,NN,O
of,IN,O
four,CD,O
paise,NN,O
per,IN,O
unit,NN,O
of,IN,O
energy,NN,O
on,IN,O
and,CC,O
in,IN,O
respect,NN,O
of,IN,O
all,DT,O
sales,NNS,O
of,IN,O
energy,NN,O
except,IN,O
sales,NNS,O
to,TO,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
for,IN,O
consumption,NN,B-LEGAL
by,IN,O
that,DT,O
government,NN,O
or,CC,O
sales,NNS,O
to,TO,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
or,CC,O
a,DT,O
railway,NN,O
company,NN,O
operating,VBG,O
any,DT,O
railway,NN,O
for,IN,O
consumption,NN,B-LEGAL
in,IN,O
the,DT,O
construction,NN,O
maintenance,NN,O
or,CC,O
operation,NN,O
of,IN,O
that,DT,O
railway,NN,O
effected,VBN,O
by,IN,O
the,DT,O
licensee,NN,O
during,IN,O
the,DT,O
previous,JJ,O
month,NN,O
at,IN,O
a,DT,O
price,NN,O
of,IN,O
more,JJR,O
than,IN,O
twelve,VB,O
paise,JJ,O
per,IN,O
unit,NN,O
and,CC,O
on,IN,O
and,CC,O
in,IN,O
respect,NN,O
of,IN,O
all,DT,O
energy,NN,O
which,WDT,O
was,VBD,O
consumed,VBN,O
by,IN,O
the,DT,O
licensee,NN,O
during,IN,O
the,DT,O
previous,JJ,O
month,NN,O
for,IN,O
purposes,VBZ,O
other,JJ,O
than,IN,O
those,DT,O
connected,VBN,O
with,IN,O
the,DT,O
construction,NN,O
maintenance,NN,O
and,CC,O
operation,NN,O
of,IN,O
his,PRP$,O
electrical,JJ,O
undertaking,NN,O
and,CC,O
which,WDT,O
if,IN,O
sold,VBN,O
to,TO,O
a,DT,O
private,JJ,O
consumer,NN,O
under,IN,O
like,IN,O
conditions,NNS,O
would,MD,O
have,VB,O
fetched,VBN,O
a,DT,O
price,NN,O
of,IN,O
more,JJR,O
than,IN,O
twelve,VB,O
paise,JJ,O
per,IN,O
unit,NN,O
provided,VBD,O
that,IN,O
no,DT,O
duty,NN,O
under,IN,O
this,DT,O
sub,JJ,O
section,NN,O
shall,MD,O
be,VB,O
payable,JJ,O
on,IN,O
and,CC,O
in,IN,O
respect,NN,O
of,IN,O
sale,NN,O
of,IN,O
energy,NN,O
effected,VBN,O
a,DT,O
by,IN,O
the,DT,O
andhra,NN,O
pradesh,JJ,O
state,NN,O
electricity,NN,O
board,NN,O
to,TO,O
any,DT,O
other,JJ,O
licensee,NN,O
b,NN,O
by,IN,O
the,DT,O
national,JJ,O
thermal,JJ,O
power,NN,O
corporation,NN,O
to,TO,O
the,DT,O
andhra,NN,O
pradesh,JJ,O
state,NN,O
electricity,NN,O
board,NN,O
5,CD,O
a,DT,O
bare,NN,O
reading,NN,O
of,IN,O
the,DT,O
provision,NN,O
shows,VBZ,O
that,IN,O
duty,NN,O
is,VBZ,O
leviable,JJ,O
at,IN,O
the,DT,O
prescribed,JJ,O
rate,NN,O
on,IN,O
all,DT,O
sales,NNS,O
of,IN,O
energy,NN,O
effected,VBN,O
by,IN,O
the,DT,O
licensee,NN,O
during,IN,O
the,DT,O
previous,JJ,O
month,NN,O
at,IN,O
a,DT,O
price,NN,O
of,IN,O
more,JJR,O
than,IN,O
12,CD,O
paise,NN,O
per,IN,O
unit,NN,O
duty,NN,O
is,VBZ,O
also,RB,O
leviable,JJ,O
on,IN,O
all,DT,O
energy,NN,O
consumed,VBN,O
by,IN,O
the,DT,O
licensee,NN,O
there,EX,O
are,VBP,O
certain,JJ,O
categories,NNS,O
of,IN,O
sales,NNS,O
and,CC,O
consumption,NN,B-LEGAL
saved,VBD,O
and,CC,O
excluded,VBD,O
from,IN,O
what,WP,O
would,MD,O
otherwise,RB,O
have,VB,O
been,VBN,O
dutiable,JJ,O
however,RB,O
in,IN,O
the,DT,O
present,JJ,O
case,NN,O
we,PRP,O
are,VBP,O
not,RB,O
concerned,VBN,O
with,IN,O
those,DT,O
exclusions,NNS,O
nor,CC,O
with,IN,O
levy,NN,O
of,IN,O
duty,NN,O
on,IN,O
consumption,NN,B-LEGAL
the,DT,O
limited,JJ,O
question,NN,O
arising,VBG,O
for,IN,O
our,PRP$,O
consideration,NN,O
is,VBZ,O
whether,IN,O
sales,NNS,O
of,IN,O
energy,NN,O
by,IN,O
ntpcl,IN,O
the,DT,O
respondent,NN,O
no,RB,O
1,CD,O
to,TO,O
several,JJ,O
electricity,NN,O
boards,NNS,O
situated,VBD,O
outside,IN,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
and,CC,O
to,TO,O
the,DT,O
state,NN,O
of,IN,O
goa,NN,O
attract,IN,O
the,DT,O
incidence,NN,O
of,IN,O
taxation,NN,O
under,IN,O
section,NN,O
3,CD,O
of,IN,O
the,DT,O
act,NN,O
6,CD,O
according,VBG,O
to,TO,O
the,DT,O
facts,NNS,O
found,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
ntpcl,VBD,O
a,DT,O
government,NN,O
company,NN,O
wholly,RB,O
owned,VBN,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
has,VBZ,O
set,VBN,O
up,RP,O
several,JJ,O
super,JJ,O
thermal,JJ,O
power,NN,O
stations,NNS,O
in,IN,O
different,JJ,O
parts,NNS,O
of,IN,O
the,DT,O
country,NN,O
normally,RB,O
located,VBN,O
near,IN,O
coal,NN,O
pit,NN,O
heads,VBZ,O
one,CD,O
such,JJ,O
super,JJR,O
thermal,JJ,O
power,NN,O
station,NN,O
is,VBZ,O
set,VBN,O
up,RP,O
in,IN,O
ramagundam,NN,O
in,IN,O
karimnagar,JJ,O
district,NN,O
of,IN,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
there,EX,O
are,VBP,O
various,JJ,O
transmission,NN,O
lines,NNS,O
and,CC,O
sub,NN,O
stations,NNS,O
through,IN,O
which,WDT,O
the,DT,O
power,NN,O
generated,VBD,O
at,IN,O
ramagundam,JJ,O
station,NN,O
is,VBZ,O
transmitted,VBN,O
to,TO,O
the,DT,O
purchasers,NNS,O
the,DT,O
power,NN,O
generated,VBD,O
is,VBZ,O
fed,VBN,O
into,IN,O
the,DT,O
southern,JJ,O
grid,NN,O
and,CC,O
is,VBZ,O
made,VBN,O
available,JJ,O
to,TO,O
the,DT,O
several,JJ,O
state,NN,O
electricity,NN,O
boards,NNS,O
and,CC,O
the,DT,O
state,NN,O
of,IN,O
goa,NN,O
these,DT,O
facts,NNS,O
are,VBP,O
not,RB,O
in,IN,O
controversy,NN,O
and,CC,O
sufficient,JJ,O
to,TO,O
be,VB,O
taken,VBN,O
note,NN,O
of,IN,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
this,DT,O
appeal,NN,O
during,IN,O
the,DT,O
course,NN,O
of,IN,O
hearing,NN,O
by,IN,O
reference,NN,O
to,TO,O
certain,JJ,O
documents,NNS,O
it,PRP,O
was,VBD,O
sought,VBN,O
to,TO,O
be,VB,O
pointed,VBN,O
out,RP,O
where,WRB,O
the,DT,O
meters,NNS,O
are,VBP,O
located,VBN,O
within,IN,O
the,DT,O
state,NN,O
of,IN,O
mp,NN,O
or,CC,O
within,IN,O
the,DT,O
territories,NNS,O
of,IN,O
buyer,NN,O
states,NNS,O
or,CC,O
at,IN,O
both,DT,O
the,DT,O
places,NNS,O
by,IN,O
reference,NN,O
to,TO,O
reading,VBG,O
whereof,PDT,O
the,DT,O
quantum,NN,O
of,IN,O
energy,NN,O
sold,VBN,O
exported,VBD,O
or,CC,O
imported,VBN,O
is,VBZ,O
fixed,VBN,O
and,CC,O
the,DT,O
price,NN,O
calculated,VBD,O
we,PRP,O
do,VBP,O
not,RB,O
propose,VB,O
to,TO,O
state,NN,O
the,DT,O
facts,NNS,O
and,CC,O
contending,VBG,O
submissions,NNS,O
in,IN,O
that,DT,O
regard,NN,O
in,IN,O
details,NNS,O
as,IN,O
it,PRP,O
is,VBZ,O
unnecessary,JJ,O
7,CD,O
the,DT,O
controversy,NN,O
centers,NNS,O
mainly,RB,O
around,IN,O
the,DT,O
question,NN,O
as,IN,O
to,TO,O
under,IN,O
which,WDT,O
entry,NN,O
andhra,NN,O
pradesh,JJ,O
electricity,NN,O
duty,NN,O
act,NN,O
1939,CD,O
is,VBZ,O
covered,VBN,O
and,CC,O
whether,IN,O
the,DT,O
sales,NNS,O
of,IN,O
electricity,NN,O
by,IN,O
ntpcl,IN,O
the,DT,O
respondent,NN,O
no,RB,O
1,CD,O
to,TO,O
the,DT,O
electricity,NN,O
boards,NNS,O
situated,VBD,O
outside,IN,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
and,CC,O
to,TO,O
the,DT,O
state,NN,O
of,IN,O
goa,NN,O
can,MD,O
be,VB,O
construed,VBN,O
as,IN,O
inter,NN,B-LEGAL
state,NN,O
or,CC,O
inter,NN,B-LEGAL
state,NN,O
sale,NN,O
facts,NNS,O
in,IN,O
t,JJ,O
c,NN,O
3,CD,O
98,CD,O
8,CD,O
the,DT,O
relevant,JJ,O
facts,NNS,O
of,IN,O
this,DT,O
writ,NN,O
petition,NN,O
are,VBP,O
briefly,VBN,O
set,VBN,O
out,RP,O
in,IN,O
what,WP,O
follows,VBZ,O
the,DT,O
erstwhile,JJ,O
central,JJ,O
provinces,NNS,O
and,CC,O
berar,JJ,O
legislative,JJ,O
assembly,NN,O
enacted,VBD,O
the,DT,O
cp,NN,O
and,CC,O
berar,JJ,O
electricity,NN,O
duty,NN,O
act,NN,O
1949,CD,O
which,WDT,O
having,VBG,O
been,VBN,O
adapted,VBN,O
in,IN,O
the,DT,O
state,NN,O
of,IN,O
madhya,NN,O
pradesh,NN,O
has,VBZ,O
come,VBN,O
to,TO,O
be,VB,O
known,VBN,O
as,IN,O
mp,JJ,O
electricity,NN,O
duty,NN,O
act,NN,O
1949,CD,O
and,CC,O
extends,VBZ,O
to,TO,O
the,DT,O
whole,NN,O
of,IN,O
madhya,NN,O
pradesh,VBP,O
the,DT,O
preamble,JJ,O
to,TO,O
the,DT,O
act,NN,O
as,IN,O
amended,VBN,O
by,IN,O
madhya,NN,O
pradesh,JJ,O
legislature,NN,O
provides,VBZ,O
that,IN,O
it,PRP,O
is,VBZ,O
an,DT,O
act,NN,O
for,IN,O
the,DT,O
levy,NN,O
of,IN,O
duty,NN,O
on,IN,O
sale,NN,O
or,CC,O
consumption,NN,B-LEGAL
of,IN,O
electrical,JJ,O
energy,NN,O
the,DT,O
expression,NN,O
distributor,NN,O
of,IN,O
electrical,JJ,O
energy,NN,O
is,VBZ,O
defined,VBN,O
in,IN,O
clause,NN,O
b,NN,O
of,IN,O
section,NN,O
2,CD,O
to,TO,O
specifically,RB,O
include,VB,O
therein,IN,O
the,DT,O
national,JJ,O
thermal,JJ,O
power,NN,O
corporation,NN,O
section,NN,O
3,CD,O
provides,VBZ,O
that,IN,O
every,DT,O
distributor,NN,O
of,IN,O
electrical,JJ,O
energy,NN,O
and,CC,O
every,DT,O
producer,NN,O
shall,MD,O
subject,VB,O
to,TO,O
certain,JJ,O
exceptions,NNS,O
pay,VBP,O
every,DT,O
month,NN,O
to,TO,O
the,DT,O
state,NN,O
government,NN,O
at,IN,O
duty,NN,O
calculated,VBN,O
at,IN,O
the,DT,O
rates,NNS,O
specified,VBN,O
in,IN,O
the,DT,O
table,NN,O
appended,VBD,O
thereto,NN,O
on,IN,O
the,DT,O
units,NNS,O
of,IN,O
electrical,JJ,O
energy,NN,O
sold,VBD,O
or,CC,O
supplied,VBN,O
to,TO,O
a,DT,O
consumer,NN,O
or,CC,O
consumed,VBN,O
by,IN,O
himself,PRP,O
for,IN,O
his,PRP$,O
own,JJ,O
purposes,NNS,O
or,CC,O
for,IN,O
purposes,NNS,O
of,IN,O
his,PRP$,O
township,NN,O
or,CC,O
colony,NN,O
during,IN,O
the,DT,O
preceding,VBG,O
month,NN,O
the,DT,O
table,NN,O
appended,VBD,O
to,TO,O
section,VB,O
3,CD,O
prescribes,JJ,O
different,JJ,O
rates,NNS,O
of,IN,O
duty,NN,O
depending,VBG,O
on,IN,O
the,DT,O
purpose,NN,O
for,IN,O
which,WDT,O
electrical,JJ,O
energy,NN,O
is,VBZ,O
sold,VBN,O
supplied,JJ,O
or,CC,O
consumed,VBD,O
the,DT,O
details,NNS,O
whereof,WDT,O
are,VBP,O
not,RB,O
relevant,JJ,O
for,IN,O
our,PRP$,O
purpose,NN,O
there,EX,O
is,VBZ,O
yet,RB,O
another,DT,O
legislation,NN,O
namely,RB,O
the,DT,O
madhya,NN,O
pradesh,JJ,O
upkar,NN,O
adhiniyam,NN,O
1981,CD,O
no,DT,O
1,CD,O
of,IN,O
1982,CD,O
which,WDT,O
provides,VBZ,O
for,IN,O
levy,NN,O
of,IN,O
certain,JJ,O
cesses,NNS,O
sub,VBP,O
section,NN,O
1,CD,O
of,IN,O
section,NN,O
3,CD,O
thereof,NN,O
provides,VBZ,O
that,IN,O
every,DT,O
distributor,NN,O
of,IN,O
electrical,JJ,O
energy,NN,O
shall,MD,O
pay,VB,O
to,TO,O
the,DT,O
state,NN,O
government,NN,O
an,DT,O
energy,NN,O
development,NN,O
cess,NN,B-LEGAL
at,IN,O
the,DT,O
rate,NN,O
of,IN,O
certain,JJ,O
paise,NN,O
per,IN,O
unit,NN,O
on,IN,O
the,DT,O
total,JJ,O
units,NNS,O
of,IN,O
electrical,JJ,O
energy,NN,O
sold,VBD,O
or,CC,O
supplied,VBN,O
to,TO,O
a,DT,O
consumer,NN,O
or,CC,O
consumed,VBN,O
by,IN,O
himself,PRP,O
or,CC,O
his,PRP$,O
employees,NNS,O
during,IN,O
any,DT,O
month,NN,O
ntpcl,NN,O
has,VBZ,O
two,CD,O
power,NN,O
projects,NNS,O
located,VBN,O
in,IN,O
the,DT,O
state,NN,O
of,IN,O
madhya,NN,O
pradesh,NN,O
i,NN,O
korba,VBP,O
super,NN,O
thermal,JJ,O
power,NN,O
station,NN,O
at,IN,O
pragati,JJ,O
nagar,JJ,O
district,NN,O
bilaspur,NN,O
known,VBN,O
as,IN,O
korba,NN,O
station,NN,O
presently,RB,O
in,IN,O
the,DT,O
state,NN,O
of,IN,O
chhattisgarh,NN,O
and,CC,O
ii,NN,O
vindhyachal,NN,O
super,NN,O
thermal,JJ,O
power,NN,O
station,NN,O
situated,VBD,O
at,IN,O
vindhya,JJ,O
nagar,JJ,O
district,NN,O
sidhi,NN,O
of,IN,O
madhya,JJ,O
pradesh,JJ,O
known,VBN,O
as,IN,O
vindhyachal,JJ,O
station,NN,O
the,DT,O
electricity,NN,O
generated,VBN,O
by,IN,O
it,PRP,O
at,IN,O
these,DT,O
two,CD,O
stations,NNS,O
is,VBZ,O
fed,VBN,O
into,IN,O
northern,JJ,O
grid,NN,O
and,CC,O
supplied,VBN,O
to,TO,O
several,JJ,O
states,NNS,O
outside,IN,O
the,DT,O
state,NN,O
of,IN,O
madhya,NN,O
pradesh,NN,O
pursuant,NN,O
to,TO,O
contracts,NNS,O
entered,VBN,O
into,IN,O
between,IN,O
the,DT,O
parties,NNS,O
that,WDT,O
is,VBZ,O
the,DT,O
seller,NN,O
and,CC,O
the,DT,O
buyers,NNS,O
on,IN,O
30111994,CD,O
the,DT,O
chief,NN,O
engineer,NN,O
electricity,NN,O
duty,NN,O
and,CC,O
chief,JJ,O
electrical,JJ,O
inspector,NN,O
government,NN,O
of,IN,O
madhya,NN,O
pradesh,NN,O
issued,VBD,O
a,DT,O
letter,NN,O
annexed,VBN,O
by,IN,O
a,DT,O
tabulated,JJ,O
statement,NN,O
raising,VBG,O
a,DT,O
demand,NN,O
of,IN,O
rs,JJ,O
2,CD,O
74,CD,O
01,CD,O
59,CD,O
535,CD,O
28,CD,O
paise,NN,O
for,IN,O
the,DT,O
period,NN,O
commencing,VBG,O
october,JJ,O
1984,CD,O
and,CC,O
expiring,VBG,O
march,NN,O
1996,CD,O
the,DT,O
demand,NN,O
is,VBZ,O
on,IN,O
account,NN,O
of,IN,O
electricity,NN,O
duty,NN,O
at,IN,O
the,DT,O
rate,NN,O
of,IN,O
2,CD,O
paise,NN,O
per,IN,O
unit,NN,O
and,CC,O
cess,NN,B-LEGAL
at,IN,O
the,DT,O
rate,NN,O
of,IN,O
1,CD,O
paise,NN,O
per,IN,O
unit,NN,O
calculated,VBN,O
on,IN,O
the,DT,O
units,NNS,O
sold,VBN,O
to,TO,O
electricity,VB,O
boards,NNS,O
of,IN,O
other,JJ,O
states,NNS,O
9,CD,O
in,IN,O
the,DT,O
counter,NN,O
affidavit,NN,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
states,NNS,O
of,IN,O
madhya,NN,O
pradesh,NN,O
and,CC,O
chhattisgarh,NN,O
reliance,NN,O
has,VBZ,O
been,VBN,O
placed,VBN,O
on,IN,O
the,DT,O
definition,NN,B-LEGAL
of,IN,O
consumer,NN,O
engrafted,VBN,O
into,IN,O
the,DT,O
mp,JJ,O
electricity,NN,O
duty,NN,O
act,NN,O
1949,CD,O
by,IN,O
mp,NN,O
act,NN,O
no,DT,O
46,CD,O
of,IN,O
1984,CD,O
with,IN,O
effect,NN,O
from,IN,O
1101984,CD,O
which,WDT,O
reads,VBZ,O
as,IN,O
under,IN,O
consumer,NN,O
means,VBZ,O
any,DT,O
person,NN,O
who,WP,O
receives,VBZ,O
electrical,JJ,O
energy,NN,O
sold,VBD,O
or,CC,O
supplied,VBN,O
by,IN,O
a,DT,O
distributor,NN,O
of,IN,O
electrical,JJ,O
energy,NN,O
or,CC,O
a,DT,O
producer,NN,O
and,CC,O
includes,VBZ,O
a,DT,O
person,NN,O
receiving,VBG,O
electrical,JJ,O
energy,NN,O
in,IN,O
bulk,NN,O
for,IN,O
onward,JJ,O
distribution,NN,O
10,CD,O
by,IN,O
the,DT,O
same,JJ,O
amendment,NN,O
distributor,NN,O
of,IN,O
electrical,JJ,O
energy,NN,O
was,VBD,O
defined,VBN,O
so,RB,O
as,IN,O
to,TO,O
include,VB,O
therein,JJ,O
ntpcl,JJ,O
as,IN,O
already,RB,O
stated,VBN,O
it,PRP,O
is,VBZ,O
admitted,VBN,O
by,IN,O
the,DT,O
state,NN,O
of,IN,O
mp,NN,O
and,CC,O
chhattisgarh,NN,O
that,IN,O
the,DT,O
power,NN,O
generated,VBD,O
at,IN,O
the,DT,O
two,CD,O
power,NN,O
stations,NNS,O
is,VBZ,O
old,JJ,O
and,CC,O
supplied,VBN,O
to,TO,O
various,JJ,O
electricity,NN,O
boards,NNS,O
electricity,NN,O
departments,NNS,O
situated,VBN,O
in,IN,O
other,JJ,O
states,NNS,O
but,CC,O
as,IN,O
the,DT,O
generating,NN,O
stations,NNS,O
are,VBP,O
located,VBN,O
in,IN,O
the,DT,O
state,NN,O
of,IN,O
madhya,NN,O
pradesh,IN,O
the,DT,O
sale,NN,O
is,VBZ,O
not,RB,O
an,DT,O
inter,NN,B-LEGAL
state,NN,O
sale,NN,O
the,DT,O
situs,NN,O
of,IN,O
sale,NN,O
is,VBZ,O
within,IN,O
the,DT,O
state,NN,O
of,IN,O
mp,JJ,O
transaction,NN,O
of,IN,O
sale,NN,O
is,VBZ,O
complete,JJ,O
in,IN,O
the,DT,O
state,NN,O
of,IN,O
mp,NN,O
and,CC,O
the,DT,O
buyers,NNS,O
carry,VBP,O
the,DT,O
electricity,NN,O
to,TO,O
their,PRP$,O
respective,JJ,O
states,NNS,O
when,WRB,O
