s,JJ,O
core,NN,O
and,CC,O
critical,JJ,O
areas,NNS,O
of,IN,O
tiger,NN,O
reserves,NNS,B-LEGAL
in,IN,O
terms,NNS,B-LEGAL
of,IN,O
the,DT,O
guidelines,NNS,B-LEGAL
issued,VBN,O
on,IN,O
the,DT,O
subject,NN,B-LEGAL
there,EX,O
was,VBD,O
no,DT,O
reason,NN,B-LEGAL
to,TO,O
keep,VB,O
these,DT,O
proceedings,NNS,B-LEGAL
pending,VBG,I-LEGAL
with,IN,O
present,JJ,O
court,NN,O
any,DT,O
further,RB,O
3,CD,O
iii,JJ,O
no,DT,O
reason,NN,B-LEGAL
why,WRB,O
the,DT,O
petitioner,NN,O
should,MD,O
not,RB,O
have,VB,O
the,DT,O
liberty,NN,B-LEGAL
to,TO,O
approach,VB,O
the,DT,O
high,JJ,O
court,NN,O
for,IN,O
restoration,NN,B-LEGAL
of,IN,O
the,DT,O
petition,NN,B-LEGAL
especially,RB,O
when,WRB,O
present,JJ,O
court,NN,O
have,VBP,O
not,RB,O
examined,VBN,O
any,DT,O
other,JJ,O
aspect,NN,O
of,IN,O
the,DT,O
matter,NN,O
in,IN,O
the,DT,O
proceedings,NNS,B-LEGAL
before,IN,O
us,PRP,O
inasmuch,JJ,O
as,IN,O
the,DT,O
challenge,NN,B-LEGAL
before,IN,O
present,NN,O
was,VBD,O
only,RB,O
to,TO,O
the,DT,O
refusal,NN,B-LEGAL
of,IN,O
an,DT,O
interim,JJ,B-LEGAL
order,NN,I-LEGAL
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
4,CD,O
iv,NN,O
petitioner,NN,O
shall,MD,O
be,VB,O
free,JJ,O
to,TO,O
have,VB,O
petition,NN,B-LEGAL
filed,VBN,O
by,IN,O
it,PRP,O
restored,VBD,B-LEGAL
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
for,IN,O
any,DT,O
further,JJ,O
direction,NN,B-LEGAL
that,IN,O
he,PRP,O
may,MD,O
seek,VB,O
5,CD,O
order,NN,B-LEGAL
slpc,NN,O
no,DT,O
21339,CD,O
of,IN,O
2011,CD,O
1,CD,O
this,DT,O
special,JJ,B-LEGAL
leave,JJ,I-LEGAL
petition,NN,I-LEGAL
is,VBZ,O
directed,VBN,O
against,IN,O
an,DT,O
interim,JJ,B-LEGAL
order,NN,I-LEGAL
dated,VBD,O
19th,CD,O
january,JJ,O
2011,CD,O
passed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
madhya,NN,O
pradesh,NN,O
at,IN,O
jabalpur,NN,O
in,IN,O
writ,JJ,B-LEGAL
petition,NN,I-LEGAL
no,DT,O
12351,CD,O
of,IN,O
2010,CD,O
filed,VBD,O
in,IN,O
public,JJ,B-LEGAL
interest,NN,I-LEGAL
the,DT,O
high,JJ,O
court,NN,O
has,VBZ,O
upon,IN,O
a,DT,O
prima,NN,B-LEGAL
facie,JJ,I-LEGAL
consideration,NN,B-LEGAL
of,IN,O
the,DT,O
matter,NN,O
declined,VBD,O
to,TO,O
issue,VB,B-LEGAL
any,DT,O
interim,JJ,O
directions,NNS,O
restraining,VBG,O
tourism,NN,O
activities,NNS,O
within,IN,O
the,DT,O
core,NN,O
and,CC,O
critical,JJ,O
areas,NNS,O
of,IN,O
tiger,NN,O
reserves,NNS,B-LEGAL
in,IN,O
the,DT,O
state,NN,B-LEGAL
of,IN,O
madhya,NN,O
pradesh,JJ,O
several,JJ,O
directions,NNS,O
have,VBP,O
been,VBN,O
issued,VBN,O
by,IN,O
this,DT,O
court,NN,O
from,IN,O
time,NN,O
to,TO,O
time,NN,O
pursuant,JJ,O
whereto,VBD,O
the,DT,O
national,JJ,B-LEGAL
tiger,NN,O
conservation,NN,O
authority,NN,B-LEGAL
has,VBZ,O
by,IN,O
a,DT,O
notification,NN,B-LEGAL
dated,VBD,O
15th,CD,O
october,NN,O
2012,CD,O
notified,VBD,O
comprehensive,JJ,O
guidelines,NNS,B-LEGAL
for,IN,O
tiger,NN,O
conservation,NN,O
and,CC,O
tourism,NN,O
part,NN,O
b,NN,O
of,IN,O
the,DT,O
said,VBD,O
guidelines,NNS,B-LEGAL
titled,VBN,O
guidelines,NNS,B-LEGAL
for,IN,O
tourism,NN,O
in,IN,O
and,CC,O
around,IN,O
tiger,JJR,O
reserves,NNS,B-LEGAL
sets,VBZ,O
out,RP,O
the,DT,O
broad,JJ,O
parameters,NNS,O
within,IN,O
which,WDT,O
such,JJ,O
tourism,NN,O
activities,NNS,O
have,VBP,O
been,VBN,O
permitted,VBN,O
2,CD,O
when,WRB,O
the,DT,O
matter,NN,O
came,VBD,O
up,RB,O
before,IN,O
this,DT,O
court,NN,O
on,IN,O
16th,CD,O
october,JJ,O
2012,CD,O
this,DT,O
court,NN,O
noted,VBD,O
the,DT,O
guidelines,NNS,B-LEGAL
aforementioned,VBD,O
and,CC,O
while,IN,O
modifying,VBG,O
interim,JJ,B-LEGAL
order,NN,I-LEGAL
dated,VBD,O
24th,CD,O
july,NN,O
2012,CD,O
directed,VBD,O
that,IN,O
henceforth,JJ,O
tourism,NN,O
activities,NNS,O
will,MD,O
be,VB,O
strictly,RB,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
said,VBD,O
guidelines,NNS,B-LEGAL
this,DT,O
court,NN,O
also,RB,O
directed,VBD,O
the,DT,O
authorities,NNS,O
concerned,VBN,O
to,TO,O
ensure,VB,O
that,IN,O
the,DT,O
requirements,NNS,O
in,IN,O
the,DT,O
aforesaid,NN,O
guidelines,NNS,B-LEGAL
are,VBP,O
complied,VBN,O
with,IN,O
before,IN,O
tourism,NN,O
activities,NNS,O
are,VBP,O
recommenced,VBN,O
it,PRP,O
was,VBD,O
clarified,VBN,O
that,IN,O
the,DT,O
validity,NN,B-LEGAL
of,IN,O
notification,NN,B-LEGAL
dated,VBD,O
15th,CD,O
october,NN,O
2012,CD,O
had,VBD,O
not,RB,O
been,VBN,O
examined,VBN,O
and,CC,O
that,IN,O
any,DT,O
party,NN,O
feeling,NN,O
aggrieved,VBN,O
of,IN,O
the,DT,O
said,VBD,O
notification,NN,B-LEGAL
would,MD,O
be,VB,O
free,JJ,O
to,TO,O
challenge,VB,B-LEGAL
the,DT,O
same,JJ,O
before,IN,O
an,DT,O
appropriate,JJ,B-LEGAL
forum,NN,O
3,CD,O
in,IN,O
the,DT,O
circumstances,NNS,O
therefore,RB,O
and,CC,O
keeping,VBG,O
in,IN,O
view,NN,O
the,DT,O
above,JJ,O
subsequent,NN,O
developments,NNS,O
which,WDT,O
sufficiently,RB,O
protect,VBP,O
the,DT,O
core,NN,O
and,CC,O
critical,JJ,O
areas,NNS,O
of,IN,O
tiger,NN,O
reserves,NNS,B-LEGAL
in,IN,O
terms,NNS,B-LEGAL
of,IN,O
the,DT,O
guidelines,NNS,B-LEGAL
issued,VBN,O
on,IN,O
the,DT,O
subject,NN,B-LEGAL
we,PRP,O
see,VBP,O
no,DT,O
reason,NN,B-LEGAL
to,TO,O
keep,VB,O
these,DT,O
proceedings,NNS,B-LEGAL
pending,VBG,I-LEGAL
with,IN,O
us,PRP,O
any,DT,O
further,JJ,O
4,CD,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
petitioner,NN,O
however,RB,O
submitted,VBD,O
that,IN,O
although,IN,O
the,DT,O
impugned,JJ,O
order,NN,B-LEGAL
was,VBD,O
only,RB,O
an,DT,O
interim,JJ,B-LEGAL
order,NN,I-LEGAL
the,DT,O
high,JJ,O
court,NN,O
has,VBZ,O
disposed,VBN,O
off,RP,O
the,DT,O
main,JJ,O
writ,NN,B-LEGAL
petition,NN,I-LEGAL
on,IN,O
7th,CD,O
november,JJ,O
2012,CD,O
on,IN,O
the,DT,O
ground,NN,B-LEGAL
that,IN,O
this,DT,O
court,NN,O
was,VBD,O
now,RB,O
seized,VBN,B-LEGAL
of,IN,O
the,DT,O
matter,NN,O
she,PRP,O
submits,VBZ,O
that,IN,O
some,DT,O
progress,NN,O
has,VBZ,O
no,DT,O
doubt,NN,O
been,VBN,O
made,VBN,O
in,IN,O
the,DT,O
direction,NN,B-LEGAL
of,IN,O
protecting,VBG,O
the,DT,O
tiger,NN,O
population,NN,B-LEGAL
in,IN,O
the,DT,O
country,NN,O
on,IN,O
account,NN,B-LEGAL
of,IN,O
the,DT,O
interim,JJ,O
orders,NNS,O
passed,VBN,O
by,IN,O
this,DT,O
court,NN,O
yet,RB,O
much,RB,O
more,RBR,O
remains,NNS,O
to,TO,O
be,VB,O
done,VBN,O
for,IN,O
which,WDT,O
purpose,VBP,O
the,DT,O
writ,NN,B-LEGAL
petition,NN,I-LEGAL
could,MD,O
be,VB,O
restored,VBN,B-LEGAL
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
for,IN,O
being,VBG,O
taken,VBN,O
to,TO,O
its,PRP$,O
logical,JJ,O
conclusion,NN,O
on,IN,O
its,PRP$,O
merit,NN,O
we,PRP,O
see,VBP,O
no,DT,O
reason,NN,B-LEGAL
why,WRB,O
the,DT,O
petitioner,NN,O
should,MD,O
not,RB,O
have,VB,O
the,DT,O
liberty,NN,B-LEGAL
to,TO,O
approach,VB,O
the,DT,O
high,JJ,O
court,NN,O
for,IN,O
restoration,NN,B-LEGAL
of,IN,O
the,DT,O
writ,NN,B-LEGAL
petition,NN,I-LEGAL
especially,RB,O
when,WRB,O
we,PRP,O
have,VBP,O
not,RB,O
examined,VBN,O
any,DT,O
other,JJ,O
aspect,NN,O
of,IN,O
the,DT,O
matter,NN,O
in,IN,O
the,DT,O
proceedings,NNS,B-LEGAL
before,IN,O
us,PRP,O
inasmuch,JJ,O
as,IN,O
the,DT,O
challenge,NN,B-LEGAL
before,IN,O
us,PRP,O
was,VBD,O
only,RB,O
to,TO,O
the,DT,O
refusal,NN,B-LEGAL
of,IN,O
an,DT,O
interim,JJ,B-LEGAL
order,NN,I-LEGAL
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
5,CD,O
in,IN,O
the,DT,O
circumstances,NNS,O
we,PRP,O
dispose,VBP,O
off,IN,O
the,DT,O
special,JJ,B-LEGAL
leave,JJ,I-LEGAL
petition,NN,I-LEGAL
with,IN,O
the,DT,O
observations,NNS,O
that,IN,O
the,DT,O
petitioner,NN,O
shall,MD,O
be,VB,O
free,JJ,O
to,TO,O
have,VB,O
writ,VBN,B-LEGAL
petition,NN,I-LEGAL
no,DT,O
12351,CD,O
of,IN,O
2010,CD,O
filed,VBN,O
by,IN,O
it,PRP,O
restored,VBD,B-LEGAL
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
for,IN,O
any,DT,O
further,JJ,O
direction,NN,B-LEGAL
that,IN,O
he,PRP,O
may,MD,O
seek,VB,O
we,PRP,O
make,VBP,O
it,PRP,O
clear,JJ,O
that,IN,O
we,PRP,O
have,VBP,O
expressed,VBN,O
no,DT,O
opinion,NN,O
on,IN,O
the,DT,O
merits,NNS,O
of,IN,O
anyone,NN,O
of,IN,O
the,DT,O
contentions,NNS,B-LEGAL
that,WDT,O
may,MD,O
be,VB,O
open,JJ,O
to,TO,O
the,DT,O
parties,NNS,B-LEGAL
in,IN,O
the,DT,O
said,VBD,O
writ,JJ,B-LEGAL
petition,NN,I-LEGAL
including,VBG,O
those,DT,O
relating,VBG,O
to,TO,O
the,DT,O
validity,NN,B-LEGAL
of,IN,O
the,DT,O
notification,NN,B-LEGAL
already,RB,O
issued,VBN,O
for,IN,O
any,DT,O
matter,NN,O
relevant,NN,O
or,CC,O
incidental,JJ,O
thereto,NN,O
this,DT,O
order,NN,B-LEGAL
shall,MD,O
also,RB,O
dispose,VB,O
off,RP,O
writ,JJ,B-LEGAL
petitions,NNS,O
civil,JJ,O
no,DT,O
387,CD,O
of,IN,O
2012,CD,O
and,CC,O
438,CD,O
of,IN,O
2012,CD,O
and,CC,O
all,DT,O
applications,NNS,O
filed,VBD,O
therein,RB,O
reserving,VBG,O
liberty,NN,B-LEGAL
for,IN,O
the,DT,O
parties,NNS,B-LEGAL
in,IN,O
those,DT,O
cases,NNS,O
to,TO,O
seek,VB,O
redress,NN,O
in,IN,O
appropriate,JJ,B-LEGAL
proceedings,NNS,B-LEGAL
if,IN,O
so,RB,O
advised,VBN,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
no,DT,O
costs,NNS,O
