sb,NN,O
17th,CD,O
february,JJ,O
2003,CD,O
the,DT,O
learned,VBN,O
trial,NN,O
judge,NN,O
rejected,VBD,O
the,DT,O
said,VBD,O
application,NN,O
of,IN,O
the,DT,O
appellant,JJ,O
holding,VBG,O
the,DT,O
court,NN,O
had,VBD,O
already,RB,O
acted,VBN,O
upon,IN,O
as,IN,O
per,IN,O
the,DT,O
provisions,NNS,O
of,IN,O
order,NN,O
18,CD,O
rule,NN,O
4,CD,O
of,IN,O
cpc,NN,O
amended,VBD,O
which,WDT,O
authorizes,VBZ,O
the,DT,O
court,NN,O
to,TO,O
receive,VB,O
the,DT,O
evidence,NN,O
on,IN,O
affidavit,NN,O
in,IN,O
any,DT,O
matter,NN,O
which,WDT,O
includes,VBZ,O
the,DT,O
appealable,JJ,B-LEGAL
order,NN,I-LEGAL
in,IN,O
the,DT,O
given,VBN,O
circumstances,NNS,O
the,DT,O
affidavit,NN,O
need,MD,O
not,RB,O
be,VB,O
returned,VBN,O
back,RB,O
to,TO,O
plaintiffs,NNS,O
and,CC,O
be,VB,O
asked,VBN,O
to,TO,O
give,VB,O
oral,JJ,O
evidence,NN,O
in,IN,O
the,DT,O
matter,NN,O
besides,IN,O
the,DT,O
fact,NN,O
that,WDT,O
aspect,VBP,O
as,IN,O
above,NN,O
and,CC,O
the,DT,O
legal,JJ,O
position,NN,O
observed,VBN,O
by,IN,O
me,PRP,O
i,NNS,O
have,VBP,O
also,RB,O
come,VBN,O
across,IN,O
one,CD,O
matter,NN,O
of,IN,O
this,DT,O
court,NN,O
only,RB,O
wherein,RB,O
on,IN,O
same,JJ,O
facts,VBZ,O
the,DT,O
matter,NN,O
had,VBD,O
been,VBN,O
taken,VBN,O
to,TO,O
the,DT,O
hon,NN,O
ble,JJ,O
high,JJ,O
court,NN,O
and,CC,O
the,DT,O
hon,NN,O
ble,JJ,O
high,JJ,O
court,NN,O
had,VBD,O
directed,VBN,O
this,DT,O
court,NN,O
to,TO,O
accept,VB,O
the,DT,O
evidence,NN,O
on,IN,O
affidavit,NN,O
i,NN,O
have,VBP,O
also,RB,O
come,VBN,O
across,IN,O
certain,JJ,O
observations,NNS,O
made,VBN,O
by,IN,O
the,DT,O
small,JJ,O
causes,NNS,O
court,NN,O
supporting,VBG,O
the,DT,O
view,NN,O
that,IN,O
it,PRP,O
is,VBZ,O
legal,JJ,O
to,TO,O
accept,VB,O
evidence,NN,O
on,IN,O
affidavit,NN,O
in,IN,O
any,DT,O
matter,NN,O
hence,NN,O
i,NN,O
do,VBP,O
not,RB,O
think,VB,O
i,NN,O
should,MD,O
discuss,VB,O
all,PDT,O
the,DT,O
authorities,NNS,O
cited,VBN,O
by,IN,O
defendants,NNS,O
advocate,JJ,O
hence,NN,O
i,NN,O
proceed,VBP,O
to,TO,O
pass,VB,O
following,VBG,O
order,NN,O
order,NN,O
application,NN,O
stands,VBZ,O
rejected,JJ,O
matter,NN,O
is,VBZ,O
adjourned,VBN,O
to,TO,O
432002,CD,O
at,IN,O
1030,CD,O
am,VBP,O
for,IN,O
cross,NN,B-LEGAL
examination,NN,I-LEGAL
of,IN,O
plaintiffs,NNS,O
6,CD,O
being,VBG,O
aggrieved,VBN,O
the,DT,O
appellant,NN,O
preferred,VBD,O
a,DT,O
writ,NN,O
petition,NN,O
there,EX,O
against,IN,O
which,WDT,O
was,VBD,O
dismissed,VBN,O
by,IN,O
reason,NN,O
of,IN,O
the,DT,O
impugned,JJ,O
order,NN,O
holding,VBG,O
heard,VBD,O
the,DT,O
only,JJ,O
grievance,NN,O
made,VBN,O
in,IN,O
this,DT,O
petition,NN,O
is,VBZ,O
that,IN,O
the,DT,O
court,NN,O
below,NN,O
has,VBZ,O
allowed,VBN,O
the,DT,O
plaintiff,NN,O
to,TO,O
receive,VB,O
evidence,NN,O
on,IN,O
affidavit,NN,O
learned,VBN,O
counsel,NN,O
contends,VBZ,O
that,IN,O
that,DT,O
will,MD,O
not,RB,O
be,VB,O
permissible,JJ,O
in,IN,O
view,NN,O
of,IN,O
the,DT,O
provisions,NNS,O
contained,VBN,O
in,IN,O
order,NN,O
xviii,NN,O
rule,NN,O
5,CD,O
of,IN,O
the,DT,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
i,NN,O
am,VBP,O
not,RB,O
inclined,VBN,O
to,TO,O
interfere,VB,O
with,IN,O
the,DT,O
discretionary,JJ,O
order,NN,O
passed,VBN,O
by,IN,O
the,DT,O
court,NN,O
below,IN,O
besides,NNS,O
i,VBP,O
find,VBP,O
force,NN,O
in,IN,O
the,DT,O
objection,NN,O
taken,VBN,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
respondents,NNS,O
that,IN,O
the,DT,O
issue,NN,O
is,VBZ,O
already,RB,O
concluded,VBN,O
and,CC,O
answered,VBN,O
by,IN,O
the,DT,O
decision,NN,O
of,IN,O
this,DT,O
court,NN,O
dated,VBD,O
20th,CD,O
march,NN,O
2003,CD,O
in,IN,O
writ,JJ,O
petition,NN,O
no,DT,O
708,CD,O
of,IN,O
2003,CD,O
to,TO,O
my,PRP$,O
mind,NN,O
no,DT,O
prejudice,NN,O
will,MD,O
be,VB,O
caused,VBN,O
to,TO,O
the,DT,O
petitioner,NN,O
if,IN,O
the,DT,O
view,NN,O
as,IN,O
taken,VBN,O
by,IN,O
the,DT,O
trial,NN,O
court,NN,O
was,VBD,O
to,TO,O
be,VB,O
upheld,JJ,O
because,IN,O
the,DT,O
petitioner,NN,O
being,VBG,O
defendant,NN,O
would,MD,O
get,VB,O
opportunity,NN,O
to,TO,O
cross,VB,B-LEGAL
examine,VB,O
the,DT,O
plaintiff,NN,O
and,CC,O
plaintiff,NN,O
s,NN,O
witnesses,NNS,O
hence,VBP,O
no,DT,O
reason,NN,O
to,TO,O
interfere,VB,O
rejected,VBN,O
7,CD,O
the,DT,O
appellant,NN,O
is,VBZ,O
in,IN,O
appeal,NN,O
before,IN,O
us,PRP,O
aggrieved,VBD,O
thereby,RB,O
8,CD,O
mr,NNS,O
rajan,VBP,O
narain,IN,O
the,DT,O
learned,JJ,O
counsel,NN,O
appearing,VBG,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
appellant,NN,O
would,MD,O
submit,VB,O
that,IN,O
order,NN,O
18,CD,O
rule,NN,O
4,CD,O
and,CC,O
order,NN,O
18,CD,O
rule,NN,O
5,CD,O
of,IN,O
the,DT,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
should,MD,O
be,VB,O
read,VBN,O
harmoniously,RB,O
and,CC,O
so,RB,O
read,VB,O
it,PRP,O
must,MD,O
be,VB,O
held,VBN,O
that,IN,O
order,NN,O
18,CD,O
rule,NN,O
4,CD,O
will,MD,O
have,VB,O
no,DT,O
application,NN,O
in,IN,O
the,DT,O
appealable,JJ,O
cases,NNS,O
and,CC,O
as,IN,O
logical,JJ,O
corollary,JJ,O
thereof,IN,O
the,DT,O
court,NN,O
must,MD,O
examine,VB,O
all,PDT,O
the,DT,O
witnesses,NNS,O
in,IN,O
court,NN,O
in,IN,O
support,NN,O
of,IN,O
the,DT,O
said,VBD,O
contention,NN,O
strong,JJ,O
reliance,NN,O
has,VBZ,O
been,VBN,O
placed,VBN,O
on,IN,O
laxman,JJ,O
das,NNS,O
v,VBP,O
deoji,JJ,O
mal,NN,O
and,CC,O
ors,NNS,O
manu,VBP,O
rh,JJ,O
0566,CD,O
2002manu,CD,O
rh,NN,O
0566,CD,O
2002,CD,O
9,CD,O
mr,NN,O
nariman,IN,O
the,DT,O
learned,JJ,O
senior,JJ,O
counsel,NN,O
appearing,VBG,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
respondent,NN,O
on,IN,O
the,DT,O
other,JJ,O
hand,NN,O
would,MD,O
submit,VB,O
that,IN,O
a,DT,O
bare,NN,O
perusal,NN,O
of,IN,O
the,DT,O
provisions,NNS,O
contained,VBN,O
in,IN,O
order,NN,O
18,CD,O
rule,NN,O
4,CD,O
of,IN,O
the,DT,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
would,MD,O
show,VB,O
that,IN,O
an,DT,O
affidavit,NN,O
incorporating,VBG,O
examination,NN,O
in,IN,O
chief,NN,O
of,IN,O
a,DT,O
witness,NN,O
has,VBZ,O
to,TO,O
be,VB,O
filed,VBN,O
in,IN,O
every,DT,O
case,NN,O
and,CC,O
only,RB,O
in,IN,O
the,DT,O
event,NN,O
the,DT,O
said,VBD,O
witness,NN,O
is,VBZ,O
required,VBN,O
to,TO,O
be,VB,O
cross,NN,B-LEGAL
examined,VBN,O
he,PRP,O
would,MD,O
be,VB,O
produced,VBN,O
in,IN,O
court,NN,O
10,CD,O
the,DT,O
learned,JJ,O
counsel,NN,O
would,MD,O
urge,VB,O
that,IN,O
the,DT,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
amendment,NN,O
act,NN,O
1978,CD,O
was,VBD,O
enacted,VBN,O
with,IN,O
a,DT,O
view,NN,O
to,TO,O
do,VB,O
away,RB,O
with,IN,O
the,DT,O
unnecessary,JJ,O
wastage,NN,O
of,IN,O
time,NN,O
which,WDT,O
may,MD,O
be,VB,O
taken,VBN,O
for,IN,O
examination,NN,O
of,IN,O
a,DT,O
witness,JJ,O
11,CD,O
mr,NN,O
nariman,NN,O
would,MD,O
urge,VB,O
that,IN,O
order,NN,O
18,CD,O
rule,NN,O
5,CD,O
should,MD,O
be,VB,O
read,VBN,O
with,IN,O
order,NN,O
is,VBZ,O
rule,JJ,O
13,CD,O
so,RB,O
as,IN,O
to,TO,O
decipher,VB,O
the,DT,O
difference,NN,O
between,IN,O
the,DT,O
cases,NNS,O
where,WRB,O
an,DT,O
appeal,NN,O
is,VBZ,O
allowed,VBN,O
and,CC,O
where,WRB,O
appeal,NN,O
is,VBZ,O
not,RB,O
allowed,VBN,O
order,NN,O
18,CD,O
rule,NN,O
5,CD,O
the,DT,O
learned,JJ,O
counsel,NN,O
would,MD,O
submit,VB,O
merely,RB,O
lays,VBZ,O
down,RP,O
the,DT,O
procedure,NN,O
for,IN,O
taking,VBG,O
the,DT,O
evidence,NN,O
of,IN,O
the,DT,O
witness,NN,O
in,IN,O
support,NN,O
of,IN,O
the,DT,O
said,VBD,O
contention,NN,O
reliance,NN,O
has,VBZ,O
been,VBN,O
placed,VBN,O
on,IN,O
fdc,NN,O
ltd,NN,O
v,JJ,O
federation,NN,O
of,IN,O
medical,JJ,O
representatives,NNS,O
association,NN,O
india,VBP,O
fmrai,NN,O
and,CC,O
ors,NNS,O
manu,VBP,O
mh,JJ,O
0038,CD,O
2003manu,CD,O
mh,NN,O
0038,CD,O
2003,CD,O
air2003bom371,NN,O
12,CD,O
order,NN,O
18,CD,O
rule,NN,O
4,CD,O
as,IN,O
it,PRP,O
originally,RB,O
stood,VBD,O
reads,NNS,O
as,IN,O
under,IN,O
4,CD,O
witnesses,NNS,O
to,TO,O
be,VB,O
examined,VBN,O
in,IN,O
open,JJ,O
court,NN,O
the,DT,O
evidence,NN,O
of,IN,O
the,DT,O
witnesses,NNS,O
in,IN,O
attendance,NN,O
shall,MD,O
be,VB,O
taken,VBN,O
orally,RB,O
in,IN,O
open,JJ,O
court,NN,O
in,IN,O
the,DT,O
presence,NN,O
and,CC,O
under,IN,O
the,DT,O
personal,JJ,O
direction,NN,O
and,CC,O
superintendence,NN,O
of,IN,O
the,DT,O
judge,NN,O
13,CD,O
order,NN,O
18,CD,O
rules,NNS,O
4,CD,O
1,CD,O
2,CD,O
and,CC,O
3,CD,O
as,IN,O
they,PRP,O
now,RB,O
stand,VBP,O
read,VBN,O
as,IN,O
under,IN,O
4,CD,O
recording,NN,O
of,IN,O
evidence,NN,O
1,CD,O
in,IN,O
every,DT,O
case,NN,O
the,DT,O
examination,NN,O
in,IN,O
chief,NN,O
of,IN,O
a,DT,O
witness,JJ,O
shall,MD,O
be,VB,O
on,IN,O
affidavit,NN,O
and,CC,O
copies,NNS,O
thereof,VBP,O
shall,MD,O
be,VB,O
supplied,VBN,O
to,TO,O
the,DT,O
opposite,JJ,O
party,NN,O
by,IN,O
the,DT,O
party,NN,O
who,WP,O
calls,VBZ,O
him,PRP,O
for,IN,O
evidence,NN,O
provided,VBD,O
that,IN,O
where,WRB,O
documents,NNS,O
are,VBP,O
filed,VBN,O
and,CC,O
the,DT,O
parties,NNS,O
rely,VBP,O
upon,IN,O
the,DT,O
documents,NNS,O
the,DT,O
proof,NN,O
and,CC,O
admissibility,NN,O
of,IN,O
such,JJ,O
documents,NNS,O
which,WDT,O
are,VBP,O
filed,VBN,O
along,IN,O
with,IN,O
affidavit,NN,O
shall,MD,O
be,VB,O
subject,JJ,O
to,TO,O
the,DT,O
orders,NNS,O
of,IN,O
the,DT,O
court,NN,O
2,CD,O
the,DT,O
evidence,NN,O
cross,NN,B-LEGAL
examination,NN,I-LEGAL
and,CC,O
re,JJ,O
examination,NN,O
of,IN,O
the,DT,O
witness,NN,O
in,IN,O
attendance,NN,O
whose,WP$,O
evidence,NN,O
examination,NN,O
in,IN,O
chief,NN,O
by,IN,O
affidavit,NN,O
has,VBZ,O
been,VBN,O
furnished,VBN,O
to,TO,O
the,DT,O
court,NN,O
shall,MD,O
be,VB,O
taken,VBN,O
either,RB,O
by,IN,O
the,DT,O
court,NN,O
or,CC,O
by,IN,O
the,DT,O
commissioner,NN,O
appointed,VBN,O
by,IN,O
it,PRP,O
provided,VBD,O
that,IN,O
the,DT,O
court,NN,O
may,MD,O
while,VB,O
appointing,VBG,O
a,DT,O
commission,NN,O
under,IN,O
this,DT,O
sub,NN,O
rule,NN,O
consider,VB,O
taking,VBG,O
into,IN,O
account,NN,O
such,JJ,O
relevant,JJ,O
factors,NNS,O
as,IN,O
it,PRP,O
thinks,VBZ,O
fit,JJ,O
3,CD,O
the,DT,O
court,NN,O
or,CC,O
the,DT,O
commissioner,NN,O
as,IN,O
the,DT,O
case,NN,O
may,MD,O
be,VB,O
shall,MD,O
record,VB,O
evidence,NN,O
either,RB,O
in,IN,O
writing,VBG,O
or,CC,O
mechanically,RB,O
in,IN,O
the,DT,O
presence,NN,O
of,IN,O
the,DT,O
judge,NN,O
or,CC,O
of,IN,O
the,DT,O
commissioner,NN,O
as,IN,O
the,DT,O
case,NN,O
may,MD,O
be,VB,O
and,CC,O
where,WRB,O
such,JJ,O
evidence,NN,O
is,VBZ,O
recorded,VBN,O
by,IN,O
the,DT,O
commissioner,NN,O
he,PRP,O
shall,MD,O
return,VB,O
such,JJ,O
evidence,NN,O
together,RB,O
with,IN,O
his,PRP$,O
report,NN,O
in,IN,O
writing,VBG,O
signed,VBN,O
by,IN,O
him,PRP,O
to,TO,O
the,DT,O
court,NN,O
appointing,VBG,O
him,PRP,O
and,CC,O
the,DT,O
evidence,NN,O
taken,VBN,O
under,IN,O
it,PRP,O
shall,MD,O
form,VB,O
part,NN,O
of,IN,O
the,DT,O
record,NN,O
of,IN,O
the,DT,O
suit,NN,O
14,CD,O
the,DT,O
other,JJ,O
sub,NN,O
rules,NNS,O
of,IN,O
rule,NN,O
a,DT,O
of,IN,O
order,NN,O
18,CD,O
provide,NN,O
for,IN,O
other,JJ,O
and,CC,O
further,JJ,O
procedures,NNS,O
as,IN,O
regard,JJ,O
examination,NN,O
of,IN,O
witness,NN,O
15,CD,O
rule,NN,O
5,CD,O
refers,NNS,O
to,TO,O
the,DT,O
evidence,NN,O
which,WDT,O
is,VBZ,O
required,VBN,O
to,TO,O
be,VB,O
taken,VBN,O
in,IN,O
cases,NNS,O
where,WRB,O
the,DT,O
appeal,NN,O
is,VBZ,O
allowed,VBN,O
in,IN,O
contra,JJ,O
distinction,NN,O
with,IN,O
the,DT,O
cases,NNS,O
where,WRB,O
appeal,NN,O
is,VBZ,O
not,RB,O
allowed,VBN,O
as,IN,O
envisaged,VBN,O
in,IN,O
rule,NN,O
13,CD,O
of,IN,O
order,NN,O
18,CD,O
of,IN,O
the,DT,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
rule,NN,O
5,CD,O
therefore,NN,O
envisages,VBZ,O
a,DT,O
situation,NN,O
where,WRB,O
the,DT,O
court,NN,O
is,VBZ,O
required,VBN,O
to,TO,O
take,VB,O
down,RP,O
an,DT,O
evidence,NN,O
in,IN,O
the,DT,O
manner,NN,O
laid,VBD,O
down,RB,O
therein,NN,O
which,WDT,O
would,MD,O
mean,VB,O
that,IN,O
where,WRB,O
cross,JJ,B-LEGAL
examination,NN,I-LEGAL
or,CC,O
re,JJ,O
examination,NN,O
of,IN,O
the,DT,O
witness,NN,O
is,VBZ,O
to,TO,O
take,VB,O
place,NN,O
in,IN,O
the,DT,O
court,NN,O
16,CD,O
the,DT,O
examination,NN,O
of,IN,O
a,DT,O
witness,NN,O
would,MD,O
include,VB,O
evidence,NN,O
in,IN,O
chief,NN,O
cross,NN,B-LEGAL
examination,NN,I-LEGAL
or,CC,O
re,VB,O
examination,NN,O
rule,NN,O
4,CD,O
of,IN,O
order,NN,O
18,CD,O
speaks,NN,O
of,IN,O
examination,NN,O
in,IN,O
chief,NN,O
the,DT,O
unamended,JJ,O
rule,NN,O
provided,VBD,O
for,IN,O
the,DT,O
manner,NN,O
in,IN,O
which,WDT,O
evidence,NN,O
is,VBZ,O
to,TO,O
be,VB,O
taken,VBN,O
such,JJ,O
examination,NN,O
in,IN,O
chief,NN,O
of,IN,O
a,DT,O
witness,NN,O
in,IN,O
every,DT,O
case,NN,O
shall,MD,O
be,VB,O
on,IN,O
affidavit,NN,O
17,CD,O
the,DT,O
aforementioned,VBN,O
provision,NN,O
has,VBZ,O
been,VBN,O
made,VBN,O
to,TO,O
curtail,VB,O
the,DT,O
time,NN,O
taken,VBN,O
by,IN,O
the,DT,O
court,NN,O
in,IN,O
examining,VBG,O
a,DT,O
witness,NN,O
in,IN,O
chief,NN,O
sub,NN,O
rule,NN,O
2,CD,O
of,IN,O
rule,NN,O
4,CD,O
of,IN,O
order,NN,O
18,CD,O
of,IN,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
provides,VBZ,O
for,IN,O
cross,NN,B-LEGAL
examination,NN,I-LEGAL
and,CC,O
re,JJ,O
examination,NN,O
of,IN,O
a,DT,O
witness,NN,O
which,WDT,O
shall,MD,O
be,VB,O
taken,VBN,O
by,IN,O
the,DT,O
court,NN,O
or,CC,O
the,DT,O
commissioner,NN,O
appointed,VBN,O
by,IN,O
it,PRP,O
18,CD,O
we,PRP,O
may,MD,O
notice,VB,O
that,IN,O
rule,NN,O
4,CD,O
of,IN,O
order,NN,O
18,CD,O
was,VBD,O
amended,VBN,O
with,IN,O
effect,NN,O
from,IN,O
172002,CD,O
specifically,RB,O
provided,VBN,O
thereunder,NN,O
that,IN,O
the,DT,O
examination,NN,O
in,IN,O
chief,NN,O
in,IN,O
every,DT,O
case,NN,O
shall,MD,O
be,VB,O
on,IN,O
affidavit,NN,O
rule,NN,O
5,CD,O
of,IN,O
order,NN,O
18,CD,O
had,VBD,O
been,VBN,O
incorporated,VBN,O
even,RB,O
prior,RB,O
to,TO,O
the,DT,O
said,VBD,O
amendment,NN,O
19,CD,O
rule,NN,O
4,CD,O
of,IN,O
order,NN,O
18,CD,O
does,VBZ,O
not,RB,O
make,VB,O
any,DT,O
distinction,NN,O
between,IN,O
an,DT,O
appealable,JJ,O
and,CC,O
non,JJ,O
appealable,JJ,O
cases,NNS,O
so,RB,O
far,RB,O
mode,NN,O
of,IN,O
recording,VBG,O
evidence,NN,O
is,VBZ,O
concerned,VBN,O
such,PDT,O
a,DT,O
difference,NN,O
is,VBZ,O
to,TO,O
be,VB,O
found,VBN,O
only,RB,O
in,IN,O
rules,NNS,O
5,CD,O
and,CC,O
13,CD,O
of,IN,O
order,NN,O
18,CD,O
of,IN,O
the,DT,O
code,NN,O
20,CD,O
it,PRP,O
therefore,RB,O
appears,VBZ,O
that,IN,O
whereas,NNS,O
under,IN,O
the,DT,O
unamended,JJ,O
rule,NN,O
the,DT,O
entire,JJ,O
evidence,NN,O
was,VBD,O
required,VBN,O
to,TO,O
be,VB,O
adduced,VBN,O
in,IN,O
court,NN,O
now,RB,O
the,DT,O
examination,NN,O
in,IN,O
chief,NN,O
of,IN,O
a,DT,O
witness,NN,O
including,VBG,O
the,DT,O
party,NN,O
to,TO,O
a,DT,O
suit,NN,O
is,VBZ,O
to,TO,O
be,VB,O
tendered,VBN,O
on,IN,O
affidavit,NN,O
the,DT,O
expressions,NNS,O
in,IN,O
every,DT,O
case,NN,O
are,VBP,O
significant,JJ,O
what,WP,O
thus,RB,O
remains,VBZ,O
viz,JJ,O
cross,NN,B-LEGAL
examination,NN,I-LEGAL
or,CC,O
re,JJ,O
examination,NN,O
in,IN,O
the,DT,O
expellable,JJ,O
cases,NNS,O
will,MD,O
have,VB,O
to,TO,O
be,VB,O
considered,VBN,O
in,IN,O
the,DT,O
manner,NN,O
laid,VBD,O
down,RB,O
in,IN,O
the,DT,O
rules,NNS,O
subject,VBP,O
to,TO,O
the,DT,O
other,JJ,O
sub,NN,O
rules,NNS,O
of,IN,O
rule,NN,O
4,CD,O
21,CD,O
rule,NN,O
5,CD,O
of,IN,O
order,NN,O
18,CD,O
speaks,NN,O
of,IN,O
the,DT,O
other,JJ,O
formalities,NNS,O
which,WDT,O
are,VBP,O
required,VBN,O
to,TO,O
be,VB,O
complied,VBN,O
with,IN,O
in,IN,O
the,DT,O
cases,NNS,O
however,RB,O
where,WRB,O
an,DT,O
appeal,NN,O
is,VBZ,O
not,RB,O
allowed,VBN,O
the,DT,O
procedures,NNS,O
laid,VBD,O
down,RB,O
in,IN,O
rule,NN,O
5,CD,O
are,VBP,O
not,RB,O
required,VBN,O
to,TO,O
be,VB,O
followed,VBN,O
22,CD,O
in,IN,O
a,DT,O
situation,NN,O
of,IN,O
this,DT,O
nature,NN,O
the,DT,O
doctrine,NN,O
of,IN,O
suppression,NN,O
of,IN,O
mischief,NN,O
rule,NN,O
as,IN,O
adumbrated,VBN,O
in,IN,O
heydon,NN,O
s,NN,O
case,NN,O
3,CD,O
co,NN,O
rep,VBD,O
7a,CD,O
76,CD,O
er,NN,O
637,CD,O
shall,MD,O
apply,VB,O
such,JJ,O
an,DT,O
amendment,NN,O
was,VBD,O
made,VBN,O
by,IN,O
the,DT,O
parliament,NN,O
consciously,RB,O
and,CC,O
thus,RB,O
full,JJ,O
effect,NN,O
thereto,NN,O
must,MD,O
be,VB,O
given,VBN,O
23,CD,O
in,IN,O
halsbury,NN,O
s,NN,O
laws,NNS,O
of,IN,O
england,NN,O
volume,NN,O
441,CD,O
fourth,JJ,O
reissue,NN,O
para,NN,O
1474,CD,O
pp,NN,O
906,CD,O
07,CD,O
it,PRP,O
is,VBZ,O
stated,VBN,O
parliament,JJ,O
intends,VBZ,O
that,IN,O
an,DT,O
enactment,JJ,O
shall,MD,O
remedy,VB,O
a,DT,O
particular,JJ,O
mischief,NN,O
and,CC,O
it,PRP,O
is,VBZ,O
therefore,RB,O
presumed,JJ,O
that,IN,O
parliament,JJ,O
intends,VBZ,O
that,IN,O
the,DT,O
court,NN,O
when,WRB,O
considering,VBG,O
in,IN,O
relation,NN,O
to,TO,O
the,DT,O
facts,NNS,O
of,IN,O
the,DT,O
instant,NN,O
case,NN,O
which,WDT,O
of,IN,O
the,DT,O
opposing,VBG,O
constructions,NNS,O
of,IN,O
the,DT,O
enactment,NN,O
corresponds,VBZ,O
to,TO,O
its,PRP$,O
legal,JJ,O
meaning,NN,O
should,MD,O
find,VB,O
a,DT,O
construction,NN,O
which,WDT,O
applies,VBZ,O
the,DT,O
remedy,NN,O
provided,VBN,O
by,IN,O
it,PRP,O
in,IN,O
such,PDT,O
a,DT,O
way,NN,O
as,IN,O
to,TO,O
suppress,VB,O
that,DT,O
mischief,NN,O
the,DT,O
doctrine,NN,O
originates,VBZ,O
in,IN,O
heydon,NN,O
s,NN,O
case,NN,O
where,WRB,O
the,DT,O
barons,NNS,O
of,IN,O
the,DT,O
exchequer,NN,O
resolved,VBD,O
that,IN,O
for,IN,O
the,DT,O
sure,JJ,O
and,CC,O
true,JJ,O
interpretation,NN,O
of,IN,O
all,DT,O
statutes,NNS,O
in,IN,O
general,JJ,O
be,VB,O
they,PRP,O
penal,JJ,O
or,CC,O
beneficial,JJ,O
restrictive,NN,O
or,CC,O
enlarging,NN,O
of,IN,O
the,DT,O
common,JJ,O
law,NN,O
four,CD,O
things,NNS,O
are,VBP,O
to,TO,O
be,VB,O
discerned,VBN,O
and,CC,O
considered,VBN,O
1,CD,O
what,WDT,O
was,VBD,O
the,DT,O
common,JJ,O
law,NN,O
before,IN,O
the,DT,O
making,NN,O
of,IN,O
the,DT,O
act,NN,O
2,CD,O
what,WDT,O
was,VBD,O
the,DT,O
mischief,NN,O
and,CC,O
defect,NN,O
