hl,NN,O
assets,NNS,O
included,VBD,O
land,NN,O
with,IN,O
factory,NN,O
building,NN,O
workshop,NN,O
building,NN,O
canteen,NN,O
building,VBG,O
godowns,NNS,O
quarters,NNS,O
and,CC,O
other,JJ,O
auxiliary,JJ,O
buildings,NNS,O
and,CC,O
also,RB,O
plant,NN,O
and,CC,O
machinery,NN,O
of,IN,O
the,DT,O
company,NN,B-LEGAL
in,IN,O
liquidation,NN,O
the,DT,O
terms,NNS,O
and,CC,O
conditions,NNS,O
of,IN,O
the,DT,O
sale,NN,O
of,IN,O
the,DT,O
assets,NNS,O
of,IN,O
the,DT,O
company,NN,B-LEGAL
expressly,RB,O
provided,VBD,O
inter,NN,O
alia,NN,O
that,IN,O
such,JJ,O
sale,NN,O
would,MD,O
be,VB,O
subject,JJ,O
to,TO,O
confirmation,NN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
and,CC,O
further,RB,O
subject,JJ,O
to,TO,O
any,DT,O
subsequent,JJ,O
terms,NNS,O
and,CC,O
conditions,NNS,O
as,IN,O
may,MD,O
be,VB,O
imposed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
7,CD,O
respondent,NN,O
no,DT,O
1,CD,O
auction,NN,O
purchaser,NN,O
in,IN,O
response,NN,O
to,TO,O
the,DT,O
notice,NN,O
inviting,VBG,O
tenders,NNS,O
issued,VBN,O
by,IN,O
the,DT,O
official,JJ,O
liquidator,NN,O
offered,VBD,O
to,TO,O
purchase,VB,O
lot,NN,O
nos,IN,O
1,CD,O
2,CD,O
for,IN,O
a,DT,O
total,JJ,O
amount,NN,O
of,IN,O
rs,NN,O
5,CD,O
76,CD,O
00,CD,O
000,CD,O
rupees,NNS,O
five,CD,O
crore,NNS,O
seventy,JJ,O
six,CD,O
lakh,IN,O
only,RB,O
by,IN,O
an,DT,O
offer,NN,O
letter,NN,O
dated,VBD,O
18122001,CD,O
it,PRP,O
was,VBD,O
expressly,RB,O
stated,VBN,O
therein,NN,O
that,IN,O
the,DT,O
said,VBD,O
amount,NN,O
would,MD,O
be,VB,O
inclusive,JJ,O
of,IN,O
all,DT,O
statutory,JJ,O
levies,NNS,O
such,JJ,O
as,IN,O
sales,NNS,O
tax,NN,O
central,JJ,O
sales,NNS,O
tax,NN,O
excise,NN,B-LEGAL
duty,NN,I-LEGAL
etc,FW,O
if,IN,O
any,DT,O
as,IN,O
may,MD,O
be,VB,O
applicable,JJ,O
after,IN,O
accepting,VBG,O
the,DT,O
offer,NN,O
so,RB,O
made,VBD,O
the,DT,O
official,JJ,O
liquidator,NN,O
had,VBD,O
placed,VBN,O
the,DT,O
same,JJ,O
before,IN,O
the,DT,O
learned,VBN,O
judge,NN,O
dealing,VBG,O
with,IN,O
the,DT,O
company,NN,B-LEGAL
matters,VBZ,O
for,IN,O
its,PRP$,O
confirmation,NN,O
8,CD,O
subsequent,NN,O
to,TO,O
the,DT,O
confirmation,NN,O
of,IN,O
the,DT,O
said,VBD,O
sale,NN,O
the,DT,O
auction,NN,O
purchaser,NN,O
being,VBG,O
desirous,JJ,O
to,TO,O
transport,VB,O
the,DT,O
purchased,JJ,O
assets,NNS,O
across,IN,O
the,DT,O
border,NN,O
of,IN,O
multiple,JJ,O
states,NNS,O
had,VBD,O
requested,VBN,O
the,DT,O
official,JJ,O
liquidator,NN,O
to,TO,O
incorporate,VB,O
the,DT,O
relevant,JJ,O
sales,NNS,O
tax,NN,O
registration,NN,O
numbers,NNS,O
in,IN,O
the,DT,O
sale,NN,O
invoices,NNS,O
vide,VBP,O
letter,NN,O
dated,VBN,O
29082002,CD,O
by,IN,O
letter,NN,O
dated,VBN,O
03092002,CD,O
the,DT,O
official,JJ,O
liquidator,NN,O
had,VBD,O
declined,VBN,O
to,TO,O
accede,VB,O
to,TO,O
the,DT,O
request,NN,O
so,RB,O
made,VBD,O
9,CD,O
subsequently,RB,O
the,DT,O
official,JJ,O
liquidator,NN,O
filed,VBD,O
an,DT,O
affidavit,NN,O
before,IN,O
the,DT,O
learned,VBN,O
single,JJ,O
judge,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
inter,NN,O
alia,VBD,O
stating,VBG,O
that,IN,O
the,DT,O
official,JJ,O
liquidator,NN,O
would,MD,O
neither,RB,O
be,VB,O
collecting,VBG,O
nor,CC,O
be,VB,O
paying,VBG,O
any,DT,O
cess,NN,O
or,CC,O
sales,NNS,O
tax,NN,O
in,IN,O
respect,NN,O
of,IN,O
the,DT,O
sale,NN,O
effected,VBN,O
by,IN,O
the,DT,O
respondent,NN,O
no,DT,O
2,CD,O
it,PRP,O
was,VBD,O
stated,VBN,O
that,IN,O
in,IN,O
the,DT,O
opinion,NN,O
of,IN,O
the,DT,O
official,JJ,O
liquidator,NN,O
the,DT,O
auction,NN,O
purchaser,NN,O
should,MD,O
be,VB,O
directed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
to,TO,O
meet,VB,O
any,DT,O
expenses,NNS,O
or,CC,O
liability,NN,O
towards,NNS,O
payment,NN,O
of,IN,O
cess,NN,O
sales,NNS,O
tax,NN,O
etc,NN,O
if,IN,O
and,CC,O
when,WRB,O
the,DT,O
same,JJ,O
becomes,VBZ,O
payable,JJ,O
10,CD,O
an,DT,O
application,NN,O
was,VBD,O
also,RB,O
filed,VBN,O
by,IN,O
the,DT,O
official,JJ,O
liquidator,NN,O
in,IN,O
the,DT,O
company,NN,B-LEGAL
petition,NN,O
before,IN,O
the,DT,O
learned,JJ,O
singe,NN,O
judge,NN,O
inter,NN,O
alia,IN,O
seeking,VBG,O
clarification,NN,O
on,IN,O
certain,JJ,O
aspects,NNS,O
of,IN,O
the,DT,O
matter,NN,O
including,VBG,O
whether,IN,O
the,DT,O
auction,NN,O
purchaser,NN,O
would,MD,O
be,VB,O
liable,JJ,O
to,TO,O
pay,VB,O
tax,NN,O
on,IN,O
the,DT,O
purchase,NN,O
of,IN,O
goods,NNS,O
pursuant,NN,O
to,TO,O
the,DT,O
auction,NN,O
conducted,VBN,O
and,CC,O
further,RBR,O
to,TO,O
direct,VB,O
the,DT,O
auction,NN,O
purchaser,NN,O
to,TO,O
pay,VB,O
any,DT,O
tax,NN,O
as,IN,O
may,MD,O
be,VB,O
leviable,JJ,O
by,IN,O
the,DT,O
sales,NNS,O
tax,NN,O
department,NN,O
the,DT,O
learned,VBN,O
single,JJ,O
judge,NN,O
after,IN,O
considering,VBG,O
the,DT,O
prayers,NNS,O
made,VBN,O
in,IN,O
the,DT,O
application,NN,O
has,VBZ,O
passed,VBN,O
an,DT,O
order,NN,O
in,IN,O
ca,MD,O
no,DT,O
293,CD,O
of,IN,O
2002,CD,O
and,CC,O
ca,MD,O
no,DT,O
333,CD,O
of,IN,O
2002,CD,O
in,IN,O
cp,NN,O
no,DT,O
2,CD,O
of,IN,O
1996,CD,O
dated,VBD,O
30102002,CD,O
wherein,NN,O
it,PRP,O
was,VBD,O
held,VBN,O
that,IN,O
the,DT,O
sale,NN,O
in,IN,O
question,NN,O
cannot,MD,O
be,RB,O
treated,VB,O
as,VBN,O
a,IN,O
sale,DT,O
by,NN,O
the,IN,O
central,DT,O
government,JJ,O
or,NN,O
by,CC,O
a,IN,O
registered,DT,O
dealer,JJ,O
entitled,NN,O
to,VBD,O
collect,TO,O
tax,VB,O
and,NN,O
further,CC,O
has,NN,O
observed,VBZ,O
that,VBN,O
the,IN,O
auction,DT,O
purchaser,NN,O
cannot,NN,O
be,MD,O
treated,RB,O
as,VB,O
a,VBN,O
dealer,IN,O
under,DT,O
the,NN,O
act,IN,O
1963,DT,O
and,NN,O
further,CD,O
that,CC,O
the,RBR,O
said,IN,O
sale,DT,O
in,VBD,O
question,NN,O
would,IN,O
not,NN,O
be,MD,O
exigible,RB,O
to,VB,O
sales,JJ,O
tax,TO,O
11,NNS,O
the,NN,O
appellant,CD,O
aggrieved,DT,O
by,NN,O
the,VBN,O
order,IN,O
of,DT,O
the,NN,O
learned,IN,O
single,DT,O
judge,VBN,O
filed,JJ,O
an,NN,O
appeal,VBD,O
against,DT,O
the,NN,O
order,IN,O
dated,DT,O
30102002,NN,O
inter,VBD,O
alia,CD,O
contending,NN,O
that,NN,O
the,VBG,O
official,IN,O
liquidator,DT,O
would,JJ,O
be,NN,O
bound,MD,O
to,VB,O
pay,VBN,O
sales,TO,O
tax,VB,O
as,NNS,O
and,NN,O
when,IN,O
a,CC,O
sale,WRB,O
of,DT,O
the,NN,O
assets,IN,O
of,DT,O
the,NNS,O
company,IN,B-LEGAL
in,DT,O
liquidation,NN,O
would,IN,O
be,NN,O
effected,MD,O
by,VB,O
him,VBN,O
the,IN,O
division,PRP,O
bench,DT,O
of,NN,O
the,NN,O
high,IN,O
court,DT,O
by,JJ,O
an,NN,O
order,IN,O
passed,DT,O
in,NN,O
mfa,VBN,O
no,IN,O
1394,NN,O
of,DT,O
2002,CD,O
observed,IN,O
that,CD,O
the,VBD,O
official,IN,O
liquidator,DT,O
would,JJ,O
not,NN,O
fall,MD,O
within,RB,O
the,VB,O
definition,IN,O
of,DT,O
dealer,NN,O
under,IN,O
the,NN,O
act,IN,O
1963,DT,O
dated,NN,O
11022003,CD,O
accordingly,VBD,O
the,CD,O
appeal,RB,O
was,DT,O
dismissed,NN,O
and,VBD,O
the,VBN,O
order,CC,O
of,DT,O
the,NN,O
learned,IN,O
single,DT,O
judge,VBN,O
was,JJ,O
confirmed,NN,O
12,VBD,O
aggrieved,VBN,O
by,CD,O
the,VBN,O
aforesaid,IN,O
order,DT,O
dated,JJ,O
11022003,NN,O
the,VBD,O
appellant,CD,O
filed,DT,O
review,NN,O
petition,VBD,O
no,NN,O
191,NN,O
of,DT,O
2003,CD,O
before,IN,O
the,CD,O
high,IN,O
court,DT,O
in,JJ,O
the,NN,O
review,IN,O
petition,DT,O
a,NN,O
new,NN,O
plea,DT,O
was,JJ,O
advanced,NN,O
by,VBD,O
the,VBN,O
appellant,IN,O
claiming,DT,O
that,JJ,O
even,NN,O
if,WDT,O
the,RB,O
official,IN,O
liquidator,DT,O
did,JJ,O
not,NN,O
fall,VBD,O
within,RB,O
the,VB,O
definition,IN,O
of,DT,O
dealer,NN,O
under,IN,O
the,NN,O
act,IN,O
1963,DT,O
section,NN,O
5a,CD,O
of,NN,O
the,CD,O
said,IN,O
act,DT,O
would,VBD,O
be,NN,O
attracted,MD,O
insofar,VB,O
as,VBN,O
the,RB,O
auction,IN,O
purchaser,DT,O
is,NN,O
concerned,NN,O
13,VBZ,O
by,VBN,O
the,CD,O
impugned,IN,O
judgments,DT,O
and,JJ,O
orders,NNS,O
passed,CC,O
in,NNS,O
review,VBN,O
petition,IN,O
no,NN,O
191,NN,O
of,DT,O
2003,CD,O
dated,IN,O
21032003,CD,O
the,VBD,O
high,CD,O
court,DT,O
held,JJ,O
that,NN,O
the,VBD,O
official,IN,O
liquidator,DT,O
cannot,JJ,O
be,NN,O
treated,MD,O
as,RB,O
a,VB,O
dealer,VBN,O
under,IN,O
the,DT,O
act,NN,O
1963,IN,O
and,DT,O
therefore,NN,O
it,CD,O
is,CC,O
not,VB,O
exigible,PRP,O
for,VBZ,O
payment,RB,O
of,JJ,O
sales,IN,O
tax,NN,O
however,IN,O
the,NNS,O
court,NN,O
was,RB,O
of,DT,O
the,NN,O
view,VBD,O
that,IN,O
the,DT,O
auction,NN,O
purchaser,IN,O
is,DT,O
liable,NN,O
to,NN,O
pay,VBZ,O
purchase,JJ,O
tax,TO,O
under,VB,O
section,NN,O
5a,NN,O
of,IN,O
the,NN,O
act,CD,O
1963,IN,O
issues,DT,O
14,NN,O
the,CD,O
issues,NNS,O
that,CD,O
arise,DT,O
for,NNS,O
the,WDT,O
consideration,VBP,O
in,IN,O
the,DT,O
present,NN,O
appeals,IN,O
are,DT,O
firstly,JJ,O
whether,NNS,O
the,VBP,O
official,RB,O
liquidator,IN,O
is,DT,O
a,JJ,O
dealer,NN,O
within,VBZ,O
the,DT,O
meaning,NN,O
of,IN,O
the,DT,O
act,NN,O
1963,IN,O
and,DT,O
secondly,NN,O
whether,CD,O
the,CC,O
official,RB,O
liquidator,IN,O
would,DT,O
be,JJ,O
required,NN,O
to,MD,O
pay,VB,O
sales,VBN,O
tax,TO,O
in,VB,O
respect,NNS,O
of,NN,O
sales,IN,O
effected,NN,O
pursuant,IN,O
to,NNS,O
a,VBN,O
winding,JJ,O
up,TO,O
proceedings,DT,O
submissions,VBG,O
15,RP,O
shri,NNS,O
v,NNS,O
giri,CD,O
learned,JJ,O
counsel,NN,O
for,NN,O
the,VBD,O
appellant,NN,O
submits,IN,O
that,DT,O
the,JJ,O
consistent,NNS,O
stand,IN,O
taken,DT,O
by,JJ,O
the,NN,O
revenue,VBN,O
is,IN,O
that,DT,O
the,NN,O
official,VBZ,O
liquidator,IN,O
is,DT,O
liable,JJ,O
to,NN,O
pay,VBZ,O
sales,JJ,O
tax,TO,O
on,VB,O
the,NNS,O
transaction,NN,O
in,IN,O
question,DT,O
he,NN,O
would,IN,O
state,NN,O
that,PRP,O
the,MD,O
official,NN,O
liquidator,IN,O
was,DT,O
held,JJ,O
to,NN,O
be,VBD,O
a,VBN,O
dealer,TO,O
under,VB,O
the,DT,O
act,NN,O
1963,IN,O
by,DT,O
the,NN,O
learned,CD,O
single,IN,O
judge,DT,O
as,VBN,O
well,JJ,O
as,NN,O
by,RB,O
the,RB,O
division,IN,O
bench,IN,O
of,DT,O
the,NN,O
high,NN,O
court,IN,O
and,DT,O
that,JJ,O
it,NN,O
is,CC,O
only,IN,O
in,PRP,O
review,VBZ,O
that,RB,O
the,IN,O
said,NN,O
finding,IN,O
was,DT,O
reversed,VBD,O
to,NN,O
support,VBD,O
the,VBN,O
decision,TO,O
of,VB,O
the,DT,O
learned,NN,O
single,IN,O
judge,DT,O
and,VBN,O
the,JJ,O
division,NN,O
bench,CC,O
of,DT,O
the,NN,O
high,NN,O
court,IN,O
he,DT,O
would,JJ,O
rely,NN,O
upon,PRP,O
the,MD,O
definition,VB,O
of,IN,O
dealer,DT,O
as,NN,O
provided,IN,O
under,NN,O
the,IN,O
act,VBN,O
1963,IN,O
and,DT,O
submit,NN,O
that,CD,O
the,CC,O
official,VB,O
liquidator,IN,O
is,DT,O
an,JJ,O
agent,NN,O
of,VBZ,O
the,DT,O
central,NN,O
government,IN,O
and,DT,O
therefore,JJ,O
would,NN,O
deemed,CC,O
to,RB,O
be,MD,O
a,VB,O
dealer,TO,O
as,VB,O
provided,DT,O
under,NN,O
explanation,IN,O
2,VBN,O
to,IN,O
section,NN,O
2viiif,CD,O
of,TO,O
the,NN,O
act,CD,O
1963,IN,O
to,DT,O
further,NN,O
substantiate,CD,O
his,TO,O
contention,RBR,O
he,VB,O
would,PRP$,O
refer,NN,O
to,PRP,O
the,MD,O
statement,VB,O
filed,TO,O
by,DT,O
the,NN,O
special,VBN,O
government,IN,O
pleader,DT,O
taxes,JJ,O
appearing,NN,O
for,NN,O
the,NNS,O
sales,VBG,O
tax,IN,O
authorities,DT,O
before,NNS,O
the,NN,O
learned,NNS,O
single,IN,O
judge,DT,O
of,VBN,O
the,JJ,O
high,NN,O
court,IN,O
wherein,DT,O
it,JJ,O
was,NN,O
categorically,VBD,O
stated,PRP,O
that,VBD,O
the,RB,O
official,VBN,O
liquidator,IN,O
would,DT,O
be,JJ,O
liable,NN,O
to,MD,O
pay,VB,O
tax,JJ,O
at,TO,O
the,VB,O
relevant,NN,O
rate,IN,O
under,DT,O
the,JJ,O
act,NN,O
1963,IN,O
whether,DT,O
or,NN,O
not,CD,O
he,IN,O
had,CC,O
collected,RB,O
the,PRP,O
same,VBD,O
from,VBN,O
the,DT,O
auction,JJ,O
purchaser,IN,O
16,DT,O
shri,NN,O
cs,NN,O
rajan,CD,O
learned,NN,O
counsel,NN,O
for,NN,O
the,VBD,O
official,NN,O
liquidator,IN,O
respondent,DT,O
no,JJ,O
2,NN,O
would,VBD,O
support,DT,O
the,CD,O
findings,MD,O
of,VB,O
the,DT,O
high,NNS,O
court,IN,O
in,DT,O
the,JJ,O
review,NN,O
petition,IN,O
and,DT,O
state,NN,O
that,NN,O
the,CC,O
official,NN,O
liquidator,IN,O
would,DT,O
not,JJ,O
be,NN,O
liable,MD,O
to,RB,O
pay,VB,O
any,JJ,O
tax,TO,O
under,VB,O
the,DT,O
act,NN,O
1963,IN,O
he,DT,O
would,NN,O
further,CD,O
state,PRP,O
that,MD,O
the,RB,O
liability,NN,O
would,IN,O
in,DT,O
fact,NN,O
be,MD,O
on,IN,O
the,NN,O
auction,VB,O
purchaser,IN,O
who,DT,O
would,NN,O
be,NN,O
exigible,WP,O
to,MD,O
purchase,VB,O
tax,JJ,O
under,TO,O
section,VB,O
5a,NN,O
of,IN,O
the,NN,O
act,CD,O
1963,IN,O
17,DT,O
shri,NN,O
rajan,CD,O
would,CD,O
then,NN,O
elaborate,NN,O
upon,MD,O
the,RB,O
nature,VB,O
of,IN,O
the,DT,O
activities,NN,O
carried,IN,O
on,DT,O
by,NNS,O
the,VBD,O
official,IN,O
liquidator,IN,O
and,DT,O
submit,JJ,O
that,NN,O
since,CC,O
an,NN,O
official,IN,O
liquidator,IN,O
is,DT,O
an,JJ,O
officer,NN,O
of,VBZ,O
the,DT,O
court,NN,O
he,IN,O
merely,DT,O
discharges,NN,O
statutory,PRP,O
functions,RB,O
imposed,VBZ,O
upon,JJ,O
him,NNS,O
and,VBN,O
therefore,IN,O
cannot,PRP,O
be,CC,O
held,RB,O
liable,MD,O
to,RB,O
pay,VB,O
tax,VBN,O
under,JJ,O
the,TO,O
act,VB,O
1963,NN,O
to,IN,O
support,DT,O
this,NN,O
submission,CD,O
he,TO,O
would,VB,O
further,DT,O
refer,NN,O
to,PRP,O
various,MD,O
provisions,RB,O
of,VB,O
the,TO,O
act,JJ,O
1956,NNS,O
and,IN,O
the,DT,O
companies,NN,O
court,CD,O
rules,CC,O
1959,DT,O
for,NNS,O
short,NN,O
the,NNS,O
rules,CD,O
1959,IN,O
shri,JJ,O
rajan,DT,O
would,NNS,O
lastly,CD,O
submit,NN,O
that,NN,O
since,MD,O
the,RB,O
official,VB,O
liquidator,IN,O
discharges,IN,O
statutory,DT,O
functions,JJ,O
of,NN,O
selling,VBZ,O
the,JJ,O
assets,NNS,O
of,IN,O
the,VBG,O
company,DT,B-LEGAL
in,NNS,O
liquidation,IN,O
he,DT,O
cannot,NN,O
be,IN,O
perceived,NN,O
to,PRP,O
be,MD,O
carrying,RB,O
on,VB,O
business,VBN,O
as,TO,O
defined,VB,O
under,VBG,O
the,IN,O
act,NN,O
1963,IN,O
and,VBN,O
thus,IN,O
cannot,DT,O
be,NN,O
exigible,CD,O
to,CC,O
tax,RB,O
18,MD,O
shri,RB,O
sk,VB,O
bagaria,JJ,O
learned,TO,O
senior,NN,O
counsel,CD,O
for,NN,O
the,NN,O
auction,NN,O
purchaser,VBD,O
would,JJ,O
submit,NN,O
that,IN,O
the,DT,O
question,NN,O
of,NN,O
payment,MD,O
of,VB,O
purchase,IN,O
tax,DT,O
could,NN,O
not,IN,O
arise,NN,O
because,IN,O
firstly,NN,O
the,NN,O
contention,MD,O
was,RB,O
raised,VB,O
for,RB,O
the,RB,O
first,DT,O
time,NN,O
in,VBD,O
the,VBN,O
review,IN,O
petition,DT,O
and,JJ,O
secondly,NN,O
the,IN,O
said,DT,O
tax,NN,O
is,NN,O
a,CC,O
single,RB,O
point,DT,O
levy,VBD,O
at,NN,O
the,VBZ,O
first,DT,O
point,JJ,O
of,NN,O
sale,NN,O
he,IN,O
would,DT,O
contend,JJ,O
that,NN,O
the,IN,O
auction,NN,O
purchaser,PRP,O
could,MD,O
not,VB,O
be,IN,O
made,DT,O
liable,NN,O
for,NN,O
a,MD,O
tax,RB,O
that,VB,O
was,VBN,O
not,JJ,O
even,IN,O
imposed,DT,O
or,NN,O
demanded,WDT,O
by,VBD,O
the,RB,O
competent,RB,O
authority,VBN,B-LEGAL
he,CC,O
would,VBN,O
then,IN,O
contend,DT,O
that,NN,O
the,NN,O
official,PRP,O
liquidator,MD,O
makes,RB,O
the,VB,O
sale,IN,O
on,DT,O
behalf,JJ,O
of,NN,O
the,VBZ,O
company,DT,B-LEGAL
