rk,NN,O
lotteries,NNS,O
b,VBN,O
by,IN,O
a,DT,O
subsequent,JJ,O
notification,NN,O
dated,VBD,O
27012005,CD,O
the,DT,O
state,NN,O
of,IN,O
kerala,NN,O
decided,VBD,O
to,TO,O
prohibit,VB,O
the,DT,O
sale,NN,O
of,IN,O
all,DT,O
lotteries,NNS,O
organized,VBN,O
conducted,VBD,O
or,CC,O
promoted,VBN,O
by,IN,O
the,DT,O
state,NN,O
as,RB,O
well,RB,O
as,IN,O
by,IN,O
every,DT,O
other,JJ,O
state,NN,O
government,NN,O
in,IN,O
the,DT,O
state,NN,O
of,IN,O
kerala,NN,O
with,IN,O
immediate,JJ,O
effect,NN,O
and,CC,O
declared,VBD,O
that,IN,O
the,DT,O
state,NN,O
shall,MD,O
hereafter,RB,O
be,VB,O
a,DT,O
lottery,JJ,O
free,JJ,O
zone,NN,O
c,VBD,O
the,DT,O
state,NN,O
of,IN,O
kerala,NN,O
in,IN,O
partial,JJ,O
modification,NN,O
of,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
27012005,CD,O
issued,VBD,O
a,DT,O
subsequent,JJ,O
notification,NN,O
dated,VBD,O
22042005,CD,O
permitting,VBG,O
the,DT,O
sale,NN,O
of,IN,O
paper,NN,O
lotteries,NNS,O
organized,VBN,O
conducted,VBD,O
or,CC,O
promoted,VBN,O
by,IN,O
every,DT,O
state,NN,O
government,NN,O
including,VBG,O
the,DT,O
state,NN,O
of,IN,O
kerala,NN,O
and,CC,O
the,DT,O
prohibition,NN,B-LEGAL
imposed,VBN,O
on,IN,O
the,DT,O
sale,NN,O
of,IN,O
computerized,JJ,O
and,CC,O
on,IN,O
line,NN,O
lottery,JJ,O
tickets,NNS,O
organized,VBN,O
conducted,VBD,O
or,CC,O
promoted,VBN,O
by,IN,O
every,DT,O
state,NN,O
government,NN,O
continued,VBD,O
to,TO,O
remain,VB,O
in,IN,O
force,NN,O
declaring,VBG,O
the,DT,O
territory,NN,O
of,IN,O
the,DT,O
state,NN,O
of,IN,O
kerala,NN,O
to,TO,O
be,VB,O
online,JJ,O
internet,NN,O
and,CC,O
computerized,JJ,O
lotteries,NNS,O
free,VBP,O
zone,NN,O
d,NN,O
being,VBG,O
aggrieved,VBN,O
by,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
22042005,CD,O
discriminating,VBG,O
between,IN,O
the,DT,O
paper,NN,O
lotteries,NNS,O
and,CC,O
online,JJ,O
lotteries,NNS,O
the,DT,O
all,DT,O
kerala,FW,O
online,JJ,O
lottery,NN,O
dealers,NNS,O
association,VBP,O
state,NN,O
of,IN,O
sikkim,NN,O
and,CC,O
one,CD,O
sreekala,NN,O
and,CC,O
others,NNS,O
filed,VBD,O
writ,JJ,O
petition,NN,O
c,VBD,O
nos,RB,O
19582,CD,O
14495,CD,O
and,CC,O
16063,CD,O
of,IN,O
2005,CD,O
respectively,RB,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
e,VBD,O
a,DT,O
learned,VBN,O
single,JJ,O
judge,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
by,IN,O
judgment,NN,O
and,CC,O
order,NN,O
dated,VBD,O
27072005,CD,O
dismissed,VBD,O
the,DT,O
writ,NN,O
petitions,NNS,O
f,VBP,O
being,VBG,O
aggrieved,VBN,O
by,IN,O
the,DT,O
decision,NN,O
of,IN,O
the,DT,O
learned,VBN,O
single,JJ,O
judge,NN,O
the,DT,O
petitioners,NNS,O
therein,VBP,O
preferred,JJ,O
writ,NN,O
appeal,NN,O
nos,IN,O
2011,CD,O
2012,CD,O
and,CC,O
2235,CD,O
of,IN,O
2005,CD,O
before,IN,O
the,DT,O
division,NN,O
bench,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
g,VBD,O
the,DT,O
division,NN,O
bench,NN,O
by,IN,O
a,DT,O
common,JJ,B-LEGAL
judgment,NN,I-LEGAL
and,CC,O
order,NN,O
dated,VBD,O
23052006,CD,O
dismissed,VBD,O
the,DT,O
appeals,NNS,O
h,NN,O
against,IN,O
the,DT,O
said,VBD,O
order,NN,O
the,DT,O
appellants,NNS,O
have,VBP,O
preferred,VBN,O
these,DT,O
appeals,NNS,O
by,IN,O
way,NN,O
of,IN,O
special,JJ,O
leave,NN,O
before,IN,O
this,DT,O
court,NN,O
writ,NN,O
petition,NN,O
c,VBD,O
nos,JJ,O
641,CD,O
of,IN,O
2007,CD,O
and,CC,O
233,CD,O
of,IN,O
2010,CD,O
a,DT,O
one,CD,O
bibhash,NN,O
karmakar,VBD,O
the,DT,O
petitioner,NN,O
herein,NN,O
has,VBZ,O
filed,VBN,O
the,DT,O
above,JJ,O
petitions,NNS,O
in,IN,O
public,JJ,O
interest,NN,O
alleging,VBG,O
that,IN,O
the,DT,O
states,NNS,O
of,IN,O
sikkim,JJ,O
nagaland,NN,O
and,CC,O
goa,NN,O
are,VBP,O
running,VBG,O
lottery,NN,O
business,NN,O
contrary,NN,O
to,TO,O
the,DT,O
provisions,NNS,O
of,IN,O
the,DT,O
act,NN,O
which,WDT,O
is,VBZ,O
detrimental,JJ,O
to,TO,O
the,DT,O
society,NN,O
as,IN,O
a,DT,O
whole,JJ,O
b,NN,O
this,DT,O
court,NN,O
by,IN,O
order,NN,O
dated,VBD,O
27112009,CD,O
in,IN,O
writ,JJ,O
petition,NN,O
c,VBZ,O
no,DT,O
641,CD,O
of,IN,O
2007,CD,O
directed,VBD,O
the,DT,O
state,NN,O
to,TO,O
explain,VB,O
as,IN,O
to,TO,O
whether,IN,O
the,DT,O
state,NN,O
of,IN,O
sikkim,NN,O
is,VBZ,O
running,VBG,O
lottery,NN,O
business,NN,O
contrary,NN,O
to,TO,O
the,DT,O
provisions,NNS,O
of,IN,O
section,NN,O
4,CD,O
of,IN,O
the,DT,O
act,NN,O
in,IN,O
response,NN,O
to,TO,O
the,DT,O
above,IN,O
the,DT,O
state,NN,O
government,NN,O
filed,VBD,O
an,DT,O
affidavit,NN,O
dated,VBD,O
10122009,CD,O
before,IN,O
this,DT,O
court,NN,O
denying,VBG,O
all,PDT,O
the,DT,O
irregularities,NNS,B-LEGAL
as,IN,O
claimed,VBN,O
by,IN,O
the,DT,O
petitioner,NN,O
herein,NN,O
and,CC,O
cited,VBD,O
various,JJ,O
provisions,NNS,O
of,IN,O
the,DT,O
act,NN,O
as,RB,O
well,RB,O
as,IN,O
the,DT,O
sikkim,NN,O
online,NN,O
network,NN,O
lottery,NN,O
rules,NNS,O
2001,CD,O
to,TO,O
show,VB,O
that,IN,O
the,DT,O
lottery,NN,O
business,NN,O
in,IN,O
the,DT,O
state,NN,O
is,VBZ,O
in,IN,O
consonance,NN,O
with,IN,O
the,DT,O
pre,NN,O
existing,VBG,O
rules,NNS,O
and,CC,O
regulations,NNS,O
c,VBP,O
this,DT,O
court,NN,O
by,IN,O
order,NN,O
dated,VBD,O
21062010,CD,O
tagged,JJ,O
writ,NN,O
petition,NN,O
c,VBZ,O
no,DT,O
233,CD,O
of,IN,O
2010,CD,O
with,IN,O
writ,JJ,O
petition,NN,O
c,VBZ,O
no,DT,O
641,CD,O
of,IN,O
2007,CD,O
3,CD,O
heard,VBD,O
the,DT,O
arguments,NNS,O
advanced,VBN,O
by,IN,O
learned,JJ,O
senior,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
parties,NNS,O
and,CC,O
perused,VBD,O
the,DT,O
records,NNS,O
since,IN,O
a,DT,O
common,JJ,B-LEGAL
question,NN,I-LEGAL
of,IN,I-LEGAL
law,NN,I-LEGAL
and,CC,O
facts,NNS,O
arise,VBP,O
in,IN,O
these,DT,O
appeals,NNS,O
and,CC,O
petitions,NNS,O
they,PRP,O
are,VBP,O
being,VBG,O
disposed,VBN,O
of,IN,O
by,IN,O
this,DT,O
common,JJ,B-LEGAL
judgment,NN,I-LEGAL
points,NNS,O
for,IN,O
consideration,NN,O
4,CD,O
the,DT,O
sole,JJ,O
question,NN,O
for,IN,O
consideration,NN,O
before,IN,O
this,DT,O
court,NN,O
is,VBZ,O
whether,IN,O
the,DT,O
state,NN,O
government,NN,O
can,MD,O
discriminate,VB,O
between,IN,O
the,DT,O
paper,NN,O
lottery,NN,O
and,CC,O
online,JJ,O
lottery,NN,O
in,IN,O
pursuance,NN,O
of,IN,O
the,DT,O
provision,NN,O
of,IN,O
section,NN,O
5,CD,O
of,IN,O
the,DT,O
act,NN,O
rival,JJ,O
submissions,NNS,O
5,CD,O
learned,VBD,O
senior,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
appellants,NNS,O
contended,VBD,O
before,IN,O
this,DT,O
court,NN,O
that,WDT,O
online,JJ,O
lottery,NN,O
is,VBZ,O
also,RB,O
a,DT,O
lottery,NN,O
as,IN,O
defined,VBN,O
under,IN,O
section,NN,O
2b,CD,O
of,IN,O
the,DT,O
act,NN,O
so,RB,O
if,IN,O
the,DT,O
state,NN,O
government,NN,O
intends,VBZ,O
to,TO,O
prohibit,VB,O
the,DT,O
same,JJ,O
it,PRP,O
has,VBZ,O
to,TO,O
prohibit,VB,O
all,PDT,O
the,DT,O
lotteries,NNS,O
whether,IN,O
paper,NN,O
or,CC,O
online,VB,O
the,DT,O
selective,JJ,O
prohibition,NN,B-LEGAL
of,IN,O
the,DT,O
sale,NN,O
of,IN,O
online,JJ,O
lottery,JJ,O
tickets,NNS,O
is,VBZ,O
impermissible,JJ,O
in,IN,O
the,DT,O
light,NN,O
of,IN,O
section,NN,O
5,CD,O
of,IN,O
the,DT,O
act,NN,O
as,IN,O
interpreted,VBN,O
by,IN,O
this,DT,O
court,NN,O
in,IN,O
br,NN,O
enterprises,NNS,O
v,VBP,O
state,NN,O
of,IN,O
up,RB,O
and,CC,O
ors,NNS,O
manu,VBP,O
sc,JJ,O
0330,CD,O
1999manu,CD,O
sc,NN,O
0330,CD,O
1999,CD,O
1999,CD,O
9,CD,O
scc,NN,O
700,CD,O
the,DT,O
distinction,NN,O
drawn,VBN,O
by,IN,O
the,DT,O
state,NN,O
government,NN,O
between,IN,O
paper,NN,O
lottery,NN,O
and,CC,O
online,JJ,O
lottery,NN,O
is,VBZ,O
discriminatory,JJ,B-LEGAL
and,CC,O
violative,NN,O
of,IN,O
article,NN,O
14,CD,O
of,IN,O
the,DT,O
constitution,NN,B-LEGAL
of,IN,I-LEGAL
india,NN,I-LEGAL
learned,VBN,O
senior,JJ,O
counsel,NN,O
further,RBR,O
contended,VBD,O
that,IN,O
the,DT,O
impugned,JJ,O
notification,NN,O
is,VBZ,O
vitiated,VBN,O
by,IN,O
mala,NN,O
fides,NNS,O
it,PRP,O
was,VBD,O
further,RBR,O
alleged,VBD,O
that,IN,O
the,DT,O
state,NN,O
government,NN,O
is,VBZ,O
being,VBG,O
controlled,VBN,O
by,IN,O
the,DT,O
paper,NN,O
lottery,NN,O
mafia,NN,O
and,CC,O
under,IN,O
its,PRP$,O
influence,NN,O
the,DT,O
sale,NN,O
of,IN,O
online,JJ,O
lottery,NN,O
tickets,NNS,O
has,VBZ,O
been,VBN,O
prohibited,VBN,O
the,DT,O
state,NN,O
government,NN,O
does,VBZ,O
not,RB,O
have,VB,O
the,DT,O
competence,NN,O
to,TO,O
issue,VB,O
the,DT,O
impugned,JJ,O
notification,NN,O
though,IN,O
the,DT,O
state,NN,O
government,NN,O
is,VBZ,O
competent,JJ,O
to,TO,O
legislate,VB,O
on,IN,O
lotteries,NNS,O
by,IN,O
virtue,NN,O
of,IN,O
item,NN,O
34,CD,O
of,IN,O
list,NN,O
ii,NN,O
concerning,VBG,O
betting,NN,B-LEGAL
and,CC,I-LEGAL
gambling,VBG,I-LEGAL
the,DT,O
power,NN,O
to,TO,O
legislate,VB,O
on,IN,O
lotteries,NNS,O
organized,VBN,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
or,CC,O
the,DT,O
government,NN,O
of,IN,O
a,DT,O
state,NN,O
is,VBZ,O
the,DT,O
exclusive,JJ,O
preserve,NN,O
of,IN,O
the,DT,O
parliament,NN,B-LEGAL
by,IN,O
virtue,NN,O
of,IN,O
entry,NN,O
40,CD,O
of,IN,O
list,NN,O
i,NN,O
of,IN,O
the,DT,O
seventh,JJ,B-LEGAL
schedule,NN,I-LEGAL
so,IN,O
the,DT,O
state,NN,O
government,NN,O
which,WDT,O
is,VBZ,O
incompetent,JJ,O
to,TO,O
legislate,VB,O
on,IN,O
lotteries,NNS,O
run,VBN,O
by,IN,O
other,JJ,O
states,NNS,O
has,VBZ,O
no,DT,O
power,NN,O
to,TO,O
issue,VB,O
the,DT,O
impugned,JJ,O
notification,NN,O
the,DT,O
state,NN,O
government,NN,O
without,IN,O
legislative,JJ,B-LEGAL
competence,NN,I-LEGAL
has,VBZ,O
ventured,VBN,O
to,TO,O
prohibit,VB,O
online,JJ,O
lottery,NN,O
which,WDT,O
is,VBZ,O
totally,RB,O
fraudulent,JJ,O
and,CC,O
colourable,JJ,O
exercise,NN,O
of,IN,O
the,DT,O
power,NN,O
6,CD,O
learned,VBD,O
senior,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
appellants,NNS,O
further,RB,O
pointed,VBD,O
out,RP,O
that,IN,O
the,DT,O
contention,NN,O
that,WDT,O
online,JJ,O
lottery,NN,O
was,VBD,O
not,RB,O
in,IN,O
the,DT,O
contemplation,NN,O
of,IN,O
the,DT,O
parliament,NN,B-LEGAL
or,CC,O
the,DT,O
court,NN,O
cannot,MD,O
be,RB,O
accepted,VB,O
the,VBN,O
act,DT,O
has,NN,O
to,VBZ,O
be,TO,O
interpreted,VB,O
to,VBN,O
adapt,TO,O
it,VB,O
to,PRP,O
the,TO,O
changing,DT,O
times,VBG,O
according,NNS,O
to,VBG,O
learned,TO,O
senior,VBN,O
counsel,JJ,O
the,NN,O
parliament,DT,B-LEGAL
was,NN,O
well,VBD,O
aware,RB,O
about,JJ,O
the,IN,O
growing,DT,O
advancement,VBG,O
of,NN,O
science,IN,O
and,NN,O
technology,CC,O
and,NN,O
the,CC,O
use,DT,O
of,NN,O
electronic,IN,O
media,JJ,O
in,NNS,O
future,IN,O
days,JJ,O
to,NNS,O
come,TO,O
and,VB,O
therefore,CC,O
when,RB,O
it,WRB,O
defined,PRP,O
lottery,VBD,O
under,NN,O
section,IN,O
2b,NN,O
of,CD,O
the,IN,O
act,DT,O
it,NN,O
included,PRP,O
also,VBD,O
the,RB,O
online,DT,O
lottery,JJ,O
or,NN,O
internet,CC,O
lottery,NN,O
which,NN,O
may,WDT,O
come,MD,O
into,VB,O
existence,IN,O
in,NN,O
future,IN,O
it,JJ,O
was,PRP,O
further,VBD,O
submitted,RBR,O
that,VBN,O
the,IN,O
provision,DT,O
contained,NN,O
in,VBN,O
section,IN,O
5,NN,O
of,CD,O
the,IN,O
act,DT,O
would,NN,O
empower,MD,O
the,VB,O
state,DT,O
government,NN,O
to,NN,O
prohibit,TO,O
the,VB,O
sale,DT,O
of,NN,O
tickets,IN,O
of,NNS,O
all,IN,O
the,PDT,O
lotteries,DT,O
and,NNS,O
it,CC,O
cannot,PRP,O
be,MD,O
restricted,RB,O
only,VB,O
to,VBN,O
online,RB,O
or,TO,O
internet,VB,O
lotteries,CC,O
he,VB,O
further,NNS,O
submitted,PRP,O
that,RB,O
if,VBD,O
it,IN,O
is,IN,O
to,PRP,O
be,VBZ,O
taken,TO,O
that,VB,O
the,VBN,O
online,IN,O
lottery,DT,O
is,JJ,O
a,NN,O
class,VBZ,O
of,DT,O
lotteries,NN,O
for,IN,O
which,NNS,O
the,IN,O
state,WDT,O
government,DT,O
is,NN,O
empowered,NN,O
to,VBZ,O
prohibit,VBN,O
then,TO,O
it,VB,O
is,RB,O
only,PRP,O
the,VBZ,O
parliament,RB,B-LEGAL
which,DT,O
can,NN,O
classify,WDT,O
the,MD,O
same,VB,O
and,DT,O
the,JJ,O
state,CC,O
of,DT,O
kerala,NN,O
has,IN,O
no,NN,O
power,VBZ,O
to,DT,O
do,NN,O
so,TO,O
according,VB,O
to,RB,O
him,VBG,O
the,TO,O
central,PRP,O
government,DT,O
framed,JJ,O
the,NN,O
lotteries,VBD,O
regulation,DT,B-LEGAL
rules,NNS,O
2010,NN,O
in,NNS,O
short,CD,O
the,IN,O
rules,JJ,O
under,DT,O
sub,NNS,O
section,IN,O
1,NN,O
of,NN,O
section,CD,O
11,IN,O
of,NN,O
the,CD,O
act,IN,O
and,DT,O
defined,NN,O
online,CC,O
lotteries,JJ,O
under,NN,O
rule,NNS,O
2e,IN,O
of,NN,O
the,CD,O
rules,IN,O
that,DT,O
too,NNS,O
for,WDT,O
the,RB,O
first,IN,O
time,DT,O
in,JJ,O
the,NN,O
year,IN,O
2010,DT,O
therefore,NN,O
the,CD,O
state,IN,O
government,DT,O
had,NN,O
no,NN,O
right,VBD,O
or,DT,O
jurisdiction,NN,B-LEGAL
to,CC,O
prohibit,NN,O
the,TO,O
online,VB,O
lottery,DT,O
in,JJ,O
the,NN,O
year,IN,O
2005,DT,O
the,NN,O
principles,CD,O
laid,DT,O
down,NNS,O
in,VBP,O
br,RP,O
enterprises,IN,O
supra,JJ,O
will,NNS,O
apply,VBP,O
to,MD,O
all,VB,O
types,TO,O
of,DT,O
lotteries,NNS,O
and,IN,O
a,NNS,O
judgment,CC,O
of,DT,O
this,NN,O
court,IN,O
cannot,DT,O
be,NN,O
ignored,MD,O
merely,RB,O
by,VB,O
saying,VBN,O
that,RB,O
it,IN,O
failed,VBG,O
to,IN,O
consider,PRP,O
some,VBD,O
point,TO,O
or,VB,O
other,DT,O
7,NN,O
learned,CC,O
senior,JJ,O
counsel,CD,O
further,VBN,O
contended,JJ,O
that,NN,O
this,RBR,O
court,VBD,O
in,IN,O
br,DT,O
enterprises,NN,O
supra,IN,O
has,NN,O
read,NNS,O
down,NN,O
section,VBZ,O
5,VBN,O
of,RP,O
the,NN,O
act,CD,O
to,IN,O
save,DT,O
it,NN,O
from,TO,O
the,VB,O
vice,PRP,O
of,IN,O
unconstitutionality,DT,O
emanating,NN,O
from,IN,O
conferring,NN,O
unbridled,VBG,O
power,IN,O
on,VBG,O
the,JJ,O
state,NN,O
which,IN,O
may,DT,O
be,NN,O
termed,WDT,O
as,MD,O
abdication,VB,O
of,VBN,O
the,IN,O
essential,NN,O
legislative,IN,B-LEGAL
function,DT,I-LEGAL
by,JJ,O
failing,JJ,O
to,NN,O
provide,IN,O
guidelines,VBG,O
for,TO,O
the,VB,O
exercise,NNS,O
of,IN,O
that,DT,O
power,NN,O
in,IN,O
the,DT,O
said,NN,O
decision,IN,O
in,DT,O
paragraphs,VBD,O
84,NN,O
and,IN,O
87,NN,O
it,CD,O
was,CC,O
held,CD,O
as,PRP,O
follows,VBD,O
84,VBN,O
in,IN,O
section,VBZ,O
2b,CD,O
lotteries,IN,O
are,NN,O
defined,CD,O
to,NNS,O
be,VBP,O
a,VBN,O
scheme,TO,O
for,VB,O
distribution,DT,O
of,NN,O
prizes,IN,O
by,NN,O
a,IN,O
lot,NNS,O
or,IN,O
chance,DT,O
this,NN,O
definition,CC,B-LEGAL
itself,NN,O
recognizes,DT,O
that,NN,O
even,PRP,O
in,VBZ,O
state,IN,O
lotteries,RB,O
the,IN,O
prizes,NN,O
are,NNS,O
to,DT,O
be,NNS,O
collected,VBP,O
by,TO,O
chance,VB,O
without,VBN,O
any,IN,O
skill,NN,O
hence,IN,O
gambling,DT,O
in,NN,O
nature,NN,O
section,VBG,O
3,IN,O
prohibits,JJ,O
that,NN,O
no,CD,O
state,NNS,O
lotteries,IN,O
can,DT,O
be,NN,O
organized,NNS,O
without,MD,O
the,VB,O
condition,VBN,O
stipulated,IN,O
under,DT,O
clauses,NN,O
a,VBD,O
to,IN,O
k,NNS,O
of,DT,O
section,TO,O
4,NN,O
section,IN,O
4,NN,O
provides,CD,O
the,NN,O
conditions,CD,O
to,VBZ,O
be,DT,O
complied,NNS,O
with,TO,O
by,VB,O
the,VBN,O
state,IN,O
lotteries,IN,O
to,DT,O
initiate,NN,O
any,NNS,O
state,TO,O
lottery,VB,O
it,DT,O
is,NN,O
left,NN,O
to,PRP,O
the,VBZ,O
policy,VBN,O
of,TO,O
each,DT,O
state,NN,O
for,IN,O
this,DT,O
act,NN,O
is,IN,O
silent,DT,O
the,NN,O
only,VBZ,O
control,JJ,O
is,DT,O
in,JJ,O
case,NN,O
it,VBZ,O
decides,IN,O
then,NN,O
it,PRP,O
must,VBZ,O
follow,RB,O
the,PRP,O
conditions,MD,O
as,VB,O
laid,DT,O
down,NNS,O
under,IN,O
section,VBN,O
4,RP,O
next,IN,O
comes,NN,O
section,CD,O
5,JJ,O
which,VBZ,O
is,NN,O
subject,CD,O
matter,WDT,O
of,VBZ,O
challenge,JJ,O
the,NN,O
delegation,IN,B-LEGAL
of,NN,I-LEGAL
power,DT,I-LEGAL
to,NN,O
the,IN,O
state,NN,O
to,TO,O
prohibit,DT,O
the,NN,O
sale,TO,O
of,VB,O
lottery,DT,O
tickets,NN,O
organized,IN,O
by,JJ,O
every,NNS,O
other,VBN,O
state,IN,O
if,DT,O
a,JJ,O
state,NN,O
desires,IN,O
not,DT,O
to,NN,O
subject,VBZ,O
its,RB,O
people,TO,O
to,VB,O
the,PRP$,O
lottery,NNS,O
gambling,TO,O
it,DT,O
has,NN,O
no,VBG,O
power,PRP,O
to,VBZ,O
restrict,DT,O
lotteries,NN,O
organized,TO,O
by,VB,O
other,NNS,O
states,VBN,O
it,IN,O
is,JJ,O
to,NNS,O
remove,PRP,O
this,VBZ,O
mischief,TO,O
that,VB,O
power,DT,O
is,NN,O
conferred,DT,O
through,NN,O
delegation,VBZ,B-LEGAL
to,VBN,O
the,IN,O
states,NN,O
to,TO,O
do,DT,O
it,NNS,O
in,TO,O
terms,VB,O
of,PRP,O
their,IN,O
own,NNS,O
policy,IN,O
by,PRP$,O
virtue,JJ,O
of,NN,O
this,IN,O
now,NN,O
the,IN,O
state,DT,O
government,RB,O
can,DT,O
prohibit,NN,O
sale,NN,O
of,MD,O
lottery,VB,O
tickets,NN,O
of,IN,O
every,JJ,O
other,NNS,O
state,IN,O
within,DT,O
its,JJ,O
territory,NN,O
next,IN,O
section,PRP$,O
6,NN,O
seeks,JJ,O
strict,NN,O
compliance,CD,O
with,NN,O
section,NN,O
4,NN,O
under,IN,O
this,NN,O
the,CD,O
central,IN,O
government,DT,O
may,DT,O
prohibit,JJ,O
any,NN,O
state,MD,O
lottery,VB,O
which,DT,O
is,NN,O
being,NN,O
conducted,WDT,O
in,VBZ,O
contravention,VBG,B-LEGAL
of,VBN,O
the,IN,O
conditions,NN,O
as,IN,O
laid,DT,O
down,NNS,O
under,IN,O
section,VBN,O
4,RP,O
or,IN,O
section,NN,O
5,CD,O
section,CC,O
7,NN,O
shows,CD,O
the,NN,O
rigour,CD,O
of,VBZ,O
this,DT,O
act,NN,O
by,IN,O
making,DT,O
it,NN,O
a,IN,O
penal,VBG,O
offence,PRP,O
as,DT,O
against,JJ,O
all,NN,O
who,IN,O
violate,IN,O
the,DT,O
provisions,WP,O
of,VBP,O
this,DT,O
act,NNS,O
be,IN,O
it,DT,O
is,NN,O
head,VB,O
of,PRP,O
the,VBZ,O
department,NN,O
of,IN,O
the,DT,O
government,NN,O
or,IN,O
the,DT,O
agent,NN,O
promoter,CC,O
or,DT,O
trader,JJ,O
to,NN,O
be,CC,O
punishable,NN,O
with,TO,O
two,VB,O
years,JJ,O
rigorous,IN,O
imprisonment,CD,O
section,NNS,O
8,JJ,O
makes,JJ,O
such,NN,O
an,CD,O
offence,VBZ,O
cognizable,PDT,O
and,DT,O
non,NN,O
bailable,NN,O
similarly,CC,O
section,NN,O
9,JJ,O
deals,JJ,O
with,NN,O
offences,CD,O
committed,NNS,O
by,IN,O
the,NNS,O
companies,VBN,O
section,IN,O
10,DT,O
entrusts,NNS,O
the,VBP,O
central,CD,O
government,VBZ,B-LEGAL
power,DT,I-LEGAL
to,JJ,O
give,NN,O
directions,NN,O
to,TO,O
the,VB,O
state,NNS,O
government,TO,O
for,DT,O
carrying,NN,O
into,NN,O
execution,IN,O
the,VBG,O
provisions,IN,O
of,NN,O
this,DT,O
act,NNS,O
rule,IN,O
or,DT,O
order,NN,O
sections,NN,O
11,CC,O
and,NN,O
12,NNS,O
are,CD,O
the,CC,O
rule,CD,O
making,VBP,O
power,DT,O
entrusted,NN,O
to,VBG,O
the,NN,O
central,VBN,O
and,TO,O
the,DT,O
state,JJ,O
governments,CC,O
respectively,DT,O
section,NN,O
13,NNS,O
repeals,RB,O
the,VBP,O
ordinance,CD,O
thus,NNS,O
the,DT,O
whole,NN,O
act,RB,O
makes,DT,O
clear,JJ,O
that,NN,O
the,VBZ,O
subject,JJ,O
it,IN,O
is,DT,O
dealing,NN,O
with,PRP,O
is,VBZ,O
gambling,VBG,O
in,IN,O
nature,VBZ,O
the,VBG,O
object,IN,O
of,NN,O
the,DT,O
act,NN,O
is,IN,O
not,DT,O
to,NN,O
control,VBZ,O
the,RB,O
policy,TO,B-LEGAL
decision,VB,I-LEGAL
of,DT,O
each,NN,O
state,NN,O
to,IN,O
start,DT,O
or,NN,O
to,TO,O
close,VB,O
its,CC,O
lotteries,TO,O
but,VB,O
