n,JJ,O
collector,NN,O
of,IN,O
customs,NNS,O
vide,IN,O
his,PRP$,O
order,NN,B-LEGAL
dated,VBD,O
1631993,CD,O
held,VBD,O
that,IN,O
duty,NN,O
amounting,VBG,O
to,TO,O
rs,VB,O
1,CD,O
50,CD,O
11,CD,O
858,CD,O
was,VBD,O
leviable,JJ,O
on,IN,O
the,DT,O
goods,NNS,B-LEGAL
cleared,VBN,O
by,IN,O
m,NN,O
s,NN,O
virgo,NN,O
steels,NNS,O
and,CC,O
after,IN,O
giving,VBG,O
deductions,NNS,O
for,IN,O
such,JJ,O
amounts,NNS,O
already,RB,O
deposited,VBN,O
by,IN,O
them,PRP,O
a,DT,O
demand,NN,B-LEGAL
for,IN,O
the,DT,O
balance,NN,O
sum,NN,O
of,IN,O
rs,NN,O
72,CD,O
02,CD,O
060,CD,O
was,VBD,O
made,VBN,O
on,IN,O
m,NN,O
s,NN,O
virgo,NN,O
steels,NNS,O
along,IN,O
with,IN,O
a,DT,O
penalty,NN,O
of,IN,O
rs,NN,O
5,CD,O
lacs,NN,O
in,IN,O
regard,NN,O
to,TO,O
acc,VB,O
the,DT,O
collector,NN,O
imposed,VBD,O
a,DT,O
penalty,NN,O
of,IN,O
rs,NN,O
5,CD,O
lacs,NN,O
for,IN,O
having,VBG,O
abetted,VBN,O
the,DT,O
illegal,JJ,O
import,NN,B-LEGAL
of,IN,O
the,DT,O
said,VBD,O
sale,NN,O
4,CD,O
m,NN,O
s,NN,O
virgo,NN,O
steels,NNS,O
and,CC,O
acc,NNS,O
preferred,VBD,O
their,PRP$,O
respective,JJ,O
appeals,NNS,O
before,IN,O
the,DT,O
customs,NNS,O
excise,VB,O
gold,NN,B-LEGAL
control,NN,O
appellate,JJ,O
tribunal,NN,B-LEGAL
for,IN,O
short,JJ,O
the,DT,O
tribunal,JJ,B-LEGAL
the,DT,O
tribunal,JJ,B-LEGAL
by,IN,O
the,DT,O
impugned,JJ,O
order,NN,B-LEGAL
though,IN,O
rejected,VBD,O
the,DT,O
contention,NN,O
of,IN,O
m,NN,O
s,NN,O
virgo,NN,O
steels,NNS,O
as,IN,O
to,TO,O
the,DT,O
genuineness,NN,O
of,IN,O
the,DT,O
imports,NNS,O
still,RB,O
allowed,VBD,O
their,PRP$,O
appeal,NN,O
holding,VBG,O
that,IN,O
the,DT,O
non,JJ,O
issuance,NN,O
of,IN,O
show,NN,B-LEGAL
cause,NN,I-LEGAL
notice,NN,I-LEGAL
as,IN,O
required,VBN,O
under,IN,O
section,NN,O
28,CD,O
of,IN,O
the,DT,O
act,NN,O
had,VBD,O
vitiated,VBN,O
the,DT,O
proceedings,NNS,O
initiated,VBN,O
by,IN,O
the,DT,O
collector,NN,O
of,IN,O
customs,NNS,O
hence,RB,O
partially,RB,O
allowed,VBN,O
their,PRP$,O
appeal,NN,O
the,DT,O
appeal,NN,O
of,IN,O
the,DT,O
acc,NN,O
was,VBD,O
also,RB,O
allowed,VBN,O
holding,VBG,O
that,IN,O
there,EX,O
was,VBD,O
no,DT,O
intentional,JJ,O
or,CC,O
otherwise,RB,O
abetment,JJ,O
by,IN,O
acc,NN,O
because,IN,O
they,PRP,O
had,VBD,O
already,RB,O
informed,VBN,O
m,NN,O
s,NN,O
virgo,NN,O
steels,NNS,O
of,IN,O
their,PRP$,O
decision,NN,B-LEGAL
to,TO,O
abandon,VB,O
their,PRP$,O
expansion,NN,O
project,NN,O
and,CC,O
had,VBD,O
also,RB,O
refused,VBN,O
to,TO,O
give,VB,O
m,NN,O
s,NN,O
virgo,NN,O
steels,VBZ,O
a,DT,O
certificate,NN,O
justifying,NN,O
to,TO,O
import,VB,B-LEGAL
made,VBN,O
by,IN,O
them,PRP,O
5,CD,O
it,PRP,O
is,VBZ,O
against,IN,O
this,DT,O
order,NN,B-LEGAL
of,IN,O
the,DT,O
tribunal,JJ,B-LEGAL
made,VBN,O
in,IN,O
appeal,JJ,O
no,DT,O
c,NN,O
1994,CD,O
92,CD,O
b2,NN,O
of,IN,O
m,JJ,O
s,NN,O
virgo,NN,O
steels,NNS,O
and,CC,O
appeal,VB,O
no,DT,O
c,NN,O
151,CD,O
94bom,CD,O
filed,VBN,O
by,IN,O
the,DT,O
acc,NN,O
the,DT,O
above,IN,O
noted,VBD,O
four,CD,O
appeals,NNS,O
have,VBP,O
been,VBN,O
preferred,VBN,O
before,IN,O
this,DT,O
court,NN,O
out,IN,O
of,IN,O
which,WDT,O
revenue,NN,O
has,VBZ,O
filed,VBN,O
two,CD,O
appeals,NNS,O
out,IN,O
of,IN,O
which,WDT,O
ca,MD,O
no,DT,O
3711,CD,O
of,IN,O
2000,CD,O
is,VBZ,O
against,IN,O
the,DT,O
order,NN,B-LEGAL
of,IN,O
the,DT,O
tribunal,JJ,B-LEGAL
allowing,VBG,O
the,DT,O
appeals,NNS,O
filed,VBN,O
by,IN,O
m,NN,O
s,NN,O
virgo,NN,O
steels,NNS,O
in,IN,O
part,NN,O
and,CC,O
ca,MD,O
no,DT,O
3712,CD,O
of,IN,O
2000,CD,O
is,VBZ,O
against,IN,O
the,DT,O
order,NN,B-LEGAL
of,IN,O
the,DT,O
tribunal,JJ,B-LEGAL
allowing,VBG,O
the,DT,O
appeal,NN,O
of,IN,O
acc,NN,O
in,IN,O
its,PRP$,O
entirety,NN,O
while,IN,O
m,JJ,O
s,JJ,O
virgo,NN,O
steels,NNS,O
being,VBG,O
aggrieved,VBN,O
by,IN,O
that,DT,O
part,NN,O
of,IN,O
the,DT,O
order,NN,B-LEGAL
which,WDT,O
has,VBZ,O
gone,VBN,O
against,IN,O
has,VBZ,O
preferred,VBN,O
ca,MD,O
nos,RB,O
48,CD,O
49,CD,O
of,IN,O
2001,CD,O
6,CD,O
learned,VBD,O
solicitor,NN,O
general,JJ,O
appearing,VBG,O
for,IN,O
the,DT,O
revenue,NN,O
contended,VBD,O
before,IN,O
us,PRP,O
that,IN,O
the,DT,O
tribunal,NN,B-LEGAL
has,VBZ,O
erred,VBN,O
in,IN,O
coming,VBG,O
to,TO,O
the,DT,O
conclusion,NN,O
that,IN,O
the,DT,O
principle,NN,O
of,IN,O
waiver,NN,B-LEGAL
did,VBD,O
not,RB,O
apply,VB,O
to,TO,O
the,DT,O
requirement,NN,O
of,IN,O
notice,NN,O
under,IN,O
section,NN,O
28,CD,O
of,IN,O
the,DT,O
act,NN,O
he,PRP,O
submitted,VBD,O
that,IN,O
by,IN,O
the,DT,O
letter,NN,O
of,IN,O
3031991,CD,O
the,DT,O
managing,VBG,O
partner,NN,O
of,IN,O
m,NN,O
s,NN,O
virgo,NN,O
steels,NNS,O
had,VBD,O
in,IN,O
specific,JJ,O
terms,NNS,O
admitted,VBD,O
the,DT,O
violation,NN,O
of,IN,O
conditions,NNS,O
of,IN,O
the,DT,O
licence,NN,B-LEGAL
granted,VBD,O
to,TO,O
it,PRP,O
under,IN,O
the,DT,O
deemed,VBN,O
export,NN,B-LEGAL
scheme,NN,O
as,IN,O
also,RB,O
the,DT,O
firm,NN,O
s,VBZ,O
liability,NN,B-LEGAL
to,TO,I-LEGAL
pay,VB,I-LEGAL
duty,NN,O
and,CC,O
penalty,NN,O
he,PRP,O
further,RB,O
submitted,VBD,O
that,IN,O
the,DT,O
firm,NN,O
having,VBG,O
expressly,RB,O
waived,VBN,O
its,PRP$,O
right,NN,O
to,TO,O
receive,VB,O
a,DT,O
show,NN,B-LEGAL
cause,NN,I-LEGAL
notice,NN,I-LEGAL
as,IN,O
also,RB,O
personal,JJ,B-LEGAL
hearing,NN,I-LEGAL
it,PRP,O
cannot,MD,O
be,RB,O
permitted,VB,O
to,VBN,O
turn,TO,O
around,VB,O
and,RP,O
say,CC,O
that,VB,O
non,IN,O
issuance,JJ,O
of,NN,O
notice,IN,O
under,NN,O
section,IN,O
28,NN,O
of,CD,O
the,IN,O
act,DT,O
is,NN,O
fatal,VBZ,O
to,JJ,O
the,TO,O
revenue,DT,O
mr,NN,O
rajiv,NN,O
dutta,NN,O
learned,NN,O
senior,VBD,O
counsel,JJ,O
appearing,NN,O
for,VBG,O
m,IN,O
s,NN,O
virgo,NN,O
steels,NN,O
while,NNS,O
defending,IN,O
the,VBG,O
order,DT,B-LEGAL
of,NN,O
the,IN,O
tribunal,DT,B-LEGAL
submitted,JJ,O
that,VBD,O
a,IN,O
notice,DT,O
under,NN,O
section,IN,O
28,NN,O
of,CD,O
the,IN,O
act,DT,O
being,NN,O
a,VBG,O
condition,DT,B-LEGAL
precedent,NN,I-LEGAL
to,NN,O
invoke,TO,O
the,VB,O
jurisdiction,DT,O
of,NN,O
the,IN,O
officer,DT,O
concerned,NN,O
in,VBN,O
the,IN,O
absence,DT,O
of,NN,O
such,IN,O
notice,JJ,O
proceedings,JJ,O
initiated,NNS,O
for,VBN,O
the,IN,O
recovery,DT,B-LEGAL
of,NN,O
duty,IN,O
became,NN,O
void,VBD,O
he,NN,O
also,PRP,O
submitted,RB,O
that,VBD,O
the,IN,O
principle,DT,O
of,NN,O
waiver,IN,B-LEGAL
does,NN,O
not,VBZ,O
apply,RB,O
to,VB,O
a,TO,O
mandatory,DT,O
requirement,JJ,O
of,NN,O
law,IN,O
he,NN,O
further,PRP,O
contended,RB,O
that,VBD,O
the,IN,O
letter,DT,O
of,NN,O
3031991,IN,O
was,CD,O
obtained,VBD,O
by,VBN,O
the,IN,O
customs,DT,B-LEGAL
authorities,NNS,I-LEGAL
under,NNS,O
coercion,IN,O
and,NN,O
duress,CC,O
therefore,NN,O
there,RB,O
could,EX,O
be,MD,O
no,VB,O
waiver,DT,B-LEGAL
based,NN,O
on,VBN,O
such,IN,O
letter,JJ,O
he,NN,O
further,PRP,O
assailed,RB,O
the,VBD,O
finding,DT,O
of,NN,O
the,IN,O
tribunal,DT,B-LEGAL
that,NN,O
the,IN,O
import,DT,B-LEGAL
made,NN,O
by,VBN,O
m,IN,O
s,JJ,O
virgo,NN,O
steels,NN,O
not,NNS,O
for,RB,O
the,IN,O
purpose,DT,O
of,NN,O
a,IN,O
project,DT,O
aided,NN,O
by,VBN,O
the,IN,O
ibrd,DT,O
7,JJ,O
we,CD,O
will,PRP,O
first,MD,O
consider,RB,O
the,VB,O
argument,DT,O
of,NN,O
learned,IN,O
counsel,JJ,O
for,NN,O
m,IN,O
s,NN,O
virgo,NN,O
steels,NN,O
that,NNS,O
their,IN,O
letter,PRP$,O
of,NN,O
3031991,IN,O
was,CD,O
written,VBD,O
by,VBN,O
the,IN,O
firm,DT,O
because,NN,O
of,IN,O
coercion,IN,O
and,NN,O
duress,CC,O
hence,JJ,O
cannot,NN,O
be,MD,O
relied,RB,O
upon,VB,O
this,VBN,O
argument,IN,O
was,DT,O
raised,NN,O
for,VBD,O
the,VBN,O
first,IN,O
time,DT,O
before,JJ,O
the,NN,O
collector,IN,O
during,DT,O
the,NN,O
course,IN,O
of,DT,O
arguments,NN,O
of,IN,O
learned,NNS,O
counsel,IN,O
appearing,JJ,O
for,NN,O
m,VBG,O
s,IN,O
virgo,NN,O
steels,NN,O
in,NN,O
the,NNS,O
adjudicatory,IN,O
proceedings,DT,O
it,NN,O
is,NNS,O
to,PRP,O
be,VBZ,O
seen,TO,O
that,VB,O
the,VBN,O
said,IN,O
letter,DT,O
is,VBD,O
dated,NN,O
3031991,VBZ,O
and,VBN,O
the,CD,O
argument,CC,O
of,DT,O
learned,NN,O
counsel,IN,O
was,JJ,O
addressed,NN,O
on,VBD,O
3121992,VBN,O
ie,IN,O
more,CD,O
than,NNS,O
one,JJR,O
and,IN,O
a,CD,O
half,CC,O
years,DT,O
after,NN,O
the,NNS,O
said,IN,O
letter,DT,O
was,VBD,O
sent,NN,O
to,VBD,O
the,VBN,O
collector,TO,O
concerned,DT,O
during,NN,O
that,VBD,O
period,IN,O
of,DT,O
over,NN,O
one,IN,O
and,IN,O
a,CD,O
half,CC,O
years,DT,O
the,JJ,O
partner,NNS,O
of,DT,O
the,NN,O
company,IN,B-LEGAL
who,DT,O
had,NN,O
signed,WP,O
the,VBD,O
letter,VBN,O
or,DT,O
anybody,NN,O
else,CC,O
on,NN,O
behalf,RB,O
of,IN,O
the,NN,O
firm,IN,O
made,DT,O
no,NN,O
attempt,VBD,B-LEGAL
to,DT,O
resile,NN,O
from,TO,O
the,VB,O
contents,IN,O
of,DT,O
the,NNS,O
said,IN,O
letter,DT,O
they,VBD,O
have,NN,O
neither,PRP,O
made,VBP,O
any,DT,O
complaint,VBN,B-LEGAL
nor,DT,O
taken,NN,O
any,CC,O
steps,VBN,O
to,DT,O
get,NNS,O
over,TO,O
the,VB,O
contents,IN,O
of,DT,O
the,NNS,O
letter,IN,O
written,DT,O
on,NN,O
behalf,VBN,O
of,IN,O
the,NN,O
firm,IN,O
on,DT,O
3031991,NN,O
it,IN,O
is,CD,O
relevant,PRP,O
to,VBZ,O
note,JJ,O
at,TO,O
this,VB,O
stage,IN,O
that,DT,O
along,NN,O
with,WDT,O
the,RB,O
letter,IN,O
a,DT,O
post,NN,O
dated,DT,O
cheque,NN,O
was,VBN,O
sent,NN,O
and,VBD,O
no,VBN,O
steps,CC,O
were,DT,O
taken,NNS,O
to,VBD,O
stop,VBN,O
payment,TO,O
against,VB,O
that,NN,O
cheque,IN,O
either,DT,O
before,NN,O
the,DT,O
collector,IN,O
though,DT,O
an,NN,O
oral,IN,O
submission,DT,O
was,JJ,O
made,NN,O
by,VBD,O
learned,VBN,O
counsel,IN,O
that,JJ,O
the,NN,O
letter,IN,O
in,DT,O
question,NN,O
was,IN,O
obtained,NN,O
by,VBD,O
coercion,VBN,O
not,IN,O
even,NN,O
an,RB,O
affidavit,RB,O
was,DT,O
filed,NN,O
in,VBD,O
support,VBN,O
of,IN,O
that,NN,O
allegation,IN,O
the,DT,O
collector,NN,O
by,DT,O
his,NN,O
order,IN,B-LEGAL
had,PRP$,O
rejected,NN,O
the,VBD,O
said,VBN,O
contention,DT,O
holding,VBD,O
that,NN,O
at,VBG,O
no,WDT,O
stage,IN,O
till,DT,O
the,NN,O
final,VB,O
submission,DT,O
of,JJ,O
reply,NN,O
on,IN,O
3121992,NN,O
m,IN,O
s,CD,O
virgo,NNS,O
steels,JJ,O
had,NN,O
made,NNS,O
any,VBD,O
grievance,VBN,O
of,DT,O
coercion,NN,O
or,IN,O
any,NN,O
other,CC,O
undue,DT,O
influence,JJ,O
in,JJ,O
obtaining,NN,O
the,IN,O
letter,VBG,O
of,DT,O
3031991,NN,O
it,IN,O
is,CD,O
also,PRP,O
necessary,VBZ,O
to,RB,O
note,JJ,O
herein,TO,O
that,VB,O
this,NN,O
argument,IN,O
of,DT,O
coercion,NN,O
in,IN,O
obtaining,NN,O
the,IN,O
letter,VBG,O
of,DT,O
3121992,NN,O
seems,IN,O
not,CD,O
to,VBZ,O
have,RB,O
been,TO,O
pressed,VB,O
before,VBN,O
the,VBN,O
tribunal,IN,B-LEGAL
the,DT,O
tribunal,JJ,B-LEGAL
in,DT,O
its,JJ,O
impugned,IN,O
order,PRP$,B-LEGAL
in,JJ,O
paras,NN,O
8,IN,O
and,JJ,O
9,CD,O
has,CC,O
extracted,CD,O
the,VBZ,O
argument,VBN,O
of,DT,O
learned,NN,O
counsel,IN,O
for,JJ,O
m,NN,O
s,IN,O
virgo,NN,O
steels,NN,O
where,NN,O
we,NNS,O
find,WRB,O
no,PRP,O
reference,VBP,B-LEGAL
whatsoever,DT,O
as,NN,O
to,RB,O
the,IN,O
non,TO,O
voluntary,DT,O
nature,JJ,O
of,JJ,O
the,NN,O
letter,IN,O
of,DT,O
3031991,NN,O
for,IN,O
all,CD,O
these,IN,O
reasons,PDT,O
we,DT,O
have,NNS,O
no,PRP,O
hesitation,VBP,O
in,DT,O
rejecting,NN,O
this,IN,O
contention,VBG,O
of,DT,O
m,NN,O
s,IN,O
virgo,NN,O
steels,NN,O
that,NN,O
the,NNS,O
letter,IN,O
of,DT,O
3031991,NN,O
was,IN,O
not,CD,O
voluntarily,VBD,O
submitted,RB,O
by,RB,O
them,VBN,O
this,IN,O
argument,PRP,O
before,DT,O
us,NN,O
in,IN,O
our,PRP,O
opinion,IN,O
is,PRP$,O
totally,NN,O
baseless,VBZ,O
and,RB,O
an,JJ,O
afterthought,CC,O
8,DT,O
we,JJ,O
will,CD,O
next,PRP,O
consider,MD,O
the,VB,O
requirement,VB,O
of,DT,O
section,NN,O
28,IN,O
of,NN,O
the,CD,O
act,IN,O
and,DT,O
the,NN,O
applicability,CC,O
of,DT,O
the,NN,O
principle,IN,O
of,DT,O
waiver,NN,B-LEGAL
to,IN,O
the,NN,O
said,TO,O
requirement,DT,O
of,VBD,O
that,NN,O
section,IN,O
while,DT,O
so,NN,O
doing,IN,O
it,RB,O
is,VBG,O
to,PRP,O
be,VBZ,O
noted,TO,O
that,VB,O
our,VBN,O
discussion,IN,O
of,PRP$,O
section,NN,O
28,IN,O
of,NN,O
the,CD,O
act,IN,O
is,DT,O
with,NN,O
reference,VBZ,B-LEGAL
to,IN,O
the,NN,O
section,TO,O
as,DT,O
it,NN,O
stood,IN,O
at,PRP,O
the,VBD,O
relevant,IN,O
time,DT,O
and,JJ,O
not,NN,O
with,CC,O
reference,RB,B-LEGAL
to,IN,O
the,NN,O
existing,TO,O
section,DT,O
28,VBG,O
of,NN,O
the,CD,O
act,IN,O
the,DT,O
tribunal,NN,B-LEGAL
by,DT,O
the,JJ,O
impugned,IN,O
order,DT,B-LEGAL
has,JJ,O
held,NN,O
that,VBZ,O
in,VBN,O
the,IN,O
absence,IN,O
of,DT,O
a,NN,O
notice,IN,O
under,DT,O
section,NN,O
28,IN,O
of,NN,O
the,CD,O
act,IN,O
the,DT,O
recovery,NN,B-LEGAL
of,DT,O
duty,NN,O
which,IN,O
has,NN,O
escaped,WDT,O
collection,VBZ,O
is,VBN,O
impermissible,NN,O
in,VBZ,O
