1,CD,O
the,DT,O
obligation,NN,O
of,IN,O
paying,VBG,O
all,DT,O
taxes,NNS,O
on,IN,O
the,DT,O
goods,NNS,O
sold,VBN,O
and,CC,O
in,IN,O
such,JJ,O
a,DT,O
case,NN,O
the,DT,O
said,VBD,O
taxes,NNS,O
on,IN,O
the,DT,O
goods,NNS,O
sold,VBN,O
are,VBP,O
to,TO,O
be,VB,O
deducted,VBN,O
under,IN,O
section,NN,O
44dii,CD,O
and,CC,O
this,DT,O
is,VBZ,O
precisely,RB,O
what,WP,O
has,VBZ,O
been,VBN,O
directed,VBN,O
by,IN,O
the,DT,O
tribunal,NN,O
there,EX,O
is,VBZ,O
also,RB,O
nothing,NN,O
to,TO,O
show,VB,O
that,IN,O
the,DT,O
sale,NN,O
price,NN,O
was,VBD,O
not,RB,O
cum,JJ,B-LEGAL
duty,NN,O
6,CD,O
it,PRP,O
will,MD,O
be,VB,O
useful,JJ,O
here,RB,O
to,TO,O
refer,VB,O
to,TO,O
the,DT,O
observations,NNS,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
hindustan,NN,O
sugar,NN,O
mills,NNS,O
v,VBP,O
state,NN,O
of,IN,O
rajasthan,NN,O
and,CC,O
ors,NNS,O
manu,VBP,O
sc,JJ,O
0335,CD,O
1978manu,CD,O
sc,NN,O
0335,CD,O
1978,CD,O
1979,CD,O
1scr276,CD,O
at,IN,O
page,NN,O
280,CD,O
as,IN,O
follows,VBZ,O
take,VBP,O
for,IN,O
example,NN,O
excise,NN,O
duty,NN,O
payable,JJ,O
by,IN,O
a,DT,O
dealer,NN,O
who,WP,O
is,VBZ,O
a,DT,O
manufacturer,NN,O
when,WRB,O
he,PRP,O
sells,VBZ,O
goods,NNS,O
manufactured,VBN,O
by,IN,O
him,PRP,O
he,PRP,O
always,RB,O
passes,VBZ,O
on,IN,O
the,DT,O
excise,NN,O
duty,NN,O
to,TO,O
the,DT,O
purchaser,NN,O
ordinarily,IN,O
it,PRP,O
is,VBZ,O
no,DT,O
shown,VBN,O
is,VBZ,O
a,DT,O
separate,JJ,O
item,NN,O
in,IN,O
the,DT,O
bill,NN,O
but,CC,O
it,PRP,O
is,VBZ,O
included,VBN,O
in,IN,O
the,DT,O
price,NN,O
charged,VBN,O
by,IN,O
him,PRP,O
the,DT,O
sale,NN,O
price,NN,O
in,IN,O
such,JJ,O
a,DT,O
case,NN,O
could,MD,O
be,VB,O
the,DT,O
entire,JJ,O
price,NN,O
inclusive,NN,O
of,IN,O
excise,NN,O
duty,NN,O
because,IN,O
that,DT,O
would,MD,O
be,VB,O
the,DT,O
consideration,NN,B-LEGAL
payable,JJ,O
by,IN,O
the,DT,O
purchaser,NN,O
for,IN,O
the,DT,O
sale,NN,O
of,IN,O
the,DT,O
goods,NNS,O
true,JJ,O
the,DT,O
excise,NN,O
duty,NN,O
component,NN,B-LEGAL
of,IN,O
the,DT,O
price,NN,O
would,MD,O
not,RB,O
be,VB,O
an,DT,O
addition,NN,O
to,TO,O
the,DT,O
coffers,NNS,O
of,IN,O
the,DT,O
dealer,NN,O
as,IN,O
it,PRP,O
would,MD,O
go,VB,O
to,TO,O
reimburse,VB,O
him,PRP,O
in,IN,O
respect,NN,O
of,IN,O
the,DT,O
excise,NN,O
duty,NN,O
already,RB,O
paid,VBN,O
by,IN,O
him,PRP,O
on,IN,O
the,DT,O
manufacture,NN,O
of,IN,O
the,DT,O
goods,NNS,O
but,CC,O
even,RB,O
so,IN,O
it,PRP,O
would,MD,O
be,VB,O
part,NN,O
of,IN,O
the,DT,O
sale,NN,O
price,NN,O
because,IN,O
it,PRP,O
forms,VBZ,O
a,DT,O
component,NN,B-LEGAL
of,IN,O
the,DT,O
consideration,NN,B-LEGAL
payable,JJ,O
by,IN,O
the,DT,O
purchaser,NN,O
to,TO,O
the,DT,O
dealer,NN,O
it,PRP,O
is,VBZ,O
only,RB,O
as,IN,O
part,NN,O
of,IN,O
the,DT,O
consideration,NN,B-LEGAL
for,IN,O
the,DT,O
sale,NN,O
of,IN,O
the,DT,O
goods,NNS,O
that,IN,O
the,DT,O
amount,NN,O
representing,VBG,O
excise,NN,O
duty,NN,O
would,MD,O
be,VB,O
payable,JJ,O
by,IN,O
the,DT,O
purchaser,NN,O
there,EX,O
is,VBZ,O
no,DT,O
other,JJ,O
manner,NN,O
of,IN,O
liability,NN,O
statutory,NN,O
or,CC,O
otherwise,NN,O
under,IN,O
which,WDT,O
the,DT,O
purchaser,NN,O
would,MD,O
be,VB,O
liable,JJ,O
to,TO,O
pay,VB,O
the,DT,O
amount,NN,O
of,IN,O
excise,NN,O
duty,NN,O
to,TO,O
the,DT,O
dealer,NN,O
and,CC,O
on,IN,O
this,DT,O
reasoning,VBG,O
it,PRP,O
would,MD,O
make,VB,O
no,DT,O
difference,NN,O
whether,IN,O
the,DT,O
amount,NN,O
of,IN,O
excise,NN,O
duty,NN,O
is,VBZ,O
included,VBN,O
in,IN,O
the,DT,O
price,NN,O
charged,VBN,O
by,IN,O
the,DT,O
dealer,NN,O
or,CC,O
is,VBZ,O
shown,VBN,O
as,IN,O
a,DT,O
separate,JJ,O
item,NN,O
in,IN,O
the,DT,O
bill,NN,O
in,IN,O
either,DT,O
case,NN,O
it,PRP,O
would,MD,O
be,VB,O
part,NN,O
of,IN,O
the,DT,O
sale,NN,O
price,NN,O
7,CD,O
the,DT,O
example,NN,O
given,VBN,O
in,IN,O
the,DT,O
aforesaid,JJ,O
decision,NN,O
is,VBZ,O
clearly,RB,O
applicable,JJ,O
in,IN,O
the,DT,O
present,JJ,O
case,NN,O
the,DT,O
sale,NN,O
price,NN,O
realised,VBN,O
by,IN,O
the,DT,O
respondent,NN,O
has,VBZ,O
to,TO,O
be,VB,O
regarded,VBN,O
as,IN,O
the,DT,O
entire,JJ,O
price,NN,O
inclusive,NN,O
of,IN,O
excise,NN,O
duty,NN,O
because,IN,O
it,PRP,O
is,VBZ,O
the,DT,O
respondent,NN,O
who,WP,O
has,VBZ,O
by,IN,O
necessary,JJ,O
implication,NN,O
taken,VBN,O
on,IN,O
the,DT,O
liability,NN,O
to,TO,O
pay,VB,O
all,DT,O
taxes,NNS,O
on,IN,O
the,DT,O
goods,NNS,O
sold,VBN,O
and,CC,O
has,VBZ,O
not,RB,O
sought,VBN,O
to,TO,O
realise,VB,O
any,DT,O
sum,NN,O
in,IN,O
addition,NN,O
to,TO,O
the,DT,O
price,NN,O
obtained,VBN,O
by,IN,O
it,PRP,O
from,IN,O
the,DT,O
purchase,NN,O
the,DT,O
purchaser,NN,O
was,VBD,O
under,IN,O
no,DT,O
obligation,NN,O
to,TO,O
pay,VB,O
any,DT,O
amount,NN,O
in,IN,O
excess,NN,O
of,IN,O
what,WP,O
had,VBD,O
already,RB,O
been,VBN,O
paid,VBN,O
as,IN,O
the,DT,O
price,NN,O
of,IN,O
the,DT,O
scrap,NN,O
8,CD,O
under,IN,O
the,DT,O
circumstances,NNS,O
the,DT,O
tribunal,NN,O
was,VBD,O
right,JJ,O
in,IN,O
directing,VBG,O
that,IN,O
the,DT,O
respondent,NN,O
is,VBZ,O
entitled,VBN,O
to,TO,O
the,DT,O
benefit,NN,B-LEGAL
of,IN,O
section,NN,O
44dii,CD,O
of,IN,O
the,DT,O
central,JJ,O
excises,NNS,O
salt,VBP,O
act,JJ,O
9,CD,O
for,IN,O
the,DT,O
aforesaid,JJ,O
reason,NN,O
this,DT,O
appeal,NN,B-LEGAL
is,VBZ,O
dismissed,VBN,O
no,DT,O
costs,NNS,O
10,CD,O
for,IN,O
the,DT,O
reasons,NNS,O
stated,VBN,O
in,IN,O
our,PRP$,O
order,NN,O
passed,VBN,O
today,NN,O
in,IN,O
civil,JJ,O
appeal,NN,B-LEGAL
no,DT,O
3783,CD,O
of,IN,O
2000,CD,O
entitled,JJ,O
commissioner,NN,O
of,IN,O
central,JJ,O
excise,NN,O
delhi,NN,O
vs,NN,O
maruti,NN,O
udyog,JJ,O
ltd,NN,O
these,DT,O
appeals,NNS,O
are,VBP,O
dismissed,VBN,O
civil,JJ,O
appeal,NN,B-LEGAL
no,DT,O
3913,CD,O
2001,CD,O
11,CD,O
after,IN,O
hearing,VBG,O
the,DT,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
parties,NNS,O
we,PRP,O
see,VBP,O
no,DT,O
reason,NN,O
to,TO,O
interfere,VB,O
with,IN,O
the,DT,O
decision,NN,O
of,IN,O
the,DT,O
tribunal,JJ,O
hence,NN,O
the,DT,O
civil,JJ,O
appeal,NN,B-LEGAL
is,VBZ,O
dismissed,VBN,O
