dipak,NN,O
contract,NN,B-LEGAL
it,PRP,O
is,VBZ,O
agreed,VBN,O
that,IN,O
a,DT,O
specific,JJ,O
quantify,NN,O
of,IN,O
clinker,NN,O
supplied,VBN,O
by,IN,O
acc,NN,O
for,IN,O
any,DT,O
six,CD,O
months,NNS,O
period,NN,O
will,MD,O
have,VB,O
a,DT,O
co,JJ,O
relation,NN,O
with,IN,O
the,DT,O
price,NN,O
at,IN,O
which,WDT,O
the,DT,O
cement,NN,B-LEGAL
will,MD,O
be,VB,O
handed,VBN,O
over,IN,O
to,TO,O
acc,VB,O
for,IN,O
sale,NN,O
during,IN,O
the,DT,O
said,VBD,O
period,NN,O
of,IN,O
six,CD,O
months,NNS,O
any,DT,O
shortfall,NN,O
on,IN,O
either,DT,O
side,NN,O
in,IN,O
the,DT,O
matter,NN,O
of,IN,O
supply,NN,O
of,IN,O
clinker,NN,O
from,IN,O
acc,NN,O
and,CC,O
supply,NN,O
of,IN,O
cement,NN,B-LEGAL
by,IN,O
cocem,NN,O
would,MD,O
have,VB,O
to,TO,O
be,VB,O
made,VBN,O
good,JJ,B-LEGAL
at,IN,O
the,DT,O
already,RB,O
agreed,VBN,O
rate,NN,O
prior,NNS,O
to,TO,O
finalisation,NN,O
of,IN,O
price,NN,O
for,IN,O
the,DT,O
subsequent,JJ,O
period,NN,O
xxxxx,NNP,O
xxxxx,VBZ,O
3,CD,O
cocem,NN,O
shall,MD,O
entrust,VB,O
to,TO,O
acc,VB,O
all,DT,O
matters,NNS,O
pertaining,VBG,O
to,TO,O
quality,NN,O
assurances,NNS,O
in,IN,O
respect,NN,O
of,IN,O
cement,NN,B-LEGAL
produced,VBN,O
by,IN,O
cocem,NN,O
acc,NN,O
shall,MD,O
arrange,VB,O
to,TO,O
depute,VB,O
its,PRP$,O
personnel,NNS,O
to,TO,O
the,DT,O
factory,NN,B-LEGAL
of,IN,O
cocem,NN,O
with,IN,O
a,DT,O
view,NN,O
to,TO,O
ensure,VB,O
that,DT,O
quality,NN,O
of,IN,O
cement,NN,B-LEGAL
produced,VBN,O
is,VBZ,O
as,IN,O
per,IN,O
the,DT,O
internal,JJ,O
norms,NNS,O
standard,NN,O
of,IN,O
acc,NN,O
fees,NNS,O
to,TO,O
be,VB,O
paid,VBN,O
by,IN,O
cocem,NN,O
to,TO,O
acc,VB,O
for,IN,O
this,DT,O
service,NN,O
shall,MD,O
be,VB,O
mutually,RB,O
agreed,VBN,O
upon,IN,O
by,IN,O
the,DT,O
parties,NNS,O
separately,RB,O
4,CD,O
cement,NN,B-LEGAL
produced,VBN,O
by,IN,O
cocem,NN,O
under,IN,O
acc,NN,O
s,NN,O
brand,NN,B-LEGAL
same,JJ,O
shall,MD,O
only,RB,O
be,VB,O
marketed,VBN,O
by,IN,O
acc,NN,O
and,CC,O
shall,MD,O
not,RB,O
complete,VB,O
with,IN,O
cement,NN,B-LEGAL
directly,RB,O
supplied,VBN,O
to,TO,O
the,DT,O
kerala,NN,O
market,NN,O
by,IN,O
acc,JJ,O
5,CD,O
clinker,NN,O
ground,NN,B-LEGAL
into,IN,O
cement,NN,B-LEGAL
shall,MD,O
be,VB,O
purchased,VBN,O
by,IN,O
acc,NN,O
at,IN,O
a,DT,O
mutually,RB,O
agreed,VBN,O
price,NN,O
which,WDT,O
will,MD,O
include,VB,O
the,DT,O
cost,NN,B-LEGAL
that,IN,O
acc,NN,O
may,MD,O
incur,VB,O
in,IN,O
organising,VBG,O
marketing,NN,O
and,CC,O
sale,NN,O
of,IN,O
cement,NN,B-LEGAL
manufactured,VBN,O
by,IN,O
cocem,NN,O
cocem,NN,O
will,MD,O
supply,VB,O
cement,NN,B-LEGAL
to,TO,O
different,JJ,O
parties,NNS,O
strictly,RB,O
as,IN,O
per,IN,O
the,DT,O
programme,NN,O
given,VBN,O
by,IN,O
acc,NN,O
in,IN,O
respect,NN,O
of,IN,O
direct,JJ,O
consumers,NNS,O
of,IN,O
cement,NN,B-LEGAL
the,DT,O
billing,NN,O
may,MD,O
be,VB,O
done,VBN,O
by,IN,O
cocem,NN,O
directly,RB,O
to,TO,O
the,DT,O
party,NN,O
strictly,RB,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
direction,NN,B-LEGAL
given,VBN,O
by,IN,O
acc,JJ,O
cement,NN,B-LEGAL
will,MD,O
be,VB,O
branded,VBN,O
as,IN,O
acc,NN,O
for,IN,O
use,NN,O
of,IN,O
acc,JJ,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
and,CC,O
rendering,VBG,O
marketing,NN,O
services,NNS,O
cocem,VBP,O
will,MD,O
pay,VB,O
rs,VB,O
75,CD,O
per,JJR,O
tonne,NN,O
as,IN,O
charges,NNS,O
this,DT,O
charge,NN,B-LEGAL
will,MD,O
remain,VB,O
firm,JJ,B-LEGAL
for,IN,O
5,CD,O
years,NNS,O
and,CC,O
will,MD,O
be,VB,O
subjected,VBN,O
to,TO,O
revision,VB,O
thereafter,RB,O
on,IN,O
mutual,JJ,O
terms,NNS,O
xxxxx,VBP,O
xxxxx,RB,O
7,CD,O
any,DT,O
complaints,NNS,O
claims,NNS,O
arising,VBG,O
out,IN,O
of,IN,O
quality,NN,O
of,IN,O
cement,NN,B-LEGAL
damages,NNS,B-LEGAL
shortages,VBP,O
poor,JJ,O
packing,VBG,O
due,JJ,B-LEGAL
to,TO,I-LEGAL
negligence,VB,I-LEGAL
on,IN,O
the,DT,O
part,NN,O
of,IN,O
cocem,NN,O
would,MD,O
be,VB,O
debited,VBN,O
to,TO,O
cocem,VB,O
xxxxx,NNP,O
xxxxx,NNP,O
11,CD,O
cocem,NN,O
shall,MD,O
not,RB,O
use,VB,O
acc,JJ,O
s,NNS,O
trade,NN,O
marks,NNS,O
brand,NN,B-LEGAL
names,NNS,O
in,IN,O
any,DT,O
form,NN,B-LEGAL
after,IN,O
the,DT,O
termination,NN,O
or,CC,O
expiry,NN,O
of,IN,O
this,DT,O
agreement,NN,B-LEGAL
2,CD,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
the,DT,O
aforesaid,JJ,O
agreement,NN,B-LEGAL
the,DT,O
appellant,JJ,O
assessee,NN,B-LEGAL
put,VBD,O
forth,RP,O
his,PRP$,O
stand,NN,O
before,IN,O
the,DT,O
assessing,VBG,B-LEGAL
officer,NN,I-LEGAL
that,IN,O
his,PRP$,O
case,NN,B-LEGAL
was,VBD,O
covered,VBN,O
under,IN,O
section,NN,O
52,CD,O
of,IN,O
the,DT,O
kerala,JJ,O
general,JJ,O
sales,NNS,O
tax,NN,O
act,NN,B-LEGAL
1963,CD,O
for,IN,O
brevity,NN,O
the,DT,O
act,NN,B-LEGAL
and,CC,O
therefore,RB,O
the,DT,O
sale,NN,O
effected,VBN,O
by,IN,O
the,DT,O
cochin,JJ,O
cement,NN,B-LEGAL
limited,VBD,O
should,MD,O
be,VB,O
treated,VBN,O
as,IN,O
the,DT,O
first,JJ,B-LEGAL
sale,NN,I-LEGAL
the,DT,O
assessing,VBG,B-LEGAL
officer,NN,I-LEGAL
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
intelligence,NN,O
report,NN,O
and,CC,O
other,JJ,O
materials,NNS,O
brought,VBN,O
on,IN,O
record,NN,O
came,VBD,O
to,TO,O
the,DT,O
conclusion,NN,O
that,IN,O
the,DT,O
cochin,JJ,O
cement,NN,B-LEGAL
limited,VBD,O
had,VBD,O
been,VBN,O
manufacturing,VBG,O
the,DT,O
cement,NN,B-LEGAL
and,CC,O
handing,NN,O
over,IN,O
the,DT,O
same,JJ,O
to,TO,O
the,DT,O
assessee,NN,B-LEGAL
on,IN,O
a,DT,O
perusal,NN,O
of,IN,O
the,DT,O
impugned,JJ,O
orders,NNS,O
it,PRP,O
is,VBZ,O
noticeable,JJ,O
that,IN,O
the,DT,O
report,NN,O
of,IN,O
the,DT,O
concerned,JJ,O
intelligent,JJ,O
officer,NN,O
has,VBZ,O
met,VBN,O
with,IN,O
approval,NN,B-LEGAL
up,RB,O
to,TO,O
the,DT,O
revisional,JJ,O
stage,NN,O
to,TO,O
have,VB,O
a,DT,O
complete,JJ,O
picture,NN,O
we,PRP,O
may,MD,O
usefully,RB,O
reproduce,VB,O
the,DT,O
finding,NN,B-LEGAL
recorded,VBN,O
by,IN,O
the,DT,O
assessing,VBG,B-LEGAL
officer,NN,I-LEGAL
in,IN,O
the,DT,O
order,NN,O
of,IN,O
assessment,NN,B-LEGAL
as,IN,O
per,NN,O
schedule,NN,O
to,TO,O
the,DT,O
agreement,NN,B-LEGAL
associated,VBN,O
cement,NN,B-LEGAL
cos,NN,O
is,VBZ,O
charging,VBG,B-LEGAL
rs,RB,O
150,CD,O
per,IN,O
ton,NN,O
for,IN,O
marketing,NN,O
and,CC,O
service,NN,O
charges,NNS,O
and,CC,O
only,RB,O
after,IN,O
deducting,VBG,O
that,DT,O
amount,NN,O
associated,VBN,O
cement,NN,B-LEGAL
company,NN,B-LEGAL
need,MD,O
pay,VB,O
the,DT,O
balance,NN,O
to,TO,O
cochin,VB,O
cement,NN,B-LEGAL
ltd,NN,O
after,IN,O
adjusting,VBG,O
the,DT,O
price,NN,O
of,IN,O
clinker,NN,O
during,IN,O
the,DT,O
course,NN,O
of,IN,O
inspection,NN,B-LEGAL
on,IN,O
16499,CD,O
effected,VBN,O
in,IN,O
the,DT,O
premises,NNS,O
of,IN,O
cochin,JJ,O
cement,NN,B-LEGAL
ltd,NN,O
at,IN,O
ernakulam,FW,O
a,DT,O
copy,NN,B-LEGAL
of,IN,O
the,DT,O
report,NN,O
regarding,VBG,O
cement,JJ,B-LEGAL
marketing,NN,O
prepared,VBN,O
by,IN,O
sri,JJ,O
sr,NN,O
iyer,NN,O
senior,JJ,O
dy,JJ,O
general,JJ,O
manager,NN,O
cochin,JJ,O
cement,NN,B-LEGAL
ltd,NN,O
was,VBD,O
recovered,VBN,O
by,IN,O
intelligence,NN,O
squad,NN,O
no,DT,O
1,CD,O
ernakulam,NN,O
which,WDT,O
reveals,VBZ,O
that,IN,O
cement,NN,B-LEGAL
manufactured,VBN,O
by,IN,O
cochin,JJ,O
cement,NN,B-LEGAL
ltd,NN,O
is,VBZ,O
fully,RB,O
marketed,VBN,O
by,IN,O
associated,VBN,O
cement,NN,B-LEGAL
company,NN,B-LEGAL
in,IN,O
its,PRP$,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
it,PRP,O
is,VBZ,O
also,RB,O
stated,VBN,O
that,IN,O
the,DT,O
responsibility,NN,O
of,IN,O
clinker,NN,O
supply,NN,O
and,CC,O
also,RB,O
the,DT,O
marketing,NN,O
and,CC,O
selling,VBG,O
the,DT,O
cement,NN,B-LEGAL
produced,VBN,O
by,IN,O
cochin,JJ,O
cement,NN,B-LEGAL
ltd,NN,O
lies,VBZ,O
with,IN,O
associated,VBN,O
cement,NN,B-LEGAL
company,NN,B-LEGAL
from,IN,O
the,DT,O
above,IN,O
it,PRP,O
is,VBZ,O
evident,JJ,O
that,IN,O
cochin,JJ,O
cement,NN,B-LEGAL
ltd,NN,O
is,VBZ,O
only,RB,O
a,DT,O
manufacturer,NN,O
of,IN,O
cement,NN,B-LEGAL
and,CC,O
that,IN,O
too,RB,O
by,IN,O
using,VBG,O
the,DT,O
raw,JJ,O
material,NN,O
supplied,VBN,O
by,IN,O
the,DT,O
assessee,NN,B-LEGAL
with,IN,O
specified,JJ,O
quality,NN,O
of,IN,O
acc,JJ,O
standard,NN,O
and,CC,O
entire,JJ,O
cement,NN,B-LEGAL
manufactured,VBD,O
are,VBP,O
to,TO,O
be,VB,O
delivered,VBN,O
at,IN,O
different,JJ,O
depots,NNS,O
of,IN,O
the,DT,O
assessee,NN,B-LEGAL
only,RB,O
assessee,NN,B-LEGAL
is,VBZ,O
marketing,VBG,O
the,DT,O
cement,NN,B-LEGAL
and,CC,O
cochin,JJ,O
cement,NN,B-LEGAL
ltd,NN,O
is,VBZ,O
not,RB,O
entitled,VBN,O
to,TO,O
sell,VB,O
out,RP,O
even,RB,O
a,DT,O
single,JJ,O
bag,NN,O
of,IN,O
cement,NN,B-LEGAL
in,IN,O
the,DT,O
market,NN,O
over,IN,O
and,CC,O
above,IN,O
the,DT,O
programme,NN,O
given,VBN,O
by,IN,O
the,DT,O
assessee,NN,B-LEGAL
entire,JJ,O
goods,NNS,B-LEGAL
manufactured,VBN,I-LEGAL
are,VBP,O
delivered,VBN,O
at,IN,O
assessee,NN,B-LEGAL
s,JJ,O
depots,NNS,O
and,CC,O
is,VBZ,O
being,VBG,O
marketed,VBN,O
by,IN,O
assessee,NN,B-LEGAL
in,IN,O
its,PRP$,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
and,CC,O
all,PDT,O
the,DT,O
sales,NNS,O
effected,VBD,O
through,IN,O
depots,NNS,O
of,IN,O
the,DT,O
assessee,NN,B-LEGAL
have,VBP,O
alone,VBN,O
being,VBG,O
assessed,VBN,O
under,IN,O
section,NN,O
52,CD,O
of,IN,O
kgst,NN,O
act,NN,B-LEGAL
newly,RB,O
amended,VBN,O
only,RB,O
those,DT,O
cement,NN,B-LEGAL
which,WDT,O
has,VBZ,O
been,VBN,O
manufactured,VBN,O
by,IN,O
cochin,JJ,O
cement,NN,B-LEGAL
ltd,NN,O
and,CC,O
sold,VBN,O
by,IN,O
assessee,NN,B-LEGAL
in,IN,O
its,PRP$,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
revealed,VBD,O
and,CC,O
accounted,VBD,O
in,IN,O
the,DT,O
assessee,NN,B-LEGAL
s,JJ,O
books,NNS,B-LEGAL
of,IN,O
accounts,NNS,B-LEGAL
has,VBZ,O
been,VBN,O
brought,VBN,O
to,TO,O
tax,NN,O
by,IN,O
this,DT,O
order,NN,O
in,IN,O
other,JJ,O
words,NNS,O
if,IN,O
cochin,JJ,O
cement,NN,B-LEGAL
ltd,NN,O
is,VBZ,O
selling,VBG,O
goods,NNS,B-LEGAL
to,TO,O
others,NNS,O
by,IN,O
itself,PRP,O
the,DT,O
question,NN,O
of,IN,O
coming,VBG,O
those,DT,O
transaction,NN,O
into,IN,O
the,DT,O
books,NNS,B-LEGAL
of,IN,O
accounts,NNS,B-LEGAL
of,IN,O
the,DT,O
assessee,NN,B-LEGAL
does,VBZ,O
not,RB,O
arise,VB,O
at,IN,O
all,DT,O
in,IN,O
the,DT,O
circumstances,NNS,O
the,DT,O
contention,NN,O
of,IN,O
the,DT,O
assessee,NN,B-LEGAL
that,IN,O
cochin,JJ,O
cement,NN,B-LEGAL
ltd,NN,O
is,VBZ,O
marketing,VBG,O
cement,NN,B-LEGAL
to,TO,O
the,DT,O
customers,NNS,O
by,IN,O
itself,PRP,O
falls,VBZ,O
to,TO,O
the,DT,O
ground,NN,B-LEGAL
the,DT,O
said,VBD,O
authority,NN,B-LEGAL
has,VBZ,O
further,RB,O
opined,VBN,O
the,DT,O
question,NN,O
of,IN,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
in,IN,O
this,DT,O
case,NN,B-LEGAL
arose,VBD,O
in,IN,O
respect,NN,O
of,IN,O
goods,NNS,B-LEGAL
manufactured,VBN,I-LEGAL
by,IN,O
cochin,JJ,O
cement,NN,B-LEGAL
ltd,NN,O
and,CC,O
sold,VBN,O
by,IN,O
the,DT,O
assessee,NN,B-LEGAL
it,PRP,O
is,VBZ,O
only,RB,O
for,IN,O
the,DT,O
sake,NN,O
of,IN,O
marketing,NN,O
that,IN,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
is,VBZ,O
used,VBN,O
by,IN,O
the,DT,O
assessee,NN,B-LEGAL
in,IN,O
respect,NN,O
of,IN,O
cement,NN,B-LEGAL
manufactured,VBN,O
by,IN,O
the,DT,O
cochin,JJ,O
cement,NN,B-LEGAL
ltd,VBZ,O
a,DT,O
stranger,NN,O
company,NN,B-LEGAL
other,JJ,O
than,IN,O
assessee,VBP,B-LEGAL
the,DT,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
is,VBZ,O
the,DT,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
allotted,VBD,B-LEGAL
to,TO,O
associated,VBN,O
cement,NN,B-LEGAL
company,NN,B-LEGAL
under,IN,O
the,DT,O
trade,NN,O
and,CC,O
mercantile,NN,O
act,NN,B-LEGAL
and,CC,O
those,DT,O
goods,NNS,B-LEGAL
manufactured,VBN,I-LEGAL
by,IN,O
a,DT,O
company,NN,B-LEGAL
other,JJ,O
than,IN,O
associated,VBN,O
cement,NN,B-LEGAL
company,NN,B-LEGAL
if,IN,O
sold,VBN,O
by,IN,O
acc,JJ,O
under,IN,O
its,PRP$,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
it,PRP,O
will,MD,O
very,RB,O
well,RB,O
come,VBN,O
under,IN,O
the,DT,O
purview,NN,O
of,IN,O
newly,RB,O
introduced,VBN,O
section,NN,O
therefore,IN,O
the,DT,O
contention,NN,O
that,IN,O
cochin,JJ,O
cement,NN,B-LEGAL
ltd,NN,O
is,VBZ,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
is,VBZ,O
a,DT,O
very,RB,O
feable,JJ,O
augment,NN,O
sub,NN,O
section,NN,O
2,CD,O
of,IN,O
section,NN,O
5,CD,O
reads,NNS,O
notwithstanding,VBG,O
anything,NN,O
contained,VBN,O
in,IN,O
this,DT,O
act,NN,B-LEGAL
in,IN,O
respect,NN,O
of,IN,O
goods,NNS,B-LEGAL
other,JJ,O
than,IN,O
tea,NNS,O
sold,VBN,O
in,IN,O
auction,NN,B-LEGAL
in,IN,O
the,DT,O
state,NN,O
which,WDT,O
are,VBP,O
sold,VBN,O
under,IN,O
a,DT,O
trade,NN,O
mark,NN,O
or,CC,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
the,DT,O
sale,NN,O
by,IN,O
the,DT,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
or,CC,O
the,DT,O
trade,NN,O
mark,NN,O
holder,NN,B-LEGAL
within,IN,O
the,DT,O
state,NN,O
shall,MD,O
be,VB,O
the,DT,O
first,JJ,B-LEGAL
sale,NN,I-LEGAL
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
this,DT,O
act,NN,B-LEGAL
the,DT,O
impugned,JJ,O
transaction,NN,O
is,VBZ,O
a,DT,O
typical,JJ,O
one,CD,O
coming,VBG,O
under,IN,O
the,DT,O
above,JJ,O
provision,NN,O
the,DT,O
cement,NN,B-LEGAL
sold,VBN,O
by,IN,O
the,DT,O
assessee,NN,B-LEGAL
is,VBZ,O
one,CD,O
which,WDT,O
is,VBZ,O
manufactured,VBN,O
by,IN,O
cochin,JJ,O
cement,NN,B-LEGAL
ltd,NN,O
and,CC,O
from,IN,O
cochin,JJ,O
cement,NN,B-LEGAL
ltd,NN,O
assessee,NN,B-LEGAL
purchased,VBN,O
and,CC,O
cement,NN,B-LEGAL
so,RB,O
purchased,JJ,O
sold,VBN,O
under,IN,O
its,PRP$,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
acc,NN,O
and,CC,O
claimed,JJ,O
exemption,NN,B-LEGAL
as,IN,O
second,JJ,O
sale,NN,O
but,CC,O
by,IN,O
virtue,NN,O
of,IN,O
above,NN,O
said,VBD,O
provision,NN,O
the,DT,O
assessee,NN,B-LEGAL
s,VBD,O
2nd,CD,O
sale,NN,O
is,VBZ,O
treated,VBN,O
as,IN,O
first,JJ,B-LEGAL
sale,NN,I-LEGAL
3,CD,O
be,VB,O
it,PRP,O
noted,VBD,O
the,DT,O
order,NN,O
of,IN,O
assessment,NN,B-LEGAL
has,VBZ,O
received,VBN,O
the,DT,O
stamp,NN,O
of,IN,O
approval,NN,B-LEGAL
by,IN,O
the,DT,O
higher,JJR,O
authorities,NNS,O
as,RB,O
well,RB,O
as,IN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
in,IN,O
this,DT,O
backdrop,NN,O
we,PRP,O
may,MD,O
proceed,VB,O
to,TO,O
analyse,VB,O
the,DT,O
statutory,JJ,O
scheme,NN,O
section,NN,O
51,CD,O
of,IN,O
the,DT,O
act,NN,B-LEGAL
which,WDT,O
is,VBZ,O
the,DT,O
charging,VBG,B-LEGAL
section,NN,I-LEGAL
reads,NNS,O
as,IN,O
follows,VBZ,O
every,DT,O
dealer,NN,B-LEGAL
other,JJ,O
than,IN,O
a,DT,O
casual,JJ,O
trade,NN,O
or,CC,O
agent,NN,B-LEGAL
of,IN,O
an,DT,O
non,JJ,O
resident,NN,O
dealer,NN,B-LEGAL
whose,WP$,O
total,JJ,O
turnover,NN,O
for,IN,O
a,DT,O
year,NN,O
is,VBZ,O
not,RB,O
less,JJR,O
than,IN,O
two,CD,O
lakh,JJ,O
rupees,NNS,O
and,CC,O
every,DT,O
casual,JJ,B-LEGAL
trader,NN,I-LEGAL
or,CC,O
agent,NN,B-LEGAL
of,IN,O
a,DT,O
non,JJ,O
resident,NN,O
dealer,NN,B-LEGAL
whatever,WDT,O
be,VB,O
his,PRP$,O
total,JJ,O
turnover,NN,O
for,IN,O
the,DT,O
year,NN,O
shall,MD,O
pay,VB,O
tax,NN,O
on,IN,O
his,PRP$,O
taxable,JJ,O
turnover,NN,O
of,IN,O
that,DT,O
year,NN,O
4,CD,O
mr,NN,O
s,NN,O
ganesh,NN,O
learned,VBD,O
senior,JJ,O
counsel,NN,O
appearing,VBG,O
for,IN,O
the,DT,O
appellant,NN,O
has,VBZ,O
laid,VBN,O
immense,JJ,O
emphasis,NN,O
on,IN,O
section,NN,O
52,CD,O
which,WDT,O
reads,VBZ,O
thus,RB,O
notwithstanding,VBG,O
anything,NN,O
contained,VBN,O
in,IN,O
this,DT,O
act,NN,B-LEGAL
in,IN,O
respect,NN,O
of,IN,O
manufactured,JJ,O
goods,NNS,B-LEGAL
other,JJ,O
than,IN,O
tea,NN,O
which,WDT,O
are,VBP,O
sold,VBN,O
under,IN,O
the,DT,O
trade,NN,O
mark,NN,O
or,CC,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
the,DT,O
sale,NN,O
by,IN,O
the,DT,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
or,CC,O
the,DT,O
trade,NN,O
mark,NN,O
holder,NN,B-LEGAL
within,IN,O
the,DT,O
state,NN,O
shall,MD,O
be,VB,O
the,DT,O
first,JJ,B-LEGAL
sale,NN,I-LEGAL
for,IN,O
the,DT,O
purposes,NNS,O
of,IN,O
this,DT,O
act,NN,B-LEGAL
5,CD,O
the,DT,O
learned,VBN,O
senior,JJ,O
counsel,NN,O
would,MD,O
contend,VB,O
that,IN,O
the,DT,O
cochin,JJ,O
cement,NN,B-LEGAL
limited,VBN,O
is,VBZ,O
the,DT,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
of,IN,O
the,DT,O
present,JJ,O
appellant,NN,O
and,CC,O
therefore,RB,O
the,DT,O
sale,NN,O
at,IN,O
its,PRP$,O
hand,NN,O
has,VBZ,O
to,TO,O
be,VB,O
treated,VBN,O
as,IN,O
first,JJ,B-LEGAL
sale,NN,I-LEGAL
for,IN,O
the,DT,O
purposes,NNS,O
of,IN,O
this,DT,O
act,NN,B-LEGAL
in,IN,O
this,DT,O
regard,NN,O
we,PRP,O
think,VBP,O
it,PRP,O
appropriate,JJ,B-LEGAL
to,TO,O
refer,VB,O
to,TO,O
section,VB,O
52a,CD,O
and,CC,O
52b,CD,O
of,IN,O
the,DT,O
act,NN,B-LEGAL
which,WDT,O
read,VBD,O
thus,RB,O
52a,CD,O
where,WRB,O
a,DT,O
dealer,NN,B-LEGAL
liable,JJ,O
to,TO,O
tax,NN,O
under,IN,O
sub,NN,O
section,NN,O
1,CD,O
sells,VBZ,O
any,DT,O
goods,NNS,B-LEGAL
to,TO,O
a,DT,O
trade,NN,O
mark,NN,O
or,CC,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
for,IN,O
sale,NN,O
a,DT,O
trade,NN,O
mark,NN,O
or,CC,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
no,DT,O
such,JJ,O
dealer,NN,B-LEGAL
shall,MD,O
be,VB,O
liable,JJ,O
to,TO,O
pay,VB,O
tax,NN,O
under,IN,O
the,DT,O
said,VBD,O
sub,JJ,O
section,NN,O
if,IN,O
he,PRP,O
produces,VBZ,O
before,IN,O
the,DT,O
assessing,VBG,O
authority,NN,B-LEGAL
a,DT,O
declaration,NN,B-LEGAL
in,IN,O
the,DT,O
prescribed,JJ,O
form,NN,B-LEGAL
from,IN,O
that,DT,O
trade,NN,O
mark,NN,O
or,CC,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
52b,CD,O
where,WRB,O
a,DT,O
trade,NN,O
mark,NN,O
or,CC,O
brand,NN,B-LEGAL
name,NN,I-LEGAL
holder,NN,B-LEGAL
consumes,VBZ,O
the,DT,O
goods,NNS,B-LEGAL
purchased,VBN,O
by,IN,O
under,IN,O
section,NN,O
2a,CD,O
in,IN,O
the,DT,O
manufacture,NN,O
of,IN,O
other,JJ,O
goods,NNS,B-LEGAL
or,CC,O
uses,NNS,O
or,CC,O
disposes,NNS,O
of,IN,O
such,JJ,O
goods,NNS,B-LEGAL
in,IN,O
any,DT,O
manner,NN,O
otherwise,RB,O
than,IN,O
by,IN,O
way,NN,O
of,IN,O
sale,NN,O
within,IN,O
the,DT,O
state,NN,O
or,CC,O
despatches,NNS,O
such,JJ,O
