sn,NN,O
a,DT,O
candidate,NN,O
or,CC,O
in,IN,O
his,PRP$,O
absence,NN,O
his,PRP$,O
election,NN,B-LEGAL
agent,NN,I-LEGAL
or,CC,O
his,PRP$,O
counting,NN,B-LEGAL
agent,NN,I-LEGAL
may,MD,O
apply,VB,O
in,IN,O
writing,VBG,O
to,TO,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
or,CC,O
such,JJ,O
officer,NN,O
authorised,VBN,O
by,IN,O
him,PRP,O
for,IN,O
a,DT,O
recount,NN,O
of,IN,O
all,DT,O
or,CC,O
any,DT,O
of,IN,O
the,DT,O
votes,NNS,O
already,RB,O
counted,VBD,O
stating,VBG,O
the,DT,O
grounds,NNS,O
on,IN,O
which,WDT,O
he,PRP,O
demands,VBZ,O
such,JJ,O
recount,NN,O
2,CD,O
on,IN,O
such,PDT,O
an,DT,O
application,NN,O
being,VBG,O
made,VBN,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
or,CC,O
such,JJ,O
other,JJ,O
officer,NN,O
authorised,VBN,O
by,IN,O
him,PRP,O
shall,MD,O
decide,VB,O
the,DT,O
matter,NN,O
and,CC,O
may,MD,O
allow,VB,O
the,DT,O
application,NN,O
in,IN,O
whole,JJ,O
or,CC,O
in,IN,O
part,NN,O
or,CC,O
may,MD,O
reject,VB,O
it,PRP,O
in,IN,O
toto,NN,O
if,IN,O
it,PRP,O
appears,VBZ,O
to,TO,O
him,PRP,O
to,TO,O
be,VB,O
frivolous,JJ,O
or,CC,O
unreasonable,JJ,O
3,CD,O
every,DT,O
decision,NN,O
of,IN,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
or,CC,O
such,JJ,O
other,JJ,O
officer,NN,O
authorised,VBN,O
by,IN,O
him,PRP,O
under,IN,O
sub,NN,O
rule,NN,O
2,CD,O
shall,MD,O
be,VB,O
in,IN,O
writing,VBG,O
and,CC,O
contain,VB,O
the,DT,O
reasons,NNS,O
therefore,RB,O
4,CD,O
if,IN,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
or,CC,O
such,JJ,O
other,JJ,O
officer,NN,O
authorised,VBN,O
by,IN,O
him,PRP,O
decides,NNS,O
under,IN,O
sub,NN,O
rule,NN,O
2,CD,O
to,TO,O
allow,VB,O
an,DT,O
application,NN,O
either,RB,O
in,IN,O
whole,JJ,O
or,CC,O
in,IN,O
part,NN,O
he,PRP,O
shall,MD,O
a,DT,O
count,NN,O
the,DT,O
ballot,NN,O
papers,NNS,O
again,RB,O
in,IN,O
accordance,NN,O
with,IN,O
his,PRP$,O
decision,NN,O
b,NN,O
amend,VBP,O
the,DT,O
result,NN,B-LEGAL
sheet,NN,I-LEGAL
to,TO,O
the,DT,O
extent,NN,O
necessary,JJ,O
after,IN,O
such,JJ,O
recount,NN,O
and,CC,O
c,JJ,O
announce,NN,O
the,DT,O
amendment,NN,B-LEGAL
so,RB,O
made,VBN,O
by,IN,O
him,PRP,O
5,CD,O
after,IN,O
the,DT,O
total,JJ,O
member,NN,O
of,IN,O
votes,NNS,O
polled,VBN,O
by,IN,O
each,DT,O
candidate,NN,O
has,VBZ,O
been,VBN,O
announced,VBN,O
under,IN,O
sub,NN,O
rule,NN,O
2,CD,O
or,CC,O
rule,VB,O
77,CD,O
or,CC,O
sub,VB,O
rule,NN,O
4,CD,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
or,CC,O
such,JJ,O
other,JJ,O
officer,NN,O
authorised,VBN,O
by,IN,O
him,PRP,O
shall,MD,O
complete,VB,O
and,CC,O
sign,VB,O
the,DT,O
result,NN,B-LEGAL
sheet,NN,I-LEGAL
and,CC,O
no,DT,O
application,NN,O
for,IN,O
a,DT,O
recount,NN,O
shall,MD,O
be,VB,O
entertained,VBN,O
thereafter,RB,O
provided,VBN,O
tat,NN,O
no,DT,O
step,NN,O
under,IN,O
this,DT,O
sub,NN,O
rule,NN,O
shall,MD,O
be,VB,O
taken,VBN,O
on,IN,O
the,DT,O
completion,NN,O
of,IN,O
the,DT,O
counting,NN,B-LEGAL
until,IN,O
the,DT,O
candidates,NNS,O
and,CC,O
election,NN,O
agents,NNS,O
present,JJ,O
at,IN,O
the,DT,O
completion,NN,O
thereof,NN,O
have,VBP,O
been,VBN,O
given,VBN,O
a,DT,O
reasonable,JJ,O
opportunity,NN,O
to,TO,O
exercise,VB,O
the,DT,O
right,NN,O
conferred,VBN,O
by,IN,O
sub,NN,O
rule,NN,O
1,CD,O
6,CD,O
the,DT,O
counted,VBN,O
ballot,NN,O
papers,NNS,O
shall,MD,O
be,VB,O
bundles,NNS,O
and,CC,O
kept,VB,O
in,IN,O
the,DT,O
manner,NN,O
mentioned,VBD,O
in,IN,O
sub,NN,O
rule,NN,O
3,CD,O
of,IN,O
rule,NN,O
77,CD,O
7,CD,O
result,NN,O
sheets,NNS,O
in,IN,O
form,NN,O
16,CD,O
17,CD,O
18,CD,O
and,CC,O
19,CD,O
for,IN,O
panch,JJ,O
sarpanch,JJ,O
member,NN,O
of,IN,O
janpad,NN,O
panchayat,NN,O
and,CC,O
member,NN,O
or,CC,O
zila,NN,O
panchayat,NN,O
respectively,RB,O
prepared,VBN,O
by,IN,O
such,JJ,O
other,JJ,O
officers,NNS,O
as,IN,O
are,VBP,O
authorised,VBN,O
by,IN,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
shall,MD,O
be,VB,O
submitted,VBN,O
by,IN,O
them,PRP,O
in,IN,O
separates,NNS,O
envelops,VBP,O
to,TO,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
for,IN,O
compilation,NN,O
and,CC,O
tabulation,NN,O
or,CC,O
votes,NNS,O
polled,VBN,O
by,IN,O
each,DT,O
candidate,NN,O
8,CD,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
on,IN,O
receipt,NN,O
or,CC,O
result,NN,O
sheets,NNS,O
under,IN,O
sub,NN,O
rule,NN,O
7,CD,O
shall,MD,O
enter,NN,O
of,IN,O
cause,NN,O
to,TO,O
be,VB,O
entered,VBN,O
the,DT,O
total,JJ,O
number,NN,O
of,IN,O
votes,NNS,O
polled,VBN,O
by,IN,O
each,DT,O
candidate,NN,O
contesting,NN,O
for,IN,O
a,DT,O
seat,NN,B-LEGAL
of,IN,O
sarpanch,JJ,O
member,NN,O
of,IN,O
janpad,NN,O
panchayat,NN,O
or,CC,O
member,NN,O
of,IN,O
zila,NN,O
panchayat,NN,O
at,IN,O
each,DT,O
polling,VBG,B-LEGAL
station,NN,I-LEGAL
of,IN,O
the,DT,O
concerned,JJ,O
constituency,NN,B-LEGAL
in,IN,O
subsequent,JJ,O
part,NN,O
of,IN,O
parts,NNS,O
of,IN,O
form,NN,O
17,CD,O
18,CD,O
and,CC,O
19,CD,O
respectively,RB,O
and,CC,O
complete,JJ,O
and,CC,O
sign,VB,O
the,DT,O
result,NN,B-LEGAL
sheet,NN,I-LEGAL
9,CD,O
thus,RB,O
under,IN,O
sub,NN,O
rule,NN,O
5,CD,O
once,RB,O
the,DT,O
result,NN,B-LEGAL
sheet,NN,I-LEGAL
is,VBZ,O
completed,VBN,O
and,CC,O
signed,VBN,O
no,DT,O
application,NN,O
for,IN,O
recount,NN,O
can,MD,O
be,VB,O
entertained,VBN,O
10,CD,O
rule,NN,O
81,CD,O
also,RB,O
provides,VBZ,O
that,IN,O
after,IN,O
the,DT,O
counting,NN,B-LEGAL
of,IN,O
the,DT,O
votes,NNS,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
shall,MD,O
prepare,VB,O
a,DT,O
return,NN,O
and,CC,O
declare,VB,O
the,DT,O
candidate,NN,O
who,WP,O
has,VBZ,O
the,DT,O
largest,JJS,O
number,NN,O
of,IN,O
votes,NNS,O
to,TO,O
have,VB,O
been,VBN,O
elected,VBN,O
under,IN,O
rule,NN,O
83,CD,O
a,DT,O
certificate,NN,B-LEGAL
is,VBZ,O
to,TO,O
be,VB,O
granted,VBN,O
to,TO,O
the,DT,O
returned,VBN,B-LEGAL
candidate,NN,I-LEGAL
who,WP,O
has,VBZ,O
been,VBN,O
declared,VBN,O
elected,VBN,O
under,IN,O
rule,NN,O
84,CD,O
after,IN,O
the,DT,O
certificate,NN,B-LEGAL
has,VBZ,O
been,VBN,O
granted,VBN,O
the,DT,O
election,NN,O
officer,NN,O
or,CC,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
can,MD,O
only,RB,O
correct,VB,O
clerical,JJ,O
or,CC,O
arithmetical,JJ,O
mistakes,NNS,O
11,CD,O
thus,RB,O
after,IN,O
declaration,NN,O
of,IN,O
results,NNS,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
has,VBZ,O
no,DT,O
power,NN,O
either,RB,O
to,TO,O
direct,VB,O
recount,NN,O
or,CC,O
to,TO,O
change,VB,O
the,DT,O
results,NNS,O
of,IN,O
the,DT,O
election,NN,O
once,IN,O
the,DT,O
result,NN,O
is,VBZ,O
declared,VBN,O
the,DT,O
only,JJ,O
remedy,NN,O
of,IN,O
an,DT,O
aggrieved,JJ,O
party,NN,O
is,VBZ,O
an,DT,O
election,NN,O
petition,NN,O
under,IN,O
section,NN,O
122,CD,O
12,CD,O
in,IN,O
the,DT,O
case,NN,O
as,IN,O
stated,VBN,O
above,IN,O
the,DT,O
appellant,NN,O
had,VBD,O
been,VBN,O
orally,RB,O
told,VBD,O
that,IN,O
he,PRP,O
had,VBD,O
won,VBN,O
he,PRP,O
only,RB,O
came,VBD,O
to,TO,O
know,VB,O
that,DT,O
respondent,NN,O
no,RB,O
1,CD,O
had,VBD,O
been,VBN,O
declared,VBN,O
elected,VBN,O
after,IN,O
the,DT,O
result,NN,O
was,VBD,O
declared,VBN,O
at,IN,O
this,DT,O
stage,NN,O
he,PRP,O
could,MD,O
not,RB,O
have,VB,O
approached,VBN,O
the,DT,O
returning,VBG,B-LEGAL
officer,NN,I-LEGAL
for,IN,O
recount,NN,O
the,DT,O
only,JJ,O
remedy,NN,O
therefore,RB,O
available,JJ,O
to,TO,O
the,DT,O
appellant,NN,O
was,VBD,O
to,TO,O
file,VB,O
an,DT,O
election,NN,O
petition,NN,O
13,CD,O
in,IN,O
view,NN,O
of,IN,O
section,NN,O
122,CD,O
and,CC,O
the,DT,O
rules,NNS,O
we,PRP,O
are,VBP,O
unable,JJ,O
to,TO,O
agree,VB,O
with,IN,O
the,DT,O
ratio,NN,O
laid,VBD,O
down,RB,O
in,IN,O
ram,JJ,O
rati,NN,O
s,NN,O
case,NN,O
it,PRP,O
is,VBZ,O
not,RB,O
correct,JJ,O
to,TO,O
hold,VB,O
that,IN,O
in,IN,O
an,DT,O
election,NN,O
petition,NN,O
after,IN,O
the,DT,O
declaration,NN,O
of,IN,O
the,DT,O
result,NN,O
the,DT,O
court,NN,O
or,CC,O
tribunal,NN,O
cannot,MD,O
direct,RB,O
recounting,VB,B-LEGAL
of,NN,O
votes,IN,O
there,NNS,O
is,EX,O
no,VBZ,O
prohibition,DT,O
in,NN,O
the,IN,O
act,DT,O
or,NN,O
under,CC,O
the,IN,O
rules,DT,O
prohibiting,NNS,O
the,VBG,O
court,DT,O
or,NN,O
tribunal,CC,O
to,NN,O
direct,TO,O
a,VB,O
recounting,DT,B-LEGAL
of,NN,O
the,IN,O
votes,DT,O
even,NNS,O
otherwise,RB,O
a,VBP,O
party,DT,O
may,NN,O
not,MD,O
know,RB,O
that,VB,O
the,IN,O
recounting,DT,B-LEGAL
is,NN,O
necessary,VBZ,O
till,JJ,O
after,NN,O
result,IN,O
is,NN,O
declared,VBZ,O
at,VBN,O
this,IN,O
stage,DT,O
it,NN,O
would,PRP,O
not,MD,O
be,RB,O
possible,VB,O
for,JJ,O
him,IN,O
to,PRP,O
apply,TO,O
for,VB,O
recounting,IN,B-LEGAL
to,VBG,O
the,TO,O
returning,DT,B-LEGAL
officer,VBG,I-LEGAL
his,NN,O
only,PRP$,O
remedy,JJ,O
would,NN,O
be,MD,O
to,VB,O
file,TO,O
an,VB,O
election,DT,O
petition,NN,O
under,NN,O
section,IN,O
122,NN,O
in,CD,O
such,IN,O
a,JJ,O
case,DT,O
the,NN,O
court,DT,O
or,NN,O
the,CC,O
tribunal,DT,O
is,JJ,O
bound,VBZ,O
to,VBN,O
consider,TO,O
the,VB,O
plea,DT,O
and,NN,O
where,CC,O
case,WRB,O
is,NN,O
made,VBZ,O
out,VBN,O
it,IN,O
may,PRP,O
direct,MD,O
recount,VB,O
depending,NN,O
upon,VBG,O
the,IN,O
evidence,DT,B-LEGAL
led,NN,O
by,VBN,O
the,IN,O
parties,DT,O
in,NNS,O
the,IN,O
present,DT,O
case,JJ,O
there,NN,O
was,EX,O
obvious,VBD,O
error,JJ,O
in,NN,O
declaring,IN,O
the,VBG,O
result,DT,O
we,NN,O
therefore,PRP,O
hold,VBP,O
that,VBP,O
the,IN,O
ratio,DT,O
laid,NN,O
down,VBD,O
in,RB,O
ram,IN,O
rati,JJ,O
s,NN,O
case,NN,O
is,NN,O
not,VBZ,O
correct,RB,O
14,JJ,O
in,CD,O
his,IN,O
view,PRP$,O
of,NN,O
the,IN,O
matter,DT,O
the,NN,O
decision,DT,O
of,NN,O
the,IN,O
high,DT,O
court,JJ,O
cannot,NN,O
be,MD,O
sustained,RB,O
and,VB,O
is,VBN,O
therefore,CC,O
set,VBZ,O
aside,RB,O
as,JJ,O
the,RB,O
writ,IN,O
petition,DT,O
was,NN,O
disposed,NN,O
off,VBD,O
only,VBN,O
on,RP,O
the,RB,O
basis,IN,O
of,DT,O
ram,NN,O
rati,IN,O
s,NN,O
case,NN,O
the,NN,O
high,NN,O
court,DT,O
has,JJ,O
not,NN,O
dealt,VBZ,O
with,RB,O
other,VBN,O
points,IN,O
raised,JJ,O
in,NNS,O
the,VBN,O
writ,IN,O
petition,DT,O
we,JJ,O
therefore,NN,O
restore,PRP,O
the,VBP,O
writ,VBD,O
petition,DT,O
to,NN,O
the,NN,O
file,TO,O
of,DT,O
the,NN,O
high,IN,O
court,DT,O
the,JJ,O
high,NN,O
court,DT,O
shall,JJ,O
decide,NN,O
the,MD,O
same,VB,O
on,DT,O
merits,JJ,O
15,IN,O
the,NNS,O
appeals,CD,O
stand,DT,O
disposed,NNS,O
of,VBP,O
accordingly,VBN,O
there,IN,O
shall,RB,O
be,EX,O
no,MD,O
order,VB,O
as,DT,O
to,NN,O
costs,IN,O
