bp,NN,O
other,JJ,O
two,CD,O
appellants,NNS,O
filed,VBD,O
criminal,JJ,O
appeal,NN,O
no,DT,O
76,CD,O
of,IN,O
1997,CD,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
madhya,NN,O
pradesh,NN,O
at,IN,O
jabalpur,PDT,O
the,DT,O
high,JJ,O
court,NN,O
by,IN,O
its,PRP$,O
impugned,JJ,O
judgment,NN,O
and,CC,O
order,NN,O
of,IN,O
march,NN,O
11,CD,O
2002,CD,O
dismissed,VBD,O
the,DT,O
appeals,NNS,O
the,DT,O
appellants,NNS,O
have,VBP,O
preferred,VBN,O
these,DT,O
two,CD,O
appeals,NNS,O
by,IN,O
special,JJ,O
leave,JJ,O
2,CD,O
the,DT,O
case,NN,O
of,IN,O
the,DT,O
prosecution,NN,O
is,VBZ,O
that,IN,O
the,DT,O
prosecutrix,NN,B-LEGAL
kumari,NN,O
lusia,NN,O
was,VBD,O
working,VBG,O
as,IN,O
assistant,NN,O
teacher,NN,O
in,IN,O
the,DT,O
government,NN,O
primary,JJ,O
school,NN,O
at,IN,O
village,NN,O
bagod,NN,O
she,PRP,O
was,VBD,O
aged,VBN,O
about,IN,O
28,CD,O
years,NNS,O
and,CC,O
was,VBD,O
unmarried,VBN,O
on,IN,O
march,NN,O
4,CD,O
1992,CD,O
at,IN,O
about,IN,O
1130,CD,O
am,VBP,O
she,PRP,O
boarded,VBD,O
a,DT,O
bus,NN,O
to,TO,O
go,VB,O
to,TO,O
bagod,VB,O
and,CC,O
alighted,VBN,O
from,IN,O
the,DT,O
bus,NN,O
at,IN,O
about,IN,O
100,CD,O
pm,NN,O
at,IN,O
a,DT,O
place,NN,O
known,VBN,O
as,IN,O
zero,NN,O
chain,NN,O
puliya,NN,O
from,IN,O
where,WRB,O
her,PRP$,O
school,NN,O
was,VBD,O
located,VBN,O
at,IN,O
a,DT,O
distance,NN,O
of,IN,O
about,IN,O
1,CD,O
kilometre,NNS,O
after,IN,O
alighting,VBG,O
from,IN,O
the,DT,O
bus,NN,O
she,PRP,O
proceeded,VBD,O
on,IN,O
foot,NN,O
to,TO,O
the,DT,O
school,NN,O
in,IN,O
village,NN,O
bagod,NN,O
when,WRB,O
she,PRP,O
was,VBD,O
near,IN,O
the,DT,O
tapara,NN,O
of,IN,O
baldar,NN,O
khan,NN,O
she,PRP,O
noticed,VBD,O
that,IN,O
she,PRP,O
was,VBD,O
being,VBG,O
followed,VBN,O
by,IN,O
three,CD,O
persons,NNS,O
when,WRB,O
she,PRP,O
proceeded,VBD,O
some,DT,O
distance,NN,O
she,PRP,O
suspected,VBD,O
that,IN,O
some,DT,O
of,IN,O
them,PRP,O
had,VBD,O
come,VBN,O
very,RB,O
close,RB,O
to,TO,O
her,PRP$,O
she,PRP,O
moved,VBD,O
to,TO,O
the,DT,O
edge,NN,O
of,IN,O
the,DT,O
path,JJ,O
way,NN,O
giving,VBG,O
way,NN,O
to,TO,O
the,DT,O
persons,NNS,O
behind,IN,O
her,PRP,O
to,TO,O
go,VB,O
ahead,RB,O
however,RB,O
one,CD,O
of,IN,O
them,PRP,O
later,RB,O
identified,VBN,O
at,IN,O
appellant,JJ,O
maharajsingh,NN,O
caught,VBD,O
hold,NN,O
of,IN,O
her,PRP$,O
hands,NNS,O
from,IN,O
behind,IN,O
the,DT,O
prosecutrix,NN,B-LEGAL
objected,VBD,O
and,CC,O
raised,VBD,O
an,DT,O
alarm,NN,O
calling,VBG,O
out,RP,O
for,IN,O
baldar,NN,O
khan,NN,O
but,CC,O
no,DT,O
one,NN,O
came,VBD,O
to,TO,O
her,PRP$,O
rescue,NN,O
on,IN,O
the,DT,O
other,JJ,O
hand,NN,O
appellant,JJ,O
malkhansingh,NN,O
took,VBD,O
out,RP,O
a,DT,O
knife,NN,O
and,CC,O
threatened,VBD,O
her,PRP$,O
appellant,JJ,O
musab,NN,O
khan,NN,O
also,RB,O
took,VBD,O
out,RP,O
a,DT,O
knife,NN,O
and,CC,O
threatened,VBD,O
her,PRP$,O
into,IN,O
silence,NN,O
two,CD,O
of,IN,O
them,PRP,O
then,RB,O
dragged,VBD,O
her,PRP,O
towards,IN,O
the,DT,O
canal,NN,O
where,WRB,O
she,PRP,O
was,VBD,O
further,RB,O
threatened,VBN,O
and,CC,O
made,VBN,O
to,TO,O
lie,VB,O
on,IN,O
the,DT,O
ground,NN,O
when,WRB,O
again,RB,O
she,PRP,O
persisted,VBD,O
in,IN,O
raising,VBG,O
alarm,NN,O
appellant,NN,O
maharajsingh,NN,O
placed,VBD,O
a,DT,O
knife,NN,O
on,IN,O
her,PRP$,O
neck,NN,O
and,CC,O
tried,VBD,O
to,TO,O
press,VB,O
her,PRP$,O
neck,NN,O
thereafter,RB,O
the,DT,O
appellants,NNS,O
musab,VBP,O
khan,NN,O
and,CC,O
malkhansingh,NN,O
removed,VBD,O
her,PRP$,O
clothes,NNS,O
and,CC,O
musab,NN,O
khan,NN,O
was,VBD,O
the,DT,O
first,JJ,O
person,NN,O
to,TO,O
sexually,RB,O
assault,VB,B-LEGAL
her,PRP$,O
followed,VBN,O
by,IN,O
maharajsingh,NN,O
and,CC,O
malkhansingh,NN,O
thereafter,RB,O
they,PRP,O
left,VBD,O
her,PRP,O
giving,VBG,O
threats,NNS,O
of,IN,O
dire,NN,O
consequences,NNS,O
if,IN,O
she,PRP,O
reported,VBD,O
the,DT,O
matter,NN,O
to,TO,O
the,DT,O
police,NN,O
and,CC,O
reminded,VBD,O
her,PRP$,O
that,IN,O
she,PRP,O
would,MD,O
meet,VB,O
the,DT,O
same,JJ,O
fate,NN,O
which,WDT,O
madam,NN,O
rekha,NN,O
had,VBD,O
met,VBN,O
if,IN,O
she,PRP,O
reported,VBD,O
the,DT,O
matter,NN,O
to,TO,O
the,DT,O
police,NN,O
3,CD,O
after,IN,O
the,DT,O
occurrence,NN,O
the,DT,O
prosecutrix,NN,B-LEGAL
left,VBD,O
for,IN,O
her,PRP$,O
home,NN,O
at,IN,O
bagod,NN,O
and,CC,O
went,VBD,O
to,TO,O
school,NN,O
at,IN,O
about,IN,O
300,CD,O
pm,NN,O
on,IN,O
the,DT,O
next,JJ,O
day,NN,O
she,PRP,O
attended,VBD,O
the,DT,O
school,NN,O
but,CC,O
thereafter,RB,O
went,VBD,O
to,TO,O
vidisha,VB,O
accompanied,VBN,O
by,IN,O
another,DT,O
teacher,NN,O
mangalsingh,NN,O
at,IN,O
vidisha,NN,O
she,PRP,O
met,VBD,O
the,DT,O
deputy,NN,O
director,NN,O
of,IN,O
education,NN,O
one,CD,O
mr,NN,O
dutta,NN,O
on,IN,O
march,NN,O
6,CD,O
1992,CD,O
to,TO,O
whom,WP,O
she,PRP,O
narrated,VBD,O
the,DT,O
incident,NN,O
and,CC,O
told,VBD,O
him,PRP,O
that,IN,O
the,DT,O
three,CD,O
boys,NNS,O
were,VBD,O
after,IN,O
her,PRP$,O
life,NN,O
and,CC,O
it,PRP,O
was,VBD,O
not,RB,O
safe,JJ,O
for,IN,O
her,PRP$,O
to,TO,O
go,VB,O
back,RB,O
to,TO,O
bagod,VB,O
she,PRP,O
requested,VBD,O
that,IN,O
she,PRP,O
may,MD,O
transferred,VB,O
to,TO,O
some,DT,O
other,JJ,O
school,NN,O
according,VBG,O
to,TO,O
the,DT,O
prosecutrix,NN,B-LEGAL
mr,NN,O
dutta,NN,O
attached,VBD,O
her,PRP,O
to,TO,O
a,DT,O
school,NN,O
at,IN,O
khamkheda,NN,O
with,IN,O
effect,NN,O
from,IN,O
march,NN,O
10,CD,O
1992,CD,O
she,PRP,O
narrated,VBD,O
the,DT,O
incident,NN,O
to,TO,O
her,PRP$,O
colleague,NN,O
shri,NN,O
mangalsingh,NN,O
on,IN,O
march,NN,O
12,CD,O
1992,CD,O
who,WP,O
in,IN,O
turn,NN,O
reported,VBD,O
the,DT,O
matter,NN,O
to,TO,O
kaluram,VB,O
pw3,NN,O
who,WP,O
was,VBD,O
the,DT,O
president,NN,O
of,IN,O
district,NN,O
teachers,NNS,O
association,VBP,O
on,IN,O
march,NN,O
14,CD,O
1992,CD,O
shri,NN,O
kaluram,NN,O
pw3,NN,O
took,VBD,O
her,PRP,O
to,TO,O
the,DT,O
residence,NN,O
of,IN,O
superintendent,NN,O
of,IN,O
police,NN,O
vidisha,NN,O
where,WRB,O
the,DT,O
prosecutrix,NN,B-LEGAL
handed,VBD,O
over,RP,O
a,DT,O
typed,JJ,O
complaint,NN,O
to,TO,O
the,DT,O
superintendent,NN,O
of,IN,O
police,NN,O
the,DT,O
said,VBD,O
complaint,NN,O
was,VBD,O
forwarded,VBN,O
to,TO,O
the,DT,O
kotwali,NN,O
vidisha,NN,O
where,WRB,O
a,DT,O
crime,NN,O
was,VBD,O
registered,VBN,O
the,DT,O
prosecutrix,NN,B-LEGAL
was,VBD,O
thereafter,RB,O
medically,RB,O
examined,VBN,O
by,IN,O
dr,NN,O
manju,NN,O
singhai,NN,O
pw1,NN,O
on,IN,O
the,DT,O
same,JJ,O
day,NN,O
at,IN,O
about,RB,O
645,CD,O
pm,NN,O
her,PRP$,O
clothes,NNS,O
were,VBD,O
seized,VBN,O
and,CC,O
handed,VBN,O
over,IN,O
to,TO,O
the,DT,O
police,NN,O
the,DT,O
vidisha,NN,O
police,NN,O
sent,VBD,O
the,DT,O
relevant,JJ,O
papers,NNS,O
to,TO,O
police,VB,O
station,NN,O
satpada,NN,O
since,IN,O
village,NN,O
bagod,NN,O
fell,VBD,O
within,IN,O
the,DT,O
jurisdiction,NN,O
of,IN,O
that,DT,O
police,NN,O
station,VBD,O
the,DT,O
case,NN,O
was,VBD,O
investigated,VBN,O
and,CC,O
ultimately,RB,O
musab,JJ,O
khan,NN,O
was,VBD,O
arrested,VBN,O
on,IN,O
march,NN,O
29,CD,O
1992,CD,O
while,IN,O
the,DT,O
others,NNS,O
were,VBD,O
arrested,VBN,O
on,IN,O
march,NN,O
26,CD,O
1992,CD,O
the,DT,O
appellants,NNS,O
were,VBD,O
put,VBN,O
up,RP,O
for,IN,O
trial,NN,O
before,IN,O
the,DT,O
additional,JJ,O
sessions,NNS,O
judge,NN,O
vidisha,NN,O
where,WRB,O
the,DT,O
prosecutrix,NN,B-LEGAL
identified,VBD,O
them,PRP,O
as,IN,O
the,DT,O
three,CD,O
persons,NNS,O
who,WP,O
had,VBD,O
subjected,VBN,O
her,PRP$,O
to,TO,O
sexual,JJ,O
assault,NN,B-LEGAL
and,CC,O
criminal,JJ,B-LEGAL
intimidation,NN,I-LEGAL
4,CD,O
a,DT,O
few,JJ,O
facts,NNS,O
which,WDT,O
may,MD,O
be,VB,O
noticed,VBN,O
at,IN,O
the,DT,O
threshold,NN,O
are,VBP,O
that,IN,O
the,DT,O
investigating,VBG,O
officer,NN,O
did,VBD,O
not,RB,O
consider,VB,O
it,PRP,O
necessary,JJ,O
to,TO,O
hold,VB,O
the,DT,O
test,NN,B-LEGAL
identification,NN,I-LEGAL
parade,NN,I-LEGAL
surprisingly,RB,O
the,DT,O
prosecution,NN,O
did,VBD,O
not,RB,O
examine,VB,O
its,PRP$,O
witnesses,NNS,O
shri,VBP,O
mangal,JJ,O
singh,NN,O
and,CC,O
shri,NN,O
dutta,NN,O
deputy,NN,O
director,NN,O
of,IN,O
education,NN,O
to,TO,O
whom,WP,O
she,PRP,O
had,VBD,O
narrated,VBN,O
the,DT,O
incident,NN,O
on,IN,O
march,NN,O
6,CD,O
1992,CD,O
before,IN,O
the,DT,O
trial,NN,O
court,NN,O
as,RB,O
well,RB,O
as,IN,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
it,PRP,O
was,VBD,O
urged,VBN,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
defence,NN,O
that,IN,O
there,EX,O
was,VBD,O
considerable,JJ,O
delay,NN,O
in,IN,O
lodging,VBG,O
the,DT,O
first,JJ,B-LEGAL
information,NN,I-LEGAL
report,NN,I-LEGAL
and,CC,O
therefore,RB,O
not,RB,O
much,JJ,O
reliance,NN,O
could,MD,O
be,VB,O
placed,VBN,O
upon,IN,O
the,DT,O
testimony,NN,O
of,IN,O
the,DT,O
prosecutrix,NN,B-LEGAL
it,PRP,O
was,VBD,O
also,RB,O
urged,VBN,O
that,IN,O
the,DT,O
medical,JJ,B-LEGAL
evidence,NN,I-LEGAL
on,IN,O
record,NN,O
did,VBD,O
not,RB,O
support,VB,O
the,DT,O
case,NN,O
of,IN,O
the,DT,O
prosecution,NN,O
lastly,RB,O
it,PRP,O
was,VBD,O
submitted,VBN,O
that,IN,O
in,IN,O
the,DT,O
absence,NN,O
of,IN,O
a,DT,O
test,NN,B-LEGAL
identification,NN,I-LEGAL
parade,VBD,I-LEGAL
the,DT,O
identification,NN,O
of,IN,O
the,DT,O
appellants,NNS,O
by,IN,O
the,DT,O
prosecutrix,NN,B-LEGAL
before,IN,O
the,DT,O
trial,NN,O
court,NN,O
had,VBD,O
no,DT,O
value,NN,O
whatsoever,RB,O
and,CC,O
therefore,RB,O
the,DT,O
conviction,NN,O
of,IN,O
the,DT,O
appellants,NNS,O
was,VBD,O
not,RB,O
justified,VBN,O
in,IN,O
law,NN,O
5,CD,O
the,DT,O
trial,NN,O
court,NN,O
as,RB,O
well,RB,O
as,IN,O
the,DT,O
high,JJ,O
court,NN,O
have,VBP,O
carefully,RB,O
considered,VBN,O
the,DT,O
evidence,NN,O
on,IN,O
record,NN,O
and,CC,O
have,VBP,O
come,VBN,O
to,TO,O
the,DT,O
conclusion,NN,O
that,IN,O
the,DT,O
delay,NN,O
if,IN,O
any,DT,O
in,IN,O
lodging,VBG,O
the,DT,O
first,JJ,B-LEGAL
information,NN,I-LEGAL
report,NN,I-LEGAL
was,VBD,O
fully,RB,O
explained,VBN,O
by,IN,O
the,DT,O
prosecutrix,NN,B-LEGAL
and,CC,O
was,VBD,O
strongly,RB,O
supported,VBN,O
by,IN,O
the,DT,O
circumstantial,JJ,B-LEGAL
evidence,NN,I-LEGAL
on,IN,O
record,NN,O
the,DT,O
courts,NNS,O
below,IN,O
have,VBP,O
noticed,VBN,O
the,DT,O
fact,NN,O
that,IN,O
the,DT,O
prosecutrix,NN,B-LEGAL
was,VBD,O
living,VBG,O
all,DT,O
alone,RB,O
and,CC,O
was,VBD,O
an,DT,O
unmarried,JJ,O
person,NN,O
about,IN,O
28,CD,O
years,NNS,O
of,IN,O
age,NN,O
she,PRP,O
did,VBD,O
not,RB,O
have,VB,O
any,DT,O
family,NN,O
member,NN,O
to,TO,O
whom,WP,O
she,PRP,O
could,MD,O
have,VB,O
narrated,VBN,O
her,PRP$,O
story,NN,O
immediately,RB,O
after,IN,O
the,DT,O
occurrence,NN,O
moreover,VBD,O
the,DT,O
sense,NN,O
of,IN,O
shame,NN,O
coupled,VBN,O
with,IN,O
the,DT,O
fear,NN,O
on,IN,O
account,NN,O
of,IN,O
threats,NNS,O
given,VBN,O
out,RP,O
by,IN,O
the,DT,O
appellants,NNS,O
must,MD,O
have,VB,O
deterred,VBN,O
her,PRP,O
from,IN,O
immediately,RB,O
reporting,VBG,O
about,IN,O
the,DT,O
occurrence,NN,O
to,TO,O
others,NNS,O
even,RB,O
so,RB,O
according,VBG,O
to,TO,O
her,PRP$,O
she,PRP,O
narrated,VBD,O
the,DT,O
incident,NN,O
to,TO,O
shri,VB,O
dutta,JJ,O
deputy,JJ,O
director,NN,O
of,IN,O
education,NN,O
on,IN,O
march,NN,O
6,CD,O
1992,CD,O
later,RB,O
she,PRP,O
narrated,VBD,O
the,DT,O
incident,NN,O
to,TO,O
one,CD,O
of,IN,O
her,PRP$,O
colleagues,NNS,O
whom,WP,O
she,PRP,O
found,VBD,O
to,TO,O
be,VB,O
sympathetic,JJ,O
towards,NNS,O
her,PRP$,O
and,CC,O
thereafter,RB,O
when,WRB,O
her,PRP$,O
cause,NN,O
was,VBD,O
taken,VBN,O
up,RP,O
by,IN,O
the,DT,O
teachers,NNS,O
association,VBP,O
she,PRP,O
could,MD,O
muster,VB,O
courage,NN,O
to,TO,O
lodge,VB,O
a,DT,O
report,NN,O
with,IN,O
the,DT,O
superintendent,NN,O
of,IN,O
police,NN,O
the,DT,O
courts,NNS,O
below,IN,O
have,VBP,O
therefore,RB,O
rightly,RB,O
held,VBD,O
that,IN,O
in,IN,O
the,DT,O
facts,NNS,O
and,CC,O
circumstances,NNS,O
of,IN,O
the,DT,O
case,NN,O
the,DT,O
mere,JJ,O
delay,NN,O
in,IN,O
lodging,NN,O
of,IN,O
the,DT,O
first,JJ,B-LEGAL
information,NN,I-LEGAL
report,NN,I-LEGAL
does,VBZ,O
not,RB,O
discredit,VB,O
the,DT,O
prosecution,NN,O
case,NN,O
the,DT,O
courts,NNS,O
below,IN,O
have,VBP,O
also,RB,O
examined,VBN,O
the,DT,O
medical,JJ,B-LEGAL
evidence,NN,I-LEGAL
on,IN,O
record,NN,O
and,CC,O
have,VBP,O
observed,VBN,O
that,IN,O
the,DT,O
medical,JJ,B-LEGAL
evidence,NN,I-LEGAL
to,TO,O
some,DT,O
extent,NN,O
supported,VBD,O
the,DT,O
case,NN,O
of,IN,O
the,DT,O
prosecution,NN,O
that,IN,O
the,DT,O
prosecutrix,NN,B-LEGAL
may,MD,O
have,VB,O
been,VBN,O
subjected,VBN,O
to,TO,O
forcible,JJ,O
sexual,JJ,B-LEGAL
intercourse,NN,I-LEGAL
within,IN,O
a,DT,O
week,NN,O
or,CC,O
two,CD,O
of,IN,O
her,PRP$,O
medical,JJ,B-LEGAL
examination,NN,I-LEGAL
the,DT,O
medical,JJ,B-LEGAL
evidence,NN,I-LEGAL
also,RB,O
indicted,VBD,O
that,IN,O
the,DT,O
prosecutrix,NN,B-LEGAL
was,VBD,O
not,RB,O
habituated,VBN,O
to,TO,O
sexual,JJ,B-LEGAL
intercourse,NN,I-LEGAL
we,PRP,O
find,VBP,O
no,DT,O
reason,NN,O
to,TO,O
dis,VB,O
agree,JJ,O
with,IN,O
the,DT,O
findings,NNS,O
recorded,VBN,O
by,IN,O
the,DT,O
courts,NNS,O
below,IN,O
on,IN,O
these,DT,O
aspects,NNS,O
of,IN,O
the,DT,O
matter,NN,O
6,CD,O
the,DT,O
principal,JJ,O
submission,NN,O
urged,VBD,O
before,IN,O
the,DT,O
courts,NNS,O
below,IN,O
as,RB,O
also,RB,O
before,IN,O
us,PRP,O
is,VBZ,O
whether,IN,O
the,DT,O
conviction,NN,O
of,IN,O
the,DT,O
appellants,NNS,O
can,MD,O
be,VB,O
sustained,VBN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
the,DT,O
identification,NN,O
of,IN,O
the,DT,O
appellants,NNS,O
by,IN,O
the,DT,O
prosecutrix,NN,B-LEGAL
in,IN,O
court,NN,O
without,IN,O
holding,VBG,O
a,DT,O
test,NN,B-LEGAL
identification,NN,I-LEGAL
parade,NN,I-LEGAL
in,IN,O
the,DT,O
course,NN,O
of,IN,O
investigation,NN,O
while,IN,O
the,DT,O
appellants,NNS,O
contend,VBP,O
that,IN,O
the,DT,O
identification,NN,O
in,IN,O
court,NN,O
not,RB,O
preceded,VBN,O
by,IN,O
a,DT,O
test,NN,B-LEGAL
identification,NN,I-LEGAL
parade,NN,I-LEGAL
is,VBZ,O
of,IN,O
no,DT,O
evidentiary,JJ,B-LEGAL
value,NN,I-LEGAL
the,DT,O
prosecution,NN,O
contends,VBZ,O
that,IN,O
the,DT,O
substantive,JJ,O
evidence,NN,O
is,VBZ,O
the,DT,O
evidence,NN,O
of,IN,O
identification,NN,O
on,IN,O
court,NN,O
and,CC,O
therefore,RB,O
the,DT,O
value,NN,O
to,TO,O
be,VB,O
attached,VBN,O
to,TO,O
such,JJ,O
identification,NN,O
must,MD,O
depend,VB,O
on,IN,O
facts,NNS,O
and,CC,O
circumstances,NNS,O
of,IN,O
each,DT,O
case,NN,O
no,DT,O
general,JJ,O
rule,NN,O
could,MD,O
be,VB,O
laid,VBN,O
that,IN,O
such,JJ,O
identification,NN,O
in,IN,O
the,DT,O
court,NN,O
is,VBZ,O
of,IN,O
no,DT,O
value,NN,O
7,CD,O
it,PRP,O
is,VBZ,O
trite,JJ,O
to,TO,O
say,VB,O
that,IN,O
the,DT,O
substantive,JJ,O
evidence,NN,O
is,VBZ,O
the,DT,O
evidence,NN,O
of,IN,O
identification,NN,O
in,IN,O
court,NN,O
apart,NN,O
from,IN,O
the,DT,O
clear,JJ,O
provisions,NNS,O
of,IN,O
section,NN,O
9,CD,O
of,IN,O
the,DT,O
evidence,NN,O
act,NN,O
the,DT,O
position,NN,O
in,IN,O
law,NN,O
is,VBZ,O
well,RB,O
settled,VBN,O
by,IN,O
a,DT,O
catena,NN,O
of,IN,O
decisions,NNS,O
of,IN,O
this,DT,O
court,NN,O
the,DT,O
facts,NNS,O
which,WDT,O
establish,VB,O
the,DT,O
identity,NN,O
of,IN,O
the,DT,O
accused,JJ,O
persons,NNS,O
are,VBP,O
relevant,JJ,O
under,IN,O
section,NN,O
9,CD,O
of,IN,O
the,DT,O
evidence,NN,O
act,NN,O
as,IN,O
a,DT,O
general,JJ,O
rule,NN,O
the,DT,O
substantive,JJ,O
evidence,NN,O
of,IN,O
a,DT,O
witness,NN,O
is,VBZ,O
the,DT,O
statement,NN,O
made,VBN,O
in,IN,O
court,NN,O
the,DT,O
evidence,NN,O
of,IN,O
mere,JJ,O
identification,NN,O
of,IN,O
the,DT,O
accused,JJ,O
person,NN,O
at,IN,O
the,DT,O
trial,NN,O
for,IN,O
the,DT,O
first,JJ,O
time,NN,O
is,VBZ,O
from,IN,O
its,PRP$,O
very,RB,O
nature,JJ,O
inherently,RB,O
of,IN,O
a,DT,O
weak,JJ,O
character,NN,O
the,DT,O
purpose,NN,O
of,IN,O
a,DT,O
prior,JJ,O
test,NN,O
identification,NN,O
therefore,NN,O
is,VBZ,O
to,TO,O
test,VB,O
and,CC,O
strengthen,VB,O
the,DT,O
trustworthiness,NN,O
of,IN,O
that,DT,O
evidence,NN,O
it,PRP,O
is,VBZ,O
accordingly,RB,O
considered,VBN,O
a,DT,O
safe,JJ,O
rule,NN,O
of,IN,O
prudence,NN,O
to,TO,O
generally,RB,O
look,VB,O
for,IN,O
corroboration,NN,B-LEGAL
of,IN,O
the,DT,O
sworn,JJ,O
testimony,NN,O
of,IN,O
witnesses,NNS,O
in,IN,O
court,NN,O
as,IN,O
to,TO,O
the,DT,O
identity,NN,O
of,IN,O
the,DT,O
accused,VBN,O
who,WP,O
are,VBP,O
strangers,NNS,O
to,TO,O
them,PRP,O
in,IN,O
the,DT,O
form,NN,O
of,IN,O
earlier,JJR,O
identification,NN,O
proceedings,NNS,O
this,DT,O
rule,NN,O
of,IN,O
prudence,NN,O
however,RB,O
is,VBZ,O
subject,JJ,O
to,TO,O
exceptions,NNS,O
when,WRB,O
for,IN,O
example,NN,O
the,DT,O
court,NN,O
is,VBZ,O
impressed,VBN,O
by,IN,O
a,DT,O
particular,JJ,O
witness,NN,O
on,IN,O
whose,WP$,O
testimony,NN,O
it,PRP,O
can,MD,O
safely,RB,O
rely,VB,O
without,IN,O
such,JJ,O
or,CC,O
other,JJ,O
corroboration,NN,B-LEGAL
the,DT,O
identification,NN,O
parades,VBZ,O
belong,RB,O
to,TO,O
the,DT,O
stage,NN,O
of,IN,O
investigation,NN,O
and,CC,O
there,EX,O
is,VBZ,O
no,DT,O
provision,NN,O
in,IN,O
the,DT,O
code,NN,O
of,IN,O
criminal,JJ,O
procedure,NN,O
which,WDT,O
obliges,VBZ,O
the,DT,O
investigating,NN,O
agency,NN,O
to,TO,O
hold,VB,O
or,CC,O
confers,VB,O
a,DT,O
right,JJ,O
upon,IN,O
the,DT,O
accused,VBN,O
to,TO,O
claim,VB,O
a,DT,O
test,NN,B-LEGAL
identification,NN,I-LEGAL
parade,NN,I-LEGAL
they,PRP,O
do,VBP,O
not,RB,O
constitute,VB,O
substantive,JJ,O
evidence,NN,O
and,CC,O
these,DT,O
parades,NNS,O
are,VBP,O
essentially,RB,O
governed,VBN,O
by,IN,O
section,NN,O
162,CD,O
of,IN,O
the,DT,O
code,NN,O
of,IN,O
criminal,JJ,O
procedure,NN,O
failure,NN,O
to,TO,O
hold,VB,O
a,DT,O
test,NN,B-LEGAL
identification,NN,I-LEGAL
parade,NN,I-LEGAL
would,MD,O
not,RB,O
make,VB,O
inadmissible,JJ,O
the,DT,O
evidence,NN,O
of,IN,O
identification,NN,O
in,IN,O
court,NN,O
the,DT,O
weight,NN,O
to,TO,O
be,VB,O
attached,VBN,O
to,TO,O
such,JJ,O
identification,NN,O
should,MD,O
be,VB,O
a,DT,O
