sn,NN,O
as,IN,O
rule,NN,O
22,CD,O
of,IN,O
the,DT,O
ap,NN,O
state,NN,O
and,CC,O
subordinate,JJ,B-LEGAL
service,NN,I-LEGAL
rules,NNS,O
old,JJ,O
or,CC,O
new,JJ,O
prescribes,NNS,O
a,DT,O
specific,JJ,O
procedure,NN,O
either,DT,O
for,IN,O
filling,NN,O
of,IN,O
sc,NN,O
and,CC,O
st,JJ,O
vacancies,NNS,O
with,IN,O
oc,JJ,O
candidates,NNS,O
or,CC,O
for,IN,O
de,IN,O
reserving,VBG,O
such,JJ,O
vacancies,NNS,O
it,PRP,O
is,VBZ,O
for,IN,O
the,DT,O
consideration,NN,O
whether,IN,O
the,DT,O
7th,CD,O
and,CC,O
8th,CD,O
vacancies,NNS,O
int,NN,O
he,PRP,O
recruitment,VBZ,B-LEGAL
reserved,VBN,O
for,IN,O
scs,NN,O
and,CC,O
sts,NNS,O
respectively,RB,O
can,MD,O
straightaway,VB,O
be,VB,O
de,FW,O
reserved,FW,O
which,WDT,O
is,VBZ,O
not,RB,O
in,IN,O
consonance,NN,O
with,IN,O
the,DT,O
said,VBD,O
rule,NN,O
22,CD,O
2,CD,O
as,IN,O
the,DT,O
notification,NN,O
inviting,VBG,O
the,DT,O
applications,NNS,O
for,IN,O
the,DT,O
post,NN,O
in,IN,O
question,NN,O
was,VBD,O
issued,VBN,O
much,RB,O
later,RBR,O
to,TO,O
18,CD,O
3,CD,O
1996,CD,O
the,DT,O
principles,NNS,O
of,IN,O
carry,JJ,O
forward,NN,O
of,IN,O
vacancies,NNS,O
in,IN,O
respect,NN,O
of,IN,O
bcs,NN,O
also,RB,O
applies,VBZ,O
to,TO,O
the,DT,O
recruitment,NN,B-LEGAL
the,DT,O
recommendation,NN,B-LEGAL
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
at,IN,O
roster,NN,O
points,NNS,O
4th,CD,O
and,CC,O
10th,CD,O
reserved,VBN,O
for,IN,O
bca,NN,O
and,CC,O
bcb,NN,O
groups,NNS,O
respectively,RB,O
required,JJ,O
consideration,NN,O
in,IN,O
the,DT,O
light,NN,O
of,IN,O
rules,NNS,O
issued,VBN,O
in,IN,O
gomsno,JJ,O
65,CD,O
general,JJ,O
administration,NN,O
serd,NN,O
dept,VBD,O
dated,VBD,O
15,CD,O
2,CD,O
1997,CD,O
3,CD,O
the,DT,O
high,JJ,O
court,NN,O
informed,VBD,O
that,IN,O
the,DT,O
appointments,NNS,O
of,IN,O
the,DT,O
nine,CD,O
provisionally,RB,O
selected,VBN,O
candidates,NNS,O
shall,MD,O
be,VB,O
provisionally,RB,O
as,IN,O
family,NN,O
court,NN,O
judges,NNS,O
under,IN,O
the,DT,O
family,NN,O
courts,NNS,O
act,NN,O
to,TO,O
man,NN,O
family,NN,O
courts,NNS,O
and,CC,O
mahila,NN,O
courts,NNS,O
only,RB,O
as,IN,O
the,DT,O
proposal,NN,O
for,IN,O
sanction,NN,O
and,CC,O
notification,NN,O
are,VBP,O
for,IN,O
the,DT,O
posts,NNS,O
of,IN,O
district,NN,O
and,CC,O
sessions,NNS,O
judges,NNS,O
grade,VBP,O
ii,NN,O
it,PRP,O
is,VBZ,O
for,IN,O
consideration,NN,O
whether,IN,O
the,DT,O
candidates,NNS,O
provisionally,RB,O
appointed,VBN,O
in,IN,O
such,JJ,O
requirement,NN,O
can,MD,O
now,RB,O
be,VB,O
provisionally,RB,O
appointed,VBN,O
designating,VBG,O
them,PRP,O
as,IN,O
family,NN,O
courts,NNS,O
judges,NNS,O
4,CD,O
the,DT,O
high,JJ,O
court,NN,O
has,VBZ,O
stated,VBN,O
that,IN,O
the,DT,O
nine,CD,O
recommended,VBD,O
candidates,NNS,O
to,TO,O
be,VB,O
provisionally,RB,O
appointed,VBN,O
as,IN,O
family,NN,O
court,NN,O
judges,NNS,O
would,MD,O
be,VB,O
recruited,VBN,O
into,IN,O
higher,JJR,O
judicial,JJ,B-LEGAL
service,NN,I-LEGAL
as,IN,O
district,NN,O
judges,NNS,O
grade,VBP,O
ii,NN,O
as,IN,O
and,CC,O
when,WRB,O
vacancies,NNS,O
in,IN,O
the,DT,O
cadre,NN,B-LEGAL
to,TO,O
the,DT,O
extent,NN,O
of,IN,O
reservation,NN,O
for,IN,O
women,NNS,O
become,VBP,O
available,JJ,O
in,IN,O
order,NN,O
of,IN,O
their,PRP$,O
merit,NN,O
subject,NN,O
to,TO,O
the,DT,O
rule,NN,O
of,IN,O
reservation,NN,O
it,PRP,O
has,VBZ,O
to,TO,O
be,VB,O
considered,VBN,O
in,IN,O
view,NN,O
of,IN,O
rule,NN,O
2,CD,O
of,IN,O
the,DT,O
special,JJ,O
rules,NNS,O
and,CC,O
whether,IN,O
they,PRP,O
can,MD,O
be,VB,O
so,RB,O
adjusted,VBN,O
as,IN,O
suggested,VBN,O
in,IN,O
view,NN,O
of,IN,O
rule,NN,O
6,CD,O
of,IN,O
the,DT,O
special,JJ,O
rules,NNS,O
5,CD,O
whether,IN,O
the,DT,O
provisionally,RB,O
selected,VBN,O
candidates,NNS,O
recruited,VBD,O
as,IN,O
district,NN,O
judges,NNS,O
in,IN,O
the,DT,O
andhra,NN,O
pradesh,NN,O
state,NN,O
higher,JJR,O
judicial,JJ,B-LEGAL
service,NN,I-LEGAL
can,MD,O
be,VB,O
kept,VBN,O
out,IN,O
of,IN,O
the,DT,O
service,NN,O
by,IN,O
provisional,JJ,O
appointment,NN,B-LEGAL
to,TO,O
some,DT,O
other,JJ,O
post,NN,O
and,CC,O
recruiting,VBG,O
them,PRP,O
into,IN,O
the,DT,O
posts,NNS,O
of,IN,O
district,NN,O
judges,NNS,O
on,IN,O
the,DT,O
availability,NN,O
of,IN,O
vacancies,NNS,O
reserved,VBN,O
for,IN,O
women,NNS,O
6,CD,O
the,DT,O
appointments,NNS,O
to,TO,O
the,DT,O
posts,NNS,O
of,IN,O
district,NN,O
judges,NNS,O
shall,MD,O
be,VB,O
made,VBN,O
by,IN,O
the,DT,O
governor,NN,O
of,IN,O
the,DT,O
state,NN,O
where,WRB,O
as,IN,O
under,IN,O
the,DT,O
family,NN,O
courts,NNS,O
act,NN,O
1984,CD,O
the,DT,O
state,NN,O
government,NN,O
appoints,NNS,O
persons,NNS,O
to,TO,O
be,VB,O
judges,NNS,O
of,IN,O
the,DT,O
family,NN,O
courts,NNS,O
hence,RB,O
the,DT,O
appropriate,JJ,O
procedure,NN,O
to,TO,O
be,VB,O
adopted,VBN,O
for,IN,O
making,VBG,O
the,DT,O
suggested,JJ,O
appointments,NNS,O
may,MD,O
also,RB,O
be,VB,O
considered,VBN,O
5,CD,O
the,DT,O
high,JJ,O
court,NN,O
considered,VBD,O
the,DT,O
aspects,NNS,O
brought,VBD,O
to,TO,O
its,PRP$,O
notice,NN,O
in,IN,O
a,DT,O
meeting,NN,O
of,IN,O
the,DT,O
full,JJ,O
court,NN,O
held,VBD,O
on,IN,O
21st,CD,O
november,JJ,O
2000,CD,O
the,DT,O
high,JJ,O
court,NN,O
then,RB,O
replied,VBD,O
to,TO,O
the,DT,O
state,NN,O
government,NN,O
as,IN,O
follows,VBZ,O
for,IN,O
query,NN,O
no1,NN,O
as,IN,O
per,IN,O
the,DT,O
rules,NNS,O
in,IN,O
force,NN,O
the,DT,O
vacancies,NNS,O
relating,VBG,O
to,TO,O
sc,VB,O
and,CC,O
st,VB,O
candidates,NNS,O
cannot,MD,O
be,RB,O
straight,VB,O
away,VBN,O
de,RP,O
reserved,FW,O
if,VBN,O
there,IN,O
are,EX,O
no,VBP,O
qualified,DT,O
candidates,JJ,O
of,NNS,O
sc,IN,O
and,NN,O
st,CC,O
available,NN,O
the,JJ,O
said,DT,O
vacancies,VBD,O
have,NNS,O
to,VBP,O
be,TO,O
carried,VB,O
forward,VBN,O
for,RB,O
limited,IN,O
recruitment,JJ,B-LEGAL
therefore,NN,O
the,IN,O
high,DT,O
court,JJ,O
is,NN,O
of,VBZ,O
the,IN,O
view,DT,O
that,NN,O
the,IN,O
vacancies,DT,O
reserved,NNS,O
for,VBN,O
sc,IN,O
and,NN,O
st,CC,O
candidates,JJ,O
cannot,NNS,O
be,MD,O
dereserved,RB,O
for,VB,O
query,VBN,O
no,IN,O
2,NN,O
as,RB,O
per,CD,O
the,IN,O
rules,IN,O
in,DT,O
force,NNS,O
the,IN,O
vacancies,NN,O
relating,DT,O
to,NNS,O
each,VBG,O
category,TO,O
of,DT,O
candidates,NN,O
belonging,IN,O
backward,NNS,B-LEGAL
class,VBG,I-LEGAL
group,RB,O
a,NN,O
b,NN,O
c,DT,O
and,NN,O
d,NN,O
cannot,CC,O
be,NN,O
converted,MD,O
into,RB,O
other,VB,O
categories,VBN,O
and,IN,O
they,JJ,O
have,NNS,O
to,CC,O
be,PRP,O
carried,VBP,O
forward,TO,O
for,VB,O
limited,VBN,O
recruitment,RB,B-LEGAL
if,IN,O
the,JJ,O
candidates,NN,O
belonging,IN,O
to,DT,O
each,NNS,O
sub,VBG,O
group,TO,O
are,DT,O
not,NN,O
available,NN,O
therefore,VBP,O
the,RB,O
high,JJ,O
court,IN,O
is,DT,O
of,JJ,O
the,NN,O
view,VBZ,O
that,IN,O
the,DT,O
vacancies,NN,O
reserved,IN,O
for,DT,O
each,NNS,O
sub,VBN,O
group,IN,O
cannot,DT,O
be,NN,O
filed,NN,O
up,MD,O
with,RB,O
the,VB,O
candidates,VBN,O
of,RP,O
other,IN,O
sub,DT,O
groups,NNS,O
for,IN,O
query,JJ,O
no,NN,O
3,NNS,O
the,IN,O
advertisement,NN,O
for,DT,O
the,CD,O
recruitment,DT,B-LEGAL
of,NN,O
women,IN,O
candidates,DT,O
was,NN,O
made,IN,O
inviting,NNS,O
applications,NNS,O
for,VBD,O
the,VBN,O
posts,NN,O
of,NNS,O
district,IN,O
and,DT,O
sessions,NNS,O
judges,IN,O
grade,NN,O
ii,CC,O
the,NNS,O
government,NNS,O
accorded,VBP,O
sanction,IN,O
of,DT,O
10,NN,O
additional,VBD,O
posts,NN,O
in,IN,O
go,CD,O
ms,JJ,O
no,NNS,O
172,IN,O
law,VBP,O
la,JJ,O
j,DT,O
scf,JJ,O
department,NN,O
dated,NN,O
391996,VBP,O
there,NN,O
is,NN,O
no,VBD,O
provision,CD,O
in,EX,O
the,VBZ,O
special,DT,O
rules,NN,O
for,IN,O
ap,DT,O
state,JJ,O
higher,NNS,O
judicial,IN,B-LEGAL
service,NN,I-LEGAL
for,NN,O
eventual,JJR,O
absorption,JJ,B-LEGAL
of,NN,O
the,IN,O
candidates,JJ,O
appointed,NN,O
as,IN,O
family,DT,O
court,NNS,O
judges,VBD,O
into,IN,O
the,NN,O
cadre,NN,B-LEGAL
of,NNS,O
district,IN,O
judges,DT,O
grade,NN,O
ii,IN,O
against,NN,O
the,NNS,O
future,VBP,O
vacancies,NN,O
falling,IN,O
with,DT,O
the,NN,O
direct,NNS,B-LEGAL
recruitment,VBG,I-LEGAL
quota,IN,O
in,DT,O
this,JJ,O
regard,NN,O
two,NN,O
aspects,IN,O
viz,DT,O
1,NN,O
suitability,CD,O
test,NNS,O
from,VBP,O
the,CD,O
point,NN,O
of,NN,O
view,IN,O
of,DT,O
merit,NN,O
of,IN,O
the,NN,O
candidates,IN,O
and,NN,O
2,IN,O
legality,DT,O
of,NNS,O
recruitment,CC,B-LEGAL
by,CD,O
inviting,NN,O
applications,IN,O
exclusively,NN,O
from,IN,O
women,VBG,O
candidates,NNS,O
only,RB,O
have,IN,O
been,NNS,O
considered,NNS,O
by,RB,O
the,VBP,O
high,VBN,O
court,VBN,O
regarding,IN,O
the,DT,O
suitability,JJ,O
it,NN,O
is,VBG,O
noticed,DT,O
by,NN,O
the,PRP,O
high,VBZ,O
court,VBN,O
that,IN,O
the,DT,O
candidates,JJ,O
who,NN,O
were,IN,O
provisionally,DT,O
selected,NNS,O
have,WP,O
got,VBD,O
less,RB,O
marks,VBN,O
even,VBP,O
if,VBN,O
40,RBR,O
is,NNS,O
taken,RB,O
as,IN,O
minimum,CD,O
marks,VBZ,O
for,VBN,O
ocs,IN,O
and,JJ,O
30,NNS,O
for,IN,O
scs,NN,O
and,CC,O
sts,CD,O
for,IN,O
the,NN,O
purpose,CC,O
of,NNS,O
selection,IN,O
as,DT,O
district,NN,O
judges,IN,O
grade,NN,O
ii,IN,O
the,NN,O
recommendation,NNS,B-LEGAL
through,VBP,O
the,IN,O
letter,DT,O
4th,NN,O
cited,IN,O
was,DT,O
for,NN,O
appointment,CD,B-LEGAL
of,VBD,O
the,VBD,O
women,IN,O
candidates,NN,O
as,IN,O
family,DT,O
court,NNS,O
judges,NNS,O
and,IN,O
not,NN,O
as,NN,O
district,NNS,O
and,CC,O
sessions,RB,O
judges,IN,O
grade,NN,O
ii,CC,O
the,NNS,O
high,NNS,O
court,VBP,O
therefore,IN,O
is,DT,O
of,JJ,O
the,NN,O
view,NN,O
that,VBZ,O
it,IN,O
is,DT,O
not,NN,O
conductive,IN,O
to,PRP,O
the,VBZ,O
efficiency,RB,O
in,JJ,O
service,TO,O
and,DT,O
the,NN,O
image,IN,O
of,NN,O
judiciary,CC,O
if,DT,O
the,NN,O
candidates,IN,O
who,JJ,O
have,IN,O
got,DT,O
such,NNS,O
lower,WP,O
marks,VBP,O
are,VBN,O
inducted,JJ,O
into,JJR,O
higher,NNS,O
judicial,VBP,B-LEGAL
service,VBN,I-LEGAL
regarding,IN,O
the,JJR,O
legality,JJ,O
of,NN,O
recruitment,VBG,B-LEGAL
the,DT,O
high,NN,O
court,IN,O
is,NN,O
of,DT,O
the,JJ,O
view,NN,O
that,VBZ,O
there,IN,O
are,DT,O
formidable,NN,O
legal,IN,O
impediments,EX,O
in,VBP,O
the,JJ,O
way,JJ,O
of,NNS,O
recommending,IN,O
the,DT,O
candidates,NN,O
for,IN,O
appointment,VBG,B-LEGAL
as,DT,O
district,NNS,O
and,IN,O
sessions,NN,O
judges,IN,O
grade,NN,O
ii,CC,O
the,NNS,O
high,NNS,O
court,VBP,O
is,IN,O
of,DT,O
the,JJ,O
further,NN,O
view,VBZ,O
that,IN,O
the,DT,O
spl,JJ,O
rules,NN,O
for,IN,O
ap,DT,O
state,NN,O
higher,NNS,O
judicial,IN,B-LEGAL
service,NN,I-LEGAL
issued,NN,O
in,JJR,O
exercise,JJ,O
of,NN,O
powers,VBN,O
conferred,IN,O
under,NN,O
article,IN,O
233,NNS,O
and,VBN,O
the,IN,O
proviso,NN,O
to,CD,O
article,CC,O
309,DT,O
of,NN,O
the,TO,O
constitution,NN,B-LEGAL
of,CD,I-LEGAL
india,IN,I-LEGAL
and,DT,O
those,NN,O
rules,IN,O
enjoin,NN,O
that,CC,O
33,DT,O
1,NNS,O
3,VBP,O
of,IN,O
the,CD,O
total,CD,O
number,CD,O
of,IN,O
permanent,DT,O
posts,JJ,O
shall,NN,O
be,IN,O
filled,JJ,O
or,NNS,O
reserved,MD,O
to,VB,O
be,VBN,O
filled,CC,O
by,VBN,O
direct,TO,B-LEGAL
recruitment,VB,I-LEGAL
the,VBN,O
government,IN,O
accorded,JJ,O
sanction,NN,O
of,DT,O
10,NN,O
posts,VBD,O
of,NN,O
district,IN,O
and,CD,O
sessions,NNS,O
judges,IN,O
grade,NN,O
ii,CC,O
in,NNS,O
addition,NNS,O
to,VBP,O
the,NN,O
existing,IN,O
cadre,NN,B-LEGAL
strength,TO,O
exclusively,DT,O
for,VBG,O
women,NN,O
candidates,NN,O
to,RB,O
be,IN,O
recruited,NNS,O
by,NNS,O
direct,TO,B-LEGAL
recruitment,VB,I-LEGAL
this,VBN,O
was,IN,O
purportedly,JJ,O
done,NN,O
by,DT,O
relaxation,VBD,B-LEGAL
of,RB,I-LEGAL
rule,VBN,I-LEGAL
2,IN,O
of,NN,O
the,IN,O
special,NN,O
rules,CD,O
for,IN,O
ap,DT,O
state,JJ,O
higher,NNS,O
judicial,IN,B-LEGAL
service,NN,I-LEGAL
rule,NN,O
2,JJR,O
provides,JJ,O
for,NN,O
method,NN,O
of,CD,O
appointment,VBZ,B-LEGAL
and,IN,O
the,NN,O
proportion,IN,O
between,NN,O
the,CC,O
recruits,DT,O
by,NN,O
transfer,IN,B-LEGAL
promotes,DT,O
and,NNS,O
direct,IN,O
recruits,NN,O
from,NNS,O
the,CC,O
bar,JJ,O
by,NNS,O
resorting,IN,O
to,DT,O
relaxation,NN,O
of,IN,O
the,VBG,O
said,TO,O
rule,NN,O
it,IN,O
is,DT,O
not,VBD,O
legally,NN,O
permissible,PRP,O
to,VBZ,O
earmark,RB,O
10,RB,O
sanctioned,JJ,O
posts,TO,O
exclusively,VB,O
for,CD,O
direct,JJ,B-LEGAL
recruitment,NNS,I-LEGAL
of,RB,O
women,IN,O
candidates,JJ,O
since,NN,O
there,IN,O
is,NNS,O
no,NNS,O
rule,IN,O
in,EX,O
the,VBZ,O
ap,DT,O
state,NN,O
higher,IN,O
judicial,DT,B-LEGAL
service,NN,I-LEGAL
giving,NN,O
the,JJR,O
power,JJ,O
to,NN,O
relax,VBG,O
any,DT,O
of,NN,O
the,TO,O
rules,VB,O
the,DT,O
power,IN,O
to,DT,O
relax,NNS,O
the,DT,O
rules,NN,O
would,TO,O
