abhay,NN,O
side,NN,O
6,CD,O
the,DT,O
impugned,JJ,O
order,NN,O
passed,VBN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
reads,VBZ,O
as,IN,O
under,IN,O
after,IN,O
some,DT,O
arguments,NNS,O
learned,VBD,O
counsel,NN,O
for,IN,O
the,DT,O
petitioners,NNS,O
seeks,VBZ,O
permission,NN,O
to,TO,O
withdraw,VB,O
this,DT,O
application,NN,O
in,IN,O
order,NN,O
to,TO,O
enable,VB,O
the,DT,O
petitioners,NNS,O
to,TO,O
file,VB,O
representation,NN,O
before,IN,O
the,DT,O
competent,JJ,O
authority,NN,O
of,IN,O
the,DT,O
national,JJ,O
thermal,JJ,O
power,NN,O
corporation,NN,O
ntpc,RB,O
while,IN,O
this,DT,O
court,NN,O
would,MD,O
accord,VB,O
such,JJ,O
leave,VBP,O
to,TO,O
the,DT,O
petitioner,NN,O
but,CC,O
it,PRP,O
is,VBZ,O
made,VBN,O
clear,JJ,O
that,IN,O
the,DT,O
petitioners,NNS,O
will,MD,O
have,VB,O
now,RB,O
no,DT,O
liberty,NN,O
to,TO,O
move,VB,O
this,DT,O
court,NN,O
again,RB,O
for,IN,O
the,DT,O
same,JJ,O
cause,NN,B-LEGAL
of,IN,I-LEGAL
action,NN,I-LEGAL
raised,VBN,O
herein,RB,O
7,CD,O
the,DT,O
only,JJ,O
grievance,NN,O
of,IN,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
appellant,NN,O
is,VBZ,O
that,IN,O
the,DT,O
high,JJ,O
court,NN,O
having,VBG,O
rightly,RB,O
granted,VBN,O
liberty,NN,O
to,TO,O
the,DT,O
appellant,NN,O
to,TO,O
file,VB,O
the,DT,O
representation,NN,O
for,IN,O
ventilating,VBG,O
his,PRP$,O
grievance,NN,O
before,IN,O
the,DT,O
ntpc,NN,O
erred,VBN,O
in,IN,O
taking,VBG,O
away,RP,O
his,PRP$,O
right,NN,O
to,TO,O
prosecute,VB,O
his,PRP$,O
grievance,NN,O
if,IN,O
occasion,NN,O
arises,NNS,O
in,IN,O
future,JJ,O
depending,VBG,O
upon,IN,O
the,DT,O
outcome,NN,O
of,IN,O
his,PRP$,O
representation,NN,O
it,PRP,O
is,VBZ,O
his,PRP$,O
submission,NN,O
that,IN,O
the,DT,O
appellant,NN,O
has,VBZ,O
every,DT,O
right,NN,O
to,TO,O
take,VB,O
recourse,NN,O
to,TO,O
all,DT,O
legal,JJ,O
remedies,NNS,O
as,IN,O
are,VBP,O
available,JJ,O
to,TO,O
him,PRP,O
in,IN,O
law,NN,O
in,IN,O
the,DT,O
event,NN,O
any,DT,O
adverse,JJ,O
order,NN,O
is,VBZ,O
passed,VBN,O
on,IN,O
his,PRP$,O
representation,NN,O
or,CC,O
when,WRB,O
no,DT,O
orders,NNS,O
are,VBP,O
passed,VBN,O
on,IN,O
his,PRP$,O
representation,NN,O
once,RB,O
made,VBD,O
we,PRP,O
find,VBP,O
force,NN,O
in,IN,O
this,DT,O
submission,NN,O
8,CD,O
in,IN,O
our,PRP$,O
considered,VBN,O
view,IN,O
the,DT,O
high,JJ,O
court,NN,O
having,VBG,O
rightly,RB,O
granted,VBN,O
indulgence,NN,O
to,TO,O
the,DT,O
appellant,NN,O
to,TO,O
file,VB,O
the,DT,O
representation,NN,O
to,TO,O
the,DT,O
ntpc,NN,O
for,IN,O
ventilating,VBG,O
his,PRP$,O
grievance,NN,O
should,MD,O
have,VB,O
also,RB,O
granted,VBN,O
liberty,NN,O
to,TO,O
the,DT,O
appellant,NN,O
to,TO,O
take,VB,O
recourse,NN,O
to,TO,O
all,DT,O
legal,JJ,O
remedies,NNS,O
to,TO,O
challenge,VB,O
the,DT,O
decision,NN,O
once,RB,O
taken,VBN,O
on,IN,O
his,PRP$,O
representation,NN,O
if,IN,O
occasion,NN,O
so,RB,O
arises,VBZ,O
9,CD,O
a,DT,O
right,NN,O
to,TO,O
prosecute,VB,O
the,DT,O
legal,JJ,O
remedy,NN,O
in,IN,O
the,DT,O
court,NN,O
of,IN,O
law,NN,O
to,TO,O
challenge,VB,O
any,DT,O
decision,NN,O
of,IN,O
the,DT,O
state,NN,O
or,CC,O
and,CC,O
its,PRP$,O
agency,NN,O
is,VBZ,O
a,DT,O
valuable,JJ,O
legal,JJ,O
right,NN,O
of,IN,O
the,DT,O
citizen,NN,O
and,CC,O
the,DT,O
high,JJ,O
court,NN,O
could,MD,O
not,RB,O
take,VB,O
away,RP,O
such,JJ,O
right,NN,O
from,IN,O
the,DT,O
appellant,NN,O
without,IN,O
assigning,VBG,O
any,DT,O
reason,NN,O
there,EX,O
is,VBZ,O
apparently,RB,O
no,DT,O
justifiable,JJ,O
reason,NN,O
to,TO,O
deny,VB,O
the,DT,O
appellant,NN,O
from,IN,O
taking,VBG,O
recourse,NN,O
to,TO,O
the,DT,O
legal,JJ,O
remedies,NNS,O
to,TO,O
prosecute,VB,O
his,PRP$,O
grievance,NN,O
in,IN,O
a,DT,O
court,NN,O
of,IN,O
law,NN,O
in,IN,O
relation,NN,O
to,TO,O
the,DT,O
dispute,NN,O
which,WDT,O
is,VBZ,O
the,DT,O
subject,JJ,O
matter,NN,O
of,IN,O
the,DT,O
representation,NN,O
in,IN,O
case,NN,O
if,IN,O
occasion,NN,O
arises,NNS,O
in,IN,O
future,JJ,O
10,CD,O
in,IN,O
the,DT,O
light,NN,O
of,IN,O
foregoing,VBG,O
discussion,NN,O
we,PRP,O
allow,VBP,O
the,DT,O
appeal,NN,O
in,IN,O
part,NN,O
and,CC,O
set,VB,O
aside,RP,O
that,IN,O
part,NN,O
of,IN,O
the,DT,O
impugned,JJ,O
order,NN,O
which,WDT,O
deprives,VBZ,O
the,DT,O
appellant,NN,O
to,TO,O
move,VB,O
to,TO,O
the,DT,O
court,NN,O
again,RB,O
in,IN,O
the,DT,O
event,NN,O
his,PRP$,O
representation,NN,O
is,VBZ,O
decided,VBN,O
against,IN,O
him,PRP,O
by,IN,O
the,DT,O
ntpc,JJ,O
11,CD,O
we,PRP,O
therefore,VBP,O
grant,JJ,O
the,DT,O
appellant,NN,O
further,RBR,O
liberty,NN,O
to,TO,O
take,VB,O
recourse,NN,O
to,TO,O
all,DT,O
legal,JJ,O
remedies,NNS,O
as,IN,O
may,MD,O
be,VB,O
available,JJ,O
to,TO,O
him,PRP,O
in,IN,O
law,NN,O
by,IN,O
approaching,VBG,O
appropriate,JJ,O
court,NN,O
to,TO,O
ventilate,VB,O
his,PRP$,O
grievance,NN,O
if,IN,O
occasion,NN,O
arises,NNS,O
in,IN,O
relation,NN,O
to,TO,O
the,DT,O
dispute,NN,O
for,IN,O
which,WDT,O
he,PRP,O
is,VBZ,O
granted,VBN,O
liberty,NN,O
by,IN,O
the,DT,O
high,JJ,O
court,NN,O
to,TO,O
file,VB,O
the,DT,O
representation,NN,O
