rp,NN,O
1980,CD,O
act,NN,O
the,DT,O
consolidated,JJ,O
rate,NN,O
is,VBZ,O
primarily,RB,O
leviable,JJ,O
if,IN,O
the,DT,O
land,NN,O
and,CC,O
building,NN,O
is,VBZ,O
let,VBN,O
upon,IN,O
lessor,NN,O
and,CC,O
if,IN,O
the,DT,O
land,NN,O
and,CC,O
building,NN,O
is,VBZ,O
sub,JJ,O
let,NN,O
still,RB,O
upon,IN,O
the,DT,O
superior,JJ,O
lessor,NN,O
under,IN,O
section,NN,O
193,CD,O
of,IN,O
the,DT,O
act,NN,O
and,CC,O
for,IN,O
that,DT,O
reason,NN,O
section,NN,O
194,CD,O
of,IN,O
the,DT,O
act,NN,O
has,VBZ,O
conferred,VBN,O
a,DT,O
right,JJ,O
upon,IN,O
the,DT,O
lessor,NN,O
lessee,NN,O
or,CC,O
the,DT,O
sub,JJ,O
lessee,NN,O
to,TO,O
recover,VB,O
the,DT,O
excess,JJ,O
amount,NN,O
from,IN,O
their,PRP$,O
respective,JJ,O
tenants,NNS,O
for,IN,O
the,DT,O
excess,JJ,O
payable,JJ,O
by,IN,O
them,PRP,O
due,JJ,O
to,TO,O
creation,NN,O
of,IN,O
tenancy,NN,O
or,CC,O
sub,NN,O
tenancy,NN,O
it,PRP,O
was,VBD,O
further,RBR,O
held,VBD,O
that,IN,O
the,DT,O
municipal,JJ,B-LEGAL
corporation,NN,I-LEGAL
is,VBZ,O
in,IN,O
no,DT,O
way,NN,O
bound,VBN,O
by,IN,O
the,DT,O
fixation,NN,O
of,IN,O
standard,JJ,B-LEGAL
rent,NN,I-LEGAL
of,IN,O
fair,JJ,O
rent,NN,O
by,IN,O
the,DT,O
rent,NN,O
controller,NN,O
and,CC,O
the,DT,O
rent,NN,O
realised,VBN,O
by,IN,O
a,DT,O
tenant,NN,O
from,IN,O
the,DT,O
sub,NN,O
tenant,NN,O
or,CC,O
by,IN,O
a,DT,O
sub,NN,O
tenant,NN,O
from,IN,O
his,PRP$,O
tenant,NN,O
is,VBZ,O
required,VBN,O
to,TO,O
be,VB,O
taken,VBN,O
into,IN,O
consideration,NN,O
and,CC,O
such,JJ,O
amount,NN,O
to,TO,O
be,VB,O
treated,VBN,O
as,IN,O
gross,JJ,O
rent,NN,O
of,IN,O
the,DT,O
land,NN,O
or,CC,O
building,NN,O
for,IN,O
the,DT,O
purposes,NNS,O
of,IN,O
section,NN,O
174,CD,O
of,IN,O
the,DT,O
1980,CD,O
act,NN,O
finding,VBG,O
that,IN,O
the,DT,O
appellate,JJ,O
tribunal,NN,O
had,VBD,O
acted,VBN,O
illegally,RB,O
and,CC,O
with,IN,O
material,JJ,B-LEGAL
irregularity,NN,I-LEGAL
in,IN,O
holding,VBG,O
that,IN,O
in,IN,O
assessing,VBG,O
annual,JJ,O
valuation,NN,O
of,IN,O
the,DT,O
building,NN,O
the,DT,O
amount,NN,O
realised,VBD,O
from,IN,O
the,DT,O
sub,NN,O
tenants,NNS,O
cannot,MD,O
be,RB,O
taken,VB,O
into,VBN,O
consideration,IN,O
the,NN,O
matter,DT,O
was,NN,O
remanded,VBD,O
to,VBN,O
the,TO,O
tribunal,DT,O
to,NN,O
hear,TO,O
the,VB,O
appeal,DT,O
afresh,NN,O
on,NN,O
merits,IN,O
and,NNS,O
decide,CC,O
the,VB,O
same,DT,O
in,JJ,O
the,IN,O
light,DT,O
of,NN,O
the,IN,O
observations,DT,O
made,NNS,O
by,VBN,O
the,IN,O
high,DT,O
court,JJ,O
not,NN,O
satisfied,RB,O
with,VBN,O
the,IN,O
judgment,DT,O
of,NN,O
the,IN,O
high,DT,O
court,JJ,O
the,NN,O
owners,DT,O
of,NNS,O
the,IN,O
building,DT,O
have,NN,O
preferred,VBP,O
this,VBN,O
appeal,DT,O
when,NN,O
this,WRB,O
appeal,DT,O
was,NN,O
listed,VBD,O
in,VBN,O
the,IN,O
court,DT,O
on,NN,O
10th,IN,O
november,CD,O
2001,JJ,O
the,CD,O
judges,DT,O
constituting,NNS,O
the,VBG,O
bench,DT,O
felt,NN,O
that,VBD,O
following,IN,O
observations,VBG,O
of,NNS,O
this,IN,O
court,DT,O
in,NN,O
the,IN,O
case,DT,O
of,NN,O
lic,IN,O
required,NN,O
reconsideration,VBN,O
but,NN,O
under,CC,O
the,IN,O
act,DT,O
the,NN,O
quantum,DT,O
of,NN,O
the,IN,O
consolidated,DT,O
rate,JJ,O
depends,NN,O
upon,VBZ,O
the,IN,O
annual,DT,O
values,JJ,O
of,NNS,O
land,IN,O
or,NN,O
building,CC,O
on,NN,O
the,IN,O
gross,DT,O
rent,JJ,O
for,NN,O
which,IN,O
the,WDT,O
land,DT,O
or,NN,O
building,CC,O
might,NN,O
reasonably,MD,O
be,RB,O
expected,VB,O
to,VBN,O
let,TO,O
and,VB,O
not,CC,O
the,RB,O
gross,DT,O
rent,JJ,O
at,NN,O
which,IN,O
the,WDT,O
subordinate,DT,O
interest,NN,O
of,NN,O
a,IN,O
tenant,DT,O
may,NN,O
be,MD,O
expected,VB,O
to,VBN,O
sublet,TO,O
3,VB,O
the,CD,O
bench,DT,O
directed,NN,O
the,VBD,O
registry,DT,O
to,NN,O
place,TO,O
the,VB,O
matter,DT,O
before,NN,O
the,IN,O
hon,DT,O
ble,NN,O
chief,JJ,O
justice,JJ,O
for,NN,O
listing,IN,O
this,VBG,O
matter,DT,O
before,NN,O
a,IN,O
bench,DT,O
of,NN,O
three,IN,O
judges,CD,O
in,NNS,O
such,IN,O
circumstances,JJ,O
this,NNS,O
appeal,DT,O
has,NN,O
come,VBZ,O
before,VBN,O
us,IN,O
4,PRP,O
it,CD,O
is,PRP,O
contended,VBZ,O
on,VBN,O
behalf,IN,O
of,NN,O
the,IN,O
appellant,DT,O
that,NN,O
the,IN,O
order,DT,O
passed,NN,O
by,VBN,O
the,IN,O
municipal,DT,O
assessment,JJ,B-LEGAL
tribunal,JJ,O
was,NN,O
strictly,VBD,O
according,RB,O
to,VBG,O
law,TO,O
and,NN,O
did,CC,O
not,VBD,O
suffer,RB,O
from,VB,O
any,IN,O
infirmity,DT,O
with,NN,O
which,IN,O
the,WDT,O
high,DT,O
court,JJ,O
could,NN,O
have,MD,O
interfered,VB,O
it,VBN,O
is,PRP,O
submitted,VBZ,O
that,VBN,O
while,IN,O
assessing,IN,O
the,VBG,O
valuation,DT,O
of,NN,O
the,IN,O
property,DT,O
the,NN,O
amount,DT,O
taken,NN,O
by,VBN,O
the,IN,O
tenant,DT,O
from,NN,O
a,IN,O
sub,DT,O
tenant,NN,O
cannot,NN,O
be,MD,O
taken,RB,O
into,VB,O
consideration,VBN,O
in,IN,O
view,NN,O
of,IN,O
the,NN,O
judgment,IN,O
of,DT,O
this,NN,O
court,IN,O
in,DT,O
lic,NN,O
s,IN,O
case,JJ,O
supra,NN,O
according,NN,O
to,VBD,O
the,VBG,O
appellant,TO,O
the,DT,O
annual,NN,B-LEGAL
value,DT,I-LEGAL
of,JJ,O
the,NN,O
land,IN,O
and,DT,O
building,NN,O
has,CC,O
to,NN,O
be,VBZ,O
deemed,TO,O
to,VB,O
be,VBN,O
gross,TO,B-LEGAL
annual,VB,I-LEGAL
rent,JJ,I-LEGAL
including,JJ,O
service,NN,O
charges,VBG,O
as,NN,O
contemplated,NNS,O
under,IN,O
section,VBN,O
174,IN,O
of,NN,O
the,CD,O
1980,IN,O
act,DT,O
which,CD,O
does,NN,O
not,WDT,O
include,VBZ,O
the,RB,O
rent,VB,O
received,DT,O
by,NN,O
a,VBN,O
tenant,IN,O
from,DT,O
the,NN,O
sub,IN,O
tenant,DT,O
according,NN,O
to,NN,O
the,VBG,O
appellant,TO,O
annual,DT,B-LEGAL
value,JJ,I-LEGAL
has,JJ,O
to,NN,O
be,VBZ,O
determined,TO,O
on,VB,O
the,VBN,O
basis,IN,O
of,DT,O
the,NN,O
actual,IN,O
rent,DT,O
received,JJ,O
by,NN,O
the,VBN,O
owner,IN,O
unless,DT,O
it,NN,O
is,IN,O
established,PRP,O
that,VBZ,O
such,VBN,O
rent,IN,O
is,JJ,O
not,NN,O
bonafide,VBZ,O
paid,RB,O
and,JJ,O
that,VBN,O
the,CC,O
same,IN,O
is,DT,O
shown,JJ,O
fraudulently,VBZ,O
only,VBN,O
for,RB,O
the,RB,O
purposes,IN,O
of,DT,O
depriving,NNS,O
the,IN,O
authorities,VBG,O
from,DT,O
assessing,NNS,O
the,IN,O
annual,VBG,O
rental,DT,O
value,JJ,O
it,JJ,O
is,NN,O
argued,PRP,O
on,VBZ,O
behalf,VBN,O
of,IN,O
the,NN,O
appellant,IN,O
that,DT,O
despite,NN,O
the,WDT,O
changes,IN,O
made,DT,O
in,NNS,O
the,VBN,O
1980,IN,O
act,DT,O
the,CD,O
law,NN,O
laid,DT,O
down,NN,O
in,VBD,O
padma,RB,O
debi,IN,O
s,JJ,O
case,NN,O
is,NN,O
still,NN,O
valid,VBZ,O
for,RB,O
the,JJ,O
purpose,IN,O
of,DT,O
determining,NN,O
the,IN,O
gross,VBG,B-LEGAL
annual,DT,I-LEGAL
rent,JJ,I-LEGAL
of,JJ,O
a,NN,O
building,IN,O
under,DT,O
the,NN,O
calcutta,IN,O
municipal,DT,B-LEGAL
corporation,NN,I-LEGAL
act,JJ,O
as,NN,O
in,NN,O
the,IN,O
present,IN,O
case,DT,O
the,JJ,O
assessment,NN,B-LEGAL
made,DT,O
by,NN,O
the,VBN,O
tribunal,IN,O
proceeds,DT,O
on,JJ,O
the,NNS,O
basis,IN,O
of,DT,O
the,NN,O
actual,IN,O
rent,DT,O
received,JJ,O
by,NN,O
the,VBN,O
appellant,IN,O
and,DT,O
in,NN,O
the,CC,O
absence,IN,O
of,DT,O
any,NN,O
allegations,IN,O
of,DT,O
extraneous,NNS,O
circumstances,IN,O
the,JJ,O
order,NNS,O
of,DT,O
the,NN,O
tribunal,IN,O
has,DT,O
to,NN,O
be,VBZ,O
upheld,TO,O
by,VB,O
setting,VBN,O
aside,IN,O
the,VBG,O
impugned,RP,O
judgment,DT,O
it,JJ,O
is,NN,O
also,PRP,O
stated,VBZ,O
that,RB,O
in,VBN,O
the,IN,O
present,IN,O
case,DT,O
there,JJ,O
is,NN,O
no,EX,O
difference,VBZ,O
between,DT,O
the,NN,O
standard,IN,B-LEGAL
rent,DT,I-LEGAL
and,JJ,O
the,NN,O
actual,CC,O
rent,DT,O
realized,JJ,O
by,NN,O
the,VBN,O
landlord,IN,O
from,DT,O
the,NN,O
tenant,IN,O
because,DT,O
of,NN,O
application,IN,O
of,IN,O
section,NN,O
2,IN,O
and,NN,O
section,CD,O
9,CC,O
of,NN,O
the,CD,O
west,IN,O
bengal,DT,O
premises,JJS,O
tenancy,JJ,O
act,NNS,O
the,NN,O
issue,VBP,O
as,DT,O
to,NN,O
whether,IN,O
the,TO,O
standard,IN,B-LEGAL
rent,DT,I-LEGAL
is,JJ,O
the,NN,O
upper,VBZ,O
limit,DT,O
of,JJ,O
the,NN,O
reasonable,IN,O
rent,DT,O
does,JJ,O
not,NN,O
fall,VBZ,O
for,RB,O
decision,VB,O
under,IN,O
the,NN,O
circumstances,IN,O
of,DT,O
the,NNS,O
present,IN,O
case,DT,O
5,JJ,O
it,NN,O
is,CD,O
contended,PRP,O
on,VBZ,O
behalf,VBN,O
of,IN,O
the,NN,O
respondent,IN,O
corporation,DT,O
that,NN,O
the,NN,O
high,IN,O
court,DT,O
has,JJ,O
correctly,NN,O
interpreted,VBZ,O
section,RB,O
174,VBN,O
of,NN,O
1980,CD,O
act,IN,O
which,CD,O
is,NN,O
in,WDT,O
accordance,VBZ,O
with,IN,O
the,NN,O
various,IN,O
judgments,DT,O
of,JJ,O
this,NNS,O
court,IN,O
it,DT,O
is,NN,O
submitted,PRP,O
that,VBZ,O
in,VBN,O
the,IN,O
corporation,IN,O
of,DT,O
calcutta,NN,O
v,IN,O
padma,NN,O
debi,NN,O
and,NN,O
ors,NN,O
manu,CC,O
sc,NNS,O
0284,VBP,O
1961manu,JJ,O
sc,CD,O
0284,CD,O
1961,NN,O
1962,CD,O
3scr49,CD,O
this,CD,O
court,CD,O
had,DT,O
divided,NN,O
the,VBD,O
municipal,VBN,O
laws,DT,O
into,JJ,O
two,NNS,O
district,IN,O
groups,CD,O
one,NN,O
such,NNS,O
group,CD,O
referred,JJ,O
to,NN,O
municipal,VBD,O
laws,TO,O
of,JJ,O
certain,NNS,O
states,IN,O
which,JJ,O
did,NNS,O
not,WDT,O
expressly,VBD,O
exclude,RB,O
application,RB,O
of,JJ,O
rent,NN,O
restriction,IN,O
acts,NN,O
in,NN,O
the,VBZ,O
matter,IN,O
of,DT,O
determination,NN,O
of,IN,O
annual,NN,B-LEGAL
value,IN,I-LEGAL
of,JJ,O
a,NN,O
building,IN,O
for,DT,O
the,NN,O
purposes,IN,O
of,DT,O
levying,NNS,O
property,IN,O
taxes,VBG,O
and,NN,O
the,NNS,O
other,CC,O
group,DT,O
of,JJ,O
such,NN,O
municipal,IN,O
laws,JJ,O
which,JJ,O
expressly,NNS,O
exclude,WDT,O
application,RB,O
of,VBP,O
rent,NN,O
restriction,IN,O
acts,NN,O
in,NN,O
the,VBZ,O
matter,IN,O
of,DT,O
such,NN,O
determination,IN,O
it,JJ,O
is,NN,O
submitted,PRP,O
that,VBZ,O
unlike,VBN,O
calcutta,IN,O
municipal,IN,B-LEGAL
act,NN,I-LEGAL
1923,JJ,O
and,NN,O
calcutta,CD,O
municipal,CC,B-LEGAL
act,VB,I-LEGAL
1951,JJ,O
the,NN,O
new,CD,O
1980,DT,O
act,JJ,O
contains,CD,O
specific,NN,O
provision,VBZ,O
in,JJ,O
section,NN,O
174,IN,O
providing,NN,O
a,CD,O
non,VBG,O
obstante,DT,O
clause,JJ,O
specifically,NN,O
excluding,NN,O
the,RB,O
operation,VBG,O
and,DT,O
effect,NN,O
of,CC,O
the,NN,O
west,IN,O
bengal,DT,O
premises,JJS,O
tenancy,JJ,O
act,NNS,O
1956,NN,O
and,NN,O
any,CD,O
such,CC,O
other,DT,O
law,JJ,O
in,JJ,O
force,NN,O
which,IN,O
would,NN,O
fall,WDT,O
in,MD,O
the,VB,O
second,IN,O
group,DT,O
of,JJ,O
cases,NN,O
as,IN,O
referred,NNS,O
to,IN,O
in,VBN,O
padma,TO,O
debi,IN,O
s,JJ,O
case,NN,O
supra,NN,O
6,NN,O
to,VBD,O
appreciate,CD,O
the,TO,O
rival,VB,O
contentions,DT,O
of,JJ,O
the,NNS,O
parties,IN,O
it,DT,O
is,NNS,O
necessary,PRP,O
to,VBZ,O
make,JJ,O
reference,TO,O
to,VB,O
some,NN,O
statutory,TO,O
provisions,DT,O
relevant,JJ,O
for,NNS,O
the,VBP,O
purposes,IN,O
of,DT,O
resolving,NNS,O
the,IN,O
controversy,VBG,O
the,DT,O
1980,NN,O
act,DT,O
was,CD,O
enacted,NN,O
to,VBD,O
amend,VBN,O
and,TO,O
consolidate,VB,O
the,CC,O
law,VB,O
relating,DT,O
to,NN,O
the,VBG,O
municipal,TO,O
affairs,DT,O
of,JJ,O
calcutta,NNS,O
chapter,IN,O
xii,NN,O
deals,NN,O
with,JJ,O
the,NNS,O
power,IN,O
of,DT,O
taxation,NN,O
at,IN,O
consolidated,NN,O
rates,IN,O
section,JJ,O
170,NNS,O
authorises,VBP,O
the,CD,O
corporation,VBZ,O
to,DT,O
levy,NN,O
certain,TO,O
taxes,VB,O
enumerated,JJ,O
therein,NNS,O
section,VBD,O
174,JJ,O
dealing,NN,O
with,CD,O
the,VBG,O
determination,IN,O
of,DT,O
annual,NN,O
valuation,IN,O
of,JJ,O
the,NN,O
property,IN,O
within,DT,O
the,NN,O
municipal,IN,B-LEGAL
corporation,DT,I-LEGAL
provides,JJ,O
174,NN,O
determination,VBZ,O
of,CD,O
annual,NN,O
valuation,IN,O
1notwithstanding,JJ,O
anything,NN,O
contained,VBG,O
in,NN,O
the,VBN,O
west,IN,O
bengal,DT,O
premises,NN,O
tenancy,NN,O
act,NNS,O
1956,NN,O
or,NN,O
in,CD,O
any,CC,O
other,IN,O
law,DT,O
for,JJ,O
the,NN,O
time,IN,O
being,DT,O
in,NN,O
force,VBG,O
for,IN,O
the,NN,O
purpose,IN,O
of,DT,O
assessment,NN,B-LEGAL
to,IN,O
the,NN,O
consolidated,TO,O
rate,DT,O
the,JJ,O
annual,NN,B-LEGAL
value,DT,I-LEGAL
of,JJ,O
any,NN,O
land,IN,O
or,DT,O
building,NN,O
shall,CC,O
be,NN,O
deemed,MD,O
to,VB,O
be,VBN,O
the,TO,O
gross,VB,B-LEGAL
annual,DT,I-LEGAL
rent,JJ,I-LEGAL
including,JJ,O
service,NN,O
charges,VBG,O
if,NN,O
any,NNS,O
at,IN,O
which,DT,O
such,IN,O
land,WDT,O
or,JJ,O
building,NN,O
might,CC,O
at,NN,O
the,MD,O
time,IN,O
of,DT,O
assessment,NN,B-LEGAL
be,IN,O
reasonably,NN,O
expected,VB,O
to,RB,O
let,VBN,O
from,TO,O
year,VB,O
to,IN,O
year,NN,O
less,TO,O
an,NN,O
allowance,RBR,O
of,DT,O
ten,NN,O
per,IN,O
cent,JJ,O
for,IN,O
the,NN,O
cost,IN,O
of,DT,O
repairs,NN,O
and,IN,O
other,NNS,O
expenses,CC,O
necessary,JJ,O
to,NNS,O
maintain,JJ,O
such,TO,O
land,VB,O
or,JJ,O
building,NN,O
in,CC,O
a,NN,O
state,IN,O
to,DT,O
command,NN,O
such,TO,O
gross,VB,O
rent,JJ,O
provided,JJ,O
that,NN,O
where,VBD,O
there,IN,O
is,WRB,O
a,EX,O
transfer,VBZ,O
intervivos,DT,O
of,NN,O
ownership,NN,O
of,IN,O
any,NN,O
land,IN,O
or,DT,O
building,NN,O
since,CC,O
the,NN,O
last,IN,O
preceding,DT,O
periodical,JJ,O
assessment,JJ,B-LEGAL
under,JJ,O
section,NN,O
179,IN,O
the,NN,O
annual,CD,B-LEGAL
value,DT,I-LEGAL
of,JJ,O
such,NN,O
land,IN,O
or,JJ,O
building,NN,O
shall,CC,O
be,NN,O
fixed,MD,O
at,VB,O
seven,VBN,O
and,IN,O
a,CD,O
half,CC,O
percent,DT,O
of,JJ,O
the,NN,O
amount,IN,O
stated,DT,O
in,NN,O
the,VBN,O
deed,IN,O
of,DT,O
transfer,NN,O
as,IN,O
consideration,NN,O
for,IN,O
such,NN,O
transfer,IN,O
or,JJ,O
if,NN,O
no,CC,O
consideration,IN,O
is,DT,O
stated,NN,O
in,VBZ,O
such,VBN,O
deed,IN,O
of,JJ,O
transfer,NN,O
at,IN,O
seven,NN,O
and,IN,O
a,CD,O
half,CC,O
per,DT,O
cent,JJ,O
of,IN,O
the,NN,O
