s,JJ,O
was,VBD,O
made,VBN,O
out,RP,O
against,IN,O
them,PRP,O
and,CC,O
as,IN,O
such,JJ,O
the,DT,O
proceedings,NNS,O
against,IN,O
them,PRP,O
were,VBD,O
dropped,VBN,O
the,DT,O
court,NN,O
therefore,NN,O
confined,VBD,O
itself,PRP,O
in,IN,O
respect,NN,O
of,IN,O
alleged,JJ,O
act,NN,O
of,IN,O
contempt,NN,B-LEGAL
on,IN,O
part,NN,O
of,IN,O
alleged,JJ,O
contemnor,NN,O
nos,NNS,O
1,CD,O
and,CC,O
2,CD,O
in,IN,O
its,PRP$,O
judgment,NN,O
and,CC,O
order,NN,O
dated,VBD,O
13082013,CD,O
this,DT,O
court,NN,O
had,VBD,O
passed,VBN,O
certain,JJ,O
directions,NNS,O
it,PRP,O
is,VBZ,O
alleged,VBN,O
that,IN,O
petitioner,NN,O
came,VBD,O
to,TO,O
know,VB,O
that,DT,O
forest,JJS,O
land,NN,O
for,IN,O
vishnugad,NN,O
pipalkoti,NN,O
project,NN,O
has,VBZ,O
been,VBN,O
transferred,VBN,O
to,TO,O
tehri,VB,O
hydro,NN,O
development,NN,O
corporation,NN,O
thdc,IN,O
the,DT,O
current,JJ,O
status,NN,O
of,IN,O
the,DT,O
project,NN,O
as,IN,O
displayed,VBN,O
on,IN,O
website,NN,O
of,IN,O
thdc,NN,O
states,NNS,O
that,IN,O
go,VBP,O
by,IN,O
gouk,NN,O
for,IN,O
transfer,NN,O
of,IN,O
80507,CD,O
ha,NN,O
of,IN,O
forest,NN,O
land,NN,O
has,VBZ,O
been,VBN,O
issued,VBN,O
vide,JJ,O
letter,NN,O
dated,VBD,O
6th,CD,O
december,NN,O
2013,CD,O
according,VBG,O
to,TO,O
news,NN,O
report,NN,O
dated,VBD,O
23122013,CD,O
work,NN,O
contract,NN,O
for,IN,O
the,DT,O
construction,NN,O
of,IN,O
vishnugad,NN,O
pipalkoti,NN,O
projects,NNS,O
has,VBZ,O
been,VBN,O
awarded,VBN,O
recently,RB,O
these,DT,O
activities,NNS,O
can,MD,O
be,VB,O
undertaken,VBN,O
only,RB,O
after,IN,O
government,NN,O
of,IN,O
uttarakhand,JJ,O
issues,NNS,O
forest,JJS,O
clearance,NN,O
the,DT,O
petitioner,NN,O
has,VBZ,O
sent,VBN,O
right,RB,B-LEGAL
to,TO,I-LEGAL
information,NN,I-LEGAL
request,NN,O
for,IN,O
copies,NNS,O
of,IN,O
forest,JJS,O
clearance,NN,O
regarding,VBG,O
vishnugad,JJ,O
pipalkoti,NN,O
and,CC,O
kotlibhel,$,O
1a,CD,O
to,TO,O
respondents,NNS,O
nos,RB,O
1,CD,O
2,CD,O
and,CC,O
3,CD,O
on,IN,O
2622013,CD,O
which,WDT,O
remain,VBP,O
unreplied,JJ,O
on,IN,O
the,DT,O
date,NN,O
of,IN,O
filing,VBG,O
this,DT,O
petition,NN,O
though,IN,O
stage,NN,O
1,CD,O
and,CC,O
stage,VB,O
2,CD,O
forest,JJS,O
clearances,NNS,O
were,VBD,O
issued,VBN,O
to,TO,O
the,DT,O
vishnugad,NN,O
pipalkoti,NN,O
project,NN,O
before,IN,O
13082013,CD,O
however,RB,O
state,NN,O
government,NN,O
appears,VBZ,O
to,TO,O
have,VB,O
issued,VBN,O
forest,JJS,O
clearance,NN,O
after,IN,O
13082013,CD,O
which,WDT,O
is,VBZ,O
in,IN,O
contempt,NN,B-LEGAL
of,IN,O
the,DT,O
judgment,NN,O
of,IN,O
this,DT,O
hon,NN,O
ble,JJ,O
court,NN,O
held,VBD,O
while,IN,O
dismissing,VBG,O
the,DT,O
petition,NN,O
1the,CD,O
court,NN,O
perused,VBD,O
the,DT,O
record,NN,B-LEGAL
and,CC,O
heard,NN,O
shri,NN,O
bharat,NN,O
jhunjhuwala,NN,O
applicant,JJ,O
no,DT,O
2,CD,O
in,IN,O
support,NN,O
of,IN,O
the,DT,O
petition,NN,O
and,CC,O
mr,NN,O
amarendran,NN,O
saran,NN,O
and,CC,O
mr,NN,O
mohan,NN,O
parasaran,NN,O
learned,VBD,O
counsel,NN,O
for,IN,O
the,DT,O
respondents,NNS,O
the,DT,O
letter,NN,O
dated,VBD,O
06122013,CD,O
from,IN,O
additional,JJ,O
secretary,NN,O
uttarakhand,NN,O
has,VBZ,O
simply,RB,O
communicated,VBN,O
the,DT,O
conditions,NNS,O
stipulated,VBN,O
in,IN,O
the,DT,O
approval,NN,O
dated,VBD,O
28052013,CD,O
the,DT,O
approval,NN,O
was,VBD,O
well,RB,O
before,IN,O
the,DT,O
judgment,NN,O
and,CC,O
order,NN,O
dated,VBD,O
13082013,CD,O
plainly,RB,O
the,DT,O
letter,NN,O
dated,VBD,O
06122013,CD,O
has,VBZ,O
not,RB,O
taken,VBN,O
any,DT,O
decision,NN,O
after,IN,O
13082013,CD,O
but,CC,O
has,VBZ,O
merely,RB,O
communicated,VBN,O
the,DT,O
decision,NN,O
taken,VBN,O
well,RB,O
before,RB,O
13082013,CD,O
there,EX,O
is,VBZ,O
thus,RB,O
no,DT,O
violation,NN,O
of,IN,O
any,DT,O
of,IN,O
the,DT,O
directions,NNS,O
contained,VBN,O
in,IN,O
para,JJ,O
51,CD,O
of,IN,O
the,DT,O
judgment,NN,O
and,CC,O
order,NN,O
dated,VBD,O
13082013,CD,O
further,RB,O
the,DT,O
alleged,VBN,O
contemnor,NN,O
no,DT,O
1,CD,O
has,VBZ,O
simply,RB,O
received,VBN,O
the,DT,O
communication,NN,O
dated,VBD,O
06122013,CD,O
while,IN,O
copy,NN,O
of,IN,O
that,DT,O
communication,NN,O
was,VBD,O
marked,VBN,O
to,TO,O
general,JJ,O
manager,NN,O
tehri,NN,O
hydro,NN,O
development,NN,O
corporation,NN,O
ltd,NN,O
in,IN,O
court,NN,O
s,NN,O
view,VBP,O
the,DT,O
alleged,JJ,O
contemnors,NNS,O
nos,VBP,O
1,CD,O
and,CC,O
2,CD,O
could,MD,O
not,RB,O
be,VB,O
said,VBD,O
to,TO,O
have,VB,O
committed,VBN,O
any,DT,O
violation,NN,O
of,IN,O
the,DT,O
directions,NNS,O
contained,VBN,O
in,IN,O
judgment,NN,O
and,CC,O
order,NN,O
dated,VBD,O
13082013,CD,O
6,CD,O
2the,CD,O
court,NN,O
therefore,NN,O
dismissed,VBD,O
the,DT,O
contempt,NN,B-LEGAL
petition,NN,I-LEGAL
7,CD,O
