jasti,NN,O
ppas,NN,O
therefore,IN,O
the,DT,O
appellant,NN,O
is,VBZ,O
relieved,VBN,O
of,IN,O
its,PRP$,O
obligation,NN,O
to,TO,O
perform,VB,O
the,DT,O
contracts,NNS,O
and,CC,O
3,CD,O
that,IN,O
the,DT,O
central,JJ,O
commission,NN,O
has,VBZ,O
power,NN,O
to,TO,O
grant,VB,O
appropriate,JJ,O
relief,NN,O
to,TO,O
the,DT,O
appellant,NN,O
in,IN,O
exercise,NN,O
of,IN,O
its,PRP$,O
regulatory,JJ,O
powers,NNS,O
under,IN,O
section,NN,O
79,CD,O
of,IN,O
the,DT,O
act,NN,O
by,IN,O
making,VBG,O
necessary,JJ,O
modifications,NNS,O
in,IN,O
the,DT,O
terms,NNS,O
of,IN,O
the,DT,O
ppas,NN,O
7,CD,O
by,IN,O
order,NN,O
dated,VBD,O
02042013,CD,O
the,DT,O
central,JJ,O
commission,NN,O
rejected,VBD,O
the,DT,O
first,JJ,O
two,CD,O
of,IN,O
the,DT,O
abovementioned,JJ,O
submissions,NNS,O
and,CC,O
accepted,VBD,O
the,DT,O
third,JJ,O
submission,NN,O
giving,VBG,O
certain,JJ,O
directions,NNS,O
for,IN,O
the,DT,O
constitution,NN,O
of,IN,O
a,DT,O
committee,NN,O
for,IN,O
working,VBG,O
out,RP,O
and,CC,O
recommending,VBG,O
the,DT,O
compensatory,NN,O
tariff,NN,B-LEGAL
and,CC,O
to,TO,O
submit,VB,O
a,DT,O
report,NN,O
to,TO,O
the,DT,O
commission,NN,O
by,IN,O
300420131,CD,O
the,DT,O
order,NN,O
was,VBD,O
admittedly,RB,O
received,VBN,O
by,IN,O
the,DT,O
appellant,NN,O
on,IN,O
08042013,CD,O
8,CD,O
aggrieved,VBN,O
by,IN,O
the,DT,O
said,VBD,O
order,NN,O
respondents,NNS,O
no,DT,O
2,CD,O
and,CC,O
3,CD,O
herein,NN,O
preferred,VBD,O
appeal,JJ,O
no,DT,O
100,CD,O
of,IN,O
2013,CD,O
before,IN,O
the,DT,O
appellate,JJ,O
tribunal,NN,O
alongwith,NN,O
an,DT,O
application,NN,O
to,TO,O
permit,VB,O
them,PRP,O
to,TO,O
participate,VB,O
in,IN,O
the,DT,O
proceedings,NNS,O
of,IN,O
the,DT,O
above,NN,O
mentioned,VBD,O
committee,NN,O
without,IN,O
prejudice,NN,O
to,TO,O
their,PRP$,O
contentions,NNS,O
in,IN,O
the,DT,O
appeal,NN,O
9,CD,O
on,IN,O
16092013,CD,O
the,DT,O
committee,NN,O
submitted,VBD,O
its,PRP$,O
report,NN,O
before,IN,O
the,DT,O
central,JJ,O
commission,NN,O
eventually,RB,O
the,DT,O
central,JJ,O
commission,NN,O
passed,VBD,O
an,DT,O
order,NN,O
dated,VBD,O
21022014,CD,O
quantifying,VBG,O
the,DT,O
compensatory,NN,O
tariff,NN,B-LEGAL
10,CD,O
the,DT,O
appeal,NN,O
filed,VBN,O
by,IN,O
respondents,NNS,O
no,DT,O
2,CD,O
and,CC,O
3,CD,O
underwent,NN,O
a,DT,O
number,NN,O
of,IN,O
adjournments,NNS,O
and,CC,O
is,VBZ,O
still,RB,O
pending,VBG,O
11,CD,O
on,IN,O
17042014,CD,O
the,DT,O
appellant,NN,O
herein,NN,O
filed,VBN,O
cross,NN,O
objections,NNS,O
in,IN,O
the,DT,O
abovementioned,JJ,O
appeal,NN,O
no,DT,O
100,CD,O
of,IN,O
2013,CD,O
challenging,VBG,O
that,IN,O
part,NN,O
of,IN,O
the,DT,O
order,NN,O
dated,VBD,O
02042013,CD,O
of,IN,O
the,DT,O
central,JJ,O
commission,NN,O
by,IN,O
which,WDT,O
the,DT,O
commission,NN,O
declined,VBD,O
to,TO,O
accept,VB,O
the,DT,O
pleas,NNS,O
of,IN,O
the,DT,O
appellant,NN,O
on,IN,O
the,DT,O
grounds,NNS,O
of,IN,O
force,NN,O
majeure,NN,O
and,CC,O
change,NN,O
of,IN,O
law,NN,O
12,CD,O
on,IN,O
22042014,CD,O
respondents,NNS,O
no,DT,O
2,CD,O
and,CC,O
3,CD,O
preferred,JJ,O
appeal,NN,O
no,DT,O
98,CD,O
of,IN,O
2014,CD,O
challenging,VBG,O
the,DT,O
correctness,NN,O
of,IN,O
the,DT,O
order,NN,O
dated,VBD,O
21022014,CD,O
of,IN,O
the,DT,O
central,JJ,O
commission,NN,O
respondent,VBD,O
no,DT,O
4,CD,O
also,RB,O
preferred,JJ,O
appeal,NN,O
no,DT,O
116,CD,O
of,IN,O
2014,CD,O
aggrieved,VBN,O
by,IN,O
the,DT,O
order,NN,O
dated,VBD,O
21022014,CD,O
13,CD,O
by,IN,O
order,NN,O
dated,VBD,O
01082014,CD,O
the,DT,O
appellate,JJ,O
tribunal,NN,O
dismissed,VBD,O
the,DT,O
cross,NN,O
objections,NNS,O
of,IN,O
the,DT,O
appellant,JJ,O
herein,NN,O
as,IN,O
not,RB,O
maintainable,JJ,O
on,IN,O
16092014,CD,O
the,DT,O
appellant,NN,O
preferred,VBD,O
appeal,JJ,O
no,DT,O
dfr,NN,O
no,DT,O
2355,CD,O
of,IN,O
2014,CD,O
before,IN,O
the,DT,O
appellate,JJ,O
tribunal,NN,O
against,IN,O
that,DT,O
part,NN,O
of,IN,O
the,DT,O
order,NN,O
dated,VBD,O
02042013,CD,O
which,WDT,O
went,VBD,O
against,IN,O
the,DT,O
appellant,JJ,O
obviously,RB,O
there,EX,O
was,VBD,O
a,DT,O
delay,NN,O
in,IN,O
preferring,VBG,O
that,DT,O
appeal,NN,O
therefore,RB,O
the,DT,O
appellant,NN,O
filed,VBD,O
an,DT,O
application,NN,O
bearing,NN,O
ia,VBZ,O
no,DT,O
380,CD,O
of,IN,O
2014,CD,O
seeking,VBG,O
condonation,NN,O
of,IN,O
delay,NN,O
in,IN,O
preferring,VBG,O
the,DT,O
appeal,NN,O
which,WDT,O
was,VBD,O
rejected,VBN,O
by,IN,O
the,DT,O
impugned,JJ,O
order,NN,O
hence,NN,O
the,DT,O
instant,JJ,O
appeal,NN,O
14,CD,O
the,DT,O
issue,NN,O
before,IN,O
this,DT,O
court,NN,O
is,VBZ,O
limited,VBN,O
it,PRP,O
is,VBZ,O
the,DT,O
correctness,NN,O
of,IN,O
the,DT,O
decision,NN,O
of,IN,O
the,DT,O
appellate,JJ,O
tribunal,NN,O
in,IN,O
declining,VBG,O
to,TO,O
condone,VB,O
the,DT,O
delay,NN,O
in,IN,O
preferring,VBG,O
the,DT,O
appeal,NN,O
against,IN,O
order,NN,O
dated,VBD,O
242013,CD,O
of,IN,O
the,DT,O
central,JJ,O
commission,NN,O
15,CD,O
however,RB,O
elaborate,JJ,O
submissions,NNS,O
were,VBD,O
made,VBN,O
regarding,VBG,O
the,DT,O
scope,NN,O
of,IN,O
order,NN,O
xli,NNP,O
rule,NN,O
22,CD,O
of,IN,O
the,DT,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
1908,CD,O
for,IN,O
short,JJ,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
its,PRP$,O
applicability,NN,O
to,TO,O
an,DT,O
appeal,NN,O
under,IN,O
section,NN,O
111,CD,O
of,IN,O
the,DT,O
act,NN,O
by,IN,O
the,DT,O
appellant,JJ,O
relying,NN,O
upon,IN,O
earlier,JJR,O
decisions,NNS,O
of,IN,O
this,DT,O
court,NN,O
respondents,VBZ,O
submitted,VBN,O
that,IN,O
such,PDT,O
an,DT,O
enquiry,NN,O
is,VBZ,O
wholly,RB,O
uncalled,JJ,O
for,IN,O
as,IN,O
the,DT,O
cross,NN,O
objections,NNS,O
of,IN,O
the,DT,O
appellant,NN,O
in,IN,O
appeal,NN,O
no,DT,O
100,CD,O
of,IN,O
2013,CD,O
stood,NN,O
rejected,VBD,O
and,CC,O
became,VBD,O
final,JJ,O
16,CD,O
lastly,RB,O
learned,VBN,O
counsel,NN,O
for,IN,O
the,DT,O
appellant,NN,O
submitted,VBD,O
that,IN,O
even,RB,O
if,IN,O
this,DT,O
court,NN,O
comes,VBZ,O
to,TO,O
the,DT,O
conclusion,NN,O
that,IN,O
the,DT,O
appellant,NN,O
has,VBZ,O
not,RB,O
made,VBN,O
out,RP,O
a,DT,O
case,NN,O
for,IN,O
condonation,NN,O
of,IN,O
delay,NN,O
in,IN,O
preferring,VBG,O
an,DT,O
appeal,NN,O
against,IN,O
the,DT,O
order,NN,O
dated,VBD,O
242013,CD,O
of,IN,O
the,DT,O
central,JJ,O
commission,NN,O
the,DT,O
appellant,NN,O
is,VBZ,O
entitled,VBN,O
to,TO,O
argue,VB,O
in,IN,O
the,DT,O
pending,VBG,O
appeals,NNS,O
no,DT,O
98,CD,O
and,CC,O
116,CD,O
of,IN,O
2014,CD,O
both,CC,O
the,DT,O
grounds,NNS,O
of,IN,O
force,NN,O
majeure,NN,O
and,CC,O
change,NN,O
of,IN,O
law,NN,O
not,RB,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
seeking,VBG,O
the,DT,O
relief,NN,O
of,IN,O
a,DT,O
declaration,NN,O
of,IN,O
the,DT,O
frustration,NN,O
of,IN,O
the,DT,O
contracts,NNS,O
between,IN,O
the,DT,O
appellants,NNS,O
and,CC,O
the,DT,O
respondents,NNS,O
thereby,RB,O
relieving,VBG,O
the,DT,O
appellant,NN,O
of,IN,O
his,PRP$,O
obligations,NNS,O
arising,VBG,O
out,IN,O
of,IN,O
the,DT,O
contracts,NNS,O
but,CC,O
only,RB,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
seeking,VBG,O
the,DT,O
alternative,JJ,O
relief,NN,O
of,IN,O
compensatory,NN,O
tariff,NN,B-LEGAL
in,IN,O
other,JJ,O
words,NNS,O
the,DT,O
appellant,JJ,O
s,NN,O
submission,NN,O
is,VBZ,O
that,IN,O
the,DT,O
facts,NNS,O
which,WDT,O
formed,VBD,O
the,DT,O
basis,NN,O
of,IN,O
the,DT,O
submission,NN,O
of,IN,O
the,DT,O
frustration,NN,O
of,IN,O
contracts,NNS,O
are,VBP,O
also,RB,O
relevant,JJ,O
for,IN,O
supporting,VBG,O
the,DT,O
conclusion,NN,O
of,IN,O
the,DT,O
national,JJ,B-LEGAL
commission,NN,I-LEGAL
that,IN,O
the,DT,O
appellant,NN,O
is,VBZ,O
entitled,VBN,O
for,IN,O
the,DT,O
relief,NN,O
of,IN,O
compensatory,NN,O
tariff,NN,B-LEGAL
17,CD,O
we,PRP,O
agree,VBP,O
with,IN,O
the,DT,O
respondents,NNS,O
that,IN,O
we,PRP,O
are,VBP,O
not,RB,O
required,VBN,O
to,TO,O
go,VB,O
into,IN,O
the,DT,O
question,NN,O
of,IN,O
the,DT,O
applicability,NN,O
of,IN,O
order,NN,O
xli,NNP,O
rule,NN,O
22,CD,O
in,IN,O
the,DT,O
instant,JJ,O
appeal,NN,O
as,IN,O
the,DT,O
decision,NN,O
of,IN,O
the,DT,O
appellate,JJ,O
tribunal,NN,O
to,TO,O
reject,VB,O
the,DT,O
cross,NN,O
objections,NNS,O
of,IN,O
the,DT,O
appellant,NN,O
by,IN,O
its,PRP$,O
order,NN,O
dated,VBD,O
0182014,CD,O
has,VBZ,O
become,VBN,O
final,JJ,O
and,CC,O
no,DT,O
appeal,NN,O
against,IN,O
the,DT,O
said,VBD,O
order,NN,O
is,VBZ,O
pending,VBG,O
before,IN,O
us,PRP,O
18,CD,O
we,PRP,O
are,VBP,O
also,RB,O
not,RB,O
required,VBN,O
to,TO,O
go,VB,O
into,IN,O
the,DT,O
question,NN,O
whether,IN,O
the,DT,O
order,NN,O
of,IN,O
the,DT,O
central,JJ,O
commission,NN,O
dated,VBD,O
0242013,CD,O
by,IN,O
which,WDT,O
it,PRP,O
declined,VBD,O
to,TO,O
grant,VB,O
a,DT,O
declaration,NN,O
of,IN,O
frustration,NN,O
of,IN,O
the,DT,O
contracts,NNS,O
either,CC,O
on,IN,O
the,DT,O
ground,NN,O
of,IN,O
force,NN,O
majeure,NN,O
or,CC,O
on,IN,O
the,DT,O
ground,NN,O
of,IN,O
change,NN,O
of,IN,O
law,NN,O
is,VBZ,O
independently,RB,O
appealable,JJ,O
since,IN,O
no,DT,O
such,JJ,O
appeal,NN,O
even,RB,O
if,IN,O
maintainable,JJ,O
is,VBZ,O
preferred,VBN,O
by,IN,O
the,DT,O
appellant,JJ,O
19,CD,O
the,DT,O
question,NN,O
whether,IN,O
the,DT,O
appellant,NN,O
made,VBD,O
out,RP,O
a,DT,O
case,NN,O
for,IN,O
condonation,NN,O
of,IN,O
delay,NN,O
in,IN,O
preferring,VBG,O
the,DT,O
appeal,NN,O
before,IN,O
the,DT,O
appellate,JJ,O
tribunal,NN,O
in,IN,O
our,PRP$,O
opinion,NN,O
need,MD,O
not,RB,O
also,RB,O
be,VB,O
examined,VBN,O
by,IN,O
us,PRP,O
in,IN,O
view,NN,O
of,IN,O
the,DT,O
last,JJ,O
submission,NN,O
made,VBN,O
by,IN,O
the,DT,O
appellant,NN,O
if,IN,O
the,DT,O
appellant,NN,O
is,VBZ,O
not,RB,O
desirous,JJ,O
of,IN,O
seeking,VBG,O
a,DT,O
declaration,NN,O
that,IN,O
the,DT,O
appellant,NN,O
is,VBZ,O
relieved,VBN,O
of,IN,O
the,DT,O
obligation,NN,O
to,TO,O
perform,VB,O
the,DT,O
contracts,NNS,O
in,IN,O
question,NN,O
the,DT,O
correctness,NN,O
of,IN,O
the,DT,O
decision,NN,O
of,IN,O
the,DT,O
appellate,JJ,O
tribunal,NN,O
in,IN,O
rejecting,VBG,O
the,DT,O
application,NN,O
to,TO,O
condone,VB,O
the,DT,O
delay,NN,O
in,IN,O
preferring,VBG,O
the,DT,O
appeal,NN,O
would,MD,O
become,VB,O
purely,RB,O
academic,JJ,O
we,PRP,O
are,VBP,O
of,IN,O
the,DT,O
opinion,NN,O
that,WDT,O
so,RB,O
long,RB,O
as,IN,O
the,DT,O
appellant,NN,O
does,VBZ,O
not,RB,O
seek,VB,O
a,DT,O
declaration,NN,O
such,JJ,O
as,IN,O
the,DT,O
one,CD,O
mentioned,VBN,O
above,IN,O
the,DT,O
appellant,NN,O
is,VBZ,O
entitled,VBN,O
to,TO,O
argue,VB,O
any,DT,O
proposition,NN,O
of,IN,O
law,NN,O
be,VB,O
it,PRP,O
force,JJ,O
majeure,NN,O
or,CC,O
change,NN,O
of,IN,O
law,NN,O
in,IN,O
support,NN,O
of,IN,O
the,DT,O
order,NN,O
dated,VBD,O
21022014,CD,O
quantifying,VBG,O
the,DT,O
compensatory,NN,O
tariff,NN,B-LEGAL
the,DT,O
correctness,NN,O
of,IN,O
which,WDT,O
is,VBZ,O
under,IN,O
challenge,NN,O
before,IN,O
the,DT,O
appellate,JJ,O
tribunal,NN,O
in,IN,O
appeal,NN,O
no,DT,O
98,CD,O
of,IN,O
2014,CD,O
and,CC,O
appeal,VB,O
no,DT,O
116,CD,O
of,IN,O
2014,CD,O
preferred,VBN,O
by,IN,O
the,DT,O
respondents,NNS,O
so,RB,O
long,RB,O
as,IN,O
such,JJ,O
an,DT,O
argument,NN,O
is,VBZ,O
based,VBN,O
on,IN,O
the,DT,O
facts,NNS,O
which,WDT,O
are,VBP,O
already,RB,O
pleaded,VBN,O
before,IN,O
the,DT,O
central,JJ,O
commission,NN,O
20,CD,O
the,DT,O
appeal,NN,O
is,VBZ,O
accordingly,RB,O
disposed,VBN,O
of,IN,O
with,IN,O
no,DT,O
order,NN,O
as,IN,O
to,TO,O
costs,NNS,O
1,CD,O
para,JJ,O
89,CD,O
accordingly,RB,O
we,PRP,O
direct,VBP,O
the,DT,O
petitioner,NN,O
and,CC,O
the,DT,O
respondents,NNS,O
and,CC,O
the,DT,O
respective,JJ,O
state,NN,O
governments,NNS,O
to,TO,O
constitute,VB,O
a,DT,O
committee,NN,O
within,IN,O
one,CD,O
week,NN,O
from,IN,O
the,DT,O
date,NN,O
of,IN,O
this,DT,O
order,NN,O
the,DT,O
committee,NN,O
shall,MD,O
consist,VB,O
of,IN,O
the,DT,O
principal,NN,O
secretary,NN,O
power,NN,O
govt,NN,O
of,IN,O
haryana,NN,O
managing,VBG,O
directors,NNS,O
of,IN,O
uhbvnl,JJ,O
and,CC,O
dhbvnl,VBZ,O
the,DT,O
chairman,NN,O
of,IN,O
adani,JJ,O
power,NN,O
ltd,NN,O
or,CC,O
his,PRP$,O
nominee,NN,O
an,DT,O
independent,JJ,O
financial,JJ,O
analyst,NN,O
of,IN,O
repute,NN,O
and,CC,O
an,DT,O
eminent,JJ,O
banker,NN,O
of,IN,O
the,DT,O
commensurate,NN,O
level,NN,O
the,DT,O
nominees,NNS,O
of,IN,O
financial,JJ,O
analysts,NNS,O
and,CC,O
banker,NN,O
should,MD,O
be,VB,O
selected,VBN,O
on,IN,O
mutual,JJ,O
consent,NN,B-LEGAL
basis,NN,O
the,DT,O
committee,NN,O
shall,MD,O
go,VB,O
into,IN,O
the,DT,O
impact,NN,O
of,IN,O
the,DT,O
price,NN,O
escalation,NN,O
of,IN,O
the,DT,O
indonesian,JJ,O
coal,NN,O
on,IN,O
the,DT,O
project,NN,O
viability,NN,O
and,CC,O
obtain,VB,O
all,PDT,O
the,DT,O
actual,JJ,O
data,NNS,O
required,VBN,O
with,IN,O
due,JJ,B-LEGAL
authentication,NN,B-LEGAL
from,IN,O
independent,JJ,O
auditors,NNS,O
to,TO,O
ascertain,VB,O
the,DT,O
cost,NN,O
of,IN,O
import,NN,O
of,IN,O
coal,NN,O
from,IN,O
indonesia,NN,O
and,CC,O
suggest,VBP,O
a,DT,O
package,NN,O
for,IN,O
compensatory,NN,O
tariff,NN,B-LEGAL
which,WDT,O
can,MD,O
be,VB,O
allowed,VBN,O
to,TO,O
the,DT,O
petitioner,NN,O
over,IN,O
and,CC,O
above,IN,O
the,DT,O
tariff,NN,B-LEGAL
in,IN,O
the,DT,O
ppas,NN,O
the,DT,O
committee,NN,O
shall,MD,O
keep,VB,O
in,IN,O
view,NN,O
inter,NN,O
alia,IN,O
the,DT,O
following,JJ,O
considerations,NNS,O
while,IN,O
working,VBG,O
out,RP,O
and,CC,O
recommending,VBG,O
the,DT,O
compensatory,NN,O
tariff,NN,B-LEGAL
applicable,JJ,O
upto,NN,O
a,DT,O
certain,JJ,O
period,NN,O
a,DT,O
the,DT,O
net,JJ,O
profit,NN,O
less,RBR,O
govt,JJ,O
taxes,NNS,O
and,CC,O
cess,NN,O
etc,NN,O
earned,VBN,O
by,IN,O
the,DT,O
petitioner,NN,O
s,JJ,O
company,NN,O
from,IN,O
the,DT,O
coal,NN,O
mines,NNS,O
in,IN,O
indonesia,NN,O
on,IN,O
account,NN,B-LEGAL
of,IN,O
the,DT,O
bench,NN,O
mark,NN,O
price,NN,O
due,JJ,B-LEGAL
to,TO,O
indonesian,JJ,O
