shivaraj,NN,O
pvt,VBP,O
ltd,JJ,O
chandigarh,NN,O
v,NN,O
suresh,JJ,O
chand,NN,O
and,CC,O
anr,JJ,O
manu,NN,O
sc,NN,O
0273,CD,O
1978manu,CD,O
sc,NN,O
0273,CD,O
1978,CD,O
1978iillj1sc,CD,O
has,VBZ,O
expressed,VBN,O
the,DT,O
contrary,JJ,O
view,NN,O
that,IN,O
non,JJ,O
approval,NN,O
of,IN,O
the,DT,O
order,NN,O
of,IN,O
dismissal,NN,B-LEGAL
or,CC,O
failure,NN,O
to,TO,O
make,VB,O
application,NN,B-LEGAL
under,IN,I-LEGAL
section,NN,O
332b,CD,O
would,MD,O
not,RB,O
render,VB,O
the,DT,O
order,NN,O
of,IN,O
dismissal,NN,B-LEGAL
inoperative,JJ,O
failure,NN,O
to,TO,O
apply,VB,O
for,IN,O
approval,NN,B-LEGAL
under,IN,I-LEGAL
section,NN,O
332b,CD,O
would,MD,O
only,RB,O
render,VB,O
the,DT,O
employer,NN,O
liable,JJ,O
to,TO,O
punishment,VB,O
under,IN,O
section,NN,O
31,CD,O
of,IN,O
the,DT,O
act,NN,O
and,CC,O
the,DT,O
remedy,NN,O
of,IN,O
the,DT,O
employee,NN,O
is,VBZ,O
either,RB,O
by,IN,O
way,NN,O
of,IN,O
a,DT,O
complaint,NN,B-LEGAL
under,IN,I-LEGAL
section,NN,O
33a,CD,O
or,CC,O
by,IN,O
way,NN,O
of,IN,O
a,DT,O
reference,NN,B-LEGAL
under,IN,I-LEGAL
section,NN,O
101d,CD,O
of,IN,O
the,DT,O
act,NN,O
it,PRP,O
may,MD,O
be,VB,O
stated,VBN,O
here,RB,O
itself,PRP,O
that,IN,O
there,EX,O
was,VBD,O
no,DT,O
reference,NN,O
in,IN,O
this,DT,O
decision,NN,O
to,TO,O
the,DT,O
two,CD,O
earlier,JJR,O
decisions,NNS,O
aforementioned,VBD,O
4,CD,O
a,DT,O
bench,NN,O
of,IN,O
two,CD,O
learned,VBD,O
judge,NN,O
in,IN,O
s,JJ,O
ganapathi,NN,O
and,CC,O
ors,NNS,O
v,VBP,O
air,NN,O
india,NN,O
and,CC,O
anr,JJ,O
manu,NN,O
sc,NN,O
0368,CD,O
1993manu,CD,O
sc,NN,O
0368,CD,O
1993,CD,O
1993iillj731sc,CD,O
has,VBZ,O
followed,VBN,O
the,DT,O
view,NN,O
taken,VBN,O
in,IN,O
strawboard,JJ,O
supra,NN,O
and,CC,O
tata,NN,O
iron,NN,O
steel,NN,O
co,NNS,O
supra,NN,O
and,CC,O
has,VBZ,O
held,VBN,O
that,IN,O
the,DT,O
order,NN,O
of,IN,O
dismissal,NN,B-LEGAL
passed,VBN,O
without,IN,O
the,DT,O
approval,NN,B-LEGAL
under,IN,I-LEGAL
section,NN,O
333b,CD,O
remains,NNS,O
in,IN,O
inchoate,JJ,O
condition,NN,O
but,CC,O
this,DT,O
decision,NN,O
has,VBZ,O
not,RB,O
noticed,VBN,O
the,DT,O
decision,NN,O
in,IN,O
punjab,NN,O
beverages,NNS,O
supra,VBP,O
5,CD,O
rival,JJ,O
submissions,NNS,O
were,VBD,O
made,VBN,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
parties,NNS,O
in,IN,O
support,NN,O
of,IN,O
the,DT,O
respective,JJ,O
contentions,NNS,O
in,IN,O
the,DT,O
light,NN,O
of,IN,O
aforementioned,JJ,O
decisions,NNS,O
and,CC,O
referring,VBG,O
to,TO,O
and,CC,O
relying,VBG,O
on,IN,O
the,DT,O
provisions,NNS,O
contained,VBN,O
in,IN,O
sections,NNS,O
31,CD,O
33,CD,O
and,CC,O
33a,CD,O
of,IN,O
the,DT,O
act,NN,O
6,CD,O
answer,NN,O
to,TO,O
the,DT,O
question,NN,O
on,IN,O
which,WDT,O
conflicting,VBG,O
decisions,NNS,O
are,VBP,O
rendered,VBN,O
as,IN,O
noticed,VBN,O
above,IN,O
depends,NNS,O
on,IN,O
a,DT,O
fair,JJ,O
reading,NN,O
and,CC,O
proper,JJ,O
interpretation,NN,O
of,IN,O
section,NN,O
332b,CD,O
of,IN,O
the,DT,O
act,NN,O
prior,RB,O
to,TO,O
the,DT,O
amendment,NN,O
of,IN,O
1956,CD,O
provision,NN,O
contained,VBN,O
in,IN,O
section,NN,O
33,CD,O
corresponded,VBD,O
to,TO,O
the,DT,O
present,JJ,O
section,NN,O
331,CD,O
only,RB,O
the,DT,O
object,NN,O
behind,IN,O
enacting,VBG,O
section,NN,O
33,CD,O
as,IN,O
it,PRP,O
stood,VBD,O
before,IN,O
it,PRP,O
was,VBD,O
amended,VBN,O
in,IN,O
1956,CD,O
was,VBD,O
to,TO,O
allow,VB,O
continuance,NN,O
of,IN,O
industrial,JJ,O
proceedings,NNS,O
pending,VBG,O
before,IN,O
any,DT,O
authority,NN,O
court,NN,O
tribunal,JJ,O
prescribed,VBN,O
by,IN,O
the,DT,O
act,NN,O
in,IN,O
a,DT,O
peaceful,NN,O
atmosphere,RB,O
undisturbed,VBN,O
by,IN,O
any,DT,O
other,JJ,O
industrial,JJ,B-LEGAL
dispute,NN,I-LEGAL
in,IN,O
course,NN,O
of,IN,O
time,NN,O
it,PRP,O
was,VBD,O
felt,VBN,O
that,IN,O
unamended,JJ,O
section,NN,O
33,CD,O
was,VBD,O
too,RB,O
stringent,JJ,O
for,IN,O
it,PRP,O
placed,VBD,O
a,DT,O
total,JJ,O
ban,NN,O
on,IN,O
the,DT,O
right,NN,O
of,IN,O
the,DT,O
employer,NN,O
to,TO,O
make,VB,O
any,DT,O
alteration,NN,O
in,IN,O
conditions,NNS,B-LEGAL
of,IN,I-LEGAL
service,NN,I-LEGAL
or,CC,O
to,TO,O
make,VB,O
any,DT,O
order,NN,O
of,IN,O
discharge,NN,B-LEGAL
or,CC,I-LEGAL
dismissal,NN,I-LEGAL
even,RB,O
in,IN,O
cases,NNS,O
where,WRB,O
such,JJ,O
alteration,NN,O
in,IN,O
conditions,NNS,B-LEGAL
of,IN,I-LEGAL
service,NN,I-LEGAL
or,CC,O
passing,NN,O
of,IN,O
an,DT,O
order,NN,O
of,IN,O
dismissal,NN,B-LEGAL
or,CC,O
discharge,NN,B-LEGAL
was,VBD,O
not,RB,O
in,IN,O
any,DT,O
manner,NN,O
connected,VBN,O
with,IN,O
the,DT,O
dispute,NN,O
pending,VBG,O
before,IN,O
an,DT,O
industrial,JJ,O
authority,NN,O
it,PRP,O
appears,VBZ,O
therefore,RB,O
that,DT,O
section,NN,O
33,CD,O
was,VBD,O
amended,VBN,O
in,IN,O
1956,CD,O
permitting,VBG,O
the,DT,O
employer,NN,O
to,TO,O
make,VB,O
changes,NNS,O
in,IN,O
conditions,NNS,B-LEGAL
of,IN,I-LEGAL
service,NN,I-LEGAL
or,CC,O
to,TO,O
discharge,VB,B-LEGAL
or,CC,O
dismiss,VB,O
an,DT,O
employee,NN,O
in,IN,O
relation,NN,O
to,TO,O
matters,NNS,O
not,RB,O
connected,VBN,O
with,IN,O
the,DT,O
pending,VBG,O
industrial,JJ,B-LEGAL
dispute,NN,I-LEGAL
at,IN,O
the,DT,O
same,JJ,O
time,NN,O
it,PRP,O
seems,VBZ,O
to,TO,O
have,VB,O
been,VBN,O
felt,VBN,O
that,IN,O
there,EX,O
was,VBD,O
need,NN,O
to,TO,O
provide,VB,O
some,DT,O
safeguards,NNS,O
for,IN,O
a,DT,O
workman,NN,O
who,WP,O
may,MD,O
be,VB,O
discharged,VBN,O
or,CC,O
dismissed,VBN,O
during,IN,O
the,DT,O
pendency,NN,O
of,IN,O
a,DT,O
dispute,NN,O
on,IN,O
account,NN,O
of,IN,O
some,DT,O
matter,NN,O
unconnected,VBN,O
with,IN,O
the,DT,O
dispute,NN,O
this,DT,O
position,NN,O
is,VBZ,O
clear,JJ,O
by,IN,O
reading,VBG,O
re,NN,O
drafted,VBN,O
expanded,VBD,O
section,NN,O
33,CD,O
in,IN,O
1956,CD,O
containing,VBG,O
five,CD,O
sub,JJ,O
sections,NNS,O
for,IN,O
the,DT,O
present,JJ,O
purpose,NN,O
we,PRP,O
are,VBP,O
concerned,VBN,O
with,IN,O
the,DT,O
proviso,NN,O
to,TO,O
section,NN,O
332b,CD,O
the,DT,O
material,NN,O
and,CC,O
relevant,JJ,O
portion,NN,O
of,IN,O
section,NN,O
33,CD,O
reads,NNS,O
conditions,NNS,B-LEGAL
of,IN,I-LEGAL
service,NN,I-LEGAL
etc,NN,O
to,TO,O
remain,VB,O
unchanged,JJ,O
under,IN,O
certain,JJ,O
circumstances,NNS,O
during,IN,O
pendency,NN,O
of,IN,O
proceedings,NNS,O
1,CD,O
2,CD,O
during,IN,O
the,DT,O
pendency,NN,O
of,IN,O
any,DT,O
such,JJ,O
proceeding,NN,O
in,IN,O
respect,NN,O
of,IN,O
an,DT,O
industrial,JJ,B-LEGAL
dispute,NN,I-LEGAL
the,DT,O
employer,NN,O
may,MD,O
in,IN,O
accordance,NN,O
with,IN,O
standing,VBG,O
orders,NNS,O
applicable,JJ,O
to,TO,O
a,DT,O
workman,NN,O
concerned,VBN,O
in,IN,O
such,JJ,O
dispute,NN,O
or,CC,O
where,WRB,O
there,EX,O
are,VBP,O
no,DT,O
such,JJ,O
standing,VBG,B-LEGAL
order,NN,I-LEGAL
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
terms,NNS,O
of,IN,O
the,DT,O
contract,NN,O
whether,IN,O
express,NN,O
or,CC,O
implied,VBN,O
between,IN,O
him,PRP,O
and,CC,O
the,DT,O
workman,NN,O
a,DT,O
b,NN,O
for,IN,O
any,DT,O
misconduct,NN,B-LEGAL
not,RB,O
connected,VBN,O
with,IN,O
the,DT,O
dispute,NN,O
discharge,NN,B-LEGAL
or,CC,O
punish,VB,O
whether,IN,O
by,IN,O
dismissal,NN,B-LEGAL
or,CC,O
otherwise,VB,O
that,DT,O
workman,NN,O
provided,VBD,O
that,IN,O
no,DT,O
such,JJ,O
workman,JJ,O
shall,MD,O
be,VB,O
discharged,VBN,O
or,CC,O
dismissed,VBN,O
unless,IN,O
he,PRP,O
has,VBZ,O
been,VBN,O
paid,VBN,O
wages,NNS,O
for,IN,O
one,CD,O
month,NN,O
and,CC,O
an,DT,O
application,NN,O
has,VBZ,O
been,VBN,O
made,VBN,O
by,IN,O
the,DT,O
employer,NN,O
to,TO,O
the,DT,O
authority,NN,O
before,IN,O
which,WDT,O
the,DT,O
proceeding,NN,O
is,VBZ,O
pending,VBG,O
for,IN,O
approval,NN,O
of,IN,O
the,DT,O
action,NN,O
taken,VBN,O
by,IN,O
the,DT,O
employer,NN,O
7,CD,O
the,DT,O
proviso,NN,O
expressly,RB,O
and,CC,O
specifically,RB,O
states,NNS,O
that,IN,O
no,DT,O
workmen,NNS,O
shall,MD,O
be,VB,O
discharged,VBN,O
or,CC,O
dismissed,VBN,O
unless,IN,O
he,PRP,O
has,VBZ,O
been,VBN,O
paid,VBN,O
wages,NNS,O
for,IN,O
one,CD,O
month,NN,O
and,CC,O
an,DT,O
application,NN,O
has,VBZ,O
been,VBN,O
made,VBN,O
by,IN,O
the,DT,O
employer,NN,O
to,TO,O
the,DT,O
authority,NN,O
before,IN,O
which,WDT,O
the,DT,O
proceeding,NN,O
is,VBZ,O
pending,VBG,O
for,IN,O
approval,NN,O
of,IN,O
the,DT,O
action,NN,O
taken,VBN,O
by,IN,O
the,DT,O
employer,NN,O
it,PRP,O
is,VBZ,O
clear,JJ,O
from,IN,O
the,DT,O
proviso,NN,O
to,TO,O
section,NN,O
332b,CD,O
that,IN,O
the,DT,O
employer,NN,O
may,MD,O
pass,VB,O
an,DT,O
order,NN,O
of,IN,O
dismissal,NN,B-LEGAL
or,CC,O
discharge,NN,B-LEGAL
and,CC,O
at,IN,O
the,DT,O
same,JJ,O
time,NN,O
make,VB,O
an,DT,O
application,NN,O
for,IN,O
approval,NN,O
of,IN,O
the,DT,O
action,NN,O
taken,VBN,O
by,IN,O
him,PRP,O
in,IN,O
the,DT,O
strawboard,NN,O
case,NN,O
supra,VBD,O
dealing,VBG,O
with,IN,O
the,DT,O
contention,NN,O
that,IN,O
if,IN,O
the,DT,O
employer,NN,O
dismisses,VBZ,O
or,CC,O
discharges,VBZ,O
a,DT,O
workman,NN,O
and,CC,O
then,RB,O
applies,NNS,O
for,IN,O
approval,NN,O
of,IN,O
the,DT,O
action,NN,O
taken,VBN,O
and,CC,O
the,DT,O
tribunal,JJ,O
refuses,NNS,O
to,TO,O
approve,VB,O
the,DT,O
action,NN,O
the,DT,O
workman,NN,O
would,MD,O
be,VB,O
left,VBN,O
with,IN,O
no,DT,O
remedy,NN,O
as,IN,O
there,EX,O
is,VBZ,O
no,DT,O
provision,NN,O
for,IN,O
reinstatement,NN,B-LEGAL
in,IN,O
section,NN,O
332,CD,O
it,PRP,O
is,VBZ,O
held,VBN,O
that,IN,O
if,IN,O
the,DT,O
tribunal,NN,O
does,VBZ,O
not,RB,O
approve,VB,O
of,IN,O
the,DT,O
action,NN,O
taken,VBN,O
by,IN,O
the,DT,O
employer,NN,O
the,DT,O
result,NN,O
would,MD,O
be,VB,O
that,IN,O
the,DT,O
action,NN,O
taken,VBN,O
by,IN,O
him,PRP,O
would,MD,O
fall,VB,O
and,CC,O
thereupon,VB,O
the,DT,O
workman,NN,O
would,MD,O
be,VB,O
deemed,VBN,O
never,RB,O
to,TO,O
have,VB,O
been,VBN,O
dismissed,VBN,O
or,CC,O
discharged,VBN,O
and,CC,O
would,MD,O
remain,VB,O
in,IN,O
the,DT,O
service,NN,O
of,IN,O
the,DT,O
employer,NN,O
8,CD,O
a,DT,O
constitution,NN,O
bench,NN,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
ph,NN,O
kalyani,NN,O
v,NNP,O
air,NN,O
france,NN,O
calcutta,NN,O
manu,NN,O
sc,NN,O
0137,CD,O
1963manu,CD,O
sc,NN,O
0137,CD,O
1963,CD,O
1963illj679sc,CD,O
referring,VBG,O
to,TO,O
strawboard,VB,O
has,VBZ,O
observed,VBN,O
thus,RB,O
the,DT,O
main,JJ,O
point,NN,O
which,WDT,O
was,VBD,O
raised,VBN,O
in,IN,O
this,DT,O
appeal,NN,O
is,VBZ,O
now,RB,O
concluded,VBN,O
by,IN,O
the,DT,O
decision,NN,O
of,IN,O
this,DT,O
court,NN,O
in,IN,O
the,DT,O
straw,JJ,O
board,NN,O
manufacturing,VBG,O
co,NN,O
limited,VBD,O
saharanpur,JJ,O
v,NN,O
govind,NN,O
this,DT,O
court,NN,O
has,VBZ,O
held,VBN,O
in,IN,O
that,DT,O
case,NN,O
that,IN,O
the,DT,O
proviso,NN,O
to,TO,O
section,NN,O
332b,CD,O
contemplates,VBZ,O
the,DT,O
three,CD,O
things,NNS,O
mentioned,VBD,O
therein,RB,O
namely,RB,O
i,JJ,O
dismissal,NN,B-LEGAL
or,CC,O
discharge,NN,B-LEGAL
ii,JJ,O
payment,NN,O
of,IN,O
wages,NNS,O
and,CC,O
iii,JJ,O
making,NN,O
of,IN,O
an,DT,O
application,NN,O
for,IN,O
approval,NN,O
to,TO,O
be,VB,O
simultaneous,JJ,O
and,CC,O
to,TO,O
be,VB,O
part,NN,O
of,IN,O
the,DT,O
same,JJ,O
transaction,NN,O
so,IN,O
that,IN,O
the,DT,O
employer,NN,O
when,WRB,O
he,PRP,O
takes,VBZ,O
the,DT,O
action,NN,O
under,IN,O
section,NN,O
332,CD,O
by,IN,O
dismissing,VBG,O
or,CC,O
discharging,VBG,O
an,DT,O
employee,NN,O
should,MD,O
immediately,RB,O
pay,VB,O
him,PRP,O
or,CC,O
offer,VB,O
to,TO,O
pay,VB,O
him,PRP,O
wages,NNS,O
for,IN,O
one,CD,O
month,NN,O
and,CC,O
also,RB,O
make,VBP,O
an,DT,O
application,NN,O
to,TO,O
the,DT,O
tribunal,NN,O
for,IN,O
approval,NN,O
at,IN,O
the,DT,O
same,JJ,O
time,NN,O
it,PRP,O
was,VBD,O
further,RBR,O
held,VBD,O
that,IN,O
the,DT,O
employer,NN,O
s,JJ,O
conduct,NN,O
should,MD,O
show,VB,O
that,IN,O
the,DT,O
three,CD,O
things,NNS,O
contemplated,VBN,O
under,IN,O
the,DT,O
proviso,NN,O
are,VBP,O
parts,NNS,O
of,IN,O
the,DT,O
same,JJ,O
transaction,NN,O
and,CC,O
the,DT,O
question,NN,O
whether,IN,O
the,DT,O
application,NN,O
was,VBD,O
made,VBN,O
as,IN,O
part,NN,O
of,IN,O
the,DT,O
same,JJ,O
transaction,NN,O
or,CC,O
at,IN,O
the,DT,O
same,JJ,O
time,NN,O
when,WRB,O
the,DT,O
action,NN,O
was,VBD,O
taken,VBN,O
would,MD,O
be,VB,O
a,DT,O
question,NN,O
of,IN,O
fact,NN,O
and,CC,O
will,MD,O
depend,VB,O
upon,IN,O
the,DT,O
circumstances,NNS,O
of,IN,O
each,DT,O
case,NN,O
9,CD,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
tata,NN,O
iron,NN,O
and,CC,O
steel,NN,O
co,NNS,O
supra,VBP,O
it,PRP,O
is,VBZ,O
reiterated,VBN,O
and,CC,O
states,NNS,O
thus,RB,O
it,PRP,O
is,VBZ,O
now,RB,O
well,RB,O
settled,VBN,O
that,IN,O
the,DT,O
requirements,NNS,O
of,IN,O
the,DT,O
proviso,NN,O
have,VBP,O
to,TO,O
be,VB,O
satisfied,VBN,O
by,IN,O
the,DT,O
employer,NN,O
on,IN,O
the,DT,O
basis,NN,O
that,IN,O
they,PRP,O
form,VBP,O
part,NN,O
of,IN,O
the,DT,O
same,JJ,O
transaction,NN,O
and,CC,O
stated,VBN,O
generally,RB,O
the,DT,O
employer,NN,O
must,MD,O
either,VB,O
pay,NN,O
or,CC,O
offer,VB,O
the,DT,O
salary,NN,O
for,IN,O
one,CD,O
month,NN,O
to,TO,O
the,DT,O
employee,NN,O
before,IN,O
passing,VBG,O
an,DT,O
order,NN,O
of,IN,O
his,PRP$,O
discharge,NN,B-LEGAL
or,CC,I-LEGAL
dismissal,NN,I-LEGAL
and,CC,O
must,MD,O
apply,VB,O
to,TO,O
the,DT,O
specified,VBN,O
authority,NN,O
for,IN,O
approval,NN,O
of,IN,O
his,PRP$,O
action,NN,O
at,IN,O
the,DT,O
same,JJ,O
time,NN,O
or,CC,O
within,IN,O
such,JJ,O
reasonably,RB,O
short,JJ,O
time,NN,O
thereafter,RB,O
as,IN,O
to,TO,O
form,VB,O
part,NN,O
of,IN,O
the,DT,O
same,JJ,O
transaction,NN,O
it,PRP,O
is,VBZ,O
also,RB,O
settled,VBN,O
that,IN,O
if,IN,O
approval,NN,O
is,VBZ,O
granted,VBN,O
it,PRP,O
takes,VBZ,O
effect,NN,O
from,IN,O
the,DT,O
date,NN,O
of,IN,O
the,DT,O
order,NN,O
passed,VBN,O
by,IN,O
the,DT,O
employer,NN,O
for,IN,O
which,WDT,O
approval,NN,O
was,VBD,O
sought,VBN,O
if,IN,O
approval,NN,O
is,VBZ,O
not,RB,O
granted,VBN,O
the,DT,O
order,NN,O
of,IN,O
dismissal,NN,B-LEGAL
or,CC,O
discharge,NN,B-LEGAL
passed,VBN,O
by,IN,O
the,DT,O
employer,NN,O
is,VBZ,O
wholly,RB,O
invalid,JJ,O
or,CC,O
inoperative,JJ,O
and,CC,O
the,DT,O
employee,NN,O
can,MD,O
legitimately,RB,O
claim,VB,O
to,TO,O
continue,VB,O
to,TO,O
be,VB,O
in,IN,O
the,DT,O
employment,NN,O
of,IN,O
the,DT,O
employer,NN,O
notwithstanding,VBG,O
the,DT,O
order,NN,O
passed,VBN,O
by,IN,O
him,PRP,O
dismissing,VBG,O
or,CC,O
discharging,VBG,O
him,PRP,O
in,IN,O
other,JJ,O
words,NNS,O
approval,NN,O
by,IN,O
the,DT,O
prescribed,JJ,O
authority,NN,O
makes,VBZ,O
the,DT,O
order,NN,O
of,IN,O
discharge,NN,B-LEGAL
or,CC,I-LEGAL
dismissal,NN,I-LEGAL
effective,JJ,O
in,IN,O
the,DT,O
absence,NN,O
of,IN,O
approval,NN,O
such,JJ,O
an,DT,O
order,NN,O
is,VBZ,O
invalid,JJ,O
and,CC,O
inoperative,JJ,O
in,IN,O
law,NN,O
10,CD,O
in,IN,O
the,DT,O
same,JJ,O
judgment,NN,O
it,PRP,O
is,VBZ,O
also,RB,O
stated,VBN,O
that,IN,O
order,NN,O
of,IN,O
dismissal,NN,B-LEGAL
or,CC,O
discharge,NN,B-LEGAL
being,VBG,O
incomplete,JJ,O
and,CC,O
inchoate,JJ,O
until,IN,O
the,DT,O
approval,NN,O
is,VBZ,O
obtained,VBN,O
cannot,MD,O
effectively,RB,O
terminate,RB,O
the,VB,O
relationship,DT,O
of,NN,O
the,IN,O
employer,DT,O
and,NN,O
employee,CC,O
and,NN,O
that,CC,O
if,IN,O
the,IN,O
approval,DT,O
is,NN,O
not,VBZ,O
accorded,RB,O
by,VBN,O
the,IN,O
tribunal,DT,O
the,JJ,O
employer,DT,O
would,NN,O
be,MD,O
bound,VB,O
to,VBN,O
treat,TO,O
the,VB,O
respondent,DT,O
as,NN,O
its,IN,O
employee,PRP$,O
and,NN,O
paying,CC,O
his,VBG,O
full,PRP$,O
wages,JJ,O
for,NNS,O
the,IN,O
period,DT,O
even,NN,O
though,RB,O
the,IN,O
employer,DT,O
may,NN,O
subsequently,MD,O
proceed,RB,O
to,VB,O
terminate,TO,O
the,VB,O
services,DT,O
of,NNS,O
the,IN,O
respondent,DT,O
11,NN,O
per,CD,O
contra,IN,O
in,NN,O
punjab,IN,O
beverages,NN,O
supra,NNS,O
it,VBP,O
is,PRP,O
held,VBZ,O
that,VBN,O
an,IN,O
order,DT,O
dismissing,NN,O
the,VBG,O
workman,DT,O
contravening,NN,O
section,VBG,O
332b,NN,O
shall,CD,O
not,MD,O
be,RB,O
void,VB,O
and,JJ,O
inoperative,CC,O
and,JJ,O
hence,CC,O
the,RB,O
workman,DT,O
was,NN,O
not,VBD,O
entitled,RB,O
to,VBN,O
maintain,TO,O
the,VB,O
application,DT,O
for,NN,O
determination,IN,O
and,NN,O
payment,CC,O
of,NN,O
wages,IN,O
under,NNS,O
section,IN,O
33c2,NN,O
a,CD,O
workman,DT,O
can,NN,O
proceed,MD,O
under,VB,O
section,IN,O
33c2,NN,O
only,CD,O
after,RB,O
the,IN,O
tribunal,DT,O
has,NN,O
adjudicated,VBZ,O
on,VBN,O
a,IN,O
complaint,DT,B-LEGAL
under,NN,I-LEGAL
section,IN,O
33a,NN,O
or,CD,O
on,CC,O
a,IN,O
reference,DT,B-LEGAL
under,NN,I-LEGAL
section,IN,O
10,NN,O
that,CD,O
the,IN,O
order,DT,O
of,NN,O
discharge,IN,B-LEGAL
or,NN,I-LEGAL
dismissal,CC,I-LEGAL
was,NN,O
not,VBD,O
justified,RB,O
and,JJ,O
has,CC,O
set,VBZ,O
aside,VBN,O
that,RP,O
order,IN,O
and,NN,O
reinstated,CC,O
the,VBD,O
workman,DT,O
rejecting,NN,O
a,VBG,O
contention,DT,O
that,NN,O
the,IN,O
workman,DT,O
would,NN,O
be,MD,O
left,VB,O
without,VBN,O
any,IN,O
remedy,DT,O
on,NN,O
the,IN,O
interpretation,DT,O
that,NN,O
contravention,IN,B-LEGAL
of,NN,O
section,IN,O
33,NN,O
does,CD,O
not,VBZ,O
invalidate,RB,O
an,VB,O
order,DT,O
of,NN,O
discharge,IN,B-LEGAL
or,NN,I-LEGAL
dismissal,CC,I-LEGAL
it,NN,O
is,PRP,O
stated,VBZ,O
that,VBN,O
if,IN,O
the,IN,O
employer,DT,O
contravenes,NN,O
section,VBZ,O
33,NN,O
he,CD,O
would,PRP,O
be,MD,O
liable,VB,O
to,JJ,O
punishment,TO,O
under,VB,O
section,IN,O
311,NN,O
and,CD,O
moreover,CC,O
the,VB,O
aggrieved,DT,O
workman,JJ,O
can,NN,O
act,MD,O
under,VB,O
section,IN,O
10,NN,O
or,CD,O
he,CC,O
can,PRP,O
make,MD,O
a,VB,O
