mb,NN,O
has,CC,O
emphasized,VBZ,O
the,VBN,O
word,DT,O
obtains,NN,O
further,VBZ,O
the,RBR,O
ingredient,DT,O
of,NN,O
sub,IN,O
clause,NN,O
i,NN,O
is,NN,O
that,VBZ,O
by,IN,O
corrupt,IN,O
or,NN,O
illegal,CC,O
means,JJ,O
a,VBZ,O
public,DT,B-LEGAL
servant,JJ,I-LEGAL
obtains,NN,O
any,VBZ,O
valuable,DT,O
thing,JJ,O
or,NN,O
pecuniary,CC,O
advantage,JJ,O
under,NN,O
clause,IN,O
ii,NN,O
he,NN,O
obtains,PRP,O
such,VBZ,O
thing,JJ,O
by,NN,O
abusing,IN,O
his,VBG,O
position,PRP$,O
as,NN,O
public,IN,B-LEGAL
servant,JJ,I-LEGAL
and,NN,O
sub,CC,O
clause,NN,O
iii,NN,O
contemplates,NN,O
that,VBZ,O
while,IN,O
holding,IN,O
office,VBG,O
as,NN,O
the,IN,O
public,DT,B-LEGAL
servant,NN,I-LEGAL
he,NN,O
obtains,PRP,O
for,VBZ,O
any,IN,O
person,DT,O
any,NN,O
valuable,DT,O
thing,JJ,O
or,NN,O
pecuniary,CC,O
advantage,JJ,O
without,NN,O
any,IN,O
public,DT,O
interest,JJ,O
therefore,NN,O
for,NN,O
convicting,IN,O
the,VBG,O
person,DT,O
under,NN,O
section,IN,O
131d,NN,O
there,CD,O
must,EX,O
be,MD,O
evidence,VB,O
on,NN,O
record,IN,O
that,NN,O
accused,IN,O
obtained,VBD,O
for,VBN,O
himself,IN,O
or,PRP,O
for,CC,O
any,IN,O
other,DT,O
person,JJ,O
any,NN,O
valuable,DT,O
thing,JJ,O
or,NN,O
pecuniary,CC,O
advantage,JJ,O
by,NN,O
either,IN,O
corrupt,DT,O
or,NN,O
illegal,CC,O
means,JJ,O
or,NNS,O
by,CC,O
abusing,IN,O
his,VBG,O
position,PRP$,O
as,NN,O
a,IN,O
public,DT,B-LEGAL
servant,JJ,I-LEGAL
or,NN,O
he,CC,O
obtained,PRP,O
for,VBD,O
any,IN,O
person,DT,O
any,NN,O
valuable,DT,O
thing,JJ,O
of,NN,O
pecuniary,IN,O
advantage,JJ,O
without,NN,O
any,IN,O
public,DT,O
interest,JJ,O
8,NN,O
this,CD,O
court,DT,O
interpreted,NN,O
similar,VBD,O
provisions,JJ,O
under,NNS,O
the,IN,O
prevention,DT,B-LEGAL
of,NN,I-LEGAL
corruption,IN,I-LEGAL
act,NN,O
1947,NN,O
in,CD,O
ram,IN,O
krishan,NN,O
and,NN,O
anr,CC,O
v,NN,O
the,VBP,O
state,DT,O
of,NN,O
delhi,IN,O
1956,NN,O
scr,CD,O
183,NN,O
in,CD,O
the,IN,O
said,DT,O
case,VBD,O
the,NN,O
court,DT,O
dealt,NN,O
with,NN,O
similar,IN,O
clause,JJ,O
d,NN,O
of,NN,O
sub,IN,O
section,JJ,O
1,NN,O
of,CD,O
section,IN,O
5,NN,O
and,CD,O
held,CC,O
that,VBD,O
there,IN,O
must,EX,O
be,MD,O
proof,VB,O
that,NN,O
the,IN,O
public,DT,B-LEGAL
servant,JJ,I-LEGAL
adopted,NN,O
corrupt,VBN,O
or,JJ,O
illegal,CC,O
means,JJ,O
and,NNS,O
thereby,CC,O
obtained,RB,O
for,VBN,O
himself,IN,O
or,PRP,O
for,CC,O
any,IN,O
other,DT,O
person,JJ,O
any,NN,O
valuable,DT,O
thing,JJ,O
or,NN,O
pecuniary,CC,O
advantage,JJ,O
the,NN,O
court,DT,O
observed,NN,O
in,VBD,O
one,IN,O
sense,CD,O
this,NN,O
is,DT,O
no,VBZ,O
doubt,DT,O
true,NN,O
but,JJ,O
it,CC,O
does,PRP,O
not,VBZ,O
follow,RB,O
that,VB,O
there,IN,O
is,EX,O
no,VBZ,O
overlapping,DT,O
of,NN,O
offences,IN,O
we,NNS,O
have,PRP,O
primarily,VBP,O
to,RB,O
look,TO,O
at,VB,O
the,IN,O
language,DT,O
employed,NN,O
and,VBD,O
give,CC,O
effect,VB,O
to,NN,O
it,TO,O
one,PRP,O
class,CD,O
of,NN,O
cases,IN,O
might,NNS,O
arise,MD,O
when,VB,O
corrupt,WRB,O
or,JJ,O
illegal,CC,O
means,JJ,O
are,NNS,O
adopted,VBP,O
or,VBN,O
perused,CC,O
by,VBN,O
the,IN,O
public,DT,B-LEGAL
servant,JJ,I-LEGAL
to,NN,O
gain,TO,O
for,VB,O
himself,IN,O
a,PRP,O
pecuniary,DT,O
advantage,JJ,O
the,NN,O
word,DT,O
obtains,NN,O
on,VBZ,O
which,IN,O
much,WDT,O
stress,JJ,O
was,NN,O
laid,VBD,O
does,VBN,O
not,VBZ,O
eliminate,RB,O
the,VB,O
idea,DT,O
of,NN,O
acceptance,IN,O
of,NN,O
what,IN,O
is,WP,O
given,VBZ,O
or,VBN,O
offered,CC,O
to,VBN,O
be,TO,O
given,VB,O
though,VBN,O
it,IN,O
connotes,PRP,O
also,VBZ,O
an,RB,O
element,DT,O
of,NN,O
effort,IN,O
on,NN,O
the,IN,O
part,DT,O
of,NN,O
the,IN,O
receiver,DT,O
one,NN,O
may,CD,O
accept,MD,O
money,VB,O
that,NN,O
is,WDT,O
offered,VBZ,O
or,VBN,O
solicit,CC,O
payment,JJ,O
of,NN,O
a,IN,O
bribe,DT,O
or,NN,O
extort,CC,O
the,VB,O
bribe,DT,O
by,NN,O
threat,IN,O
or,NN,O
coercion,CC,B-LEGAL
in,NN,O
each,IN,O
case,DT,O
he,NN,O
obtains,PRP,O
a,VBZ,O
pecuniary,DT,O
advantage,JJ,O
by,NN,O
abusing,IN,O
his,VBG,O
position,PRP$,O
as,NN,O
a,IN,O
public,DT,B-LEGAL
servant,JJ,I-LEGAL
9,NN,O
the,CD,O
court,DT,O
further,NN,O
observed,RB,O
that,VBD,O
it,IN,O
is,PRP,O
enough,VBZ,O
if,JJ,O
by,IN,O
abusing,IN,O
his,VBG,O
position,PRP$,O
as,NN,O
a,IN,O
public,DT,B-LEGAL
servant,JJ,I-LEGAL
a,NN,O
man,DT,O
obtains,NN,O
for,VBZ,O
himself,IN,O
any,PRP,O
pecuniary,DT,O
advantage,JJ,O
entirely,NN,O
irrespective,RB,O
of,JJ,O
motive,IN,O
or,NN,O
reward,CC,O
for,NN,O
showing,IN,O
favour,VBG,O
or,NN,O
disfavour,CC,O
10,VB,O
similarly,CD,O
in,RB,O
mw,IN,O
mohiuddin,NN,O
v,NN,O
state,NN,O
of,NN,O
maharashtra,IN,O
manu,JJ,O
sc,NN,O
0690,NN,O
1995manu,CD,O
sc,CD,O
0690,NN,O
1995,CD,O
1995,CD,O
2scr864,CD,O
the,CD,O
court,DT,O
dealt,NN,O
with,NN,O
section,IN,O
131di,NN,O
and,CD,O
ii,CC,O
and,NN,O
after,CC,O
referring,IN,O
to,VBG,O
the,TO,O
decision,DT,O
quoted,NN,O
above,VBN,O
as,IN,O
well,RB,O
as,RB,O
dictionary,IN,O
meaning,JJ,O
of,NN,O
word,IN,O
obtains,NN,O
observed,VBZ,O
whether,JJ,O
there,IN,O
was,EX,O
an,VBD,O
acceptance,DT,O
of,NN,O
what,IN,O
is,WP,O
given,VBZ,O
as,VBN,O
a,IN,O
bribe,DT,O
and,NN,O
whether,CC,O
there,IN,O
was,EX,O
an,VBD,O
effort,DT,O
on,NN,O
the,IN,O
part,DT,O
of,NN,O
the,IN,O
receiver,DT,O
to,NN,O
obtain,TO,O
the,VB,O
pecuniary,DT,O
advantage,JJ,O
by,NN,O
way,IN,O
of,NN,O
acceptance,IN,O
of,NN,O
the,IN,O
bribe,DT,O
depends,NN,O
on,VBZ,O
the,IN,O
facts,DT,O
and,NNS,O
circumstances,CC,O
of,NNS,O
each,IN,O
case,DT,O
in,NN,O
that,IN,O
case,DT,O
the,NN,O
court,DT,O
held,NN,O
that,VBD,O
it,IN,O
was,PRP,O
proved,VBD,O
that,VBN,O
accused,IN,O
made,VBD,O
a,VBN,O
demand,DT,O
and,NN,O
also,CC,O
got,RB,O
the,VBD,O
affirmation,DT,B-LEGAL
from,NN,O
the,IN,O
complainant,DT,O
that,NN,O
he,IN,O
had,PRP,O
brought,VBD,O
the,VBN,O
demanded,DT,O
money,JJ,O
and,NN,O
at,CC,O
his,IN,O
instance,PRP$,O
the,NN,O
complainant,DT,O
wrapped,NN,O
the,VBD,O
money,DT,O
in,NN,O
the,IN,O
handkerchief,DT,O
given,NN,O
by,VBN,O
the,IN,O
accused,DT,O
and,VBN,O
placed,CC,O
the,VBD,O
same,DT,O
on,JJ,O
the,IN,O
bag,DT,O
which,NN,O
was,WDT,O
brought,VBD,O
by,VBN,O
the,IN,O
accused,DT,O
and,JJ,O
as,CC,O
asked,IN,O
by,VBN,O
him,IN,O
these,PRP,O
steps,DT,O
have,NNS,O
been,VBP,O
taken,VBN,O
into,VBN,O
consideration,IN,O
in,NN,O
arriving,IN,O
at,VBG,O
the,IN,O
conclusion,DT,O
that,NN,O
the,IN,O
accused,DT,O
had,VBN,O
in,VBD,O
fact,IN,O
obtained,NN,O
the,VBN,O
pecuniary,DT,O
advantage,JJ,O
namely,NN,O
that,RB,O
he,IN,O
received,PRP,O
the,VBD,O
illegal,DT,B-LEGAL
gratification,JJ,I-LEGAL
therefore,NN,O
the,IN,O
court,DT,O
upheld,NN,O
the,VBD,O
conviction,DT,B-LEGAL
under,NN,I-LEGAL
section,IN,O
131d,NN,O
lastly,CD,O
in,RB,O
ck,IN,O
damodaran,NN,O
nair,NN,O
v,NN,O
govt,JJ,O
of,NN,O
india,IN,O
manu,JJ,O
sc,NN,O
0145,NN,O
1997manu,CD,O
sc,CD,O
0145,NN,O
1997,CD,O
1997crilj739,CD,O
this,CD,O
court,DT,O
considered,NN,O
the,VBD,O
word,DT,O
obtain,NN,O
used,VB,O
in,VBN,O
section,IN,O
51d,NN,O
and,CD,O
held,CC,O
as,VBD,O
under,IN,O
12,IN,O
the,CD,O
position,DT,O
will,NN,O
however,MD,O
be,RB,O
different,VB,O
so,JJ,O
far,RB,O
as,RB,O
an,IN,O
offence,DT,O
under,NN,O
section,IN,O
51d,NN,O
read,CD,O
with,NN,O
section,IN,O
52,NN,O
of,CD,O
the,IN,O
act,DT,O
is,NN,O
concerned,VBZ,O
for,VBN,O
such,IN,O
an,JJ,O
offence,DT,O
prosecution,NN,O
has,NN,O
to,VBZ,O
prove,TO,O
that,VB,O
the,IN,O
accused,DT,O
obtained,VBN,O
the,VBD,O
valuable,DT,O
thing,JJ,O
or,NN,O
pecuniary,CC,O
advantage,JJ,O
by,NN,O
corrupt,IN,O
or,NN,O
illegal,CC,O
means,JJ,O
or,NNS,O
by,CC,O
otherwise,IN,O
abusing,RB,O
his,VBG,O
position,PRP$,O
as,NN,O
a,IN,O
public,DT,B-LEGAL
servant,JJ,I-LEGAL
and,NN,O
that,CC,O
too,DT,O
without,RB,O
the,IN,O
aid,DT,O
of,NN,O
the,IN,O
statutory,DT,O
presumption,JJ,O
under,NN,O
section,IN,O
41,NN,O
of,CD,O
the,IN,O
act,DT,O
as,NN,O
it,IN,O
is,PRP,O
available,VBZ,O
only,JJ,O
in,RB,O
respect,IN,O
of,NN,O
offences,IN,O
under,NNS,O
section,IN,O
51a,NN,O
and,CD,O
b,CC,O
and,NNS,O
not,CC,O
under,RB,O
section,IN,O
51c,NN,O
d,CD,O
or,NN,O
e,CC,O
of,NN,O
the,IN,O
act,DT,O
obtain,NN,O
means,VB,O
to,NNS,O
secure,TO,O
or,VB,O
gain,CC,O
something,VB,O
as,NN,O
the,IN,O
result,DT,O
of,NN,O
request,IN,O
or,NN,O
effort,CC,O
shorter,NN,O
oxford,JJR,O
dictionary,JJ,O
in,NN,O
case,IN,O
of,NN,O
obtainment,IN,O
the,NN,O
initiative,DT,O
vests,JJ,O
in,NNS,O
the,IN,O
person,DT,O
who,NN,O
receives,WP,O
and,VBZ,O
in,CC,O
that,IN,O
context,DT,O
a,NN,O
demand,DT,O
or,NN,O
request,CC,O
from,NN,O
him,IN,O
will,PRP,O
be,MD,O
a,VB,O
primary,DT,O
requisite,JJ,O
for,NN,O
an,IN,O
offence,DT,O
under,NN,O
section,IN,O
51d,NN,O
of,CD,O
the,IN,O
act,DT,O
unlike,NN,O
an,IN,O
offence,DT,O
under,NN,O
section,IN,O
161,NN,O
ipc,CD,O
which,NN,O
as,WDT,O
noticed,IN,O
above,VBN,O
can,IN,O
be,MD,O
established,VB,O
by,VBN,O
proof,IN,O
o,NN,O
either,NN,O
acceptance,DT,O
or,NN,O
obtainment,CC,O
11,JJ,O
same,CD,O
is,JJ,O
the,VBZ,O
position,DT,O
of,NN,O
statutory,IN,O
presumption,JJ,O
under,NN,O
section,IN,O
20,NN,O
of,CD,O
the,IN,O
act,DT,O
and,NN,O
is,CC,O
available,VBZ,O
for,JJ,O
the,IN,O
offence,DT,O
punishable,NN,O
under,JJ,O
section,IN,O
7,NN,O
or,CD,O
section,CC,O
11,NN,O
or,CD,O
clause,CC,O
a,VB,O
or,DT,O
clause,CC,O
b,NN,O
of,NN,O
sub,IN,O
section,JJ,O
1,NN,O
of,CD,O
section,IN,O
13,NN,O
and,CD,O
not,CC,O
for,RB,O
clause,IN,O
d,NN,O
of,NN,O
sub,IN,O
section,JJ,O
13,NN,O
12,CD,O
in,CD,O
the,IN,O
background,DT,O
of,NN,O
aforesaid,IN,O
settled,NN,O
legal,VBN,O
position,JJ,O
we,NN,O
would,PRP,O
now,MD,O
refer,RB,O
to,VB,O
the,TO,O
relevant,DT,O
part,JJ,O
of,NN,O
the,IN,O
evidence,DT,O
before,NN,O
the,IN,O
trial,DT,O
court,NN,O
it,NN,O
was,PRP,O
submitted,VBD,O
by,VBN,O
the,IN,O
learned,DT,O
app,JJ,O
that,NN,O
complainant,WDT,O
has,NN,O
not,VBZ,O
supported,RB,O
the,VBN,O
prosecution,DT,O
case,NN,O
on,NN,O
main,IN,O
ingredients,JJ,O
of,NNS,O
demand,IN,O
and,NN,O
acceptance,CC,O
and,NN,O
was,CC,O
treated,VBD,O
hostile,VBN,O
in,NN,O
cross,IN,O
examination,NN,O
also,NN,O
he,RB,O
has,PRP,O
not,VBZ,O
supported,RB,O
the,VBN,O
prosecution,DT,O
version,NN,O
on,NN,O
demand,IN,O
or,NN,O
acceptance,CC,O
of,NN,O
the,IN,O
amount,DT,O
the,NN,O
trial,DT,O
court,NN,O
has,NN,O
also,VBZ,O
observed,RB,O
that,VBN,O
the,IN,O
complainant,DT,O
deliberately,NN,O
does,RB,O
not,VBZ,O
support,RB,O
on,VB,O
the,IN,O
points,DT,O
of,NNS,O
demand,IN,O
and,NN,O
acceptance,CC,O
however,NN,O
the,RB,O
court,DT,O
relied,NN,O
upon,VBD,O
the,IN,O
evidence,DT,O
of,NN,O
panch,IN,O
shailesh,NN,O
devshankar,JJ,O
panda,NN,O
pw2we,NN,O
were,NN,O
taken,VBD,O
through,VBN,O
the,IN,O
evidence,DT,O
of,NN,O
pw2,IN,O
pandaya,NN,O
and,NN,O
from,CC,O
his,IN,O
evidence,PRP$,O
it,NN,O
is,PRP,O
difficult,VBZ,O
to,JJ,O
find,TO,O
out,VB,O
any,RP,O
statement,DT,O
made,NN,O
by,VBN,O
him,IN,O
that,PRP,O
accused,WDT,O
demanded,VBD,O
any,VBD,O
amount,DT,O
from,NN,O
the,IN,O
complainant,DT,O
the,NN,O
relevant,DT,O
part,JJ,O
of,NN,O
the,IN,O
evidence,DT,O
of,NN,O
this,IN,O
witness,DT,O
suggests,NN,O
that,VBZ,O
when,IN,O
the,WRB,O
prosecution,DT,O
party,NN,O
went,NN,O
at,VBD,O
the,IN,O
police,DT,O
chowki,NN,O
accused,NN,O
asked,VBD,O
the,VBD,O
complainant,DT,O
as,NN,O
to,IN,O
why,TO,O
he,WRB,O
had,PRP,O
come,VBD,O
there,VBN,O
at,RB,O
that,IN,O
time,DT,O
to,NN,O
that,TO,O
replied,DT,O
that,VBD,O
he,IN,O
was,PRP,O
waiting,VBD,O
since,VBG,O
one,IN,O
o,CD,O
clock,NN,O
and,NN,O
that,CC,O
he,IN,O
has,PRP,O
brought,VBZ,O
one,VBN,O
witness,CD,O
to,NN,O
be,TO,O
examined,VB,O
accused,VBN,O
informed,VBN,O
him,VBD,O
to,PRP,O
come,TO,O
in,VB,O
the,IN,O
evening,DT,O
as,NN,O
his,IN,O
writer,PRP$,O
was,NN,O
not,VBD,O
present,RB,O
when,JJ,O
the,WRB,O
accused,DT,O
started,VBN,O
to,VBD,O
go,TO,O
towards,VB,O
toilet,NNS,O
the,VB,O
complainant,DT,O
followed,NN,O
him,VBD,O
and,PRP,O
he,CC,O
gave,PRP,O
something,VBD,O
from,NN,O
his,IN,O
pocket,PRP$,O
to,NN,O
the,TO,O
accused,DT,O
who,VBN,O
took,WP,O
the,VBD,O
same,DT,O
and,JJ,O
put,CC,O
that,VBD,O
in,IN,O
his,IN,O
pocket,PRP$,O
from,NN,O
this,IN,O
evidence,DT,O
it,NN,O
cannot,PRP,O
be,MD,O
inferred,RB,O
that,VB,O
accused,VBN,O
demanded,IN,O
any,VBD,O
amount,VBD,O
from,DT,O
the,NN,O
complainant,IN,O
or,DT,O
that,NN,O
he,CC,O
had,IN,O
obtained,PRP,O
the,VBD,O
same,VBN,O
it,DT,O
is,JJ,O
apparent,PRP,O
that,VBZ,O
the,JJ,O
trial,IN,O
court,DT,O
and,NN,O
the,NN,O
high,CC,O
court,DT,O
misread,JJ,O
the,NN,O
evidence,VBD,O
of,DT,O
pw2,NN,O
and,IN,O
held,NN,O
that,CC,O
there,VBD,O
was,IN,O
demand,EX,O
by,VBD,O
the,NN,O
accused,IN,O
and,DT,O
the,VBN,O
amount,CC,O
was,DT,O
paid,NN,O
to,VBD,O
him,VBN,O
by,TO,O
the,PRP,O
complainant,IN,O
it,DT,O
was,NN,O
unreasonable,PRP,O
to,VBD,O
hold,JJ,O
that,TO,O
accused,VB,O
demanded,DT,O
money,VBD,O
from,VBD,O
the,NN,O
complaint,IN,O
complainant,DT,O
denied,NN,O
the,NN,O
said,VBD,O
story,DT,O
and,VBD,O
pw2,NN,O
had,CC,O
not,NN,O
stated,VBD,O
so,RB,O
13,VBN,O
in,RB,O
this,CD,O
view,IN,O
of,DT,O
the,NN,O
matter,IN,O
this,DT,O
appeal,NN,O
is,DT,O
partly,NN,O
allowed,VBZ,O
impugned,RB,O
judgment,VBN,O
and,JJ,O
order,NN,O
passed,CC,O
by,NN,O
the,VBN,O
high,IN,O
court,DT,O
confirming,JJ,O
the,NN,O
order,VBG,O
passed,DT,O
by,NN,O
the,VBN,O
special,IN,O
judge,DT,O
city,JJ,O
civil,NN,O
court,NN,O
ahmedabad,JJ,O
convicting,NN,O
the,VBD,O
appellant,VBG,O
for,DT,O
the,NN,O
offence,IN,O
punishable,DT,O
under,NN,O
section,JJ,O
131di,IN,O
is,NN,O
set,CD,O
aside,VBZ,O
and,VBN,O
the,RB,O
appellant,CC,O
is,DT,O
