prafulla,NN,O
property,NN,B-LEGAL
in,IN,O
dispute,NN,O
was,VBD,O
owned,VBN,O
by,IN,O
one,CD,O
gopalsamy,NN,O
pillai,NN,O
on,IN,O
21081963,CD,O
gopalsamy,JJ,O
pillai,NN,O
transferred,VBD,B-LEGAL
the,DT,O
property,NN,B-LEGAL
by,IN,O
executing,VBG,O
a,DT,O
sale,NN,B-LEGAL
deed,NN,I-LEGAL
in,IN,O
favour,NN,O
of,IN,O
one,CD,O
lakshmiammal,JJ,O
lakshmiammal,NN,O
further,RBR,O
transferred,VBD,B-LEGAL
the,DT,O
property,NN,B-LEGAL
to,TO,O
gurusamy,VB,O
naicker,NN,O
through,IN,O
deed,NN,O
dated,VBN,O
26121968,CD,O
plaintiffs,NNS,O
father,RB,O
ayyappan,VBP,O
chettiar,NNS,O
purchased,VBD,O
the,DT,O
property,NN,B-LEGAL
from,IN,O
gurusamy,JJ,O
naicker,NN,O
and,CC,O
constructed,VBD,O
his,PRP$,O
house,NN,O
it,PRP,O
is,VBZ,O
further,RBR,O
pleaded,VBD,O
that,IN,O
ayyappan,NN,O
chettiar,NN,O
executed,VBN,O
will,MD,O
dated,VBN,O
13121990,CD,O
in,IN,O
favour,NN,O
of,IN,O
the,DT,O
plaintiff,NN,O
and,CC,O
after,IN,O
death,NN,O
of,IN,O
his,PRP$,O
father,NN,O
in,IN,O
1997,CD,O
the,DT,O
plaintiff,NN,O
is,VBZ,O
in,IN,O
exclusive,JJ,O
possession,NN,B-LEGAL
of,IN,O
the,DT,O
property,NN,B-LEGAL
alleging,VBG,O
that,IN,O
the,DT,O
defendant,NN,O
has,VBZ,O
no,DT,O
right,NN,B-LEGAL
over,IN,O
the,DT,O
disputed,JJ,O
property,NN,B-LEGAL
relief,NN,O
of,IN,O
permanent,JJ,O
injunction,NN,O
against,IN,O
him,PRP,O
is,VBZ,O
sought,VBN,O
in,IN,O
the,DT,O
suit,NN,O
plaintiff,NN,O
andisamy,NN,O
chettiar,NN,O
and,CC,O
defendant,NN,O
subburaj,NN,O
chettiar,NN,O
are,VBP,O
sons,NNS,O
of,IN,O
ayyappan,NN,O
chettiar,NN,O
4,CD,O
the,DT,O
defendant,NN,O
filed,VBD,O
his,PRP$,O
written,VBN,O
statement,NN,O
and,CC,O
contested,VBD,O
the,DT,O
suit,NN,O
it,PRP,O
is,VBZ,O
not,RB,O
disputed,VBN,O
in,IN,O
the,DT,O
written,VBN,O
statement,NN,O
that,IN,O
ayyappan,VBZ,O
chettiar,NN,O
who,WP,O
purchased,VBD,O
the,DT,O
property,NN,B-LEGAL
from,IN,O
gurusamy,JJ,O
naicker,NN,O
died,VBD,O
on,IN,O
12101997,CD,O
however,RB,O
it,PRP,O
is,VBZ,O
disputed,VBN,O
that,IN,O
ayyappan,NN,O
chettiar,NN,O
executed,VBN,O
will,MD,O
dated,VB,O
13121990,CD,O
relied,VBN,O
by,IN,O
the,DT,O
plaintiff,NN,O
it,PRP,O
is,VBZ,O
alleged,VBN,O
by,IN,O
the,DT,O
defendant,NN,O
that,IN,O
the,DT,O
plaintiff,NN,O
has,VBZ,O
filed,VBN,O
suit,NN,O
for,IN,O
permanent,JJ,O
injunction,NN,O
only,RB,O
to,TO,O
evade,VB,O
partition,NN,B-LEGAL
of,IN,O
the,DT,O
property,NN,B-LEGAL
it,PRP,O
is,VBZ,O
also,RB,O
pleaded,VBN,O
by,IN,O
the,DT,O
defendant,NN,O
that,WDT,O
apart,RB,O
from,IN,O
two,CD,O
sons,NNS,O
ayyappan,VBP,O
chettiar,NN,O
had,VBD,O
three,CD,O
daughters,NNS,O
namely,RB,O
lakshmi,VBP,O
avudaithai,NNS,O
and,CC,O
andal,JJ,O
lakshmi,NN,O
and,CC,O
andal,NN,O
died,VBD,O
intestate,JJ,O
leaving,JJ,O
legal,JJ,O
heirs,NNS,O
as,IN,O
such,JJ,O
suit,NN,O
is,VBZ,O
bad,JJ,O
for,IN,O
non,JJ,O
joinder,NN,O
of,IN,O
remaining,VBG,O
daughter,NN,O
of,IN,O
ayyappan,NN,O
chettiar,NN,O
and,CC,O
legal,JJ,O
heirs,NNS,O
of,IN,O
pre,NN,O
deceased,VBD,O
daughters,NNS,O
5,CD,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
pleadings,NNS,O
of,IN,O
the,DT,O
parties,NNS,O
following,VBG,O
issues,NNS,O
were,VBD,O
framed,VBN,O
by,IN,O
the,DT,O
trial,NN,O
court,NN,O
i,NN,O
whether,IN,O
ayyappan,NN,O
chettiar,NN,O
executed,VBD,O
a,DT,O
will,MD,O
in,IN,O
favour,NN,O
of,IN,O
the,DT,O
plaintiff,NN,O
in,IN,O
respect,NN,O
of,IN,O
the,DT,O
property,NN,B-LEGAL
in,IN,O
suit,NN,O
ii,NN,O
whether,IN,O
the,DT,O
plaintiff,NN,O
is,VBZ,O
entitled,VBN,O
to,TO,O
the,DT,O
relief,NN,O
of,IN,O
permanent,JJ,O
injunction,NN,O
iii,NN,O
to,TO,O
what,WP,O
other,JJ,O
relief,NN,O
if,IN,O
any,DT,O
the,DT,O
plaintiff,NN,O
is,VBZ,O
entitled,VBN,O
6,CD,O
the,DT,O
plaintiff,NN,O
got,VBD,O
examined,VBN,O
himself,PRP,O
as,IN,O
pw,NN,O
1,CD,O
andisamy,NN,O
chettiar,NN,O
and,CC,O
he,PRP,O
also,RB,O
got,VBD,O
examined,JJ,O
pw,NN,O
2,CD,O
selvarajan,NN,O
stated,VBN,O
to,TO,O
be,VB,O
attesting,VBG,B-LEGAL
witness,NN,I-LEGAL
of,IN,O
the,DT,O
will,MD,O
nine,CD,O
documents,NNS,O
including,VBG,O
will,MD,O
ex,VB,O
a,DT,O
4,CD,O
were,VBD,O
filed,VBN,O
by,IN,O
the,DT,O
plaintiff,NN,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
defendant,NN,O
he,PRP,O
got,VBD,O
himself,PRP,O
examined,VBD,O
as,IN,O
dw,NN,O
1,CD,O
subburaj,NN,O
chettiar,NN,O
and,CC,O
filed,VBD,O
three,CD,O
documents,NNS,O
the,DT,O
trial,NN,O
court,NN,O
after,IN,O
hearing,VBG,O
the,DT,O
parties,NNS,O
decided,VBD,O
issue,NN,O
no,DT,O
1,CD,O
against,IN,O
the,DT,O
plaintiff,NN,O
holding,VBG,O
that,IN,O
the,DT,O
plaintiff,NN,O
failed,VBD,O
to,TO,O
prove,VB,O
that,IN,O
ayyappan,NN,O
chettiar,NN,O
executed,VBD,O
the,DT,O
will,MD,O
relied,VBN,O
on,IN,O
by,IN,O
him,PRP,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
finding,VBG,O
on,IN,O
issue,NN,O
no,DT,O
1,CD,O
issue,NN,O
nos,CC,O
2,CD,O
and,CC,O
3,CD,O
are,VBP,O
also,RB,O
decided,VBN,O
in,IN,O
favour,NN,O
of,IN,O
the,DT,O
defendant,NN,O
and,CC,O
the,DT,O
suit,NN,O
was,VBD,O
dismissed,VBN,O
vide,JJ,O
judgment,NN,O
and,CC,O
order,NN,O
dated,VBD,O
05022007,CD,O
7,CD,O
aggrieved,VBN,O
by,IN,O
the,DT,O
decree,NN,O
passed,VBN,O
by,IN,O
the,DT,O
trial,NN,O
court,NN,O
the,DT,O
plaintiff,NN,O
filed,VBD,O
appeal,NN,O
as,IN,O
no,DT,O
55,CD,O
of,IN,O
2007,CD,O
before,IN,O
the,DT,O
first,JJ,O
appellate,JJ,O
court,NN,O
ie,NN,O
subordinate,NN,O
judge,NN,O
virudhunagar,NN,O
8,CD,O
during,IN,O
the,DT,O
pendency,NN,O
of,IN,O
as,IN,O
no,DT,O
55,CD,O
of,IN,O
2007,CD,O
before,IN,O
the,DT,O
first,JJ,O
appellate,JJ,O
court,NN,O
an,DT,O
application,NN,O
ia,NN,O
no,DT,O
3,CD,O
of,IN,O
2008,CD,O
was,VBD,O
moved,VBN,O
on,IN,O
behalf,NN,O
of,IN,O
the,DT,O
plaintiff,NN,O
with,IN,O
following,VBG,O
prayer,NN,O
therefore,IN,O
it,PRP,O
is,VBZ,O
just,RB,O
and,CC,O
necessary,JJ,O
that,IN,O
this,DT,O
hon,NN,O
ble,JJ,O
court,NN,O
be,VB,O
graciously,RB,O
pleased,JJ,O
to,TO,O
direct,VB,O
a,DT,O
scientific,JJ,O
investigation,NN,B-LEGAL
to,TO,O
find,VB,O
out,RP,O
whether,IN,O
the,DT,O
signature,NN,O
of,IN,O
ayyappan,NN,O
chettiar,NN,O
my,PRP$,O
father,NN,O
in,IN,O
ex,NN,O
a,DT,O
4,CD,O
is,VBZ,O
genuine,JJ,O
by,IN,O
comparing,VBG,O
the,DT,O
signature,NN,O
of,IN,O
ayyappan,NN,O
chettiar,NN,O
in,IN,O
ex,NN,O
a,DT,O
4,CD,O
with,IN,O
his,PRP$,O
admitted,JJ,O
signatures,NNS,O
in,IN,O
ex,NN,O
b,NN,O
1,CD,O
to,TO,O
b,VB,O
3,CD,O
by,IN,O
a,DT,O
competent,JJ,O
hand,NN,O
writing,VBG,O
expert,NN,O
and,CC,O
further,JJ,O
direct,JJ,O
him,PRP,O
to,TO,O
file,VB,O
a,DT,O
report,NN,O
to,TO,O
the,DT,O
scientific,JJ,O
investigation,NN,B-LEGAL
done,VBN,O
by,IN,O
him,PRP,O
and,CC,O
justice,NN,O
thus,RB,O
rendered,VBD,O
9,CD,O
the,DT,O
first,JJ,O
appellate,JJ,O
court,NN,O
vide,NN,O
order,NN,O
dated,VBD,O
12032008,CD,O
allowed,VBD,O
the,DT,O
la,NN,O
no,DT,O
3,CD,O
of,IN,O
2008,CD,O
and,CC,O
directed,VBD,O
the,DT,O
appellant,NN,O
to,TO,O
deposit,VB,O
a,DT,O
sum,NN,O
of,IN,O
rs,NN,O
5000,CD,O
as,IN,O
fee,NN,O
10,CD,O
the,DT,O
defendant,NN,O
challenged,VBD,O
the,DT,O
order,NN,O
passed,VBN,O
by,IN,O
the,DT,O
first,JJ,O
appellate,JJ,O
court,NN,O
allowing,VBG,O
the,DT,O
application,NN,O
for,IN,O
additional,JJ,O
evidence,NN,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
in,IN,O
civil,JJ,O
revision,NN,O
petition,NN,O
pd,NN,O
md,VBZ,O
no,DT,O
1787,CD,O
of,IN,O
2008,CD,O
which,WDT,O
is,VBZ,O
allowed,VBN,O
by,IN,O
said,VBD,O
court,NN,O
by,IN,O
the,DT,O
impugned,JJ,O
order,NN,O
assailed,VBD,O
before,IN,O
us,PRP,O
11,CD,O
under,IN,O
the,DT,O
scheme,NN,O
of,IN,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
1908,CD,O
for,IN,O
short,JJ,O
the,DT,O
code,NN,O
whether,IN,O
oral,JJ,O
or,CC,O
documentary,JJ,O
it,PRP,O
is,VBZ,O
the,DT,O
trial,NN,O
court,NN,O
before,IN,O
whom,WP,O
parties,NNS,O
are,VBP,O
required,VBN,O
to,TO,O
adduce,VB,O
their,PRP$,O
evidence,NN,O
but,CC,O
in,IN,O
three,CD,O
exceptional,JJ,O
circumstances,NNS,O
additional,JJ,O
evidence,NN,O
can,MD,O
be,VB,O
adduced,VBN,O
before,IN,O
the,DT,O
appellate,JJ,O
court,NN,O
as,IN,O
provided,VBN,O
under,IN,O
section,NN,O
1071d,CD,O
read,NN,O
with,IN,O
rule,JJ,O
27,CD,O
of,IN,O
order,NN,O
xli,NN,O
of,IN,O
the,DT,O
code,NN,O
rule,NN,O
27,CD,O
of,IN,O
order,NN,O
xli,NNP,O
reads,VBZ,O
as,IN,O
under,IN,O
27,CD,O
production,NN,O
of,IN,O
additional,JJ,O
evidence,NN,O
in,IN,O
appellate,JJ,O
court,NN,O
1,CD,O
the,DT,O
parties,NNS,O
to,TO,O
an,DT,O
appeal,NN,O
shall,MD,O
not,RB,O
be,VB,O
entitled,VBN,O
to,TO,O
produce,VB,O
additional,JJ,O
evidence,NN,O
whether,IN,O
oral,JJ,O
or,CC,O
documentary,JJ,O
in,IN,O
the,DT,O
appellate,JJ,O
court,NN,O
but,CC,O
if,IN,O
a,DT,O
the,DT,O
court,NN,O
from,IN,O
whose,WP$,O
decree,NN,O
the,DT,O
appeal,NN,O
is,VBZ,O
preferred,VBN,O
has,VBZ,O
refused,VBN,O
to,TO,O
admit,VB,O
evidence,NN,O
which,WDT,O
ought,MD,O
to,TO,O
have,VB,O
been,VBN,O
admitted,VBN,O
or,CC,O
aa,VB,O
the,DT,O
party,NN,O
seeking,VBG,O
to,TO,O
produce,VB,O
additional,JJ,O
evidence,NN,O
establishes,NNS,O
that,WDT,O
notwithstanding,VBG,O
the,DT,O
exercise,NN,O
of,IN,O
due,JJ,O
diligence,NN,O
such,JJ,O
evidence,NN,O
was,VBD,O
not,RB,O
within,IN,O
his,PRP$,O
knowledge,NN,O
or,CC,O
could,MD,O
not,RB,O
after,IN,O
the,DT,O
exercise,NN,O
of,IN,O
due,JJ,O
diligence,NN,O
be,VB,O
produced,VBN,O
by,IN,O
him,PRP,O
at,IN,O
the,DT,O
time,NN,O
when,WRB,O
the,DT,O
decree,NN,O
appealed,VBD,O
against,IN,O
was,VBD,O
passed,VBN,O
or,CC,O
b,VB,O
the,DT,O
appellate,JJ,O
court,NN,O
requires,VBZ,O
any,DT,O
document,NN,O
to,TO,O
be,VB,O
produced,VBN,O
or,CC,O
any,DT,O
witness,NN,O
to,TO,O
be,VB,O
examined,VBN,O
to,TO,O
enable,VB,O
it,PRP,O
to,TO,O
pronounce,VB,O
judgment,NN,O
or,CC,O
for,IN,O
any,DT,O
other,JJ,O
substantial,JJ,O
cause,NN,O
the,DT,O
appellate,JJ,O
court,NN,O
may,MD,O
allow,VB,O
such,JJ,O
evidence,NN,O
or,CC,O
document,NN,O
to,TO,O
be,VB,O
produced,VBN,O
or,CC,O
witness,VB,O
to,TO,O
be,VB,O
examined,VBN,O
2,CD,O
wherever,JJ,O
additional,JJ,O
evidence,NN,O
is,VBZ,O
allowed,VBN,O
to,TO,O
be,VB,O
produced,VBN,O
by,IN,O
an,DT,O
appellate,JJ,O
court,NN,O
the,DT,O
court,NN,O
shall,MD,O
record,VB,O
the,DT,O
reason,NN,O
for,IN,O
its,PRP$,O
admission,NN,O
emphasis,NN,O
supplied,VBD,O
12,CD,O
from,IN,O
the,DT,O
opening,NN,O
words,NNS,O
of,IN,O
sub,NN,O
rule,NN,O
1,CD,O
of,IN,O
rule,NN,O
27,CD,O
quoted,VBN,O
above,IN,O
it,PRP,O
is,VBZ,O
clear,JJ,O
that,IN,O
the,DT,O
parties,NNS,O
are,VBP,O
not,RB,O
entitled,VBN,O
to,TO,O
produce,VB,O
additional,JJ,O
evidence,NN,O
whether,IN,O
oral,JJ,O
or,CC,O
documentary,JJ,O
in,IN,O
the,DT,O
appellate,JJ,O
court,NN,O
but,CC,O
for,IN,O
the,DT,O
three,CD,O
situations,NNS,O
mentioned,VBN,O
above,IN,O
the,DT,O
parties,NNS,O
are,VBP,O
not,RB,O
allowed,VBN,O
to,TO,O
fill,VB,O
the,DT,O
lacunae,NN,O
at,IN,O
the,DT,O
appellate,NN,O
stage,NN,O
it,PRP,O
is,VBZ,O
against,IN,O
the,DT,O
spirit,NN,O
of,IN,O
the,DT,O
code,NN,O
to,TO,O
allow,VB,O
a,DT,O
party,NN,O
to,TO,O
adduce,VB,O
additional,JJ,O
evidence,NN,O
without,IN,O
fulfillment,NN,O
of,IN,O
either,DT,O
of,IN,O
the,DT,O
three,CD,O
conditions,NNS,O
mentioned,VBN,O
in,IN,O
rule,NN,O
27,CD,O
in,IN,O
the,DT,O
case,NN,O
at,IN,O
hand,NN,O
no,DT,O
application,NN,O
was,VBD,O
moved,VBN,O
before,IN,O
the,DT,O
trial,NN,O
court,NN,O
seeking,VBG,O
scientific,JJ,O
examination,NN,O
of,IN,O
the,DT,O
document,NN,O
ex,VBZ,O
a,DT,O
4,CD,O
nor,CC,O
can,MD,O
it,PRP,O
be,VB,O
said,VBD,O
that,IN,O
the,DT,O
plaintiff,NN,O
with,IN,O
due,JJ,O
diligence,NN,O
could,MD,O
not,RB,O
have,VB,O
moved,VBN,O
such,PDT,O
an,DT,O
application,NN,O
to,TO,O
get,VB,O
proved,VBN,O
the,DT,O
documents,NNS,O
relied,VBN,O
upon,IN,O
by,IN,O
him,PRP,O
now,RB,O
it,PRP,O
is,VBZ,O
to,TO,O
be,VB,O
seen,VBN,O
whether,IN,O
the,DT,O
third,JJ,O
condition,NN,O
ie,IN,O
one,CD,O
contained,VBN,O
in,IN,O
clause,NN,O
b,NN,O
of,IN,O
sub,NN,O
rule,NN,O
1,CD,O
of,IN,O
rule,NN,O
27,CD,O
is,VBZ,O
fulfilled,VBN,O
or,CC,O
not,RB,O
13,CD,O
in,IN,O
kr,NN,O
mohan,NN,O
reddy,VBP,O
v,JJ,O
net,JJ,O
work,NN,O
inc,NN,O
manu,NN,O
sc,NN,O
7978,CD,O
2007manu,CD,O
sc,NN,O
7978,CD,O
2007,CD,O
2007,CD,O
14,CD,O
scc,NN,O
257,CD,O
this,DT,O
court,NN,O
has,VBZ,O
held,VBN,O
as,IN,O
under,IN,O
19,CD,O
the,DT,O
appellate,JJ,O
court,NN,O
should,MD,O
not,RB,O
pass,VB,O
an,DT,O
order,NN,O
so,RB,O
as,IN,O
to,TO,O
patch,VB,O
up,RP,O
the,DT,O
weakness,NN,O
of,IN,O
the,DT,O
evidence,NN,O
of,IN,O
the,DT,O
unsuccessful,JJ,O
party,NN,O
before,IN,O
the,DT,O
trial,NN,O
court,NN,O
but,CC,O
it,PRP,O
will,MD,O
be,VB,O
different,JJ,O
if,IN,O
the,DT,O
court,NN,O
itself,PRP,O
requires,VBZ,O
the,DT,O
evidence,NN,O
to,TO,O
do,VB,O
justice,NN,O
between,IN,O
the,DT,O
parties,NNS,O
the,DT,O
ability,NN,O
to,TO,O
pronounce,VB,O
judgment,NN,O
is,VBZ,O
to,TO,O
be,VB,O
understood,JJ,O
as,IN,O
the,DT,O
ability,NN,O
to,TO,O
pronounce,VB,O
judgment,NN,O
satisfactorily,RB,O
to,TO,O
the,DT,O
mind,NN,O
of,IN,O
the,DT,O
court,NN,O
but,CC,O
mere,JJ,O
difficulty,NN,O
is,VBZ,O
not,RB,O
sufficient,JJ,O
to,TO,O
issue,VB,O
such,JJ,O
direction,NN,O
14,CD,O
in,IN,O
north,JJ,O
eastern,JJ,O
railway,NN,O
admn,NN,O
v,NN,O
bhagwan,NN,O
das,NN,O
manu,NN,O
sc,NN,O
7481,CD,O
2008manu,CD,O
sc,NN,O
7481,CD,O
2008,CD,O
2008,CD,O
8,CD,O
scc,NN,O
511,CD,O
this,DT,O
court,NN,O
observed,VBD,O
thus,RB,O
13,CD,O
though,IN,O
the,DT,O
general,JJ,O
rule,NN,O
is,VBZ,O
that,IN,O
ordinarily,RB,O
the,DT,O
appellate,JJ,O
court,NN,O
should,MD,O
not,RB,O
travel,VB,O
outside,IN,O
the,DT,O
record,NN,O
of,IN,O
the,DT,O
lower,JJR,O
court,NN,O
and,CC,O
additional,JJ,O
evidence,NN,O
whether,IN,O
oral,JJ,O
or,CC,O
documentary,JJ,O
is,VBZ,O
not,RB,O
admitted,VBN,O
but,CC,O
section,NN,O
107,CD,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
which,WDT,O
carves,VBZ,O
out,RP,O
an,DT,O
exception,NN,O
to,TO,O
the,DT,O
general,JJ,O
rule,NN,O
enables,VBZ,O
an,DT,O
appellate,JJ,O
court,NN,O
to,TO,O
take,VB,O
additional,JJ,O
evidence,NN,O
or,CC,O
to,TO,O
require,VB,O
such,JJ,O
evidence,NN,O
to,TO,O
be,VB,O
taken,VBN,O
subject,JJ,O
to,TO,O
such,JJ,O
conditions,NNS,O
and,CC,O
limitations,NNS,O
as,IN,O
may,MD,O
be,VB,O
prescribed,VBN,O
these,DT,O
conditions,NNS,O
are,VBP,O
prescribed,VBN,O
under,IN,O
order,NN,O
41,CD,O
rule,NN,O
27,CD,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
nevertheless,RB,O
the,DT,O
additional,JJ,O
evidence,NN,O
can,MD,O
be,VB,O
admitted,VBN,O
only,RB,O
when,WRB,O
the,DT,O
circumstances,NNS,O
as,IN,O
stipulated,VBN,O
in,IN,O
the,DT,O
said,VBD,O
rule,NN,O
are,VBP,O
found,VBN,O
to,TO,O
exist,VB,O
15,CD,O
in,IN,O
n,JJ,O
kamalam,NNS,O
dead,JJ,O
and,CC,O
anr,JJ,O
v,NN,O
ayyasamy,NN,O
and,CC,O
anr,JJ,O
manu,NN,O
sc,NN,O
0422,CD,O
2001manu,CD,O
sc,NN,O
0422,CD,O
2001,CD,O
2001,CD,O
7,CD,O
scc,NN,O
503,CD,O
this,DT,O
court,NN,O
interpreting,VBG,O
rule,NN,O
27,CD,O
of,IN,O
order,NN,O
xli,NN,O
of,IN,O
the,DT,O
code,NN,O
has,VBZ,O
observed,VBN,O
in,IN,O
para,NN,O
19,CD,O
as,IN,O
under,IN,O
the,DT,O
provisions,NNS,O
of,IN,O
order,NN,O
41,CD,O
rule,NN,O
27,CD,O
have,VBP,O
not,RB,O
been,VBN,O
engrafted,VBN,O
in,IN,O
the,DT,O
code,NN,O
so,RB,O
as,IN,O
to,TO,O
patch,VB,O
up,RP,O
the,DT,O
weak,JJ,O
points,NNS,O
in,IN,O
the,DT,O
case,NN,O
and,CC,O
to,TO,O
fill,VB,O
up,RP,O
the,DT,O
omission,NN,O
in,IN,O
the,DT,O
court,NN,O
of,IN,O
appeal,NN,O
it,PRP,O
does,VBZ,O
not,RB,O
authorize,VB,O
any,DT,O
lacunae,NN,O
or,CC,O
gaps,NNS,O
in,IN,O
the,DT,O
evidence,NN,O
to,TO,O
be,VB,O
filled,VBN,O
up,RP,O
the,DT,O
authority,NN,O
and,CC,O
jurisdiction,NN,O
as,IN,O
conferred,VBN,O
on,IN,O
to,TO,O
the,DT,O
appellate,JJ,O
court,NN,O
to,TO,O
let,VB,O
in,IN,O
fresh,JJ,O
evidence,NN,O
is,VBZ,O
restricted,VBN,O
to,TO,O
the,DT,O
purpose,NN,O
of,IN,O
pronouncement,NN,O
of,IN,O
judgment,NN,O
in,IN,O
a,DT,O
particular,JJ,O
way,NN,O
16,CD,O
in,IN,O
union,NN,O
of,IN,O
india,JJ,O
v,NN,O
ibrahim,NN,O
uddin,NN,O
and,CC,O
anr,JJ,O
manu,NN,O
sc,NN,O
0561,CD,O
2012manu,CD,O
sc,NN,O
0561,CD,O
2012,CD,O
2012,CD,O
8,CD,O
scc,NN,O
148,CD,O
this,DT,O
court,NN,O
has,VBZ,O
held,VBN,O
as,IN,O
under,IN,O
49,CD,O
an,DT,O
application,NN,O
under,IN,O
order,NN,O
41,CD,O
rule,NN,O
27,CD,O
code,NN,O
of,IN,O
civil,JJ,O
procedure,NN,O
is,VBZ,O
to,TO,O
be,VB,O
considered,VBN,O
at,IN,O
the,DT,O
time,NN,O
of,IN,O
hearing,NN,O
of,IN,O
appeal,NN,O
on,IN,O
merits,NNS,O
so,RB,O
as,IN,O
to,TO,O
find,VB,O
out,RP,O
whether,IN,O
the,DT,O
documents,NNS,O
and,CC,O
or,CC,O
the,DT,O
evidence,NN,O
sought,VBD,O
to,TO,O
be,VB,O
adduced,VBN,O
have,VBP,O
any,DT,O
relevance,NN,O
bearing,NN,O
on,IN,O
the,DT,O
issues,NNS,O
involved,VBD,O
the,DT,O
admissibility,NN,O
of,IN,O
additional,JJ,O
evidence,NN,O
does,VBZ,O
not,RB,O
depend,VB,O
upon,IN,O
the,DT,O
relevancy,NN,O
to,TO,O
the,DT,O
issue,NN,O
on,IN,O
hand,NN,O
or,CC,O
on,IN,O
the,DT,O
fact,NN,O
whether,IN,O
the,DT,O
applicant,NN,O
had,VBD,O
an,DT,O
opportunity,NN,O
for,IN,O
adducing,VBG,O
such,JJ,O
evidence,NN,O
at,IN,O
an,DT,O
earlier,JJR,O
stage,NN,O
or,CC,O
not,RB,O
but,CC,O
it,PRP,O
depends,VBZ,O
upon,IN,O
whether,IN,O
or,CC,O
not,RB,O
the,DT,O
appellate,JJ,O
court,NN,O
requires,VBZ,O
the,DT,O
evidence,NN,O
sought,VBD,O
to,TO,O
be,VB,O
adduced,VBN,O
to,TO,O
enable,VB,O
it,PRP,O
to,TO,O
pronounce,VB,O
judgment,NN,O
or,CC,O
for,IN,O
any,DT,O
other,JJ,O
substantial,JJ,O
cause,NN,O
the,DT,O
true,JJ,O
test,NN,O
therefore,NN,O
is,VBZ,O
whether,IN,O
the,DT,O
appellate,JJ,O
court,NN,O
is,VBZ,O
able,JJ,O
to,TO,O
pronounce,VB,O
judgment,NN,O
on,IN,O
the,DT,O
materials,NNS,O
before,IN,O
it,PRP,O
without,IN,O
taking,VBG,O
into,IN,O
consideration,NN,B-LEGAL
the,DT,O
additional,JJ,O
evidence,NN,O
sought,VBD,O
to,TO,O
be,VB,O
adduced,VBN,O
17,CD,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
appellant,JJ,O
argued,VBD,O
before,IN,O
us,PRP,O
that,IN,O
the,DT,O
high,JJ,O
court,NN,O
in,IN,O
revision,NN,O
at,IN,O
an,DT,O
interim,JJ,O
stage,NN,O
of,IN,O
appeal,JJ,O
pending,VBG,B-LEGAL
before,IN,O
the,DT,O
lower,JJR,O
appellate,JJ,O
court,NN,O
should,MD,O
not,RB,O
have,VB,O
interfered,VBN,O
in,IN,O
the,DT,O
matter,NN,O
of,IN,O
requirement,NN,O
of,IN,O
additional,JJ,O
evidence,NN,O
18,CD,O
