js,NN,O
first,JJ,O
appointment,NN,B-LEGAL
but,CC,O
shall,MD,O
be,VB,O
determined,VBN,O
with,IN,O
reference,NN,O
to,TO,O
the,DT,O
date,NN,O
of,IN,O
his,PRP$,O
seniority,NN,B-LEGAL
in,IN,O
the,DT,O
class,NN,O
or,CC,O
category,NN,O
from,IN,O
which,WDT,O
he,PRP,O
was,VBD,O
transferred,VBN,O
provided,VBN,O
also,RB,O
that,IN,O
the,DT,O
inter,NN,O
se,JJ,O
seniority,NN,B-LEGAL
of,IN,O
the,DT,O
sub,NN,O
inspectors,NNS,O
selected,VBN,O
from,IN,O
among,IN,O
the,DT,O
reserve,NN,O
sub,VBD,O
inspectors,NNS,O
of,IN,O
armed,JJ,O
reserve,NN,O
and,CC,O
andhra,NN,O
pradesh,VBP,O
special,JJ,O
police,NN,O
battalions,NNS,O
by,IN,O
transfer,NN,B-LEGAL
shall,MD,O
be,VB,O
fixed,VBN,O
in,IN,O
the,DT,O
order,NN,O
of,IN,O
merit,NN,O
for,IN,O
each,DT,O
range,NN,O
zone,NN,O
separately,RB,O
based,VBN,O
on,IN,O
the,DT,O
aggregate,NN,O
marks,NNS,O
obtained,VBN,O
by,IN,O
them,PRP,O
in,IN,O
the,DT,O
final,JJ,O
examination,NN,O
conducted,VBN,O
at,IN,O
police,NNS,O
training,VBG,O
college,NN,O
at,IN,O
the,DT,O
end,NN,O
of,IN,O
six,CD,O
months,NNS,O
training,VBG,O
in,IN,O
determining,VBG,O
such,JJ,O
order,NN,O
of,IN,O
merit,NN,O
the,DT,O
marks,NNS,O
secured,VBN,O
in,IN,O
the,DT,O
failed,JJ,O
subjects,NNS,O
need,MD,O
not,RB,O
be,VB,O
taken,VBN,O
into,IN,O
account,NN,O
b,VBD,O
the,DT,O
appointing,VBG,B-LEGAL
authority,NN,I-LEGAL
may,MD,O
at,IN,O
the,DT,O
time,NN,O
of,IN,O
passing,VBG,O
an,DT,O
order,NN,O
appointing,VBG,O
two,CD,O
or,CC,O
more,JJR,O
persons,NNS,O
simultaneously,RB,O
to,TO,O
a,DT,O
class,NN,O
or,CC,O
category,NN,O
fix,NN,O
for,IN,O
any,DT,O
reason,NN,O
the,DT,O
order,NN,O
of,IN,O
preference,NN,O
among,IN,O
them,PRP,O
and,CC,O
where,WRB,O
such,JJ,O
order,NN,O
has,VBZ,O
been,VBN,O
fixed,VBN,O
seniority,NN,B-LEGAL
shall,MD,O
be,VB,O
determined,VBN,O
in,IN,O
accordance,NN,O
with,IN,O
it,PRP,O
c,VBZ,O
the,DT,O
transfer,NN,B-LEGAL
of,IN,O
a,DT,O
person,NN,O
from,IN,O
one,CD,O
class,NN,O
or,CC,O
category,NN,O
of,IN,O
the,DT,O
service,NN,O
to,TO,O
another,DT,O
class,NN,O
or,CC,O
category,NN,O
carrying,VBG,O
the,DT,O
same,JJ,O
pay,NN,O
or,CC,O
scale,NN,B-LEGAL
of,IN,I-LEGAL
pay,NN,I-LEGAL
shall,MD,O
not,RB,O
be,VB,O
treated,VBN,O
as,IN,O
first,JJ,O
appointment,NN,B-LEGAL
to,TO,O
the,DT,O
latter,NN,O
for,IN,O
purposes,NNS,O
of,IN,O
seniority,NN,B-LEGAL
and,CC,O
the,DT,O
seniority,NN,B-LEGAL
of,IN,O
person,NN,O
so,RB,O
transferred,VBD,O
shall,MD,O
be,VB,O
determined,VBN,O
with,IN,O
reference,NN,O
to,TO,O
the,DT,O
date,NN,O
of,IN,O
his,PRP$,O
first,JJ,O
appointment,NN,B-LEGAL
to,TO,O
class,NN,O
or,CC,O
category,NN,O
from,IN,O
which,WDT,O
he,PRP,O
was,VBD,O
transferred,VBN,O
where,WRB,O
any,DT,O
difficulty,NN,O
or,CC,O
doubt,NN,O
arises,NNS,O
in,IN,O
applying,VBG,O
this,DT,O
sub,NN,O
rule,NN,O
seniority,NN,B-LEGAL
shall,MD,O
be,VB,O
determined,VBN,O
by,IN,O
the,DT,O
appointing,VBG,B-LEGAL
authority,NN,I-LEGAL
d,NN,O
where,WRB,O
a,DT,O
member,NN,O
of,IN,O
the,DT,O
service,NN,O
in,IN,O
any,DT,O
class,NN,O
category,NN,O
or,CC,O
grade,NN,O
is,VBZ,O
reduced,VBN,O
to,TO,O
a,DT,O
lower,JJR,O
class,NN,O
category,NN,O
or,CC,O
grade,NN,O
he,PRP,O
shall,MD,O
be,VB,O
placed,VBN,O
at,IN,O
the,DT,O
top,NN,O
of,IN,O
the,DT,O
ladder,NN,O
unless,IN,O
the,DT,O
authority,NN,O
ordering,VBG,O
such,JJ,O
reduction,NN,O
directs,NNS,O
that,IN,O
he,PRP,O
shall,MD,O
take,VB,O
rank,NN,O
in,IN,O
such,JJ,O
lower,JJR,O
class,NN,O
category,NN,O
or,CC,O
grade,VB,O
next,JJ,O
below,IN,O
any,DT,O
special,JJ,O
member,NN,O
thereof,NN,O
e,VBZ,O
the,DT,O
seniority,NN,B-LEGAL
of,IN,O
qualified,JJ,O
special,JJ,O
policemen,NNS,O
appointed,VBN,O
by,IN,O
transfer,NN,B-LEGAL
as,IN,O
constables,NNS,O
in,IN,O
this,DT,O
service,NN,O
shall,MD,O
be,VB,O
determined,VBN,O
by,IN,O
the,DT,O
date,NN,O
of,IN,O
their,PRP$,O
first,JJ,O
appointment,NN,B-LEGAL
in,IN,O
this,DT,O
service,NN,O
for,IN,O
purposes,NNS,O
of,IN,O
confirmation,NN,B-LEGAL
in,IN,O
vacancies,NNS,O
in,IN,O
this,DT,O
service,NN,O
f,VBD,O
the,DT,O
seniority,NN,B-LEGAL
of,IN,O
the,DT,O
prohibition,NN,O
staff,NN,O
absorbed,VBN,O
in,IN,O
this,DT,O
service,NN,O
shall,MD,O
be,VB,O
determined,VBN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
their,PRP$,O
pay,NN,O
fixed,VBN,O
with,IN,O
reference,NN,O
to,TO,O
fundamental,JJ,O
rules,NNS,O
22,CD,O
and,CC,O
31,CD,O
in,IN,O
the,DT,O
service,NN,O
provided,VBD,O
that,IN,O
the,DT,O
inter,NN,O
se,JJ,O
seniority,NN,B-LEGAL
of,IN,O
these,DT,O
at,IN,O
the,DT,O
same,JJ,O
stage,NN,O
of,IN,O
the,DT,O
time,NN,O
scales,NNS,O
of,IN,O
pay,NN,O
of,IN,O
the,DT,O
service,NN,O
will,MD,O
be,VB,O
determined,VBN,O
by,IN,O
the,DT,O
dates,NNS,O
on,IN,O
which,WDT,O
they,PRP,O
began,VBD,O
to,TO,O
draw,VB,O
pay,NN,O
at,IN,O
that,DT,O
stage,NN,O
and,CC,O
provided,VBD,O
further,RBR,O
that,IN,O
no,DT,O
member,NN,O
of,IN,O
the,DT,O
excise,NN,O
and,CC,O
prohibition,NN,O
department,NN,O
will,MD,O
on,IN,O
appointment,NN,B-LEGAL
to,TO,O
this,DT,O
service,NN,O
be,VB,O
senior,JJ,O
to,TO,O
any,DT,O
member,NN,O
of,IN,O
the,DT,O
service,NN,O
who,WP,O
has,VBZ,O
put,VBN,O
in,IN,O
the,DT,O
same,JJ,O
or,CC,O
more,JJR,O
period,NN,O
of,IN,O
service,NN,O
than,IN,O
himself,PRP,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
members,NNS,O
of,IN,O
such,JJ,O
ranks,NNS,O
in,IN,O
the,DT,O
excise,NN,O
and,CC,O
prohibition,NN,O
department,NN,O
the,DT,O
scales,NNS,O
of,IN,O
pay,NN,O
of,IN,O
which,WDT,O
correspond,NN,O
to,TO,O
the,DT,O
scales,NNS,O
of,IN,O
pay,NN,O
of,IN,O
the,DT,O
ranks,NNS,O
of,IN,O
this,DT,O
service,NN,O
the,DT,O
date,NN,O
of,IN,O
their,PRP$,O
first,JJ,O
appointment,NN,B-LEGAL
in,IN,O
the,DT,O
excise,NN,O
and,CC,O
prohibition,NN,O
department,NN,O
shall,MD,O
determine,VB,O
the,DT,O
seniority,NN,B-LEGAL
insofar,RB,O
as,IN,O
the,DT,O
above,NN,O
rule,NN,O
is,VBZ,O
concerned,VBN,O
the,DT,O
further,RB,O
admitted,VBN,O
position,NN,O
is,VBZ,O
that,IN,O
the,DT,O
inter,NN,O
se,NN,O
seniority,NN,B-LEGAL
between,IN,O
the,DT,O
rival,JJ,O
parties,NNS,O
is,VBZ,O
liable,JJ,O
to,TO,O
be,VB,O
determined,VBN,O
in,IN,O
terms,NNS,O
of,IN,O
the,DT,O
first,JJ,O
proviso,NN,O
to,TO,O
rule,VB,O
15a,CD,O
extracted,VBN,O
above,IN,O
2,CD,O
before,IN,O
venturing,VBG,O
into,IN,O
the,DT,O
determination,NN,O
of,IN,O
the,DT,O
inter,NN,O
se,NN,O
seniority,NN,B-LEGAL
between,IN,O
the,DT,O
rival,JJ,O
parties,NNS,O
it,PRP,O
is,VBZ,O
necessary,JJ,O
in,IN,O
the,DT,O
first,JJ,O
instance,NN,O
to,TO,O
delineate,VB,O
the,DT,O
factual,JJ,O
position,NN,O
we,PRP,O
shall,MD,O
accordingly,RB,O
hereinafter,VB,O
in,IN,O
the,DT,O
first,JJ,O
instance,NN,O
narrate,VBP,O
the,DT,O
factual,JJ,O
position,NN,O
as,IN,O
it,PRP,O
emerges,VBZ,O
from,IN,O
the,DT,O
pleadings,NNS,O
as,IN,O
also,RB,O
from,IN,O
the,DT,O
different,JJ,O
orders,NNS,O
appended,VBD,O
to,TO,O
the,DT,O
instant,JJ,O
batch,NN,O
of,IN,O
civil,JJ,O
appeals,NNS,O
3,CD,O
the,DT,O
police,NN,O
department,NN,O
of,IN,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
decided,VBD,O
to,TO,O
fill,VB,O
up,RP,O
existing,VBG,O
posts,NNS,O
of,IN,O
sub,JJ,O
inspector,NN,O
of,IN,O
police,NNS,O
by,IN,O
way,NN,O
of,IN,O
direct,JJ,O
recruitment,NN,O
the,DT,O
andhra,NN,O
pradesh,JJ,O
state,NN,O
level,NN,O
recruitment,NN,O
board,NN,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
the,DT,O
recruitment,NN,O
board,NN,O
undertook,VBD,O
the,DT,O
aforesaid,NN,O
exercise,NN,O
by,IN,O
issuing,VBG,O
a,DT,O
notification,NN,O
dated,VBD,O
2211991,CD,O
as,IN,O
per,IN,O
the,DT,O
said,VBD,O
notification,NN,O
470,CD,O
posts,NNS,O
of,IN,O
sub,JJ,O
inspector,NN,O
in,IN,O
7,CD,O
different,JJ,O
zones,NNS,O
were,VBD,O
sought,VBN,O
to,TO,O
be,VB,O
filled,VBN,O
up,RP,O
the,DT,O
process,NN,O
of,IN,O
selection,NN,O
from,IN,O
amongst,NN,O
eligible,JJ,O
candidates,NNS,O
was,VBD,O
to,TO,O
be,VB,O
based,VBN,O
on,IN,O
a,DT,O
physical,JJ,O
test,NN,O
followed,VBN,O
by,IN,O
a,DT,O
written,VBN,O
test,NN,O
and,CC,O
an,DT,O
interview,NN,O
having,VBG,O
concluded,VBD,O
the,DT,O
aforesaid,JJ,O
selection,NN,O
process,NN,O
lists,NNS,O
of,IN,O
provisionally,RB,O
selected,VBN,O
candidates,NNS,O
were,VBD,O
prepared,VBN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
their,PRP$,O
inter,NN,O
se,NN,O
merit,NN,O
in,IN,O
the,DT,O
selection,NN,O
process,NN,O
for,IN,O
each,DT,O
of,IN,O
the,DT,O
7,CD,O
zones,NNS,O
while,IN,O
disposing,VBG,O
of,IN,O
the,DT,O
present,JJ,O
controversy,NN,O
we,PRP,O
have,VBP,O
chosen,VBN,O
to,TO,O
pass,VB,O
a,DT,O
common,JJ,O
order,NN,O
wherein,NN,O
we,PRP,O
shall,MD,O
take,VB,O
into,IN,O
consideration,NN,O
the,DT,O
vacancies,NNS,O
sought,VBD,O
to,TO,O
be,VB,O
filled,VBN,O
up,RP,O
for,IN,O
zone,NN,O
v,NN,O
warangal,JJ,O
range,NN,O
in,IN,O
this,DT,O
behalf,NN,O
it,PRP,O
would,MD,O
be,VB,O
relevant,JJ,O
to,TO,O
mention,VB,O
here,RB,O
that,IN,O
the,DT,O
office,NN,O
of,IN,O
the,DT,O
director,NN,O
general,JJ,O
inspector,NN,O
general,NN,O
of,IN,O
police,NN,O
andhra,NN,O
pradesh,NN,O
hyderabad,NN,O
issued,VBD,O
a,DT,O
communication,NN,O
dated,VBD,O
1141991,CD,O
751991,CD,O
indicating,VBG,O
the,DT,O
names,NNS,O
of,IN,O
provisionally,RB,O
selected,VBN,O
candidates,NNS,O
for,IN,O
zone,NN,O
v,NN,O
warangal,JJ,O
range,NN,O
a,DT,O
list,NN,O
of,IN,O
candidates,NNS,O
was,VBD,O
attached,VBN,O
to,TO,O
the,DT,O
aforesaid,JJ,O
communication,NN,O
depicting,VBG,O
the,DT,O
provisional,JJ,O
list,NN,O
of,IN,O
selected,VBN,O
candidates,NNS,O
for,IN,O
the,DT,O
above,JJ,O
range,NN,O
this,DT,O
list,NN,O
comprised,VBD,O
of,IN,O
38,CD,O
names,NNS,O
from,IN,O
the,DT,O
open,JJ,O
category,NN,O
5,CD,O
names,NNS,O
from,IN,O
the,DT,O
backward,NN,O
class,NN,O
a,DT,O
category,NN,O
7,CD,O
names,NNS,O
from,IN,O
the,DT,O
backward,NN,O
class,NN,O
b,NN,O
category,NN,O
1,CD,O
name,NN,O
from,IN,O
the,DT,O
backward,NN,O
class,NN,O
c,NN,O
category,NN,O
5,CD,O
names,NNS,O
from,IN,O
the,DT,O
backward,NN,O
class,NN,O
d,NN,O
category,NN,O
11,CD,O
names,NNS,O
from,IN,O
the,DT,O
scheduled,VBN,O
castes,NNS,O
category,VBP,O
4,CD,O
names,NNS,O
from,IN,O
the,DT,O
scheduled,VBN,O
tribes,NNS,O
category,JJ,O
2,CD,O
names,NNS,O
from,IN,O
the,DT,O
ex,NN,O
servicemen,NNS,O
category,VBP,O
6,CD,O
names,NNS,O
from,IN,O
among,IN,O
the,DT,O
police,NN,O
executives,NNS,O
1,CD,O
name,NN,O
from,IN,O
the,DT,O
ministerial,JJ,O
service,NN,O
and,CC,O
1,CD,O
name,NN,O
from,IN,O
amongst,IN,O
the,DT,O
sportsmen,NNS,O
4,CD,O
on,IN,O
1271991,CD,O
the,DT,O
afore,NN,O
stated,VBN,O
candidates,NNS,O
were,VBD,O
directed,VBN,O
to,TO,O
report,VB,O
for,IN,O
training,VBG,O
only,RB,O
58,CD,O
of,IN,O
the,DT,O
selected,VBN,O
candidates,NNS,O
however,RB,O
reported,VBD,O
for,IN,O
training,VBG,O
the,DT,O
rest,NN,O
of,IN,O
the,DT,O
candidates,NNS,O
did,VBD,O
not,RB,O
join,VB,O
for,IN,O
a,DT,O
variety,NN,O
of,IN,O
reasons,NNS,O
it,PRP,O
is,VBZ,O
not,RB,O
a,DT,O
matter,NN,O
of,IN,O
dispute,NN,O
that,IN,O
there,EX,O
are,VBP,O
two,CD,O
police,NNS,O
training,VBG,O
colleges,NNS,O
in,IN,O
the,DT,O
state,NN,O
of,IN,O
andhra,NN,O
pradesh,NN,O
and,CC,O
accordingly,RB,O
the,DT,O
afore,NN,O
stated,VBD,O
selected,VBN,O
candidates,NNS,O
were,VBD,O
deputed,VBN,O
for,IN,O
training,NN,O
to,TO,O
the,DT,O
said,VBD,O
two,CD,O
training,NN,O
colleges,NNS,O
the,DT,O
order,NN,O
dated,VBD,O
1271991,CD,O
vide,NN,O
which,WDT,O
the,DT,O
short,JJ,O
listed,VBN,O
candidates,NNS,O
were,VBD,O
deputed,VBN,O
for,IN,O
training,NN,O
reveals,NNS,O
that,IN,O
the,DT,O
candidates,NNS,O
were,VBD,O
placed,VBN,O
on,IN,O
probation,NN,B-LEGAL
from,IN,O
the,DT,O
date,NN,O
of,IN,O
joining,VBG,O
the,DT,O
police,NN,O
training,NN,O
colleges,VBZ,O
the,DT,O
training,NN,O
would,MD,O
continue,VB,O
for,IN,O
a,DT,O
period,NN,O
of,IN,O
nine,CD,O
months,NNS,O
followed,VBN,O
by,IN,O
practical,JJ,O
training,NN,O
for,IN,O
one,CD,O
year,NN,O
and,CC,O
three,CD,O
months,NNS,O
including,VBG,O
holding,VBG,O
independent,JJ,O
charge,NN,O
of,IN,O
a,DT,O
police,NN,O
station,NN,O
for,IN,O
not,RB,O
less,JJR,O
than,IN,O
nine,CD,O
months,NNS,O
the,DT,O
said,VBD,O
training,NN,O
was,VBD,O
to,TO,O
commence,VB,O
from,IN,O
1671991,CD,O
5,CD,O
all,PDT,O
the,DT,O
58,CD,O
selected,VBN,O
candidates,NNS,O
except,IN,O
one,CD,O
munuswamy,NN,O
successfully,RB,O
completed,VBD,O
their,PRP$,O
training,NN,O
insofar,RB,O
as,IN,O
munuswamy,NN,O
is,VBZ,O
concerned,VBN,O
he,PRP,O
did,VBD,O
not,RB,O
participate,VB,O
in,IN,O
the,DT,O
examination,NN,O
at,IN,O
the,DT,O
end,NN,O
of,IN,O
the,DT,O
training,NN,O
due,JJ,O
to,TO,O
personal,JJ,O
reasons,NNS,O
munuswamy,NN,O
was,VBD,O
allowed,VBN,O
to,TO,O
enroll,VB,O
himself,PRP,O
for,IN,O
training,VBG,O
along,RB,O
with,IN,O
a,DT,O
batch,NN,O
of,IN,O
candidates,NNS,O
who,WP,O
were,VBD,O
deputed,VBN,O
for,IN,O
training,VBG,O
on,IN,O
1461992,CD,O
munuswamy,NN,O
also,RB,O
completed,VBD,O
his,PRP$,O
training,NN,O
with,IN,O
the,DT,O
said,VBD,O
subsequent,JJ,O
batch,NN,O
of,IN,O
candidates,NNS,O
in,IN,O
1993,CD,O
6,CD,O
it,PRP,O
is,VBZ,O
relevant,JJ,O
to,TO,O
mention,VB,O
that,IN,O
in,IN,O
the,DT,O
statutory,JJ,O
provision,NN,O
regulating,VBG,O
appointments,NNS,O
against,IN,O
the,DT,O
cadre,NN,O
of,IN,O
sub,JJ,O
inspectors,NNS,O
of,IN,O
police,NN,O
50,CD,O
of,IN,O
the,DT,O
posts,NNS,O
are,VBP,O
earmarked,VBN,O
to,TO,O
be,VB,O
filled,VBN,O
up,RP,O
by,IN,O
way,NN,O
of,IN,O
direct,JJ,O
recruitment,NN,O
30,CD,O
of,IN,O
the,DT,O
posts,NNS,O
are,VBP,O
to,TO,O
be,VB,O
filled,VBN,O
up,RP,O
by,IN,O
promotion,NN,B-LEGAL
from,IN,O
head,NN,O
constables,NNS,O
7,CD,O
from,IN,O
amongst,JJ,O
police,NN,O
executives,NNS,O
hereinafter,RB,O
referred,VBD,O
to,TO,O
as,IN,O
pe,NN,O
out,IN,O
of,IN,O
the,DT,O
constables,NNS,O
and,CC,O
head,NN,O
constables,NNS,O
4,CD,O
from,IN,O
police,NNS,O
ministerial,JJ,O
staff,NN,O
hereinafter,NN,O
referred,VBD,O
to,TO,O
as,IN,O
pm,JJ,O
2,CD,O
from,IN,O
sportspersons,NNS,O
hereinafter,RB,O
referred,VBD,O
to,TO,O
as,IN,O
sp,NN,O
not,RB,O
more,RBR,O
than,IN,O
5,CD,O
by,IN,O
way,NN,O
of,IN,O
transfer,NN,B-LEGAL
from,IN,O
reserve,NN,O
sub,NN,O
inspectors,NNS,O
from,IN,O
armed,VBN,O
reserve,NN,O
andhra,NN,O
pradesh,JJ,O
special,JJ,O
police,NN,O
and,CC,O
2,CD,O
by,IN,O
way,NN,O
of,IN,O
appointment,NN,B-LEGAL
under,IN,O
