1,CD,O
industrial,JJ,O
units,NNS,O
existing,VBG,O
before,IN,O
the,DT,O
24th,JJ,O
day,NN,O
of,IN,O
december,NN,O
1997,CD,O
but,CC,O
which,WDT,O
have,VBP,O
undertaken,VBN,O
substantial,JJ,O
expansion,NN,O
by,IN,O
way,NN,O
of,IN,O
increase,NN,O
in,IN,O
installed,JJ,O
capacity,NN,O
by,IN,O
not,RB,O
less,JJR,O
than,IN,O
twenty,RB,O
five,CD,O
percent,NN,O
on,IN,O
or,CC,O
after,IN,O
the,DT,O
24th,JJ,O
day,NN,O
of,IN,O
december,NN,O
1997,CD,O
as,IN,O
mentioned,VBN,O
above,IN,O
appellant,NN,O
was,VBD,O
an,DT,O
existing,VBG,O
industrial,JJ,O
unit,NN,O
it,PRP,O
extended,VBD,O
its,PRP$,O
capacity,NN,O
by,IN,O
more,JJR,O
than,IN,O
50,CD,O
machinery,NN,B-LEGAL
etc,NN,O
for,IN,O
this,DT,O
purpose,NN,O
was,VBD,O
installed,VBN,O
on,IN,O
30,CD,O
9,CD,O
1997,CD,O
however,RB,O
the,DT,O
production,NN,O
started,VBD,O
on,IN,O
16,CD,O
2,CD,O
1998,CD,O
as,IN,O
pointed,VBN,O
out,RP,O
above,IN,O
in,IN,O
order,NN,B-LEGAL
to,TO,O
get,VB,O
the,DT,O
benefit,NN,B-LEGAL
the,DT,O
substantial,JJ,O
expansion,NN,O
had,VBD,O
to,TO,O
be,VB,O
undertaken,VBN,O
on,IN,O
or,CC,O
after,IN,O
24,CD,O
12,CD,O
1997,CD,O
2,CD,O
the,DT,O
appellant,NN,O
endeavored,VBD,O
to,TO,O
seek,VB,O
the,DT,O
benefit,NN,B-LEGAL
of,IN,O
the,DT,O
aforesaid,JJ,O
notice,NN,B-LEGAL
contending,VBG,O
that,WDT,O
since,IN,O
the,DT,O
production,NN,O
was,VBD,O
started,VBN,O
only,RB,O
on,IN,O
16,CD,O
2,CD,O
1998,CD,O
which,WDT,O
was,VBD,O
after,IN,O
24,CD,O
12,CD,O
1997,CD,O
it,PRP,O
was,VBD,O
entitled,VBN,O
to,TO,O
the,DT,O
benefit,NN,B-LEGAL
of,IN,O
the,DT,O
said,VBD,O
circular,JJ,O
the,DT,O
department,NN,O
however,RB,O
denied,VBD,O
the,DT,O
same,JJ,O
on,IN,O
the,DT,O
ground,NN,O
that,IN,O
the,DT,O
installation,NN,O
took,VBD,O
place,NN,O
before,IN,O
the,DT,O
cutoff,NN,O
date,NN,B-LEGAL
that,WDT,O
is,VBZ,O
30,CD,O
9,CD,O
1997,CD,O
and,CC,O
not,RB,O
thereafter,RB,O
against,IN,O
this,DT,O
view,NN,O
taken,VBN,O
by,IN,O
the,DT,O
adjudicating,VBG,B-LEGAL
authority,NN,I-LEGAL
the,DT,O
appellant,NN,O
preferred,VBD,O
the,DT,O
appeal,NN,B-LEGAL
before,IN,O
the,DT,O
cestat,NN,O
which,WDT,O
has,VBZ,O
also,RB,O
dismissed,VBN,O
the,DT,O
appeal,NN,B-LEGAL
2004,CD,O
170,CD,O
elt,VBD,O
306,CD,O
tri,NN,O
del,NN,O
in,IN,O
arriving,VBG,O
at,IN,O
the,DT,O
aforesaid,JJ,O
conclusion,NN,O
the,DT,O
tribunal,NN,B-LEGAL
has,VBZ,O
mentioned,VBN,O
that,IN,O
the,DT,O
language,NN,O
of,IN,O
the,DT,O
para,NN,O
3b,CD,O
clearly,RB,O
states,NNS,O
that,IN,O
the,DT,O
substantial,JJ,O
expansion,NN,O
should,MD,O
have,VB,O
been,VBN,O
undertaken,VBN,O
after,IN,O
24,CD,O
12,CD,O
1997,CD,O
whereas,NNS,O
in,IN,O
the,DT,O
present,JJ,O
case,NN,O
it,PRP,O
was,VBD,O
undertaken,JJ,O
much,JJ,O
before,IN,O
ie,NN,O
on,IN,O
30,CD,O
9,CD,O
1997,CD,O
in,IN,O
the,DT,O
process,NN,B-LEGAL
it,PRP,O
has,VBZ,O
also,RB,O
contrasted,VBN,O
the,DT,O
language,NN,O
of,IN,O
clause,NN,O
3b,CD,O
with,IN,O
clause,NN,O
3a,CD,O
noticing,NN,O
that,WDT,O
clause,VBP,O
3a,CD,O
mentions,NNS,O
commercial,JJ,O
production,NN,O
whereas,NNS,O
clause,VBP,O
3b,CD,O
talks,NNS,O
of,IN,O
undertaken,JJ,O
substantial,JJ,O
expansion,NN,O
the,DT,O
tribunal,NN,B-LEGAL
also,RB,O
referred,VBD,O
to,TO,O
central,JJ,B-LEGAL
board,NN,I-LEGAL
of,IN,I-LEGAL
excise,NN,I-LEGAL
and,CC,I-LEGAL
customs,NNS,I-LEGAL
clarification,NN,O
letter,NN,O
f,VBZ,O
no,DT,O
354,CD,O
08,CD,O
98,CD,O
tru,NN,O
dated,VBD,O
9,CD,O
7,CD,O
1999,CD,O
on,IN,O
the,DT,O
aforesaid,JJ,O
basis,NN,O
following,VBG,O
conclusion,NN,O
is,VBZ,O
arrived,VBN,O
at,IN,O
by,IN,O
the,DT,O
tribunal,NN,B-LEGAL
after,IN,O
careful,JJ,O
consideration,NN,B-LEGAL
we,PRP,O
do,VBP,O
not,RB,O
find,VB,O
any,DT,O
ambiguity,NN,B-LEGAL
in,IN,O
the,DT,O
language,NN,O
of,IN,O
the,DT,O
notifications,NNS,O
the,DT,O
notifications,NNS,O
as,RB,O
well,RB,O
as,IN,O
cbe,NN,O
c,NN,O
s,JJ,O
clarifications,NNS,O
relied,VBN,O
upon,IN,O
by,IN,O
the,DT,O
appellants,NNS,O
are,VBP,O
very,RB,O
clear,JJ,O
that,IN,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
existing,VBG,O
manufacturing,VBG,O
units,NNS,O
the,DT,O
rate,NN,O
on,IN,O
which,WDT,O
the,DT,O
capacity,NN,O
of,IN,O
the,DT,O
unit,NN,O
is,VBZ,O
enhanced,VBN,O
should,MD,O
be,VB,O
the,DT,O
relevant,JJ,B-LEGAL
date,NN,I-LEGAL
in,IN,O
terms,NNS,O
of,IN,O
clause,NN,O
3b,CD,O
of,IN,O
the,DT,O
notifications,NNS,O
the,DT,O
date,NN,B-LEGAL
of,IN,O
commencement,NN,O
of,IN,O
commercial,JJ,O
production,NN,O
is,VBZ,O
mentioned,VBN,O
in,IN,O
clause,NN,O
3a,CD,O
of,IN,O
the,DT,O
notification,NN,B-LEGAL
is,VBZ,O
applicable,JJ,O
to,TO,O
the,DT,O
new,JJ,O
industrial,JJ,O
units,NNS,O
only,RB,O
we,PRP,O
also,RB,O
agree,VBP,O
with,IN,O
the,DT,O
commissioner,NN,B-LEGAL
appeals,NNS,I-LEGAL
that,WDT,O
clause,VBP,O
4,CD,O
of,IN,O
the,DT,O
notifications,NNS,O
regarding,VBG,O
commercial,JJ,O
production,NN,O
applies,NNS,O
only,RB,O
to,TO,O
new,JJ,O
units,NNS,O
the,DT,O
appellants,NNS,O
unit,NN,O
is,VBZ,O
existing,VBG,O
unit,NN,O
and,CC,O
the,DT,O
expansion,NN,O
was,VBD,O
completed,VBN,O
prior,RB,O
to,TO,O
24,CD,O
12,CD,O
1997,CD,O
we,PRP,O
are,VBP,O
in,IN,O
agreement,NN,B-LEGAL
with,IN,O
the,DT,O
aforesaid,JJ,O
interpretation,NN,O
given,VBN,O
by,IN,O
the,DT,O
tribunal,NN,B-LEGAL
to,TO,O
the,DT,O
said,VBD,O
circular,JJ,O
therefore,NN,O
we,PRP,O
find,VBP,O
no,DT,O
merit,NN,O
in,IN,O
this,DT,O
appeal,NN,B-LEGAL
and,CC,O
it,PRP,O
is,VBZ,O
accordingly,RB,O
dismissed,VBN,O
