ruma,NN,O
so,MD,O
incidentally,VB,O
while,RB,O
essentially,RB,O
legislating,IN,O
within,RB,O
the,VBG,O
entries,IN,O
under,DT,O
the,NNS,O
union,IN,B-LEGAL
list,DT,I-LEGAL
conversely,NN,O
the,NN,O
state,RB,O
legislatures,DT,O
may,NN,O
encroach,NNS,O
on,MD,O
the,VB,O
union,IN,B-LEGAL
list,DT,I-LEGAL
when,NN,O
such,NN,O
an,WRB,O
encroachment,PDT,O
is,DT,O
merely,NN,O
ancillary,VBZ,O
to,RB,O
an,JJ,O
exercise,TO,O
of,DT,O
power,NN,O
intrinsically,IN,O
under,NN,O
the,RB,O
state,IN,B-LEGAL
list,DT,I-LEGAL
the,NN,O
fact,NN,O
of,DT,O
encroachment,NN,O
does,IN,O
not,NN,O
affect,VBZ,O
the,RB,O
vires,VB,O
of,DT,O
the,NNS,O
law,IN,O
even,DT,O
as,NN,O
regards,RB,O
the,IN,O
area,NNS,O
of,DT,O
encroachment,NN,O
this,IN,O
principle,NN,O
commonly,DT,O
known,NN,O
as,RB,O
the,VBN,O
doctrine,IN,O
of,DT,O
path,NN,O
and,IN,O
substance,NN,O
does,CC,O
not,NN,O
amount,VBZ,O
to,RB,O
an,VB,O
extension,TO,O
of,DT,O
the,NN,O
legislative,IN,O
fields,DT,O
therefore,JJ,O
such,NNS,O
incidental,RB,O
encroachment,JJ,O
in,JJ,O
either,NN,O
event,IN,O
does,DT,O
not,NN,O
deprive,VBZ,O
the,RB,O
state,VB,B-LEGAL
legislature,DT,I-LEGAL
in,NN,O
the,NN,O
first,IN,O
case,DT,O
or,JJ,O
parliament,NN,B-LEGAL
in,CC,O
the,NN,O
second,IN,O
of,DT,O
their,NN,O
exclusive,IN,O
powers,PRP$,O
under,JJ,O
the,NNS,O
entry,IN,O
so,DT,O
encroached,NN,O
upon,RB,O
in,JJ,O
the,IN,O
event,IN,O
the,DT,O
incidental,NN,O
encroachment,DT,O
conflicts,JJ,O
with,NN,O
legislation,NNS,B-LEGAL
actually,IN,O
enacted,NN,O
by,RB,O
the,VBN,O
dominant,IN,O
power,DT,O
the,JJ,O
dominant,NN,O
legislation,DT,B-LEGAL
will,JJ,O
prevail,NN,O
4,MD,O
to,VB,O
return,CD,O
to,TO,O
the,VB,O
subject,TO,O
of,DT,O
parliamentary,NN,O
supremacy,IN,O
the,JJ,O
second,NN,O
facet,DT,O
of,JJ,O
the,NN,O
supremacy,IN,O
of,DT,O
parliament,NN,B-LEGAL
is,IN,O
to,NN,O
be,VBZ,O
found,TO,O
in,VB,O
article,VBN,O
2541,IN,O
which,NN,O
provides,CD,O
article,WDT,O
254,VBZ,O
inconsistency,NN,O
between,CD,O
laws,NN,B-LEGAL
made,IN,I-LEGAL
by,NNS,I-LEGAL
parliament,VBN,I-LEGAL
and,IN,O
laws,NN,O
made,CC,O
by,NNS,O
the,VBN,O
legislatures,IN,O
of,DT,O
states,NNS,O
1,IN,O
if,NNS,O
any,CD,O
provision,IN,O
of,DT,O
a,NN,O
law,IN,B-LEGAL
made,DT,I-LEGAL
by,NN,I-LEGAL
the,VBN,I-LEGAL
legislature,IN,I-LEGAL
of,DT,O
a,NN,O
state,IN,O
is,DT,O
repugnant,NN,O
to,VBZ,O
any,JJ,O
provision,TO,O
of,DT,O
a,NN,O
law,IN,B-LEGAL
made,DT,I-LEGAL
by,NN,I-LEGAL
parliament,VBN,I-LEGAL
which,IN,O
parliament,NN,B-LEGAL
is,WDT,O
competent,NN,O
to,VBZ,O
enact,JJ,O
or,TO,O
to,VB,O
any,CC,O
provision,TO,O
of,DT,O
an,NN,O
existing,IN,B-LEGAL
law,DT,I-LEGAL
with,VBG,O
respect,NN,O
to,IN,O
one,NN,O
of,TO,O
the,CD,O
matters,IN,O
enumerated,DT,O
in,NNS,O
the,VBN,O
concurrent,IN,B-LEGAL
list,DT,I-LEGAL
then,JJ,O
subject,NN,O
to,RB,O
the,JJ,O
provisions,TO,O
of,DT,O
clause,NNS,O
2,IN,O
the,NN,O
law,CD,B-LEGAL
made,DT,I-LEGAL
by,NN,I-LEGAL
parliament,VBN,I-LEGAL
whether,IN,O
passed,JJ,O
before,IN,O
or,VBN,O
after,IN,O
the,CC,O
law,IN,B-LEGAL
made,DT,I-LEGAL
by,NN,I-LEGAL
the,VBN,I-LEGAL
legislature,IN,I-LEGAL
of,DT,O
such,NN,O
state,IN,O
or,JJ,O
as,NN,O
the,CC,O
case,IN,O
may,DT,O
be,NN,O
the,MD,O
existing,VB,B-LEGAL
law,DT,I-LEGAL
shall,VBG,O
prevail,NN,O
and,MD,O
the,VB,O
law,CC,B-LEGAL
made,DT,I-LEGAL
by,NN,I-LEGAL
the,VBN,I-LEGAL
legislature,IN,I-LEGAL
of,DT,O
the,NN,O
state,IN,O
shall,DT,O
to,NN,O
the,MD,O
extent,TO,O
of,DT,O
the,NN,O
repugnancy,IN,B-LEGAL
be,DT,O
void,NN,O
5,VB,O
in,JJ,O
other,CD,O
words,IN,O
where,JJ,O
in,NNS,O
due,WRB,O
exercise,IN,O
of,JJ,O
legislative,NN,O
powers,IN,O
in,JJ,O
the,NNS,O
concurrent,IN,B-LEGAL
list,DT,I-LEGAL
there,JJ,O
is,NN,O
an,EX,O
irreconcilable,VBZ,O
conflict,DT,O
in,JJ,O
the,NN,O
legislations,IN,O
enacted,DT,O
the,NNS,O
central,VBD,O
legislation,DT,B-LEGAL
will,JJ,O
prevail,NN,O
the,MD,O
doctrine,VB,B-LEGAL
of,DT,I-LEGAL
repugnancy,NN,I-LEGAL
has,IN,O
been,NN,O
developed,VBZ,O
in,VBN,O
this,VBN,O
context,IN,O
see,DT,O
m,NN,O
s,VBP,O
hoechst,JJ,O
pharmaceuticals,JJ,O
ltd,NN,O
v,NNS,O
state,VBP,O
of,JJ,O
bihar,NN,O
manu,IN,O
sc,NN,O
0392,NN,O
1983manu,NN,O
sc,CD,O
0392,CD,O
1983,NN,O
1985,CD,O
154itr64sc,CD,O
deep,CD,O
chand,CD,O
v,JJ,O
the,NN,O
state,VBD,O
of,DT,O
uttar,NN,O
pradesh,IN,O
manu,JJ,O
sc,JJ,O
0023,NN,O
1959manu,NN,O
sc,CD,O
0023,CD,O
1959,NN,O
air1959sc648,CD,O
the,CD,O
controversy,IN,O
in,DT,O
this,NN,O
case,IN,O
is,DT,O
to,NN,O
be,VBZ,O
resolved,TO,O
keeping,VB,O
these,VBN,O
broad,VBG,O
principles,DT,O
in,JJ,O
mind,NNS,O
6,IN,O
the,NN,O
immediate,CD,O
question,DT,O
before,JJ,O
us,NN,O
is,IN,O
whether,PRP,O
the,VBZ,O
tobacco,IN,O
board,DT,O
act,NNP,O
1975,NN,O
debars,NN,O
the,CD,O
states,VBZ,O
from,DT,O
levying,NNS,O
market,IN,O
fee,VBG,O
in,NN,O
respect,NN,O
of,IN,O
tobacco,NN,O
in,IN,O
the,NN,O
several,IN,O
matters,DT,O
argued,JJ,O
and,NNS,O
heard,VBD,O
the,CC,O
main,VBD,O
protagonists,DT,O
were,JJ,O
the,NNS,O
tobacco,VBD,O
traders,DT,O
and,NN,O
dealers,NNS,O
on,CC,O
the,NNS,O
one,IN,O
hand,DT,O
who,CD,O
argue,NN,O
that,WP,O
the,VBP,O
states,IN,O
cannot,DT,O
levy,NNS,O
market,MD,O
fee,RB,O
on,VB,O
tobacco,NN,O
and,NN,O
the,IN,O
market,NN,O
committees,CC,O
on,DT,O
the,NN,O
other,NNS,O
who,IN,O
contend,DT,O
to,JJ,O
the,WP,O
contrary,VBP,O
the,TO,O
union,DT,O
of,JJ,O
india,DT,O
and,NN,O
the,IN,O
tobacco,NN,O
board,CC,O
have,DT,O
supported,NN,O
the,NN,O
former,VBP,O
while,VBN,O
the,DT,O
state,JJ,O
governments,IN,O
the,DT,O
latter,NN,O
the,NNS,O
details,DT,O
of,JJ,O
the,DT,O
several,NNS,O
matters,IN,O
which,DT,O
were,JJ,O
heard,NNS,O
by,WDT,O
us,VBD,O
have,VBN,O
been,IN,O
noted,PRP,O
in,VBP,O
the,VBN,O
opinion,VBN,O
of,IN,O
pattanaik,DT,O
j,NN,O
a,IN,O
galaxy,JJ,O
of,NN,O
counsel,DT,O
have,NN,O
made,IN,O
submissions,NN,O
in,VBP,O
support,VBN,O
of,NNS,O
the,IN,O
opposing,NN,O
camps,IN,O
for,DT,O
the,VBG,O
purpose,NNS,O
of,IN,O
convenience,DT,O
and,NN,O
coherence,IN,O
the,NN,O
diverse,CC,O
arguments,NN,O
have,DT,O
been,NN,O
clubbed,NNS,O
together,VBP,O
and,VBN,O
those,VBN,O
contending,RB,O
against,CC,O
the,DT,O
states,VBG,O
competence,IN,O
are,DT,O
referred,NNS,O
to,NN,O
compendiously,VBP,O
as,VBN,O
the,TO,O
appellants,RB,O
and,IN,O
their,DT,O
opponents,NNS,O
as,CC,O
the,PRP$,O
respondents,NNS,O
one,IN,O
further,DT,O
clarification,NNS,O
is,CD,O
necessary,JJ,O
as,NN,O
the,VBZ,O
order,JJ,O
referring,IN,O
the,DT,O
issue,NN,O
to,VBG,O
this,DT,O
court,NN,O
was,TO,O
passed,DT,O
in,NN,O
an,VBD,O
appeal,VBN,O
relating,IN,O
to,DT,O
the,NN,O
bihar,VBG,O
agricultural,TO,O
markets,DT,O
act,JJ,O
1960,JJ,O
although,NNS,O
several,JJ,O
other,CD,O
states,IN,O
have,JJ,O
enacted,JJ,O
substantially,NNS,O
similar,VBP,O
statutes,VBN,O
i,RB,O
will,JJ,O
treat,NNS,O
the,VBP,O
bihar,MD,O
statute,VB,O
as,DT,O
representative,NN,O
and,NN,O
refer,IN,O
to,NN,O
the,CC,O
provisions,NN,O
of,TO,O
that,DT,O
act,NNS,O
for,IN,O
deciding,DT,O
the,NN,O
issues,IN,O
7,VBG,O
the,DT,O
bihar,NNS,O
agricultural,CD,O
produce,DT,O
markets,NN,O
act,JJ,O
1960,NN,O
referred,NNS,O
to,VBP,O
hereafter,CD,O
as,VBD,O
the,TO,O
markets,VB,O
act,IN,O
was,DT,O
enacted,NNS,O
by,NN,O
the,VBD,O
state,VBN,O
of,IN,O
bihar,DT,O
and,NN,O
is,IN,O
ostensibly,NN,O
referable,CC,O
to,VBZ,O
entry,RB,O
28,JJ,O
of,TO,O
list,VB,O
ii,CD,O
which,IN,O
gives,NN,O
the,NN,O
state,WDT,B-LEGAL
legislature,VBZ,I-LEGAL
the,DT,O
exclusive,NN,O
power,NN,O
to,DT,O
legislate,JJ,O
on,NN,O
markets,TO,O
and,VB,O
fairs,IN,O
read,NNS,O
with,CC,O
entry,NNS,O
66,VBP,O
of,IN,O
list,NN,O
ii,CD,O
according,IN,O
to,NN,O
which,NN,O
the,VBG,O
state,TO,B-LEGAL
legislature,WDT,I-LEGAL
may,DT,O
also,NN,O
levy,NN,O
fees,MD,O
in,RB,O
respect,VB,O
of,NNS,O
any,IN,O
matter,NN,O
in,IN,O
list,DT,O
ii,NN,O
except,IN,O
court,NN,O
fees,NN,O
it,IN,O
is,NN,O
true,NNS,O
that,PRP,O
in,VBZ,O
belsund,JJ,O
sugar,IN,O
company,IN,O
v,NN,O
state,NN,O
of,NN,O
bihar,NN,O
the,NN,O
court,IN,O
proceeded,NN,O
on,DT,O
the,NN,O
basis,VBD,O
that,IN,O
the,DT,O
markets,NN,O
act,IN,O
had,DT,O
been,NNS,O
enacted,VBP,O
by,VBD,O
the,VBN,O
bihar,VBN,O
legislature,IN,O
not,DT,O
only,NN,O
under,NN,O
the,RB,O
legislative,RB,B-LEGAL
power,IN,I-LEGAL
vested,DT,O
in,JJ,O
it,NN,O
by,VBN,O
entry,IN,O
28,PRP,O
but,IN,O
also,NN,O
under,CD,O
entries,CC,O
26,RB,O
and,IN,O
27,NNS,O
of,CD,O
list,CC,O
ii,CD,O
of,IN,O
the,NN,O
seventh,NN,B-LEGAL
schedule,IN,I-LEGAL
of,DT,O
the,JJ,O
constitution,NN,O
but,IN,O
in,DT,O
that,NN,O
case,CC,O
there,IN,O
does,DT,O
not,NN,O
appear,RB,O
to,VBZ,O
have,RB,O
been,VB,O
any,TO,O
controversy,VB,O
raised,VBN,O
on,DT,O
this,NN,O
point,VBN,O
entries,IN,O
26,DT,O
and,NN,O
27,VBZ,O
of,CD,O
list,CC,O
ii,CD,O
read,IN,O
as,NN,O
under,NN,O
26,VBD,O
trade,IN,B-LEGAL
and,IN,I-LEGAL
commerce,CD,I-LEGAL
within,NN,O
the,CC,O
state,NN,O
subject,IN,O
to,DT,O
the,NN,O
provisions,NN,O
of,TO,O
entry,DT,O
33,NNS,O
of,IN,O
list,NN,O
iii,CD,O
27,IN,O
production,NN,O
supply,NN,O
and,CD,O
distribution,NN,O
of,NN,O
goods,CC,O
subject,NN,O
to,IN,O
the,NNS,O
provisions,JJ,O
of,TO,O
entry,DT,O
33,NNS,O
of,IN,O
list,NN,O
iii,CD,O
8,IN,O
it,NN,O
has,NN,O
also,CD,O
been,PRP,O
argued,VBZ,O
by,RB,O
the,VBN,O
respondents,VBN,O
that,IN,O
the,DT,O
state,NNS,O
act,IN,O
is,DT,O
also,NN,O
referable,NN,O
to,VBZ,O
entry,RB,O
14,JJ,O
of,TO,O
list,VB,O
ii,CD,O
which,IN,O
describes,NN,O
the,NN,O
permissible,WDT,O
subject,VBZ,O
matter,DT,O
of,JJ,O
legislation,JJ,B-LEGAL
by,NN,O
states,IN,O
as,NN,O
14,IN,O
agriculture,NNS,O
including,IN,O
agricultural,CD,O
education,NN,O
and,VBG,O
research,JJ,O
protection,NN,O
against,CC,O
pest,NN,O
and,NN,O
prevention,IN,O
of,NN,O
plant,CC,O
diseases,NN,O
9,IN,O
except,NN,O
for,NNS,O
entries,CD,O
26,IN,O
and,IN,O
27,NNS,O
of,CD,O
list,CC,O
ii,CD,O
each,IN,O
of,NN,O
the,JJ,O
other,DT,O
entries,IN,O
comes,DT,O
within,JJ,O
the,NNS,O
exclusive,VBZ,O
legislative,IN,O
domain,DT,O
of,JJ,O
the,JJ,O
states,NN,O
10,IN,O
the,DT,O
tobacco,NNS,O
board,CD,O
act,DT,O
1975,NN,O
on,NN,O
the,NN,O
other,CD,O
hand,IN,O
is,DT,O
claimed,JJ,O
by,NN,O
the,VBZ,O
appellants,VBN,O
to,IN,O
be,DT,O
relatable,NNS,O
solely,TO,O
to,VB,O
entry,JJ,O
52,RB,O
of,TO,O
list,VB,O
i,CD,O
which,IN,O
enables,NN,O
parliament,NN,B-LEGAL
to,WDT,I-LEGAL
legislate,VBZ,I-LEGAL
on,NN,O
industries,TO,O
the,VB,O
control,IN,O
of,NNS,O
which,DT,O
by,NN,O
the,IN,O
union,WDT,O
is,IN,O
declared,DT,B-LEGAL
by,NN,I-LEGAL
parliament,VBZ,I-LEGAL
by,VBN,O
law,IN,O
to,NN,O
be,IN,O
expedient,NN,O
in,TO,O
the,VB,O
public,VBN,O
interest,IN,O
according,DT,O
to,JJ,O
the,NN,O
appellants,VBG,O
the,TO,O
markets,DT,O
act,NNS,O
seeks,DT,O
to,NNS,O
regulate,VBP,O
inter,VBZ,O
alia,TO,O
the,VB,O
sale,NN,O
of,IN,O
various,DT,O
kinds,NN,O
of,IN,O
agricultural,JJ,O
produce,NNS,O
including,IN,O
tobacco,JJ,O
they,NNS,O
contend,VBG,O
that,NN,O
the,PRP,O
provisions,VBP,O
of,IN,O
the,DT,O
markets,NNS,O
act,IN,O
could,DT,O
not,NNS,O
be,NN,O
applied,MD,O
to,RB,O
tobacco,VB,O
because,VBN,O
the,TO,O
tobacco,VB,O
act,IN,O
was,DT,O
enacted,NN,O
by,NN,O
parliament,VBD,B-LEGAL
under,VBN,O
entry,IN,O
52,NN,O
of,IN,O
list,NN,O
i,CD,O
to,IN,O
control,NN,O
and,NN,O
regulate,TO,O
everything,VB,O
relating,CC,O
to,VB,O
the,NN,O
tobacco,VBG,O
industry,TO,O
from,DT,O
the,NN,O
growth,NN,O
of,IN,O
tobacco,DT,O
to,NN,O
its,IN,O
processing,NN,O
storing,TO,O
sale,PRP$,O
manufacture,NN,O
export,VBG,O
and,NN,O
import,NN,O
11,NN,O
it,CC,O
had,NN,O
been,CD,O
initially,PRP,O
argued,VBD,O
by,VBN,O
the,RB,O
appellants,VBN,O
that,IN,O
once,DT,O
a,NNS,O
declaration,WDT,O
is,RB,O
made,DT,O
in,NN,O
terms,VBZ,O
of,VBN,O
entry,IN,O
52,NNS,O
of,IN,O
the,NN,O
union,CD,B-LEGAL
list,IN,I-LEGAL
the,DT,O
industry,NN,O
in,NN,O
respect,DT,O
of,NN,O
which,IN,O
the,NN,O
declaration,IN,O
is,WDT,O
made,DT,O
and,NN,O
the,VBZ,O
entire,VBN,O
process,CC,O
relating,DT,O
thereto,JJ,O
becomes,NN,O
part,VBG,O
of,NN,O
the,VBZ,O
legislative,NN,O
head,IN,O
itself,DT,O
and,JJ,O
within,NN,O
the,PRP,O
exclusive,CC,O
domain,IN,O
of,DT,O
the,JJ,O
parliament,NN,B-LEGAL
and,IN,O
the,DT,O
state,NN,B-LEGAL
legislature,CC,I-LEGAL
becomes,DT,O
incompetent,NN,O
to,NN,O
enact,VBZ,O
any,JJ,O
provision,TO,O
with,VB,O
regard,DT,O
to,NN,O
that,IN,O
industry,NN,O
the,TO,O
submission,DT,O
was,NN,O
somewhat,DT,O
watered,NN,O
down,VBD,O
in,RB,O
the,JJ,O
reply,RP,O
it,IN,O
was,DT,O
conceded,NN,O
that,PRP,O
the,VBD,O
argument,VBN,O
was,IN,O
an,DT,O
extreme,NN,O
one,VBD,O
and,DT,O
that,JJ,O
the,CD,O
true,CC,O
principle,IN,O
was,DT,O
that,JJ,O
one,NN,O
has,VBD,O
to,IN,O
examine,CD,O
the,VBZ,O
actual,TO,O
extent,VB,O
of,DT,O
coverage,JJ,O
by,NN,O
the,IN,O
central,NN,O
enactment,IN,O
the,DT,O
next,JJ,O
submission,NN,O
was,DT,O
that,JJ,O
the,NN,O
word,VBD,O
industry,IN,O
in,DT,O
entry,NN,O
52,NN,O
of,IN,O
list,NN,O
i,CD,O
will,IN,O
have,NN,O
to,NN,O
be,MD,O
given,VB,O
a,TO,O
wide,VB,O
meaning,VBN,O
passages,DT,O
from,JJ,O
the,NN,O
encyclopaedia,NNS,O
britannica,IN,O
were,DT,O
referred,NN,O
to,NN,O
to,VBD,O
contend,VBN,O
that,TO,O
an,TO,O
industry,VB,O
could,DT,O
be,DT,O
primary,NN,O
secondary,MD,O
or,VB,O
tertiary,JJ,O
primary,JJ,O
industries,CC,O
would,JJ,O
include,JJ,O
agriculture,NNS,O
forestry,MD,O
fishing,VB,O
mining,NN,O
and,NN,O
the,VBG,O
extraction,NN,O
of,CC,O
minerals,DT,O
etc,NN,O
a,IN,O
secondary,NNS,O
industry,VBP,O
would,DT,O
be,JJ,O
a,NN,O
manufacturing,MD,O
industry,VB,O
where,DT,O
raw,NN,O
materials,NN,O
