sb,NN,O
3,CD,O
of,IN,O
the,DT,O
rules,NNS,O
refers,NNS,O
to,TO,O
administrative,JJ,B-LEGAL
business,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
4,CD,O
the,DT,O
rules,NNS,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
were,VBD,O
amended,VBN,O
by,IN,O
a,DT,O
resolution,NN,O
of,IN,O
the,DT,O
full,JJ,O
court,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
on,IN,O
26111966,CD,O
and,CC,O
the,DT,O
relevant,JJ,O
portion,NN,O
of,IN,O
the,DT,O
minutes,NNS,O
thereof,NNS,O
are,VBP,O
as,IN,O
under,IN,O
minutes,NNS,O
of,IN,O
the,DT,O
proceedings,NNS,O
of,IN,O
the,DT,O
full,JJ,O
court,NN,O
meeting,NN,O
held,VBD,O
on,IN,O
saturday,NN,O
the,DT,O
26th,CD,O
november,JJ,O
1966,CD,O
at,IN,O
11,CD,O
am,VBP,O
in,IN,O
the,DT,O
chamber,NN,O
of,IN,O
the,DT,O
hon,NN,O
ble,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
agenda,NN,O
i,NN,O
amendment,NN,O
in,IN,O
the,DT,O
high,JJ,O
court,NN,O
rules,NNS,O
relating,VBG,O
to,TO,O
the,DT,O
administrative,JJ,B-LEGAL
business,NN,O
of,IN,O
the,DT,O
court,NN,O
ii,VBP,O
any,DT,O
other,JJ,O
matter,NN,O
which,WDT,O
hon,VBZ,O
ble,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
may,MD,O
like,VB,O
to,TO,O
be,VB,O
discussed,VBN,O
decisions,NNS,O
item,VBP,O
no,DT,O
ii,NN,O
the,DT,O
amendments,NNS,O
proposed,VBN,O
by,IN,O
the,DT,O
hon,NN,O
ble,JJ,O
administrative,JJ,B-LEGAL
judge,NN,O
in,IN,O
chapter,NN,O
iii,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
rules,NNS,O
relating,VBG,O
to,TO,O
the,DT,O
administrative,JJ,B-LEGAL
and,CC,O
executive,JJ,O
business,NN,O
of,IN,O
the,DT,O
court,NN,O
were,VBD,O
considered,VBN,O
resolved,VBN,O
that,IN,O
in,IN,O
exercise,NN,O
of,IN,O
the,DT,O
powers,NNS,O
conferred,VBN,O
by,IN,O
section,NN,O
46,CD,O
of,IN,O
the,DT,O
rajasthan,JJ,O
high,JJ,O
court,NN,O
ordinance,NN,O
1949,CD,O
and,CC,O
articles,VBZ,O
225,CD,O
227,CD,O
223,CD,O
234,CD,O
and,CC,O
235,CD,O
of,IN,O
the,DT,O
constitution,NN,B-LEGAL
of,IN,I-LEGAL
india,NN,I-LEGAL
and,CC,O
all,DT,O
other,JJ,O
powers,NNS,O
enabling,VBG,O
the,DT,O
court,NN,O
in,IN,O
that,DT,O
behalf,PDT,O
the,DT,O
following,JJ,O
change,NN,O
sand,NN,O
amendments,NNS,O
in,IN,O
chapter,NN,O
iii,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
rules,NNS,O
relating,VBG,O
to,TO,O
the,DT,O
administrative,JJ,B-LEGAL
and,CC,O
executive,JJ,O
business,NN,O
of,IN,O
the,DT,O
court,NN,O
be,VB,O
effected,VBN,O
1,CD,O
the,DT,O
words,NNS,O
executive,NN,O
and,CC,O
occurring,VBG,O
in,IN,O
the,DT,O
heading,NN,O
of,IN,O
chapter,NN,O
iii,NN,O
shall,MD,O
be,VB,O
omitted,VBN,O
2,CD,O
for,IN,O
rules,NNS,O
14,CD,O
to,TO,O
22,CD,O
the,DT,O
following,NN,O
rules,NNS,O
shall,MD,O
be,VB,O
substituted,VBN,O
14,CD,O
administrative,JJ,B-LEGAL
business,NN,O
relating,VBG,O
to,TO,O
control,VB,O
over,RP,O
subordinate,JJ,O
courts,NNS,O
and,CC,O
to,TO,O
superintendent,VB,O
over,IN,O
courts,NNS,O
and,CC,O
tribunals,NNS,O
all,DT,O
administrative,JJ,B-LEGAL
business,NN,O
of,IN,O
the,DT,O
court,NN,O
relating,VBG,O
to,TO,O
the,DT,O
control,NN,O
over,IN,O
subordinate,JJ,O
courts,NNS,O
vested,VBN,O
in,IN,O
the,DT,O
court,NN,O
under,IN,O
article,NN,O
235,CD,O
of,IN,O
the,DT,O
constitution,NN,O
or,CC,O
otherwise,RB,O
and,CC,O
to,TO,O
the,DT,O
superintendence,NN,O
over,IN,O
the,DT,O
courts,NNS,O
and,CC,O
tribunals,NNS,O
vested,VBN,O
in,IN,O
the,DT,O
court,NN,O
under,IN,O
article,NN,O
227,CD,O
of,IN,O
the,DT,O
constitution,NN,O
or,CC,O
otherwise,VB,O
shall,MD,O
be,VB,O
disposed,VBN,O
of,IN,O
as,RB,O
provided,VBN,O
hereinafter,NN,O
15,CD,O
matters,NNS,O
on,IN,O
which,WDT,O
all,DT,O
judges,NNS,O
shall,MD,O
be,VB,O
consulted,VBN,O
on,IN,O
the,DT,O
following,JJ,O
matters,NNS,O
all,PDT,O
the,DT,O
judges,NNS,O
of,IN,O
the,DT,O
court,NN,O
shall,MD,O
be,VB,O
consulted,VBN,O
namely,RB,O
c,JJ,O
proposals,NNS,O
as,IN,O
to,TO,O
changes,NNS,O
in,IN,O
or,CC,O
the,DT,O
issue,NN,O
of,IN,O
new,JJ,O
rules,NNS,O
for,IN,O
the,DT,O
guidance,NN,O
of,IN,O
subordinate,NN,O
courts,NNS,O
d,VBP,O
appointment,JJ,B-LEGAL
promotion,NN,B-LEGAL
and,CC,I-LEGAL
seniority,NN,I-LEGAL
of,IN,O
judicial,JJ,O
offices,NNS,O
e,VBP,O
withholding,VBG,O
of,IN,O
promotion,NN,B-LEGAL
supersession,NN,O
or,CC,O
reduction,NN,O
of,IN,O
judicial,JJ,O
officers,NNS,O
f,VBP,O
removal,NN,B-LEGAL
or,CC,O
dismissal,NN,B-LEGAL
of,IN,O
any,DT,O
judicial,JJ,B-LEGAL
officer,NN,I-LEGAL
g,NN,O
compulsory,JJ,B-LEGAL
retirement,NN,I-LEGAL
of,IN,O
judicial,JJ,O
officers,NNS,O
otherwise,RB,O
than,IN,O
by,IN,O
way,NN,O
of,IN,O
punishment,NN,O
h,NN,O
important,JJ,O
questions,NNS,O
of,IN,O
policy,NN,O
or,CC,O
those,DT,O
affecting,VBG,O
the,DT,O
powers,NNS,O
and,CC,O
status,NN,O
of,IN,O
the,DT,O
court,NN,O
laid,VBD,O
before,IN,O
the,DT,O
court,NN,O
by,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
or,CC,O
any,DT,O
other,JJ,O
judge,NN,O
l,NN,O
any,DT,O
matter,NN,O
which,WDT,O
the,DT,O
chief,NN,O
justice,NN,O
of,IN,O
the,DT,O
administrative,JJ,B-LEGAL
committee,NN,O
as,IN,O
constituted,VBN,O
under,IN,O
rule,NN,O
16,CD,O
may,MD,O
consider,VB,O
fit,NN,O
to,TO,O
be,VB,O
laid,VBN,O
before,IN,O
them,PRP,O
for,IN,O
consideration,NN,O
16,CD,O
administrative,JJ,B-LEGAL
committee,NN,O
1,CD,O
a,DT,O
committee,NN,O
of,IN,O
judges,NNS,O
shall,MD,O
be,VB,O
formed,VBN,O
composed,VBN,O
of,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
the,DT,O
administrative,JJ,B-LEGAL
judge,NN,O
and,CC,O
such,JJ,O
other,JJ,O
judge,NN,O
or,CC,O
judges,NNS,O
as,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
may,MD,O
from,IN,O
time,NN,O
to,TO,O
time,NN,O
appoint,VB,O
this,DT,O
committee,NN,O
shall,MD,O
be,VB,O
called,VBN,O
the,DT,O
administrative,JJ,B-LEGAL
committee,NN,O
2,CD,O
subject,NN,O
to,TO,O
these,DT,O
rules,NNS,O
the,DT,O
administrative,JJ,B-LEGAL
committee,NN,O
shall,MD,O
act,VB,O
for,IN,O
the,DT,O
court,NN,O
in,IN,O
its,PRP$,O
administrative,JJ,B-LEGAL
business,NN,O
in,IN,O
respect,NN,O
of,IN,O
the,DT,O
matters,NNS,O
enumerated,VBN,O
in,IN,O
rule,NN,O
17,CD,O
17,CD,O
matters,NNS,O
on,IN,O
which,WDT,O
the,DT,O
administrative,JJ,B-LEGAL
committee,NN,O
shall,MD,O
be,VB,O
consulted,VBN,O
the,DT,O
administrative,JJ,B-LEGAL
committee,NN,O
shall,MD,O
be,VB,O
consulted,VBN,O
on,IN,O
the,DT,O
following,JJ,O
matters,NNS,O
namely,RB,O
a,DT,O
the,DT,O
issue,NN,O
of,IN,O
general,JJ,O
letters,NNS,O
to,TO,O
subordinate,VB,O
courts,NNS,O
b,VB,O
the,DT,O
issue,NN,O
of,IN,O
directions,NNS,O
regarding,VBG,O
the,DT,O
preparation,NN,O
of,IN,O
returns,NNS,O
and,CC,O
statements,NNS,O
and,CC,O
c,VBP,O
any,DT,O
other,JJ,O
matter,NN,O
which,WDT,O
the,DT,O
chief,NN,O
justice,NN,O
or,CC,O
the,DT,O
administrative,JJ,B-LEGAL
judge,NN,O
may,MD,O
desire,VB,O
to,TO,O
be,VB,O
brought,VBN,O
before,IN,O
it,PRP,O
18,CD,O
consultation,NN,O
how,WRB,O
made,VBD,O
the,DT,O
consultation,NN,O
with,IN,O
the,DT,O
judges,NNS,O
and,CC,O
the,DT,O
administrative,JJ,B-LEGAL
committee,NN,O
referred,VBD,O
to,TO,O
in,IN,O
rule,NN,O
15,CD,O
and,CC,O
17,CD,O
respectively,RB,O
shall,MD,O
be,VB,O
made,VBN,O
either,DT,O
by,IN,O
circulating,VBG,O
the,DT,O
papers,NNS,O
connected,VBN,O
with,IN,O
the,DT,O
matter,NN,O
among,IN,O
the,DT,O
judges,NNS,O
or,CC,O
the,DT,O
administrative,JJ,B-LEGAL
committee,NN,O
as,IN,O
the,DT,O
case,NN,O
may,MD,O
be,VB,O
or,CC,O
by,IN,O
laying,VBG,O
the,DT,O
matter,NN,O
before,IN,O
a,DT,O
meeting,NN,O
of,IN,O
the,DT,O
judges,NNS,O
or,CC,O
the,DT,O
administrative,JJ,B-LEGAL
committee,NN,O
called,VBN,O
by,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
19,CD,O
decision,NN,O
in,IN,O
case,NN,O
difference,NN,O
of,IN,O
opinion,NN,O
all,PDT,O
the,DT,O
matters,NNS,O
referred,VBD,O
to,TO,O
in,IN,O
rules,NNS,O
15,CD,O
and,CC,O
17,CD,O
shall,MD,O
be,VB,O
disposed,VBN,O
of,IN,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
views,NNS,O
of,IN,O
the,DT,O
majority,NN,O
and,CC,O
in,IN,O
case,NN,O
the,DT,O
judges,NNS,O
including,VBG,O
the,DT,O
chief,JJ,O
justice,NN,O
are,VBP,O
equally,RB,O
divided,VBN,O
in,IN,O
accordance,NN,O
with,IN,O
the,DT,O
views,NNS,O
of,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
20,CD,O
administrative,JJ,B-LEGAL
business,NN,O
to,TO,O
be,VB,O
disposed,VBN,O
of,IN,O
by,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
subject,NN,O
to,TO,O
rules,NNS,O
15,CD,O
and,CC,O
17,CD,O
the,DT,O
administrative,JJ,B-LEGAL
business,NN,O
referred,VBD,O
to,TO,O
in,IN,O
rule,NN,O
14,CD,O
shall,MD,O
be,VB,O
disposed,VBN,O
of,IN,O
by,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
21,CD,O
appointment,NN,B-LEGAL
of,IN,O
administrative,JJ,B-LEGAL
judge,NN,O
and,CC,O
allocation,NN,O
of,IN,O
work,NN,O
1,CD,O
the,DT,O
chief,NN,O
justice,NN,O
shall,MD,O
appoint,VB,O
a,DT,O
judge,NN,O
to,TO,O
carry,VB,O
on,IN,O
the,DT,O
general,JJ,O
administration,NN,O
of,IN,O
the,DT,O
court,NN,O
such,JJ,O
judge,NN,O
shall,MD,O
be,VB,O
called,VBN,O
the,DT,O
administrative,JJ,B-LEGAL
judge,NN,O
and,CC,O
shall,MD,O
dispose,VB,O
of,IN,O
the,DT,O
administrative,JJ,B-LEGAL
business,NN,O
in,IN,O
accordance,NN,O
with,IN,O
rule,NN,O
22,CD,O
2,CD,O
the,DT,O
chief,JJ,O
justice,NN,O
may,MD,O
also,RB,O
by,IN,O
a,DT,O
general,JJ,O
or,CC,O
special,JJ,O
order,NN,O
allocate,NN,O
specified,VBD,O
business,NN,O
for,IN,O
disposal,NN,O
to,TO,O
any,DT,O
other,JJ,O
judge,NN,O
or,CC,O
a,DT,O
committee,NN,O
of,IN,O
judges,NNS,O
and,CC,O
such,JJ,O
judge,NN,O
or,CC,O
committee,NN,O
of,IN,O
judges,NNS,O
shall,MD,O
dispose,VB,O
of,IN,O
the,DT,O
same,JJ,O
subject,NN,O
to,TO,O
any,DT,O
special,JJ,O
direction,NN,O
of,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
26,CD,O
papers,NNS,O
to,TO,O
be,VB,O
submitted,VBN,O
to,TO,O
the,DT,O
chief,JJ,O
justice,NN,O
after,IN,O
circulation,NN,O
after,IN,O
any,DT,O
papers,NNS,O
have,VBP,O
been,VBN,O
circulated,VBN,O
for,IN,O
opinion,NN,O
they,PRP,O
shall,MD,O
be,VB,O
submitted,VBN,O
again,RB,O
to,TO,O
the,DT,O
chief,JJ,O
justice,NN,O
who,WP,O
shall,MD,O
examine,VB,O
the,DT,O
matter,NN,O
and,CC,O
issue,NN,O
orders,NNS,O
in,IN,O
accordance,NN,O
with,IN,O
rule,NN,O
19,CD,O
29,CD,O
quorum,NN,B-LEGAL
the,DT,O
quorum,NN,B-LEGAL
necessary,JJ,O
for,IN,O
the,DT,O
transaction,NN,O
of,IN,O
business,NN,O
shall,MD,O
be,VB,O
not,RB,O
less,JJR,O
than,IN,O
two,CD,O
third,JJ,O
of,IN,O
the,DT,O
members,NNS,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
a,DT,O
meeting,NN,O
of,IN,O
the,DT,O
administrative,JJ,B-LEGAL
committee,NN,O
and,CC,O
not,RB,O
less,JJR,O
than,IN,O
one,CD,O
half,NN,O
of,IN,O
the,DT,O
judges,NNS,O
in,IN,O
the,DT,O
case,NN,O
of,IN,O
a,DT,O
judges,NNS,O
meeting,VBG,O
1,CD,O
the,DT,O
existing,VBG,O
rule,NN,O
32,CD,O
shall,MD,O
be,VB,O
renumbered,VBN,O
as,IN,O
sub,NN,O
rule,NN,O
1,CD,O
of,IN,O
that,DT,O
rule,NN,O
and,CC,O
the,DT,O
following,JJ,O
new,JJ,O
sub,NN,O
rule,NN,O
2,CD,O
shall,MD,O
be,VB,O
added,VBN,O
2,CD,O
for,IN,O
the,DT,O
removal,NN,B-LEGAL
of,IN,O
doubt,NN,O
it,PRP,O
is,VBZ,O
hereby,RB,O
mentioned,VBN,O
that,IN,O
all,DT,O
administrative,JJ,B-LEGAL
work,NN,O
disposed,VBN,O
of,IN,O
by,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
the,DT,O
administrative,JJ,B-LEGAL
judge,NN,O
or,CC,O
any,DT,O
other,JJ,O
judge,NN,O
or,CC,O
judges,NNS,O
to,TO,O
whom,WP,O
the,DT,O
work,NN,O
has,VBZ,O
been,VBN,O
assigned,VBN,O
by,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
for,IN,O
disposal,NN,O
shall,MD,O
be,VB,O
deemed,VBN,O
to,TO,O
be,VB,O
disposed,VBN,O
of,IN,O
by,IN,O
the,DT,O
court,NN,O
rule,NN,O
32,CD,O
of,IN,O
the,DT,O
said,VBD,O
rules,NNS,O
is,VBZ,O
as,IN,O
under,IN,O
32,CD,O
effect,NN,O
of,IN,O
any,DT,O
irregularity,NN,O
in,IN,O
or,CC,O
omission,NN,O
to,TO,O
follow,VB,O
the,DT,O
procedure,NN,O
laid,VBD,O
down,RB,O
in,IN,O
this,DT,O
chapter,NN,O
1,CD,O
no,DT,O
irregularity,NN,O
in,IN,O
or,CC,O
omission,NN,O
to,TO,O
follow,VB,O
the,DT,O
procedure,NN,O
laid,VBD,O
down,RB,O
in,IN,O
this,DT,O
chapter,NN,O
shall,MD,O
affect,VB,O
the,DT,O
validity,NN,O
of,IN,O
any,DT,O
order,NN,O
passed,VBD,O
or,CC,O
anything,NN,O
done,VBN,O
under,IN,O
these,DT,O
rules,NNS,O
2,CD,O
for,IN,O
the,DT,O
removal,NN,B-LEGAL
of,IN,O
doubt,NN,O
it,PRP,O
is,VBZ,O
hereby,RB,O
mentioned,VBN,O
that,IN,O
all,DT,O
administrative,JJ,B-LEGAL
work,NN,O
disposed,VBN,O
of,IN,O
by,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
the,DT,O
administrative,JJ,B-LEGAL
judge,NN,O
or,CC,O
any,DT,O
other,JJ,O
judge,NN,O
or,CC,O
judges,NNS,O
to,TO,O
whom,WP,O
the,DT,O
work,NN,O
has,VBZ,O
been,VBN,O
assigned,VBN,O
by,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
for,IN,O
disposal,NN,O
shall,MD,O
be,VB,O
deemed,VBN,O
to,TO,O
be,VB,O
disposed,VBN,O
of,IN,O
by,IN,O
the,DT,O
court,NN,O
5,CD,O
on,IN,O
or,CC,O
about,IN,O
1711969,CD,O
rajasthan,NN,O
higher,JJR,O
judicial,JJ,B-LEGAL
service,NN,I-LEGAL
rules,NNS,O
1969,CD,O
came,VBD,O
into,IN,O
being,VBG,O
which,WDT,O
inter,NN,O
alia,NN,O
contained,VBD,O
a,DT,O
provision,NN,O
relating,VBG,O
to,TO,O
grant,VB,O
of,IN,O
selection,NN,O
scale,NN,O
in,IN,O
terms,NNS,O
of,IN,O
rule,NN,O
23,CD,O
thereof,NN,O
which,WDT,O
reads,VBZ,O
as,IN,O
under,IN,O
appointments,NNS,O
to,TO,O
posts,NNS,O
in,IN,O
the,DT,O
selection,NN,B-LEGAL
grade,VBD,I-LEGAL
appointments,NNS,O
to,TO,O
the,DT,O
posts,NNS,O
in,IN,O
the,DT,O
selection,NN,B-LEGAL
grade,NN,I-LEGAL
of,IN,O
the,DT,O
service,NN,O
shall,MD,O
be,VB,O
made,VBN,O
by,IN,O
the,DT,O
governor,NN,O
in,IN,O
consultation,NN,O
with,IN,O
the,DT,O
court,NN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
merit,NN,O
6,CD,O
on,IN,O
or,CC,O
about,IN,O
30th,CD,O
of,IN,O
april,NN,O
1990,CD,O
a,DT,O
committee,NN,O
of,IN,O
two,CD,O
hon,NNS,O
ble,JJ,O
judges,NNS,O
of,IN,O
the,DT,O
said,VBD,O
court,NN,O
was,VBD,O
constituted,VBN,O
by,IN,O
the,DT,O
full,JJ,O
court,NN,O
for,IN,O
the,DT,O
purpose,NN,O
of,IN,O
consideration,NN,O
of,IN,O
individual,JJ,O
merit,NN,O
of,IN,O
the,DT,O
judicial,JJ,O
officers,NNS,O
of,IN,O
rajasthan,NN,O
higher,JJR,O
judicial,JJ,B-LEGAL
service,NN,I-LEGAL
rhjs,NN,O
relating,VBG,O
to,TO,O
appointment,VB,B-LEGAL
to,TO,O
selection,VB,O
scale,NN,O
pursuant,NN,O
to,TO,O
or,CC,O
in,IN,O
furtherance,NN,O
thereof,NN,O
a,DT,O
committee,NN,O
of,IN,O
two,CD,O
judges,NNS,O
considered,VBN,O
the,DT,O
same,JJ,O
and,CC,O
suggested,VBD,O
that,IN,O
last,JJ,O
five,CD,O
years,NNS,O
of,IN,O
acrs,NN,O
to,TO,O
be,VB,O
considered,VBN,O
in,IN,O
the,DT,O
merit,NN,O
criteria,NNS,O
therefore,RB,O
however,RB,O
the,DT,O
full,JJ,O
court,NN,O
by,IN,O
resolution,NN,O
dated,VBD,O
5th,CD,O
october,NN,O
1990,CD,O
took,VBD,O
a,DT,O
decision,NN,O
to,TO,O
take,VB,O
into,IN,O
consideration,NN,O
three,CD,O
good,JJ,O
acrs,NN,O
out,IN,O
of,IN,O
five,CD,O
acrs,NNS,O
only,RB,O
for,IN,O
the,DT,O
said,VBD,O
purpose,NN,O
as,IN,O
regards,NNS,O
grant,NN,O
of,IN,O
super,JJ,O
time,NN,O
scale,NN,O
to,TO,O
rajasthan,VB,O
judicial,JJ,B-LEGAL
service,NN,I-LEGAL
the,DT,O
full,JJ,O
court,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
by,IN,O
a,DT,O
resolution,NN,O
dated,VBD,O
1481997,CD,O
adopted,VBD,O
the,DT,O
criteria,NNS,O
of,IN,O
five,CD,O
good,JJ,O
acrs,NN,O
out,IN,O
of,IN,O
seven,CD,O
acrs,NNS,O
for,IN,O
grant,NN,O
of,IN,O
supertime,JJ,O
scale,NN,O
7,CD,O
the,DT,O
acting,NN,B-LEGAL
chief,JJ,I-LEGAL
justice,NN,I-LEGAL
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
however,RB,O
constituted,VBD,O
a,DT,O
committee,NN,O
consisting,VBG,O
of,IN,O
two,CD,O
judges,NNS,O
of,IN,O
the,DT,O
said,VBD,O
court,NN,O
to,TO,O
consider,VB,O
examine,NN,O
and,CC,O
to,TO,O
make,VB,O
recommendations,NNS,O
for,IN,O
formation,NN,O
of,IN,O
officiating,VBG,O
promottee,NN,O
rhjs,NN,O
officers,NNS,O
for,IN,O
their,PRP$,O
substantive,JJ,O
appointment,NN,B-LEGAL
in,IN,O
their,PRP$,O
service,NN,O
and,CC,O
for,IN,O
promotion,NN,B-LEGAL
of,IN,O
rhjs,NN,O
officers,NNS,O
in,IN,O
the,DT,O
ordinary,JJ,O
scale,NN,O
to,TO,O
selection,VB,O
scale,NN,O
by,IN,O
an,DT,O
order,NN,O
dated,VBD,O
26th,CD,O
march,NN,O
1998,CD,O
the,DT,O
committee,NN,O
submitted,VBD,O
its,PRP$,O
report,NN,O
on,IN,O
30th,CD,O
march,NN,O
1998,CD,O
upon,IN,O
considering,VBG,O
the,DT,O
cases,NNS,O
of,IN,O
all,DT,O
eligible,JJ,O
candidates,NNS,O
in,IN,O
the,DT,O
light,NN,O
of,IN,O
the,DT,O
existing,VBG,O
rules,NNS,O
as,IN,O
also,RB,O
the,DT,O
full,JJ,O
court,NN,O
resolutions,NNS,O
with,IN,O
a,DT,O
view,NN,O
to,TO,O
arrive,VB,O
at,IN,O
its,PRP$,O
finding,VBG,O
the,DT,O
committee,NN,O
however,RB,O
found,VBD,O
those,DT,O
officers,NNS,O
fit,VBP,O
and,CC,O
meritorious,JJ,O
for,IN,O
grant,NN,O
of,IN,O
selection,NN,B-LEGAL
grade,NN,I-LEGAL
who,WP,O
obtained,VBD,O
at,IN,O
least,JJS,O
five,CD,O
outstanding,JJ,O
very,RB,O
good,JJ,O
good,JJ,O
acrs,NN,O
out,IN,O
of,IN,O
seven,CD,O
and,CC,O
where,WRB,O
no,DT,O
adverse,JJ,B-LEGAL
entry,NN,I-LEGAL
was,VBD,O
recorded,VBN,O
as,IN,O
regards,NNS,O
those,DT,O
whose,WP$,O
acrs,NNS,O
have,VBP,O
not,RB,O
been,VBN,O
recorded,VBN,O
for,IN,O
one,CD,O
reason,NN,O
of,IN,O
the,DT,O
other,JJ,O
the,DT,O
committee,NN,O
deferred,JJ,O
consideration,NN,O
of,IN,O
their,PRP$,O
cases,NNS,O
for,IN,O
the,DT,O
time,NN,O
being,VBG,O
the,DT,O
committee,NN,O
however,RB,O
filed,VBD,O
an,DT,O
additional,JJ,O
report,NN,O
on,IN,O
2741999,CD,O
whose,WP$,O
cases,NNS,O
were,VBD,O
deferred,VBN,O
earlier,RB,O
8,CD,O
the,DT,O
matter,NN,O
was,VBD,O
placed,VBN,O
before,IN,O
the,DT,O
full,JJ,O
court,NN,O
on,IN,O
30th,CD,O
april,NN,O
1999,CD,O
by,IN,O
the,DT,O
chief,JJ,O
justice,NN,O
twenty,NN,O
hon,NN,O
ble,JJ,O
judges,NNS,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
participated,VBD,O
therein,NN,O
by,IN,O
resolution,NN,O
dated,VBN,O
30th,CD,O
april,JJ,O
1999,CD,O
the,DT,O
full,JJ,O
court,NN,O
considered,VBD,O
the,DT,O
report,NN,O
submitted,VBN,O
by,IN,O
the,DT,O
said,VBD,O
two,CD,O
judges,NNS,O
committee,NN,O
and,CC,O
approved,VBD,O
the,DT,O
name,NN,O
of,IN,O
26,CD,O
officers,NNS,O
who,WP,O
were,VBD,O
found,VBN,O
fit,NN,O
for,IN,O
grant,NN,O
of,IN,O
selection,NN,O
scale,NN,O
the,DT,O
cases,NNS,O
of,IN,O
the,DT,O
respondents,NNS,O
herein,VBP,O
along,IN,O
with,IN,O
four,CD,O
others,NNS,O
however,RB,O
were,VBD,O
deferred,VBN,O
the,DT,O
matter,NN,O
relating,VBG,O
to,TO,O
the,DT,O
additional,JJ,O
report,NN,O
of,IN,O
the,DT,O
said,VBD,O
two,CD,O
judges,NNS,O
committee,NN,O
was,VBD,O
again,RB,O
placed,VBN,O
before,IN,O
the,DT,O
full,JJ,O
court,NN,O
on,IN,O
27,CD,O
11,CD,O
1999,CD,O
