n,JJ,O
was,VBD,O
lodged,VBN,O
by,IN,O
pw,NN,O
3,CD,O
the,DT,O
investigating,VBG,O
officer,NN,O
after,IN,O
making,VBG,O
the,DT,O
necessary,JJ,O
diary,JJ,O
entries,NNS,O
and,CC,O
sending,VBG,O
the,DT,O
special,JJ,O
report,NN,O
proceeded,VBD,O
to,TO,O
the,DT,O
place,NN,O
of,IN,O
the,DT,O
incident,NN,O
along,IN,O
with,IN,O
pws3,NN,O
and,CC,O
7,CD,O
and,CC,O
held,VBD,O
the,DT,O
inquest,NN,O
he,PRP,O
recorded,VBD,O
the,DT,O
statement,NN,O
of,IN,O
witnesses,NNS,O
and,CC,O
sent,VBD,O
the,DT,O
body,NN,O
for,IN,O
post,NN,O
mortem,NN,O
examination,NN,O
the,DT,O
post,NN,O
mortem,NN,O
examination,NN,O
conducted,VBN,O
by,IN,O
pw,NN,O
1,CD,O
established,VBD,O
that,IN,O
the,DT,O
deceased,JJ,O
hari,NN,O
om,NN,O
died,VBD,O
of,IN,O
gun,NN,O
shot,NN,O
injuries,NNS,O
it,PRP,O
is,VBZ,O
the,DT,O
further,JJ,O
case,NN,O
of,IN,O
the,DT,O
prosecution,NN,O
that,IN,O
a,DT,O
2,CD,O
surrendered,VBN,O
before,IN,O
the,DT,O
police,NN,O
on,IN,O
2031986,CD,O
while,IN,O
a,DT,O
1,CD,O
and,CC,O
a,DT,O
3,CD,O
were,VBD,O
arrested,VBN,O
on,IN,O
2431986,CD,O
and,CC,O
a,DT,O
4,CD,O
who,WP,O
had,VBD,O
by,IN,O
then,RB,O
joined,VBN,O
duty,NN,O
in,IN,O
tripura,NN,O
was,VBD,O
allegedly,RB,O
arrested,VBN,O
on,IN,O
1041986,CD,O
and,CC,O
brought,VBD,O
to,TO,O
the,DT,O
village,NN,O
on,IN,O
1741986,CD,O
it,PRP,O
is,VBZ,O
further,RBR,O
stated,VBN,O
that,IN,O
on,IN,O
a,DT,O
statement,NN,O
made,VBN,O
by,IN,O
the,DT,O
appellant,NN,O
a,DT,O
single,JJ,O
barrel,NN,O
12,CD,O
bore,NN,O
gun,NN,O
was,VBD,O
recovered,VBN,O
from,IN,O
the,DT,O
house,NN,O
of,IN,O
a,DT,O
3,CD,O
who,WP,O
is,VBZ,O
the,DT,O
brother,NN,O
of,IN,O
the,DT,O
appellant,NN,O
herein,NN,O
which,WDT,O
was,VBD,O
kept,VBN,O
concealed,VBN,O
in,IN,O
the,DT,O
south,JJ,O
western,JJ,O
corner,NN,O
of,IN,O
the,DT,O
chabutra,NN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
the,DT,O
above,JJ,O
material,NN,O
gathered,VBD,O
during,IN,O
the,DT,O
investigation,NN,O
the,DT,O
accused,JJ,O
persons,NNS,O
were,VBD,O
charged,VBN,O
as,IN,O
stated,VBN,O
above,IN,O
and,CC,O
the,DT,O
learned,JJ,O
sessions,NNS,O
judge,NN,O
having,VBG,O
come,VBN,O
to,TO,O
the,DT,O
conclusion,NN,O
that,IN,O
the,DT,O
prosecution,NN,O
has,VBZ,O
failed,VBN,O
to,TO,O
establish,VB,O
the,DT,O
case,NN,O
against,IN,O
the,DT,O
accused,JJ,O
persons,NNS,O
acquitted,VBD,O
them,PRP,O
while,IN,O
the,DT,O
high,JJ,O
court,NN,O
in,IN,O
appeal,NN,O
has,VBZ,O
convicted,VBN,O
the,DT,O
appellant,JJ,O
herein,NN,O
and,CC,O
acquitted,VBD,O
the,DT,O
other,JJ,O
two,CD,O
accused,JJ,O
persons,NNS,O
a,DT,O
1,CD,O
in,IN,O
the,DT,O
meanwhile,NN,O
had,VBD,O
died,VBN,O
3,CD,O
we,PRP,O
have,VBP,O
heard,VBN,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
parties,NNS,O
and,CC,O
perused,VBD,O
the,DT,O
records,NNS,O
the,DT,O
prosecution,NN,O
case,NN,O
as,IN,O
against,IN,O
this,DT,O
appellant,JJ,O
rests,VBZ,O
on,IN,O
the,DT,O
oral,JJ,O
evidence,NN,O
of,IN,O
pws3,NN,O
and,CC,O
7,CD,O
apart,RB,O
from,IN,O
the,DT,O
general,JJ,O
evidence,NN,O
given,VBN,O
as,IN,O
to,TO,O
the,DT,O
motive,NN,O
of,IN,O
a,DT,O
1,CD,O
to,TO,O
eliminate,VB,O
deceased,JJ,O
hari,NN,O
om,NNS,O
so,RB,O
far,RB,O
as,IN,O
the,DT,O
present,JJ,O
appellant,NN,O
is,VBZ,O
concerned,VBN,O
the,DT,O
prosecution,NN,O
also,RB,O
relies,VBZ,O
upon,IN,O
the,DT,O
alleged,JJ,O
recovery,NN,O
of,IN,O
the,DT,O
weapon,NN,O
made,VBD,O
from,IN,O
the,DT,O
house,NN,O
of,IN,O
a,DT,O
3,CD,O
at,IN,O
the,DT,O
instance,NN,O
of,IN,O
the,DT,O
appellant,JJ,O
4,CD,O
the,DT,O
trial,NN,O
court,NN,O
while,IN,O
discussing,VBG,O
the,DT,O
evidence,NN,O
of,IN,O
the,DT,O
prosecution,NN,O
came,VBD,O
to,TO,O
the,DT,O
conclusion,NN,O
that,IN,O
the,DT,O
oral,JJ,O
evidence,NN,O
of,IN,O
pws3,NN,O
and,CC,O
4,CD,O
cannot,MD,O
be,RB,O
relied,VB,O
upon,VBN,O
because,IN,O
of,IN,O
the,IN,O
inherent,DT,O
improbabilities,JJ,O
found,NNS,O
herein,VBD,O
it,NN,O
came,PRP,O
to,VBD,O
the,TO,O
conclusion,DT,O
that,NN,O
factually,WDT,O
if,RB,O
the,IN,O
appellants,DT,O
were,NNS,O
hiding,VBD,O
in,VBG,O
a,IN,O
nullah,DT,O
and,NN,O
did,CC,O
not,VBD,O
want,RB,O
to,VB,O
be,TO,O
identified,VB,O
there,VBN,O
was,EX,O
no,VBD,O
need,DT,O
for,NN,O
these,IN,O
accused,DT,O
persons,JJ,O
to,NNS,O
have,TO,O
come,VB,O
in,VBN,O
front,IN,O
of,NN,O
the,IN,O
witnesses,DT,O
so,NNS,O
as,RB,O
to,IN,O
make,TO,O
themselves,VB,O
available,PRP,O
for,JJ,O
identification,IN,O
because,NN,O
they,IN,O
could,PRP,O
have,MD,O
very,VB,O
well,RB,O
shot,RB,O
the,VB,O
deceased,DT,O
from,VBN,O
the,IN,O
place,DT,O
where,NN,O
they,WRB,O
were,PRP,O
hiding,VBD,O
it,VBG,O
also,PRP,O
came,RB,O
to,VBD,O
the,TO,O
conclusion,DT,O
that,NN,O
the,IN,O
evidence,DT,O
of,NN,O
pws3,IN,O
and,NN,O
7,CC,O
that,CD,O
accused,WDT,O
2,VBD,O
and,CD,O
3,CC,O
held,CD,O
the,VBD,O
deceased,DT,O
by,VBN,O
his,IN,O
hands,PRP$,O
while,NNS,O
the,IN,O
appellant,DT,O
shot,JJ,O
him,NN,O
dead,PRP,O
was,JJ,O
also,VBD,O
highly,RB,O
improbable,RB,O
because,JJ,O
there,IN,O
was,EX,O
no,VBD,O
need,DT,O
to,NN,O
have,TO,O
held,VB,O
the,VBN,O
deceased,DT,O
when,JJ,O
he,WRB,O
was,PRP,O
available,VBD,O
to,JJ,O
be,TO,O
shot,VB,O
at,VBN,O
point,IN,O
blank,NN,O
range,NN,O
by,NN,O
the,IN,O
appellant,DT,O
the,JJ,O
court,DT,O
noticed,NN,O
that,VBD,O
knowing,IN,O
very,VBG,O
well,RB,O
that,RB,O
the,IN,O
appellant,DT,O
was,NN,O
using,VBD,O
12,VBG,O
bore,CD,O
gun,NN,O
which,NN,O
sprays,WDT,O
pellets,VBZ,O
neither,NNS,O
a,CC,O
2,DT,O
nor,CD,O
a,CC,O
3,DT,O
would,CD,O
have,MD,O
dared,VB,O
to,VBN,O
hold,TO,O
the,VB,O
deceased,DT,O
from,VBN,O
such,IN,O
close,JJ,O
range,JJ,O
because,NN,O
of,IN,O
the,IN,O
possibility,DT,O
of,NN,O
they,IN,O
also,PRP,O
being,RB,O
injured,VBG,O
in,VBN,O
the,IN,O
process,DT,O
it,NN,O
also,PRP,O
noticed,RB,O
the,VBD,O
fact,DT,O
that,NN,O
according,IN,O
to,VBG,O
the,TO,O
evidence,DT,O
of,NN,O
the,IN,O
said,DT,O
eye,VBD,B-LEGAL
witnesses,NN,O
deceased,NNS,O
was,VBD,O
shot,VBD,O
at,VBN,O
when,IN,O
he,WRB,O
was,PRP,O
lying,VBD,O
down,VBG,O
and,RB,O
he,CC,O
was,PRP,O
being,VBD,O
held,VBG,O
by,VBN,O
a,IN,O
2,DT,O
and,CD,O
a,CC,O
3,DT,O
if,CD,O
that,IN,O
be,DT,O
so,VB,O
even,RB,O
according,RB,O
to,VBG,O
the,TO,O
prosecution,DT,O
evidence,NN,O
itself,NN,O
there,PRP,O
should,RB,O
have,MD,O
been,VB,O
lot,VBN,O
of,NN,O
blood,IN,O
at,NN,O
the,IN,O
place,DT,O
of,NN,O
the,IN,O
incident,DT,O
on,NN,O
the,IN,O
contrary,DT,O
the,JJ,O
blood,DT,O
was,NN,O
found,VBD,O
all,VBN,O
over,RB,O
the,IN,O
left,DT,O
thigh,JJ,O
and,NN,O
the,CC,O
leg,DT,O
of,NN,O
the,IN,O
victim,DT,O
indicating,NN,O
that,NN,O
the,IN,O
victim,DT,O
must,NN,O
have,MD,O
been,VB,O
shot,VBN,O
at,VBN,O
when,IN,O
he,WRB,O
was,PRP,O
standing,VBD,O
it,VBG,O
also,PRP,O
took,RB,O
note,VBD,O
of,NN,O
the,IN,O
fact,DT,O
that,NN,O
both,IN,O
these,DT,O
witnesses,DT,O
were,NNS,O
not,VBD,O
permanent,RB,O
residents,JJ,O
of,NNS,O
gochi,IN,O
village,JJ,O
having,NN,O
been,VBG,O
married,VBN,O
to,VBN,O
persons,TO,O
away,VB,O
from,RB,O
the,IN,O
village,DT,O
and,NN,O
they,CC,O
were,PRP,O
admittedly,VBD,O
visiting,RB,O
the,VBG,O
village,DT,O
the,NN,O
court,DT,O
also,NN,O
came,RB,O
to,VBD,O
the,TO,O
conclusion,DT,O
that,NN,O
the,IN,O
appellant,DT,O
had,NN,O
absolutely,VBD,O
no,RB,O
motive,RB,O
to,JJ,O
assist,TO,O
a,VB,O
1,DT,O
in,CD,O
committing,IN,O
the,VBG,O
crime,DT,O
in,NN,O
question,IN,O
because,NN,O
there,IN,O
was,EX,O
no,VBD,O
enmity,DT,O
between,NN,O
him,IN,O
and,PRP,O
the,CC,O
deceased,DT,O
as,VBN,O
a,IN,O
matter,DT,O
of,NN,O
fact,IN,O
there,NN,O
was,EX,O
an,VBD,O
earlier,DT,O
murder,JJR,O
case,NN,O
in,NN,O
which,IN,O
the,WDT,O
deceased,DT,O
had,NN,O
given,VBD,O
evidence,VBN,O
in,NN,O
favour,IN,O
of,NN,O
the,IN,O
family,DT,O
of,NN,O
the,IN,O
appellant,DT,O
against,NN,O
a,IN,O
1,DT,O
and,CD,O
so,CC,O
far,RB,O
as,RB,O
a,IN,O
1,DT,O
and,CD,O
deceased,CC,O
are,VBN,O
concerned,VBP,O
the,VBN,O
appellant,DT,O
was,NN,O
equally,VBD,O
related,RB,O
in,VBN,O
such,IN,O
a,JJ,O
situation,DT,O
the,NN,O
trial,DT,O
court,NN,O
doubted,NN,O
whether,VBD,O
the,IN,O
accused,DT,O
would,VBN,O
have,MD,O
been,VB,O
a,VBN,O
party,DT,O
to,NN,O
such,TO,O
a,PDT,O
ghastly,DT,O
murder,RB,O
the,NN,O
said,DT,O
court,VBD,O
also,NN,O
took,RB,O
note,VBD,O
of,NN,O
the,IN,O
fact,DT,O
of,NN,O
the,IN,O
defence,DT,O
pleaded,NN,O
by,VBN,O
the,IN,O
appellant,DT,O
that,NN,O
on,WDT,O
the,IN,O
date,DT,O
of,NN,O
the,IN,O
incident,DT,O
he,NN,O
had,PRP,O
left,VBD,O
the,VBN,O
village,DT,O
by,NN,O
6,IN,O
am,CD,O
to,VBP,O
proceed,TO,O
to,VB,O
tripura,TO,O
to,VB,O
join,TO,O
duty,VB,O
and,NN,O
had,CC,O
in,VBD,O
fact,IN,O
joined,NN,O
duty,VBN,O
there,NN,O
and,RB,O
it,CC,O
was,PRP,O
from,VBD,O
tripura,IN,O
that,NN,O
the,IN,O
appellant,DT,O
was,NN,O
arrested,VBD,O
the,VBN,O
court,DT,O
also,NN,O
took,RB,O
note,VBD,O
of,NN,O
the,IN,O
fact,DT,O
that,NN,O
the,IN,O
apparent,DT,O
conflict,JJ,O
in,NN,O
the,IN,O
evidence,DT,O
of,NN,O
pw,IN,O
5,NN,O
the,CD,O
photographer,DT,O
and,NN,O
the,CC,O
evidence,DT,O
of,NN,O
pws3,IN,O
and,NN,O
7,CC,O
in,CD,O
regard,IN,O
to,NN,O
the,TO,O
time,DT,O
of,NN,O
the,IN,O
incident,DT,O
and,NN,O
correlating,CC,O
the,VBG,O
evidence,DT,O
with,NN,O
that,IN,O
of,DT,O
the,IN,O
post,DT,O
mortem,NN,O
report,NN,O
the,VBP,O
court,DT,O
doubted,NN,O
the,VBD,O
prosecution,DT,O
case,NN,O
as,NN,O
to,IN,O
the,TO,O
time,DT,O
of,NN,O
the,IN,O
incident,DT,O
the,NN,O
learned,DT,O
sessions,JJ,O
judge,NNS,O
also,NN,O
doubted,RB,O
the,VBD,O
veracity,DT,O
of,NN,O
the,IN,O
recovery,DT,O
of,NN,O
the,IN,O
single,DT,O
barrel,JJ,O
gun,NN,O
at,NN,O
the,IN,O
instance,DT,O
of,NN,O
the,IN,O
appellant,DT,O
on,NN,O
this,IN,O
basis,DT,O
rejecting,NN,O
the,VBG,O
prosecution,DT,O
case,NN,O
it,NN,O
acquitted,PRP,O
all,VBD,O
the,PDT,O
surviving,DT,O
accused,VBG,O
persons,VBD,O
5,NNS,O
the,CD,O
high,DT,O
court,JJ,O
on,NN,O
re,IN,O
appreciation,JJ,O
of,NN,O
the,IN,O
evidence,DT,O
came,NN,O
to,VBD,O
the,TO,O
conclusion,DT,O
that,NN,O
the,IN,O
evidence,DT,O
of,NN,O
pws,IN,O
3,NN,O
and,CD,O
7,CC,O
is,CD,O
acceptable,VBZ,O
evidence,JJ,O
the,NN,O
high,DT,O
court,JJ,O
also,NN,O
held,RB,O
that,VBD,O
the,IN,O
evidence,DT,O
of,NN,O
pw,IN,O
5,NN,O
in,CD,O
regard,IN,O
to,NN,O
the,TO,O
time,DT,O
of,NN,O
occurrence,IN,O
could,NN,O
be,MD,O
an,VB,O
error,DT,O
because,NN,O
of,IN,O
the,IN,O
lapse,DT,O
of,NN,O
time,IN,O
between,NN,O
the,IN,O
date,DT,O
of,NN,O
incident,IN,O
and,NN,O
his,CC,O
evidence,PRP$,O
the,NN,O
high,DT,O
court,JJ,O
also,NN,O
accepted,RB,O
the,VBD,O
prosecution,DT,O
case,NN,O
that,NN,O
all,WDT,O
the,PDT,O
accused,DT,O
persons,JJ,O
had,NNS,O
assembled,VBD,O
the,VBN,O
plea,DT,O
of,NN,O
alibi,IN,O
put,NN,O
forth,VBN,O
by,RB,O
the,IN,O
appellant,DT,O
and,NN,O
accepted,CC,O
the,VBD,O
recovery,DT,O
evidence,NN,O
produced,NN,O
by,VBN,O
the,IN,O
prosecution,DT,O
as,NN,O
against,IN,O
this,IN,O
appellant,DT,O
but,NN,O
significantly,CC,O
it,RB,O
disbelieved,PRP,O
all,VBD,O
these,PDT,O
evidences,DT,O
including,NNS,O
that,VBG,O
of,IN,O
the,IN,O
eye,DT,B-LEGAL
witnesses,NN,O
pws,VBZ,O
3,JJ,O
and,CD,O
7,CC,O
so,CD,O
far,RB,O
as,RB,O
other,IN,O
accused,JJ,O
are,VBN,O
concerned,VBP,O
and,VBN,O
dismissed,CC,O
the,VBN,O
state,DT,O
appeal,NN,O
as,NN,O
against,IN,O
them,IN,O
while,PRP,O
it,IN,O
allowed,PRP,O
the,VBD,O
same,DT,O
in,JJ,O
regard,IN,O
to,NN,O
the,TO,O
present,DT,O
appellant,JJ,O
6,JJ,O
we,CD,O
will,PRP,O
now,MD,O
consider,RB,O
the,VB,O
case,DT,O
on,NN,O
the,IN,O
merits,DT,O
of,NNS,O
the,IN,O
prosecution,DT,O
case,NN,O
as,NN,O
presented,IN,O
before,VBN,O
the,IN,O
counts,DT,O
below,NNS,O
we,IN,O
notice,PRP,O
that,VBP,O
the,IN,O
appellant,DT,O
was,NN,O
gainfully,VBD,O
employed,RB,O
with,VBN,O
the,IN,O
crpf,DT,O
and,NN,O
was,CC,O
visiting,VBD,O
the,VBG,O
village,DT,O
to,NN,O
see,TO,O
his,VB,O
ailing,PRP$,O
sister,VBG,O
en,NN,O
route,IN,O
to,NN,O
his,TO,O
place,PRP$,O
of,NN,O
transfer,IN,O
in,NN,O
tripura,IN,O
there,NN,O
is,EX,O
no,VBZ,O
dispute,DT,O
in,NN,O
regard,IN,O
to,NN,O
this,TO,O
fact,DT,O
there,NN,O
is,EX,O
also,VBZ,O
no,RB,O
dispute,DT,O
in,NN,O
regard,IN,O
to,NN,O
the,TO,O
fact,DT,O
that,NN,O
this,IN,O
appellant,DT,O
had,NN,O
no,VBD,O
special,DT,O
reason,JJ,O
to,NN,O
take,TO,O
sides,VB,O
with,NNS,O
a,IN,O
1,DT,O
in,CD,O
a,IN,O
fight,DT,O
between,NN,O
a,IN,O
1,DT,O
and,CD,O
deceased,CC,O
that,VBD,O
too,IN,O
to,RB,O
go,TO,O
to,VB,O
the,TO,O
extent,DT,O
of,NN,O
committing,IN,O
a,VBG,O
murder,DT,O
it,NN,O
does,PRP,O
not,VBZ,O
stand,RB,O
to,VB,O
reason,TO,O
why,NN,O
this,WRB,O
appellant,DT,O
who,NN,O
is,WP,O
otherwise,VBZ,O
gainfully,RB,O
employed,RB,O
would,VBN,O
take,MD,O
part,VB,O
in,NN,O
a,IN,O
crime,DT,O
of,NN,O
this,IN,O
nature,DT,O
