vn,NN,O
11785,CD,O
subsequently,RB,O
the,DT,O
government,NN,O
of,IN,O
uttar,JJ,O
pradesh,NN,O
by,IN,O
a,DT,O
subsequent,JJ,O
notification,NN,O
dated,VBD,O
1691,CD,O
again,RB,O
amended,VBD,O
rule,NN,O
49,CD,O
and,CC,O
revised,VBD,O
the,DT,O
rate,NN,O
of,IN,O
society,NN,O
commission,NN,O
from,IN,O
the,DT,O
existing,VBG,O
rate,NN,O
of,IN,O
50,CD,O
paise,NN,O
per,IN,O
quintal,NN,O
to,TO,O
5,CD,O
of,IN,O
the,DT,O
minimum,JJ,O
statutory,JJ,O
cane,NN,O
price,NN,O
fixed,VBN,O
by,IN,O
the,DT,O
central,JJ,O
government,NN,O
after,IN,O
the,DT,O
existing,VBG,O
rate,NN,O
of,IN,O
commission,NN,O
was,VBD,O
enhanced,VBN,O
the,DT,O
appellants,NNS,O
jointly,RB,O
submitted,VBN,O
representation,NN,O
before,IN,O
the,DT,O
state,NN,O
government,NN,O
inter,NN,O
alia,VBD,O
contending,VBG,O
that,IN,O
enhancement,NN,O
is,VBZ,O
excessive,JJ,O
and,CC,O
arbitrary,JJ,O
simultaneously,RB,O
the,DT,O
appellants,NNS,O
also,RB,O
filed,VBD,O
writ,JJ,O
petition,NN,O
challenging,VBG,O
the,DT,O
enhancement,NN,O
of,IN,O
society,NN,O
commission,NN,O
however,RB,O
in,IN,O
january,JJ,O
1992,CD,O
the,DT,O
writ,NN,O
petition,NN,O
was,VBD,O
withdrawn,VBN,O
3,CD,O
it,PRP,O
appears,VBZ,O
the,DT,O
state,NN,O
government,NN,O
on,IN,O
the,DT,O
representation,NN,O
of,IN,O
the,DT,O
appellants,NNS,O
reduced,VBD,O
the,DT,O
rate,NN,O
of,IN,O
society,NN,O
commission,NN,O
from,IN,O
5,CD,O
of,IN,O
the,DT,O
minimum,JJ,O
statutory,JJ,O
price,NN,O
of,IN,O
sugarcane,NN,O
to,TO,O
269,CD,O
of,IN,O
the,DT,O
minimum,JJ,O
statutory,JJ,O
price,NN,O
of,IN,O
sugarcane,NN,O
which,WDT,O
worked,VBD,O
out,IN,O
to,TO,O
70,CD,O
paise,NN,O
per,IN,O
quintal,NN,O
this,DT,O
was,VBD,O
done,VBN,O
by,IN,O
the,DT,O
amendment,NN,O
of,IN,O
rule,NN,O
49,CD,O
of,IN,O
the,DT,O
rules,NNS,O
by,IN,O
notification,NN,O
dated,VBD,O
24,CD,O
492,CD,O
the,DT,O
notification,NN,O
dated,VBD,O
24492,CD,O
runs,NNS,O
as,IN,O
under,IN,O
1,CD,O
1,CD,O
these,DT,O
rules,NNS,O
may,MD,O
be,VB,O
called,VBN,O
the,DT,O
uttar,NN,O
pradesh,JJ,O
sugarcane,NN,O
regulation,NN,O
of,IN,O
supply,NN,O
and,CC,O
purchase,NN,O
amendment,NN,O
rules,NNS,O
1992,CD,O
2,CD,O
they,PRP,O
shall,MD,O
remain,VB,O
in,IN,O
force,NN,O
with,IN,O
effect,NN,O
from,IN,O
11091,CD,O
to,TO,O
30992,CD,O
2,CD,O
in,IN,O
the,DT,O
uttar,JJ,O
pradesh,JJ,O
sugarcane,NN,O
regulation,NN,O
of,IN,O
supply,NN,O
and,CC,O
purchases,NNS,O
rules,NNS,O
1954,CD,O
for,IN,O
the,DT,O
rules,NNS,O
set,VBN,O
out,RP,O
in,IN,O
column,NN,O
1,CD,O
below,IN,O
the,DT,O
rules,NNS,O
as,IN,O
set,VBN,O
out,RP,O
in,IN,O
column,NN,O
2,CD,O
shall,MD,O
be,VB,O
substituted,VBN,O
4,CD,O
the,DT,O
affect,NN,O
of,IN,O
the,DT,O
aforesaid,JJ,O
notification,NN,O
was,VBD,O
that,IN,O
existing,VBG,O
rule,NN,O
49,CD,O
was,VBD,O
deleted,VBN,O
and,CC,O
in,IN,O
its,PRP$,O
place,NN,O
new,JJ,O
rule,NN,O
49,CD,O
was,VBD,O
substituted,VBN,O
however,RB,O
the,DT,O
substituted,JJ,O
rule,NN,O
remained,VBD,O
operative,JJ,O
from,IN,O
11091,CD,O
to,TO,O
30992,CD,O
it,PRP,O
is,VBZ,O
not,RB,O
disputed,VBN,O
that,IN,O
the,DT,O
appellants,NNS,O
herein,VBP,O
continued,VBD,O
to,TO,O
pay,VB,O
the,DT,O
society,NN,O
commission,NN,O
on,IN,O
the,DT,O
basis,NN,O
of,IN,O
substituted,JJ,O
rule,NN,O
49,CD,O
ie,NN,O
269,CD,O
of,IN,O
the,DT,O
minimum,JJ,O
statutory,JJ,O
price,NN,O
of,IN,O
sugarcane,NN,O
after,IN,O
30992,CD,O
the,DT,O
cane,NN,O
commissioner,NN,O
of,IN,O
uttar,JJ,O
pradesh,JJ,O
issued,VBD,O
a,DT,O
circular,JJ,O
to,TO,O
the,DT,O
effect,NN,O
that,IN,O
the,DT,O
society,NN,O
commission,NN,O
after,IN,O
30992,CD,O
shall,MD,O
be,VB,O
charged,VBN,O
5,CD,O
of,IN,O
the,DT,O
minimum,JJ,O
statutory,JJ,O
price,NN,O
of,IN,O
sugarcane,NN,O
fixed,VBN,O
by,IN,O
the,DT,O
central,JJ,O
government,NN,O
on,IN,O
the,DT,O
premise,NN,O
that,WDT,O
since,IN,O
the,DT,O
substituted,JJ,O
rule,NN,O
came,VBD,O
to,TO,O
be,VB,O
inoperative,JJ,O
after,IN,O
30992,CD,O
the,DT,O
old,JJ,O
rule,NN,O
49,CD,O
revived,VBD,O
5,CD,O
since,IN,O
the,DT,O
respondents,NNS,O
insisted,VBD,O
to,TO,O
charge,VB,O
society,NN,O
commission,NN,O
5,CD,O
of,IN,O
the,DT,O
minimum,JJ,O
statutory,JJ,O
price,NN,O
of,IN,O
sugarcane,NN,O
fixed,VBN,O
by,IN,O
the,DT,O
central,JJ,O
government,NN,O
it,PRP,O
is,VBZ,O
alleged,VBN,O
that,IN,O
the,DT,O
appellants,NNS,O
were,VBD,O
compelled,VBN,O
to,TO,O
file,VB,O
a,DT,O
writ,NN,O
petition,NN,O
before,IN,O
the,DT,O
high,JJ,O
court,NN,O
of,IN,O
judicature,NN,O
at,IN,O
allahabad,NN,O
in,IN,O
the,DT,O
said,VBD,O
writ,JJ,O
petition,NN,O
the,DT,O
appellants,NNS,O
challenged,VBD,O
the,DT,O
order,NN,O
dated,VBD,O
5193,CD,O
passed,VBN,O
by,IN,O
the,DT,O
cane,NN,O
commissioner,NN,O
whereby,NN,O
and,CC,O
whereunder,VB,O
the,DT,O
cane,NN,O
commissioner,NN,O
issued,VBN,O
direction,NN,O
to,TO,O
realise,VB,O
society,NN,O
commission,NN,O
5,CD,O
of,IN,O
the,DT,O
minimum,JJ,O
statutory,JJ,O
price,NN,O
of,IN,O
sugarcane,NN,O
fixed,VBN,O
by,IN,O
the,DT,O
central,JJ,O
government,NN,O
6,CD,O
one,CD,O
of,IN,O
the,DT,O
grounds,NNS,O
of,IN,O
challenge,NN,O
of,IN,O
the,DT,O
said,VBD,O
circular,NN,O
was,VBD,O
that,DT,O
once,RB,O
the,DT,O
old,JJ,O
rule,NN,O
49,CD,O
having,VBG,O
been,VBN,O
deleted,VBN,O
and,CC,O
substituted,VBN,O
by,IN,O
new,JJ,O
rule,NN,O
49,CD,O
providing,NN,O
for,IN,O
269,CD,O
of,IN,O
the,DT,O
minimum,JJ,O
statutory,JJ,O
price,NN,O
of,IN,O
sugarcane,NN,O
even,RB,O
though,IN,O
it,PRP,O
has,VBZ,O
ceased,VBN,O
to,TO,O
be,VB,O
operative,JJ,O
after,IN,O
30992,CD,O
the,DT,O
old,JJ,O
rule,NN,O
does,VBZ,O
not,RB,O
revive,VB,O
and,CC,O
the,DT,O
respondents,NNS,O
have,VBP,O
no,DT,O
authority,NN,O
in,IN,O
law,NN,O
to,TO,O
charge,VB,O
society,NN,O
commission,NN,O
5,CD,O
of,IN,O
the,DT,O
minimum,JJ,O
statutory,JJ,O
price,NN,O
of,IN,O
sugarcane,NN,O
the,DT,O
high,JJ,O
court,NN,O
was,VBD,O
of,IN,O
the,DT,O
view,NN,O
that,WDT,O
on,IN,O
the,DT,O
application,NN,O
of,IN,O
section,NN,O
6,CD,O
c,NN,O
of,IN,O
the,DT,O
up,RP,O
general,JJ,O
clauses,NNS,O
act,VBP,O
the,DT,O
repealed,JJ,O
or,CC,O
delated,VBN,O
rule,NN,O
49,CD,O
revived,VBN,O
after,IN,O
the,DT,O
substituted,JJ,O
rule,NN,O
49,CD,O
ceased,VBD,O
to,TO,O
be,VB,O
operative,JJ,O
in,IN,O
that,DT,O
view,NN,O
of,IN,O
the,DT,O
matter,NN,O
the,DT,O
writ,NN,O
petition,NN,O
was,VBD,O
dismissed,VBN,O
it,PRP,O
is,VBZ,O
against,IN,O
the,DT,O
said,VBD,O
judgment,NN,O
and,CC,O
order,NN,O
of,IN,O
the,DT,O
high,JJ,O
court,NN,O
the,DT,O
appellants,NNS,O
have,VBP,O
filed,VBN,O
the,DT,O
present,JJ,O
appeal,NN,O
by,IN,O
way,NN,O
of,IN,O
special,JJ,O
leave,JJ,O
petition,NN,O
and,CC,O
there,EX,O
is,VBZ,O
also,RB,O
a,DT,O
connected,JJ,O
writ,NN,O
petition,NN,O
under,IN,O
article,NN,O
32,CD,O
of,IN,O
the,DT,O
constitution,NN,O
challenging,VBG,O
the,DT,O
impugned,JJ,O
society,NN,O
commission,NN,O
7,CD,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
appellants,NNS,O
raised,VBD,O
two,CD,O
submissions,NNS,O
the,DT,O
first,JJ,O
submission,NN,O
is,VBZ,O
that,IN,O
after,IN,O
the,DT,O
statutory,JJ,O
rule,NN,O
49,CD,O
providing,NN,O
for,IN,O
society,NN,O
commission,NN,O
5,CD,O
of,IN,O
the,DT,O
minimum,JJ,O
statutory,JJ,O
price,NN,O
of,IN,O
sugarcane,NN,O
having,VBG,O
been,VBN,O
deleted,VBN,O
or,CC,O
repealed,VBN,O
and,CC,O
substituted,VBN,O
by,IN,O
a,DT,O
new,JJ,O
rule,NN,O
49,CD,O
providing,NN,O
for,IN,O
society,NN,O
commission,NN,O
269,CD,O
of,IN,O
the,DT,O
minimum,JJ,O
statutory,JJ,O
price,NN,O
of,IN,O
sugarcane,NN,O
the,DT,O
old,JJ,O
rule,NN,O
49,CD,O
does,VBZ,O
not,RB,O
revive,VB,O
even,RB,O
after,IN,O
the,DT,O
substituted,JJ,O
rule,NN,O
ceased,VBD,O
to,TO,O
be,VB,O
operative,JJ,O
the,DT,O
second,JJ,O
argument,NN,O
is,VBZ,O
that,IN,O
in,IN,O
any,DT,O
event,NN,O
of,IN,O
the,DT,O
matter,NN,O
the,DT,O
high,JJ,O
court,NN,O
was,VBD,O
not,RB,O
legally,RB,O
justified,VBN,O
in,IN,O
applying,VBG,O
section,NN,O
6,CD,O
c,NN,O
of,IN,O
up,IN,O
general,JJ,O
clauses,NNS,O
act,NN,O
for,IN,O
holding,VBG,O
that,DT,O
after,IN,O
the,DT,O
substituted,JJ,O
rules,NNS,O
having,VBG,O
become,VBN,O
inoperative,JJ,O
the,DT,O
old,JJ,O
rule,NN,O
49,CD,O
would,MD,O
revive,VB,O
whereas,NNS,O
learned,JJ,O
counsel,NN,O
appearing,VBG,O
for,IN,O
the,DT,O
respondents,NNS,O
urged,VBD,O
that,IN,O
since,IN,O
the,DT,O
substituted,JJ,O
rule,NN,O
in,IN,O
pith,NN,O
and,CC,O
substance,NN,O
has,VBZ,O
been,VBN,O
rendered,VBN,O
non,JJ,O
existent,NN,O
the,DT,O
old,JJ,O
rule,NN,O
would,MD,O
revive,VB,O
and,CC,O
the,DT,O
respondents,NNS,O
have,VBP,O
a,DT,O
right,NN,O
to,TO,O
charge,VB,O
society,NN,O
commission,NN,O
at,IN,O
the,DT,O
rate,NN,O
under,IN,O
the,DT,O
old,JJ,O
rules,NNS,O
8,CD,O
on,IN,O
the,DT,O
argument,NN,O
of,IN,O
learned,JJ,O
counsel,NN,O
for,IN,O
the,DT,O
parties,NNS,O
the,DT,O
first,JJ,O
question,NN,O
that,WDT,O
arise,NN,O
for,IN,O
our,PRP$,O
consideration,NN,B-LEGAL
is,VBZ,O
that,DT,O
once,RB,O
the,DT,O
old,JJ,O
rule,NN,O
has,VBZ,O
been,VBN,O
deleted,VBN,O
or,CC,O
repealed,VBN,O
and,CC,O
substituted,VBN,O
by,IN,O
a,DT,O
new,JJ,O
rule,NN,O
whether,IN,O
the,DT,O
old,JJ,O
rule,NN,O
would,MD,O
revive,VB,O
when,WRB,O
the,DT,O
substituted,VBN,O
rule,NN,O
ceased,VBN,O
to,TO,O
be,VB,O
operative,JJ,O
9,CD,O
in,IN,O
bn,NN,O
tiwari,NN,O
v,NNP,O
union,NN,O
of,IN,O
india,JJ,O
ors,NNS,O
manu,VBP,O
sc,JJ,O
0312,CD,O
1964manu,CD,O
sc,NN,O
0312,CD,O
1964,CD,O
1965,CD,O
2scr421,CD,O
the,DT,O
question,NN,O
whether,IN,O
the,DT,O
old,JJ,O
rule,NN,O
revives,NNS,O
after,IN,O
the,DT,O
substituted,JJ,O
rule,NN,O
was,VBD,O
struck,VBN,O
down,RP,O
came,VBD,O
up,RP,O
for,IN,O
consideration,NN,B-LEGAL
before,IN,O
this,DT,O
court,NN,O
in,IN,O
the,DT,O
said,VBD,O
case,NN,O
the,DT,O
central,JJ,O
services,NNS,O
rule,NN,O
of,IN,O
1952,CD,O
provided,VBD,O
for,IN,O
carry,JJ,O
forward,NN,O
rule,NN,O
whereby,IN,O
the,DT,O
unfilled,JJ,O
reserved,VBD,O
vacancy,NN,O
of,IN,O
a,DT,O
particular,JJ,O
year,NN,O
could,MD,O
be,VB,O
carried,VBN,O
forward,RB,O
for,IN,O
one,CD,O
year,NN,O
in,IN,O
the,DT,O
year,NN,O
1955,CD,O
the,DT,O
said,VBD,O
1952,CD,O
rule,NN,O
was,VBD,O
substituted,VBN,O
by,IN,O
another,DT,O
rule,NN,O
providing,VBG,O
that,WDT,O
unfilled,JJ,O
reserved,VBD,O
vacancies,NNS,O
of,IN,O
a,DT,O
particular,JJ,O
year,NN,O
would,MD,O
be,VB,O
carried,VBN,O
forward,RB,O
for,IN,O
two,CD,O
year,NN,O
subsequently,RB,O
the,DT,O
1955,CD,O
rule,NN,O
was,VBD,O
declared,VBN,O
ultra,JJ,O
vires,NNS,O
in,IN,O
that,DT,O
context,NN,O
the,DT,O
question,NN,O
arose,VBD,O
whether,IN,O
the,DT,O
1952,CD,O
rule,NN,O
had,VBD,O
revived,VBN,O
after,IN,O
the,DT,O
1955,CD,O
rule,NN,O
was,VBD,O
struck,VBN,O
down,RP,O
a,DT,O
constitution,NN,O
bench,NN,O
of,IN,O
this,DT,O
court,NN,O
held,VBD,O
that,IN,O
old,JJ,O
1952,CD,O
rule,NN,O
having,VBG,O
repealed,VBN,O
and,CC,O
substituted,VBN,O
by,IN,O
the,DT,O
1955,CD,O
rule,NN,O
the,DT,O
old,JJ,O
1952,CD,O
rule,NN,O
would,MD,O
not,RB,O
revive,VB,O
after,IN,O
the,DT,O
1955,CD,O
rule,NN,O
was,VBD,O
struck,VBN,O
down,RP,O
by,IN,O
this,DT,O
court,NN,O
10,CD,O
in,IN,O
firm,NN,O
atb,NN,O
mehtab,VBD,O
majid,JJ,O
co,NN,O
v,NN,O
state,NN,O
of,IN,O
madras,NNS,O
anr,VBP,O
manu,NN,O
sc,NN,O
0352,CD,O
1962manu,CD,O
sc,NN,O
0352,CD,O
1962,CD,O
air1963sc928,IN,O
it,PRP,O
was,VBD,O
held,VBN,O
that,IN,O
where,WRB,O
an,DT,O
old,JJ,O
rule,NN,O
has,VBZ,O
been,VBN,O
substituted,VBN,O
by,IN,O
a,DT,O
new,JJ,O
rule,NN,O
it,PRP,O
ceases,VBZ,O
to,TO,O
exist,VB,O
and,CC,O
does,VBZ,O
not,RB,O
get,VB,O
revive,JJ,O
when,WRB,O
the,DT,O
new,JJ,O
rule,NN,O
is,VBZ,O
held,VBN,O
invalid,JJ,O
11,CD,O
in,IN,O
indian,JJ,O
express,NN,O
newspaper,NN,O
bom,NN,O
pvt,NN,O
ltd,NN,O
ors,NNS,O
etc,VBP,O
v,IN,O
union,NN,O
of,IN,O
india,JJ,O
ors,NNS,O
manu,VBP,O
sc,JJ,O
0406,CD,O
1984manu,CD,O
sc,NN,O
0406,CD,O
1984,CD,O
1986,CD,O
159,CD,O
itr,NN,O
856sc,CD,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
issued,VBN,O
a,DT,O
notification,NN,O
dated,VBN,O
july,RB,O
15,CD,O
1977,CD,O
which,WDT,O
was,VBD,O
in,IN,O
force,NN,O
prior,RB,O
to,TO,O
march,VB,O
1,CD,O
1981,CD,O
under,IN,O
which,WDT,O
total,JJ,O
exemption,NN,O
had,VBD,O
been,VBN,O
granted,VBN,O
subsequently,RB,O
the,DT,O
said,VBD,O
notification,NN,O
was,VBD,O
substituted,VBN,O
by,IN,O
another,DT,O
notification,NN,O
dated,VBN,O
march,RB,O
1,CD,O
1981,CD,O
the,DT,O
question,NN,O
arose,VBD,O
whether,IN,O
the,DT,O
old,JJ,O
notification,NN,O
dated,VBN,O
july,RB,O
15,CD,O
1977,CD,O
would,MD,O
revive,VB,O
on,IN,O
quashing,NN,O
of,IN,O
the,DT,O
notification,NN,O
dated,VBD,O
march,RB,O
1,CD,O
1981,CD,O
this,DT,O
court,NN,O
held,VBD,O
that,IN,O
on,IN,O
striking,VBG,O
down,IN,O
of,IN,O
subsequent,JJ,O
notification,NN,O
the,DT,O
repealed,VBN,O
notification,NN,O
does,VBZ,O
not,RB,O
revive,VB,O
12,CD,O
we,PRP,O
are,VBP,O
in,IN,O
total,JJ,O
agreement,NN,B-LEGAL
with,IN,O
the,DT,O
statement,NN,O
of,IN,O
law,NN,O
declared,VBN,O
by,IN,O
this,DT,O
court,NN,O
in,IN,O
the,DT,O
aforesaid,NN,O
decisions,NNS,O
13,CD,O
in,IN,O
the,DT,O
present,JJ,O
case,NN,O
sub,JJ,O
section,NN,O
1,CD,O
of,IN,O
section,NN,O
18,CD,O
of,IN,O
the,DT,O
act,NN,O
provides,VBZ,O
that,IN,O
there,EX,O
shall,MD,O
be,VB,O
paid,VBN,O
by,IN,O
the,DT,O
occupier,NN,O
of,IN,O
a,DT,O
factory,NN,O
or,CC,O
a,DT,O
gur,JJ,O
rab,NN,O
or,CC,O
khandsari,VB,O
sugar,JJ,O
manufacturing,VBG,O
unit,NN,O
a,DT,O
commission,NN,O
for,IN,O
every,DT,O
one,CD,O
maund,NN,O
of,IN,O
cane,NN,O
purchased,VBN,O
by,IN,O
the,DT,O
factory,NN,O
or,CC,O
sugarcane,NN,O
manufacturing,NN,O
unit,NN,O
sub,JJ,O
section,NN,O
2,CD,O
of,IN,O
the,DT,O
said,VBD,O
section,NN,O
further,RBR,O
provides,VBZ,O
that,IN,O
a,DT,O
commission,NN,O
payable,JJ,O
under,IN,O
sub,JJ,O
section,NN,O
1,CD,O
shall,MD,O
be,VB,O
at,IN,O
such,JJ,O
rates,NNS,O
as,IN,O
may,MD,O
be,VB,O
prescribed,VBN,O
by,IN,O
the,DT,O
state,NN,O
government,NN,O
under,IN,O
section,NN,O
28,CD,O
of,IN,O
the,DT,O
act,NN,O
the,DT,O
state,NN,O
government,NN,O
is,VBZ,O
empowered,VBN,O
to,TO,O
frame,VB,O
rules,NNS,O
prescribing,VBG,O
the,DT,O
rate,NN,O
of,IN,O
commission,NN,O
payable,JJ,O
by,IN,O
the,DT,O
occupier,NN,O
of,IN,O
the,DT,O
factory,NN,O
or,CC,O
manufacturing,NN,O
unit,NN,O
14,CD,O
the,DT,O
government,NN,O
of,IN,O
up,IN,O
in,IN,O
exercise,NN,O
of,IN,O
power,NN,O
under,IN,O
section,NN,O
28,CD,O
read,NN,O
with,IN,O
section,NN,O
18,CD,O
of,IN,O
the,DT,O
act,NN,O
amended,VBD,O
rule,NN,O
49,CD,O
by,IN,O
deleting,VBG,O
it,PRP,O
an,DT,O
substituting,VBG,O
the,DT,O
same,JJ,O
by,IN,O
a,DT,O
new,JJ,O
rule,NN,O
49,CD,O
which,WDT,O
provided,VBD,O
the,DT,O
society,NN,O
commission,NN,O
269,CD,O
of,IN,O
the,DT,O
minimum,JJ,O
statutory,JJ,O
cane,NN,O
price,NN,O
fixed,VBN,O
by,IN,O
the,DT,O
government,NN,O
of,IN,O
india,NN,O
the,DT,O
notification,NN,O
dated,VBD,O
24494,CD,O
which,WDT,O
has,VBZ,O
been,VBN,O
extensively,RB,O
extracted,VBN,O
above,IN,O
very,RB,O
clearly,RB,O
and,CC,O
in,IN,O
an,DT,O
unambiguous,JJ,O
terms,NNS,O
provided,VBD,O
that,IN,O
old,JJ,O
rule,NN,O
set,VBN,O
out,RP,O
in,IN,O
column,NN,O
1,CD,O
below,IN,O
the,DT,O
rules,NNS,O
shall,MD,O
be,VB,O
substituted,VBN,O
by,IN,O
the,DT,O
rule,NN,O
set,VBN,O
out,RP,O
in,IN,O
column,NN,O
2,CD,O
in,IN,O
fact,NN,O
by,IN,O
doing,VBG,O
so,IN,O
the,DT,O
government,NN,O
was,VBD,O
very,RB,O
clear,JJ,O
in,IN,O
its,PRP$,O
intention,NN,B-LEGAL
that,IN,O
it,PRP,O
is,VBZ,O
substituting,VBG,O
an,DT,O
old,JJ,O
rule,NN,O
by,IN,O
a,DT,O
new,JJ,O
one,CD,O
had,VBD,O
the,DT,O
government,NN,O
ever,RB,O
intended,VBD,O
that,IN,O
after,IN,O
30992,CD,O
the,DT,O
old,JJ,O
rule,NN,O
would,MD,O
revive,VB,O
it,PRP,O
could,MD,O
have,VB,O
added,VBN,O
a,DT,O
proviso,NN,O
to,TO,O
the,DT,O
old,JJ,O
rule,NN,O
49,CD,O
providing,NN,O
for,IN,O
society,NN,O
commission,NN,O
269,CD,O
with,IN,O
effect,NN,O
from,IN,O
11091,CD,O
to,TO,O
30992,CD,O
the,DT,O
deliberate,NN,O
omission,NN,O
to,TO,O
provide,VB,O
what,WP,O
has,VBZ,O
been,VBN,O
contained,VBN,O
in,IN,O
the,DT,O
new,JJ,O
rule,NN,O
49,CD,O
by,IN,O
way,NN,O
of,IN,O
a,DT,O
proviso,NN,O
to,TO,O
old,JJ,O
rule,NN,O
49,CD,O
shows,NNS,O
that,IN,O
the,DT,O
state,NN,O
government,NN,O
intended,VBD,O
to,TO,O
repeal,VB,O
the,DT,O
old,JJ,O
rule,NN,O
and,CC,O
substitute,NN,O
it,PRP,O
by,IN,O
a,DT,O
new,JJ,O
rule,NN,O
49,CD,O
15,CD,O
it,PRP,O
would,MD,O
have,VB,O
been,VBN,O
a,DT,O
different,JJ,O
case,NN,O
where,WRB,O
a,DT,O
subsequent,JJ,O
law,NN,O
which,WDT,O
modified,VBD,O
the,DT,O
earlier,JJR,O
law,NN,O
held,VBD,O
to,TO,O
be,VB,O
void,VBN,O
in,IN,O
such,JJ,O
a,DT,O
case,NN,O
the,DT,O
earlier,JJR,O
law,NN,O
shall,MD,O
be,VB,O
deemed,VBN,O
to,TO,O
have,VB,O
never,RB,O
been,VBN,O
modified,VBN,O
or,CC,O
repealed,VBN,O
and,CC,O
therefore,RB,O
continued,VBD,O
to,TO,O
be,VB,O
in,IN,O
force,NN,O
where,WRB,O
it,PRP,O
is,VBZ,O
found,VBN,O
that,IN,O
