S,NNP,O
the,VBP,O
ground,NN,O
that,NNP,O
the,NNP,O
Appellant,VBD,O
had,JJ,O
not,JJ,O
applied,VBP,O
to,JJ,O
the,NN,O
Returning,NNP,B-LEGAL
Officer,NN,I-LEGAL
for,NN,O
recounting,NN,O
The,IN,O
High,NN,O
Court,NN,O
did,VBP,O
not,NN,O
decide,JJ,O
any,NN,O
other,NN,O
points,VBZ,O
raised,DT,O
in,JJ,O
the,NN,O
Writ,NN,O
Petition,NN,O
7,NN,O
When,NN,O
these,VBP,O
Appeals,NN,O
came,VBP,O
up,DT,O
before,NN,O
a,NN,O
bench,NNP,O
of,NN,O
two,NN,O
Judges,IN,O
of,NN,O
this,NN,O
Court,VBP,O
they,NN,O
had,NNP,O
reservation,NN,O
about,VBD,O
the,DT,O
principle,NN,O
laid,NNP,O
down,NNP,O
in,NN,O
Ram,NN,O
Rati,NN,O
s,NN,O
case,JJ,O
This,NN,O
matter,NN,O
was,JJ,O
therefore,NN,O
directed,NNP,O
to,NNP,O
be,VBD,O
placed,$,O
before,CD,O
a,NNP,O
three,VBD,O
Judge,DT,O
Bench,NN,O
It,NNP,O
has,NN,O
accordingly,NN,O
been,JJ,O
placed,$,O
before,CD,O
us,NNP,O
8,NNP,O
In,NN,O
order,NN,O
to,VBZ,O
consider,DT,O
the,NN,O
correctness,NN,O
of,NN,O
the,NN,O
ratio,VBZ,O
laid,DT,O
down,JJ,O
in,NN,O
Ram,NNP,O
Rati,NN,O
s,NN,O
case,NN,O
it,NN,O
is,NN,O
necessary,NN,O
to,NN,O
see,NN,O
the,NN,O
provisions,NNP,O
of,NN,O
the,NN,O
M,VBP,O
P,NN,O
Panchayat,NN,O
Raj,VBZ,O
Avam,DT,O
Gram,JJ,O
Swaraj,NN,O
Adhiniyam,NN,O
1993,NN,O
hereinafter,NN,O
called,VBP,O
the,NN,O
said,NN,O
Act,VBP,O
Section,JJ,O
43,NNP,O
of,NN,O
the,NN,O
said,NN,O
Act,NN,O
empowers,VBP,O
the,NN,O
State,VBP,O
Government,JJ,O
in,NN,O
consultation,NN,O
with,NN,O
the,NN,O
State,NN,O
Election,NN,O
Commission,NN,O
to,NNP,O
make,NN,O
rules,NN,O
for,NN,O
preparation,NNP,O
of,NNP,O
electoral,NN,O
rolls,NN,O
and,NNP,O
conduct,NNP,O
or,NN,O
all,VBP,O
elections,JJ,O
Section,VBP,O
95,JJ,O
further,VBP,O
empowers,PDT,O
the,DT,O
State,NN,O
Government,NNP,O
to,NNP,O
make,VBD,O
rules,JJ,O
for,JJ,O
carrying,VBP,O
out,JJ,O
the,NN,O
purposes,NNP,O
of,NNP,O
the,NN,O
said,NN,O
Act,NN,O
Section,NN,O
122,JJ,O
provides,NN,O
that,NN,O
an,JJ,O
election,NN,O
can,NNP,O
be,NNP,O
called,VBD,O
in,$,O
question,CD,O
only,NNP,O
by,NN,O
a,VBD,O
petition,DT,O
presented,NN,O
in,NN,O
case,NN,O
of,NNP,O
a,NN,O
Gram,NN,O
Panchayat,NN,O
to,NN,O
the,NN,O
Sub,VBP,O
Divisional,NN,O
Officer,NN,O
Rule,NN,O
80,NNP,O
reads,NN,O
as,VBZ,O
follows,DT,O
80,JJ,O
Recount,NN,O
of,NN,O
votes,NNP,O
1,NNP,O
After,VBZ,O
an,DT,O
announcement,NN,O
has,NN,O
been,NN,O
made,NNP,O
by,NNP,O
the,NN,O
Returning,NN,B-LEGAL
Officer,NN,I-LEGAL
or,NN,O
such,NNP,O
other,NN,O
officer,NN,O
authorised,NN,O
by,NNP,O
him,NNP,O
of,NN,O
the,NN,O
total,NNP,O
number,NNP,O
of,NN,O
votes,VBP,O
polled,JJ,O
by,VBP,O
each,JJ,O
candidate,VBP,O
under,PDT,O
Sub,DT,O
rule,NN,O
2,NNP,O
of,NNP,O
Rule,VBD,O
77,JJ,O
a,JJ,O
candidate,VBP,O
or,JJ,O
in,NN,O
his,NNP,O
absence,NN,O
his,NN,O
election,VBP,O
agent,NN,O
or,NNS,O
his,VBP,O
counting,JJ,O
agent,NN,O
may,NNP,O
apply,NN,O
in,NN,O
writing,VBP,O
to,JJ,O
the,JJ,O
Returning,JJ,B-LEGAL
Officer,NN,I-LEGAL
or,NN,O
such,VBP,O
officer,NN,O
authorised,NNP,O
by,VBZ,O
him,JJ,O
for,NNP,O
a,NN,O
recount,DT,O
of,NN,O
all,NN,O
or,NN,O
any,NN,O
of,NNP,O
the,VBZ,O
votes,DT,O
already,NN,O
counted,NN,O
stating,NN,O
the,NN,O
grounds,NNP,O
on,NNP,O
which,MD,O
he,VB,O
demands,JJ,O
such,JJ,O
recount,NN,O
2,NN,O
On,NNP,O
such,NN,O
an,NN,O
application,VBP,O
being,JJ,O
made,JJ,O
the,JJ,O
Returning,NN,B-LEGAL
Officer,NN,I-LEGAL
or,VBP,O
such,NN,O
other,NN,O
officer,NN,O
authorised,VBP,O
by,NNP,O
him,VBP,O
shall,DT,O
decide,NN,O
the,NNP,O
matter,NN,O
and,NN,O
may,JJ,O
allow,JJ,O
the,NN,O
application,NNP,O
in,NN,O
whole,VBD,O
or,DT,O
in,NN,O
part,NN,O
or,NN,O
may,VBP,O
reject,JJ,O
it,NN,O
in,NN,O
toto,NN,O
if,NN,O
it,NN,O
appears,VBP,O
to,NN,O
him,NNP,O
to,VBZ,O
be,JJ,O
frivolous,NNP,O
or,NN,O
unreasonable,NN,O
3,NN,O
Every,NN,O
decision,NN,O
of,NNP,O
the,NNP,O
Returning,VBD,B-LEGAL
Officer,NNP,I-LEGAL
or,CD,O
such,CD,O
other,CD,O
officer,NN,O
authorised,NN,O
by,NN,O
him,NN,O
under,NNP,O
Sub,NN,O
rule,NN,O
2,NN,O
shall,NN,O
be,NN,O
in,NNP,O
writing,NN,O
and,NN,O
contain,NN,O
the,NN,O
reasons,NN,O
therefore,NN,O
4,NN,O
If,NN,O
the,VBP,O
Returning,NNP,B-LEGAL
Officer,VBP,I-LEGAL
or,DT,O
such,NN,O
other,NN,O
officer,JJ,O
authorised,NN,O
by,NNP,O
him,VBZ,O
decides,JJ,O
under,NNP,O
Sub,NN,O
rule,NN,O
2,NN,O
to,VBZ,O
allow,DT,O
an,NN,O
application,NN,O
either,NN,O
in,NN,O
whole,VBZ,O
or,DT,O
in,JJ,O
part,NN,O
he,NNP,O
shall,VBZ,O
a,DT,O
count,NN,O
the,NN,O
ballot,NN,O
papers,NN,O
again,NN,O
in,JJ,O
accordance,NNP,O
with,NN,O
his,NN,O
decision,NN,O
b,NN,O
amend,JJ,O
the,NN,O
result,NN,O
sheet,JJ,O
to,NN,O
the,NN,O
extent,NN,O
necessary,NNP,O
after,NN,O
such,NN,O
recount,JJ,O
and,NN,O
c,NN,O
announce,VBZ,O
the,DT,O
amendment,JJ,O
so,NN,O
made,VBD,O
by,DT,O
him,NN,O
5,NN,O
After,VBP,O
the,NN,O
total,NN,O
member,NN,O
of,NN,O
votes,NN,O
polled,JJ,O
by,NNP,O
each,NN,O
candidate,NN,O
has,NN,O
been,NN,O
announced,NN,O
under,NN,O
Sub,NN,O
rule,NN,O
2,VBP,O
or,NNP,O
Rule,VBP,O
77,DT,O
or,NN,O
Sub,NN,O
rule,JJ,O
4,NN,O
the,NNP,O
Returning,VBZ,B-LEGAL
Officer,JJ,I-LEGAL
or,NNP,O
such,NNP,O
other,NN,O
officer,NN,O
authorised,NN,O
by,NN,O
him,JJ,O
shall,NN,O
complete,NN,O
and,JJ,O
sign,NN,O
the,NNP,O
result,NNP,O
sheet,VBD,O
and,$,O
no,CD,O
application,NNP,O
for,NNP,O
a,MD,O
recount,VB,O
shall,DT,O
be,JJ,O
entertained,NN,O
thereafter,NN,O
Provided,VBP,O
tat,JJ,O
no,JJ,O
step,JJ,O
under,NN,O
this,NN,O
sub,VBP,O
rule,NN,O
shall,NNP,O
be,VBZ,O
taken,JJ,O
on,NNP,O
the,NN,O
completion,NN,O
of,NN,O
the,NNP,O
counting,NN,O
until,NN,O
the,NN,O
candidates,NN,O
and,VBD,O
election,NNP,O
agents,NN,O
present,VBP,O
at,NNP,O
the,VBP,O
completion,DT,O
thereof,NN,O
have,NNP,O
been,NN,O
given,NN,O
a,JJ,O
reasonable,JJ,O
opportunity,NN,O
to,NNP,O
exercise,NN,O
the,VBD,O
right,DT,O
conferred,NN,O
by,NNP,O
Sub,NN,O
rule,NN,O
1,NN,O
6,VBZ,O
The,DT,O
counted,NN,O
ballot,NN,O
papers,NN,O
shall,NN,O
be,VBZ,O
bundles,DT,O
and,JJ,O
kept,NN,O
in,NNP,O
the,VBZ,O
manner,DT,O
mentioned,NN,O
in,NNP,O
Sub,NN,O
rule,NN,O
3,JJ,O
of,NNP,O
Rule,NNP,O
77,NN,O
7,NN,O
Result,NNP,O
sheets,NNP,O
in,NN,O
Form,NN,O
16,NNP,O
17,NNP,O
18,NN,O
and,VBP,O
19,JJ,O
for,VBP,O
Panch,JJ,O
Sarpanch,VBP,O
Member,PDT,O
of,DT,O
Janpad,NN,O
Panchayat,NNP,O
and,NNP,O
Member,VBD,O
or,JJ,O
Zila,JJ,O
Panchayat,VBP,O
respectively,JJ,O
prepared,NN,O
by,NNP,O
such,NN,O
other,NN,O
officers,NN,O
as,NN,O
are,NN,O
authorised,NN,O
by,NN,O
the,NN,O
Returning,NN,B-LEGAL
Officer,NNP,I-LEGAL
shall,NN,O
be,NN,O
submitted,NN,O
by,NN,O
them,NN,O
in,VBP,O
separates,NN,O
envelops,NN,O
to,NN,O
the,NNP,O
Returning,NN,B-LEGAL
Officer,NN,I-LEGAL
for,NN,O
compilation,NNP,O
and,NN,O
tabulation,NN,O
or,VBP,O
votes,IN,O
polled,DT,O
by,NN,O
each,NN,O
candidate,NNP,O
8,NN,O
The,NN,O
Returning,NNP,B-LEGAL
Officer,NNP,I-LEGAL
on,NN,O
receipt,NN,O
or,NN,O
result,NN,O
sheets,NNP,O
under,VBZ,O
Sub,DT,O
rule,JJ,O
7,NN,O
shall,NN,O
enter,VBD,O
of,CD,O
cause,NN,O
to,NN,O
be,NNP,O
entered,NNP,O
the,NN,O
total,NN,O
number,NN,O
of,IN,O
votes,DT,O
polled,NN,O
by,NN,O
each,VBD,O
candidate,CD,O
contesting,CD,O
for,CD,O
a,CD,O
seat,NN,O
of,DT,O
Sarpanch,JJ,O
Member,NN,O
of,NNP,O
Janpad,NN,O
Panchayat,NN,O
or,VBP,O
Member,NN,O
of,DT,O
Zila,NN,O
Panchayat,NN,O
at,NN,O
each,NNP,O
polling,NN,O
station,NN,O
of,NN,O
the,VBZ,O
concerned,DT,O
constituency,NN,O
in,NN,O
subsequent,NN,O
part,NN,O
of,VBZ,O
parts,DT,O
of,JJ,O
Form,NN,O
17,NNP,O
18,NN,O
and,NN,O
19,NNP,O
respectively,VBZ,O
and,DT,O
complete,NN,O
and,NN,O
sign,NNP,O
the,NN,O
result,NN,O
sheet,JJ,O
9,NNP,O
Thus,NN,O
under,NN,O
Sub,NN,O
rule,NNP,O
5,NN,O
once,NN,O
the,NN,O
result,VBP,O
sheet,NN,O
is,NN,O
completed,VBP,O
and,JJ,O
signed,$,O
no,CD,O
application,CC,O
for,NNP,O
recount,VBP,O
can,DT,O
be,NN,O
entertained,MD,O
10,VB,O
Rule,JJ,O
81,NNP,O
also,NN,O
provides,NN,O
that,NN,O
after,NNP,O
the,VBZ,O
counting,NN,O
of,NN,O
the,NN,O
votes,NN,O
the,NNP,O
Returning,VBZ,B-LEGAL
Officer,JJ,I-LEGAL
shall,NNP,O
prepare,NN,O
a,NN,O
return,NN,O
and,NNP,O
declare,NNP,O
the,NN,O
candidate,NN,O
who,NNP,O
has,NN,O
the,NN,O
largest,VBP,O
number,JJ,O
of,VBP,O
votes,JJ,O
to,VBP,O
have,PDT,O
been,DT,O
elected,NN,O
Under,NNP,O
Rule,NNP,O
83,VBD,O
a,JJ,O
certificate,JJ,O
is,VBP,O
to,JJ,O
be,NN,O
granted,NNP,O
to,NNP,O
the,NN,O
returned,NN,O
candidate,NN,O
who,NN,O
has,JJ,O
been,NN,O
declared,NN,O
elected,JJ,O
Under,NN,O
Rule,NNP,O
84,NNP,O
after,VBD,O
the,$,O
certificate,CD,O
has,NNP,O
been,NN,O
granted,NN,O
the,VBP,O
election,NN,O
officer,NN,O
or,VBZ,O
the,DT,O
Returning,NN,B-LEGAL
Officer,NNP,I-LEGAL
can,NN,O
only,NN,O
correct,VBP,O
clerical,JJ,O
or,NNP,O
arithmetical,NN,O
mistakes,NN,O
11,NN,O
Thus,VBP,O
after,NN,O
declaration,VBP,O
of,IN,O
results,NN,O
the,NN,O
Returning,VBP,B-LEGAL
Officer,JJ,I-LEGAL
has,NN,O
no,NN,O
power,NN,O
either,NNP,O
to,NNP,O
direct,NN,O
recount,VBP,O
or,NN,O
to,NNP,O
change,NNP,O
the,MD,O
results,VB,O
of,NN,O
the,NN,O
election,NNP,O
Once,NNP,O
the,VBD,O
result,NNP,O
is,CD,O
declared,CD,O
the,NN,O
only,NN,O
remedy,NNP,O
of,NNP,O
an,NN,O
aggrieved,NN,O
party,NN,O
is,IN,O
an,DT,O
Election,NN,O
Petition,NN,O
under,VBD,O
Section,CD,O
122,CD,O
12,CD,O
In,CD,O
the,NN,O
case,NN,O
as,NN,O
stated,NN,O
above,NNP,O
the,NNP,O
Appellant,NN,O
had,VBP,O
been,NN,O
orally,NNP,O
told,NNP,O
that,MD,O
he,VB,O
had,NN,O
won,NN,O
He,NNP,O
only,NN,O
came,NN,O
to,VBP,O
know,NN,O
that,NN,O
Respondent,NN,O
No,NN,O
1,NN,O
had,NNP,O
been,VBZ,O
declared,JJ,O
elected,NNP,O
after,NN,O
the,NN,O
result,NN,O
was,NNP,O
declared,NNP,O
At,NN,O
this,NN,O
stage,VBP,O
he,JJ,O
could,NNP,O
not,NN,O
have,NN,O
approached,NN,O
the,VBP,O
Returning,NN,B-LEGAL
Officer,VBP,I-LEGAL
for,JJ,O
recount,NN,O
The,NN,O
only,NN,O
remedy,NNP,O
therefore,NN,O
available,NN,O
to,VBD,O
the,DT,O
Appellant,JJ,O
was,NN,O
to,NN,O
file,VBP,O
an,NN,O
Election,NNP,O
Petition,NN,O
13,NN,O
In,NN,O
view,NNP,O
of,VBZ,O
Section,DT,O
122,NN,O
and,NN,O
the,NN,O
Rules,NN,O
we,NNP,O
are,VBZ,O
unable,DT,O
to,NN,O
agree,NN,O
with,NNP,O
the,NN,O
ratio,NN,O
laid,NNP,O
down,NNP,O
in,NN,O
Ram,NN,O
Rati,NNP,O
s,NNP,O
case,NN,O
It,VBP,O
is,JJ,O
not,VBP,O
correct,JJ,O
to,VBP,O
hold,PDT,O
that,DT,O
in,NN,O
an,NNP,O
election,NNP,O
petition,VBD,O
after,JJ,O
the,JJ,O
declaration,VBP,O
of,JJ,O
the,NN,O
result,NNP,O
the,NNP,O
Court,NN,O
or,NN,O
Tribunal,NNP,O
cannot,NNP,O
direct,NN,O
recounting,NN,O
of,NNP,O
votes,NNP,O
There,NN,O
is,VBP,O
no,JJ,O
prohibition,VBP,O
in,JJ,O
the,VBP,O
Act,PDT,O
or,DT,O
under,NN,O
the,NNP,O
rules,NNP,O
prohibiting,VBD,O
the,JJ,O
Court,JJ,O
or,VBP,O
Tribunal,JJ,O
to,NN,O
direct,NNP,O
a,NN,O
recounting,NN,O
of,NN,O
the,NN,O
votes,VBZ,O
Even,DT,O
otherwise,JJ,O
a,NN,O
party,NN,O
may,NN,O
not,NNP,O
know,NN,O
that,VBZ,O
the,DT,O
recounting,NN,O
is,NN,O
necessary,VBZ,O
till,DT,O
after,NN,O
result,NN,O
is,NNP,O
declared,VBZ,O
At,DT,O
this,NN,O
stage,NN,O
it,NN,O
would,VBP,O
not,JJ,O
be,FW,O
possible,DT,O
for,JJ,O
him,NN,O
to,VBD,O
apply,DT,O
for,NN,O
recounting,DT,O
to,NN,O
the,MD,O
Returning,VB,B-LEGAL
Officer,VB,I-LEGAL
His,DT,O
only,JJ,O
remedy,NN,O
would,NN,O
be,NN,O
to,VBZ,O
file,DT,O
an,JJ,O
Election,NN,O
Petition,NN,O
under,NN,O
Section,NN,O
122,NN,O
In,NN,O
such,NNP,O
a,NN,O
case,NN,O
the,NNP,O
Court,NN,O
or,NN,O
the,VBP,O
Tribunal,JJ,O
is,JJ,O
bound,NN,O
to,NN,O
consider,NNP,O
the,NNP,O
plea,MD,O
and,VB,O
where,DT,O
case,JJ,O
is,NN,O
made,NN,O
out,VBP,O
it,JJ,O
may,JJ,O
direct,NN,O
recount,NNP,O
depending,NN,O
upon,NN,O
the,VBP,O
evidence,JJ,O
led,JJ,O
by,NN,O
the,NN,O
parties,NN,O
In,NN,O
the,VBP,O
present,NNP,O
case,VBP,O
there,DT,O
was,NN,O
obvious,VBZ,O
error,DT,O
in,NN,O
declaring,DT,O
the,NN,O
result,MD,O
We,VB,O
therefore,JJ,O
hold,NN,O
that,JJ,O
the,JJ,O
ratio,NN,O
laid,NNP,O
down,NN,O
in,VBD,O
Ram,DT,O
Rati,NN,O
s,NNP,O
case,NN,O
is,NN,O
not,NN,O
correct,NNP,O
14,NN,O
In,NN,O
his,NN,O
view,NN,O
of,NN,O
the,NNP,O
matter,NN,O
the,NN,O
decision,NN,O
of,NN,O
the,NN,O
High,NN,O
Court,NN,O
cannot,NN,O
be,VBP,O
sustained,NNP,O
and,VBP,O
is,DT,O
therefore,NN,O
set,NN,O
aside,JJ,O
As,NN,O
the,NNP,O
Writ,VBZ,O
Petition,JJ,O
was,NNP,O
disposed,NN,O
off,NN,O
only,NN,O
on,VBZ,O
the,DT,O
basis,NN,O
of,NN,O
Ram,NN,O
Rati,NN,O
s,VBZ,O
case,DT,O
the,JJ,O
High,NN,O
Court,NNP,O
has,VBZ,O
not,DT,O
dealt,NN,O
with,NN,O
other,NN,O
points,NN,O
raised,NN,O
in,JJ,O
the,NNP,O
Writ,NN,O
Petition,NN,O
We,NN,O
therefore,NN,O
restore,JJ,O
the,NN,O
Writ,NN,O
Petition,JJ,O
to,NN,O
the,NN,O
file,NN,O
of,NNP,O
the,NN,O
High,NN,O
Court,JJ,O
The,NN,O
High,NN,O
Court,VBZ,O
shall,DT,O
decide,JJ,O
the,NN,O
same,VBD,O
on,DT,O
merits,NN,O
15,NN,O
The,VBP,O
Appeals,NN,O
stand,NN,O
disposed,NN,O
of,NN,O
accordingly,NN,O
There,JJ,O
shall,NNP,O
be,NN,O
no,NN,O
order,NN,O
as,NN,O
to,NN,O
costs,NN,O
