1,CD,O
30,JJ,O
9,NNP,O
1997,NN,O
in,VBD,O
the,DT,O
process,NN,B-LEGAL
it,NN,O
has,NN,O
also,NNP,O
contrasted,NN,O
the,NN,O
language,JJ,O
of,VBP,O
clause,NN,O
3b,NN,O
with,NN,O
clause,JJ,O
3a,NN,O
noticing,NN,O
that,NN,O
clause,VBP,O
3a,NNP,O
mentions,VBP,O
commercial,DT,O
production,NN,O
whereas,NNP,O
clause,VBZ,O
3b,DT,O
talks,NN,O
of,NN,O
undertaken,VBZ,O
substantial,DT,O
expansion,NN,O
the,DT,O
tribunal,NN,B-LEGAL
also,NN,O
referred,DT,O
to,NN,O
central,NN,B-LEGAL
board,NN,I-LEGAL
of,NNP,I-LEGAL
excise,NN,I-LEGAL
and,NN,I-LEGAL
customs,NNP,I-LEGAL
clarification,NN,O
letter,NN,O
f,JJ,O
no,NN,O
354,NN,O
08,NNP,O
98,NN,O
tru,NN,O
dated,JJ,O
9,NNP,O
7,NN,O
1999,NN,O
on,NN,O
the,NNP,O
aforesaid,JJ,O
basis,NN,O
following,NNP,O
conclusion,CC,O
is,JJ,O
arrived,NN,O
at,NN,O
by,NN,O
the,VBP,O
tribunal,NN,B-LEGAL
after,JJ,O
careful,NN,O
consideration,NN,B-LEGAL
we,NN,O
do,VBZ,O
not,DT,O
find,NN,O
any,NNP,O
ambiguity,JJ,B-LEGAL
in,NN,O
the,NN,O
language,VBP,O
of,NN,O
the,NNP,O
notifications,VBZ,O
the,JJ,O
notifications,NNP,O
as,NN,O
well,NN,O
as,VBZ,O
cbe,DT,O
c,JJ,O
s,NN,O
clarifications,NN,O
relied,NN,O
upon,VBD,O
by,CD,O
the,CD,O
appellants,NN,O
are,NN,O
very,NNP,O
clear,NN,O
that,NN,O
in,VBP,O
the,NN,O
case,NN,O
of,NN,O
existing,NN,O
manufacturing,NN,O
units,VBD,O
the,CD,O
rate,CD,O
on,CD,O
which,CD,O
the,NN,O
capacity,NN,O
of,VBP,O
the,NNP,O
unit,VBP,O
is,DT,O
enhanced,NN,O
should,VBZ,O
be,DT,O
the,NN,O
relevant,NN,B-LEGAL
date,NN,I-LEGAL
in,NNP,O
terms,VBZ,O
of,DT,O
clause,NN,O
3b,NN,O
of,VBZ,O
the,DT,O
notifications,NN,O
the,DT,O
date,NN,B-LEGAL
of,NN,O
commencement,DT,O
of,NN,O
commercial,NN,O
production,NN,O
is,NNP,O
mentioned,NN,O
in,NN,O
clause,NNP,O
3a,NN,O
of,NN,O
the,NN,O
notification,NNP,B-LEGAL
is,NN,O
applicable,NN,O
to,NN,O
the,VBP,O
new,NN,O
industrial,NN,O
units,VBP,O
only,NN,O
we,NN,O
also,NN,O
agree,VBP,O
with,NN,O
the,JJ,O
commissioner,NN,B-LEGAL
appeals,NN,I-LEGAL
that,NN,O
clause,VBZ,O
4,DT,O
of,NN,O
the,NNP,O
notifications,JJ,O
regarding,NN,O
commercial,NN,O
production,VBP,O
applies,JJ,O
only,NN,O
to,NN,O
new,VBP,O
units,JJ,O
the,NN,O
appellants,NN,O
unit,NN,O
is,NN,O
existing,NN,O
unit,NN,O
and,VBP,O
the,NN,O
expansion,NN,O
was,VBZ,O
completed,DT,O
prior,JJ,O
to,NN,O
24,NN,O
12,NNP,O
1997,NN,O
we,NN,O
are,NN,O
in,NN,O
agreement,VBP,B-LEGAL
with,NN,O
the,NN,O
aforesaid,NN,O
interpretation,NN,O
given,NN,O
by,JJ,O
the,NN,O
tribunal,NN,B-LEGAL
to,NN,O
the,VBP,O
said,JJ,O
circular,NNP,O
therefore,VBZ,O
we,DT,O
find,NN,O
no,DT,O
merit,NN,O
in,NN,O
this,VBP,O
appeal,NN,B-LEGAL
and,NN,O
it,NN,O
is,NN,O
accordingly,VBD,O
dismissed,CD,O
